location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_GA_13111,2020-01-11,ChIJmUkMlOijX4gR7dXnPZaSi_U,Q493079,geoId/13111,US,United States of America,GA,Georgia,13111,Fannin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25332,12259,13073,2135,2555,2285,2268,2616,3810,4873,3258,1532,532848,34.86,-84.32,1014,75.825,,,,,,,11.04,12.05,8.03,,7.7,,11.04,6.69,,7.03,,6.36,4.69,,,10.04,25.1,,9.37,,,6.69,45.52,5.02,9.71,5.36,,6.02,17.738889,13.511111,21.161111,0.423333,,14.633333,82.414397
US_GA_13111,2020-01-12,ChIJmUkMlOijX4gR7dXnPZaSi_U,Q493079,geoId/13111,US,United States of America,GA,Georgia,13111,Fannin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25332,12259,13073,2135,2555,2285,2268,2616,3810,4873,3258,1532,532848,34.86,-84.32,1014,75.825,,,,,,6.81,9.08,10.97,6.81,8.7,,,17.02,14.37,6.43,10.97,,9.45,,5.29,,6.81,26.09,7.18,11.35,,6.81,6.05,41.22,,8.32,,,6.05,12.907407,5.345679,19.796296,17.483667,,9.061728,77.543466
US_GA_13111,2020-01-13,ChIJmUkMlOijX4gR7dXnPZaSi_U,Q493079,geoId/13111,US,United States of America,GA,Georgia,13111,Fannin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25332,12259,13073,2135,2555,2285,2268,2616,3810,4873,3258,1532,532848,34.86,-84.32,1014,75.825,,,,,,6.55,5.89,12.12,11.46,6.55,9.17,,14.73,8.51,,15.39,,5.89,,,,6.55,23.25,7.86,6.88,4.58,9.17,4.91,46.82,5.89,4.58,8.84,7.53,7.53,12.416667,8.022222,16.988889,0.290286,,10.577778,88.622317
US_GA_13111,2020-01-14,ChIJmUkMlOijX4gR7dXnPZaSi_U,Q493079,geoId/13111,US,United States of America,GA,Georgia,13111,Fannin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25332,12259,13073,2135,2555,2285,2268,2616,3810,4873,3258,1532,532848,34.86,-84.32,1014,75.825,,,,,,7.36,10.87,7.04,8.0,6.08,4.8,5.76,11.51,7.36,4.48,11.83,,4.48,,5.44,5.44,8.63,22.07,4.48,5.44,,6.08,8.31,45.09,5.76,7.67,4.8,7.04,6.4,15.35,12.361111,17.144444,11.938,,14.527778,94.925733
US_GA_13111,2020-01-15,ChIJmUkMlOijX4gR7dXnPZaSi_U,Q493079,geoId/13111,US,United States of America,GA,Georgia,13111,Fannin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25332,12259,13073,2135,2555,2285,2268,2616,3810,4873,3258,1532,532848,34.86,-84.32,1014,75.825,,,,,,,9.29,11.21,9.61,5.76,,5.76,10.89,6.08,8.01,7.68,,,,6.4,5.12,10.89,23.06,7.37,8.33,5.44,,,40.67,4.8,5.12,5.12,5.76,,14.811111,11.566667,19.05,12.772571,,13.716667,93.274899
US_GA_13111,2020-01-16,ChIJmUkMlOijX4gR7dXnPZaSi_U,Q493079,geoId/13111,US,United States of America,GA,Georgia,13111,Fannin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25332,12259,13073,2135,2555,2285,2268,2616,3810,4873,3258,1532,532848,34.86,-84.32,1014,75.825,,,,,,,8.98,14.12,8.02,7.7,7.38,,14.44,9.62,4.49,7.06,5.77,5.13,5.13,,4.81,4.81,24.06,6.74,7.06,,,4.49,38.82,,7.06,4.81,,4.49,14.883333,10.238889,18.383333,6.894286,,9.483333,70.17497
US_GA_13111,2020-01-17,ChIJmUkMlOijX4gR7dXnPZaSi_U,Q493079,geoId/13111,US,United States of America,GA,Georgia,13111,Fannin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25332,12259,13073,2135,2555,2285,2268,2616,3810,4873,3258,1532,532848,34.86,-84.32,1014,75.825,,,,,,5.04,9.76,11.02,7.87,10.39,5.35,,13.22,8.81,7.24,7.24,,,,5.98,,8.19,28.96,9.13,6.61,,,7.56,45.33,,4.41,,,7.87,6.511111,2.377778,14.188889,2.6416,,-3.972222,47.655222
US_GA_13111,2020-01-18,ChIJmUkMlOijX4gR7dXnPZaSi_U,Q493079,geoId/13111,US,United States of America,GA,Georgia,13111,Fannin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25332,12259,13073,2135,2555,2285,2268,2616,3810,4873,3258,1532,532848,34.86,-84.32,1014,75.825,,,,,,4.42,7.26,11.69,9.79,7.26,7.89,,12.0,6.0,,12.63,5.37,7.89,4.42,6.95,6.32,5.68,28.42,6.32,,5.68,8.21,6.63,42.95,,6.32,7.89,4.42,6.63,6.238889,3.4,10.094444,5.037667,,-1.633333,57.620322
US_GA_13111,2020-01-19,ChIJmUkMlOijX4gR7dXnPZaSi_U,Q493079,geoId/13111,US,United States of America,GA,Georgia,13111,Fannin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25332,12259,13073,2135,2555,2285,2268,2616,3810,4873,3258,1532,532848,34.86,-84.32,1014,75.825,,,,,,,5.36,13.56,6.31,,7.25,,15.45,4.42,,8.83,4.73,6.62,,4.42,11.35,6.62,24.91,10.09,8.2,,7.57,6.62,42.88,5.68,7.25,10.41,8.2,5.04,6.311111,1.705556,10.038889,6.731,,0.116667,64.738661
US_GA_13111,2020-01-20,ChIJmUkMlOijX4gR7dXnPZaSi_U,Q493079,geoId/13111,US,United States of America,GA,Georgia,13111,Fannin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25332,12259,13073,2135,2555,2285,2268,2616,3810,4873,3258,1532,532848,34.86,-84.32,1014,75.825,,,,,,5.54,6.92,10.39,13.16,5.89,7.96,,13.5,5.54,,12.12,4.85,6.23,7.27,9.35,5.89,8.65,22.85,11.43,9.0,,5.54,9.69,49.16,5.19,8.31,5.54,5.89,6.92,-1.605556,-5.338889,5.216667,0.0,,-8.872222,57.831434
US_GA_13111,2020-01-21,ChIJmUkMlOijX4gR7dXnPZaSi_U,Q493079,geoId/13111,US,United States of America,GA,Georgia,13111,Fannin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25332,12259,13073,2135,2555,2285,2268,2616,3810,4873,3258,1532,532848,34.86,-84.32,1014,75.825,,,,,,,7.03,8.37,7.7,8.04,7.37,,17.41,6.36,,11.05,5.36,5.69,5.02,5.69,5.69,5.69,29.8,6.36,5.69,6.36,6.36,,45.2,5.02,5.69,,7.37,4.69,-1.8,-5.061111,3.461111,0.084667,,-9.55,55.762818
US_GA_13111,2020-01-22,ChIJmUkMlOijX4gR7dXnPZaSi_U,Q493079,geoId/13111,US,United States of America,GA,Georgia,13111,Fannin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25332,12259,13073,2135,2555,2285,2268,2616,3810,4873,3258,1532,532848,34.86,-84.32,1014,75.825,,,,,,,7.75,9.37,12.28,8.4,6.14,,12.28,5.17,6.14,11.96,,,6.46,5.82,7.43,9.05,29.4,5.49,10.66,6.14,10.34,7.11,51.05,6.14,10.66,6.79,5.49,6.46,-0.772222,-7.727778,9.455556,0.254,,-9.794444,50.884016
US_GA_13111,2020-01-23,ChIJmUkMlOijX4gR7dXnPZaSi_U,Q493079,geoId/13111,US,United States of America,GA,Georgia,13111,Fannin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25332,12259,13073,2135,2555,2285,2268,2616,3810,4873,3258,1532,532848,34.86,-84.32,1014,75.825,,,,,,6.4,6.4,8.96,9.92,4.8,6.72,,14.72,8.64,8.64,8.64,5.12,5.76,,5.76,6.08,9.28,31.68,8.32,11.2,8.64,,,42.24,6.08,8.0,6.4,,5.76,4.338889,-0.627778,9.327778,0.4064,,-4.633333,53.321984
US_GA_13111,2020-01-24,ChIJmUkMlOijX4gR7dXnPZaSi_U,Q493079,geoId/13111,US,United States of America,GA,Georgia,13111,Fannin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25332,12259,13073,2135,2555,2285,2268,2616,3810,4873,3258,1532,532848,34.86,-84.32,1014,75.825,,,,,,5.01,5.63,11.27,10.96,,,,20.66,5.63,8.45,10.33,,5.32,,,,10.96,31.61,,7.51,,,6.26,37.88,7.2,5.95,5.01,,5.63,7.188889,3.65,11.383333,17.126857,,5.266667,87.700463
US_GA_13111,2020-01-25,ChIJmUkMlOijX4gR7dXnPZaSi_U,Q493079,geoId/13111,US,United States of America,GA,Georgia,13111,Fannin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25332,12259,13073,2135,2555,2285,2268,2616,3810,4873,3258,1532,532848,34.86,-84.32,1014,75.825,,,,,,4.92,7.73,10.54,4.92,4.92,5.62,,25.29,7.73,5.97,11.24,,4.92,,,,8.43,26.0,7.03,10.54,,5.62,6.32,39.34,,6.32,,7.03,,5.211111,2.772222,8.633333,2.794,,0.833333,73.766992
US_GA_13111,2020-01-26,ChIJmUkMlOijX4gR7dXnPZaSi_U,Q493079,geoId/13111,US,United States of America,GA,Georgia,13111,Fannin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25332,12259,13073,2135,2555,2285,2268,2616,3810,4873,3258,1532,532848,34.86,-84.32,1014,75.825,,,,,,8.02,10.12,17.09,13.26,4.88,5.58,,24.07,7.33,,7.33,7.67,4.88,12.56,,4.88,13.26,46.05,9.42,12.56,,,6.63,40.46,,11.16,6.98,6.28,6.63,3.0,-1.888889,8.883333,0.028222,,-1.372222,73.128758
US_GA_13111,2020-01-27,ChIJmUkMlOijX4gR7dXnPZaSi_U,Q493079,geoId/13111,US,United States of America,GA,Georgia,13111,Fannin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25332,12259,13073,2135,2555,2285,2268,2616,3810,4873,3258,1532,532848,34.86,-84.32,1014,75.825,,,,,,8.15,9.09,10.03,5.33,8.15,6.9,,17.55,9.72,6.58,13.79,6.9,,10.35,,8.46,9.4,42.01,5.96,5.64,5.64,6.58,7.21,41.69,7.21,4.7,5.96,8.46,6.58,6.766667,2.277778,10.894444,1.560286,,4.055556,83.008451
US_GA_13111,2020-01-28,ChIJmUkMlOijX4gR7dXnPZaSi_U,Q493079,geoId/13111,US,United States of America,GA,Georgia,13111,Fannin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25332,12259,13073,2135,2555,2285,2268,2616,3810,4873,3258,1532,532848,34.86,-84.32,1014,75.825,,,,,,,8.25,9.9,5.94,9.24,,,21.45,8.58,6.27,9.24,,6.6,,6.6,,8.25,34.66,4.62,,12.54,14.52,12.87,46.54,4.95,10.23,7.59,5.94,5.61,5.488889,-1.35,14.133333,0.3302,,0.661111,71.203602
US_GA_13111,2020-01-29,ChIJmUkMlOijX4gR7dXnPZaSi_U,Q493079,geoId/13111,US,United States of America,GA,Georgia,13111,Fannin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25332,12259,13073,2135,2555,2285,2268,2616,3810,4873,3258,1532,532848,34.86,-84.32,1014,75.825,,,,,,6.93,8.58,10.9,9.24,7.26,8.58,,28.06,8.25,,16.18,7.26,,5.28,,,12.22,35.33,5.94,5.61,8.25,,7.26,50.19,5.61,5.94,7.26,8.58,5.61,4.844444,-1.116667,12.761111,0.03175,,0.733333,74.888502
US_GA_13111,2020-01-30,ChIJmUkMlOijX4gR7dXnPZaSi_U,Q493079,geoId/13111,US,United States of America,GA,Georgia,13111,Fannin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25332,12259,13073,2135,2555,2285,2268,2616,3810,4873,3258,1532,532848,34.86,-84.32,1014,75.825,,,,,,,6.96,14.59,10.28,5.3,7.29,,27.52,6.63,5.64,12.6,5.3,,,,4.64,5.64,37.46,6.63,7.62,6.96,5.97,8.62,48.07,5.3,9.28,6.3,6.3,8.62,6.755556,0.722222,14.411111,0.0,,2.216667,72.890619
US_GA_13111,2020-01-31,ChIJmUkMlOijX4gR7dXnPZaSi_U,Q493079,geoId/13111,US,United States of America,GA,Georgia,13111,Fannin County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25332,12259,13073,2135,2555,2285,2268,2616,3810,4873,3258,1532,532848,34.86,-84.32,1014,75.825,,,,,,4.75,10.14,15.22,9.51,6.97,5.07,,25.36,9.19,,11.1,4.75,9.83,,,6.34,10.78,34.87,10.14,9.51,4.44,4.75,5.07,43.43,4.44,8.24,5.39,7.61,6.02,5.744444,1.883333,11.416667,0.127,,2.333333,78.974005
