location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_KY_21161,2020-01-11,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,10.59,11.09,11.6,10.09,19.67,8.57,35.3,10.09,16.277778,11.011111,21.505556,10.051143,,12.037037,76.51322
US_KY_21161,2020-01-12,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,,,12.97,,24.95,,27.94,13.97,7.494444,3.827778,19.538889,13.43025,,4.530864,81.433785
US_KY_21161,2020-01-13,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,9.42,11.3,12.43,8.66,25.99,7.53,38.42,,4.977778,1.755556,9.477778,0.0,,2.364198,83.29006
US_KY_21161,2020-01-14,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,7.29,6.53,13.05,6.53,29.95,6.53,38.78,11.9,7.333333,2.305556,12.005556,0.28575,,4.962963,85.856237
US_KY_21161,2020-01-15,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,5.96,7.08,13.42,9.32,21.25,6.34,41.0,7.08,6.433333,0.211111,15.238889,0.326571,,5.320988,94.627797
US_KY_21161,2020-01-16,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,9.87,7.21,11.39,12.91,29.24,7.59,36.07,9.11,6.061111,0.344444,14.966667,0.3556,,0.765432,69.074129
US_KY_21161,2020-01-17,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,,8.87,9.64,10.03,24.68,6.55,35.09,,-1.766667,-4.494444,4.95,0.1524,,-8.098765,62.007392
US_KY_21161,2020-01-18,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,12.1,,12.1,,23.69,,40.83,,4.6,-2.094444,11.05,3.846286,,-0.308642,71.649805
US_KY_21161,2020-01-19,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,,9.11,11.64,9.11,24.29,,36.43,9.11,-2.577778,-7.9,10.416667,10.541,,-7.648148,68.894213
US_KY_21161,2020-01-20,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,,7.72,16.81,,31.8,8.63,43.16,9.54,-7.027778,-9.45,-1.866667,0.0,,-11.37037,70.698165
US_KY_21161,2020-01-21,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,5.75,,19.18,14.19,36.82,7.29,36.82,,-4.116667,-8.2,-0.383333,0.028222,,-10.246914,62.635565
US_KY_21161,2020-01-22,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,6.38,12.0,16.13,7.13,41.63,,29.25,7.88,-3.711111,-9.822222,4.516667,0.0,,-9.518519,64.35409
US_KY_21161,2020-01-23,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,13.16,12.28,21.05,,37.27,10.09,35.96,7.02,2.394444,-4.233333,9.094444,0.0,,-5.901235,55.104713
US_KY_21161,2020-01-24,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,8.34,7.03,27.22,11.42,34.25,10.1,36.88,8.78,5.861111,0.477778,9.511111,7.257143,,3.641975,85.910312
US_KY_21161,2020-01-25,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,9.25,8.76,23.84,,26.77,,36.5,9.25,3.027778,1.161111,7.783333,10.232571,,1.759259,91.202625
US_KY_21161,2020-01-26,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,,7.9,22.31,9.76,33.46,,38.11,6.97,1.660494,-0.037037,5.969136,0.616857,,-1.166667,81.992063
US_KY_21161,2020-01-27,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,,12.79,31.96,7.9,34.6,12.41,39.86,8.65,2.044444,-1.933333,5.788889,0.141111,,-0.962963,82.209528
US_KY_21161,2020-01-28,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,,9.88,30.04,11.41,39.54,6.84,29.66,7.6,1.016667,-2.005556,3.883333,0.0,,-1.58642,82.825374
US_KY_21161,2020-01-29,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,6.82,7.2,29.54,10.6,45.06,,29.54,14.77,0.961111,-0.072222,2.222222,0.0,,-2.364198,78.886894
US_KY_21161,2020-01-30,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,,11.11,30.27,16.86,41.0,,36.02,8.81,1.338889,-0.311111,4.777778,0.0,,-3.141975,72.230574
US_KY_21161,2020-01-31,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,7.16,11.68,36.55,7.16,35.42,5.65,30.9,6.03,1.855556,0.15,4.372222,0.0,,-1.302469,80.386016
US_KY_21161,2020-02-01,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,,12.47,20.96,,32.43,,32.93,,2.962963,0.845679,5.277778,3.084286,,1.479167,90.708255
US_KY_21161,2020-02-02,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,,,25.07,11.09,27.96,,29.41,,6.185185,0.351852,16.975309,0.09525,,0.104167,65.125
US_KY_21161,2020-02-03,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,,9.41,25.23,8.66,27.12,6.78,27.12,7.91,11.622222,4.138889,18.133333,0.0,,2.487654,54.126838
US_KY_21161,2020-02-04,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,5.59,12.29,27.94,8.2,35.77,,36.89,,14.083333,6.355556,17.811111,1.052286,,8.277778,68.352442
US_KY_21161,2020-02-05,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,,16.14,18.76,5.63,31.52,13.88,28.52,,2.605556,0.45,9.122222,9.615714,,0.561728,87.578274
US_KY_21161,2020-02-06,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,,,20.0,7.14,28.57,,34.64,,1.566667,-0.005556,2.866667,7.075714,,0.919753,96.077285
US_KY_21161,2020-02-07,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,,7.85,14.83,8.29,27.91,9.59,30.96,,-1.177778,-2.705556,1.3,2.939143,30.48,-3.376543,85.082398
US_KY_21161,2020-02-08,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,,10.67,14.06,9.7,25.22,9.21,29.1,7.28,-1.022222,-3.544444,2.066667,0.943429,30.48,-3.123457,85.974004
US_KY_21161,2020-02-09,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,8.22,10.63,25.14,,33.84,,46.41,,0.022222,-5.233333,6.172222,0.725714,30.48,-2.407407,83.877742
US_KY_21161,2020-02-10,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,,12.65,16.27,8.68,29.28,6.51,39.4,5.42,7.577778,4.555556,9.716667,4.826,,5.154321,85.683662
US_KY_21161,2020-02-11,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,8.83,8.06,14.97,13.05,30.33,6.14,35.33,6.53,3.666667,1.738889,9.094444,9.144,,2.222222,90.777021
US_KY_21161,2020-02-12,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,,6.89,21.05,6.51,24.11,9.57,38.65,11.48,1.345679,-1.382716,4.759259,1.487714,,-0.743056,86.738669
US_KY_21161,2020-02-13,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,,10.55,21.47,10.17,23.73,,39.93,6.4,2.04321,-0.833333,3.641975,27.032857,,0.708333,91.347838
US_KY_21161,2020-02-14,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,,,,14.47,9.65,11.26,29.75,,30.15,,-5.981481,-9.493827,2.938272,0.798286,,-10.770833,69.063122
US_KY_21161,2020-02-15,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,18,0,10.62,7.58,15.17,14.16,28.32,,42.98,,-3.969136,-11.0,6.814815,0.0,,-10.541667,60.504093
US_KY_21161,2020-02-16,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,7,0,,13.37,21.79,10.4,27.24,10.4,36.15,9.9,4.938272,1.716049,9.376543,0.0,,-3.006944,57.264333
US_KY_21161,2020-02-17,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,11,-8,7.88,8.76,19.27,8.32,29.79,10.51,46.87,,3.635802,-2.641975,11.746914,0.0,,-1.131944,71.955663
US_KY_21161,2020-02-18,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,2,-2,,7.29,12.4,7.29,28.45,6.93,33.92,8.75,9.660494,3.098765,12.475309,1.524,,5.9375,78.245943
US_KY_21161,2020-02-19,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,3,5,,12.41,15.69,9.12,25.55,,34.31,8.03,2.205556,-3.05,10.094444,2.2352,,-3.216049,67.73745
US_KY_21161,2020-02-20,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,1,6,,6.59,14.34,,22.09,,35.26,6.59,-0.277778,-3.177778,5.666667,0.0,,-6.746914,62.370152
US_KY_21161,2020-02-21,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,5,3,7.75,6.58,13.56,9.3,24.79,,29.05,,-4.033333,-9.194444,3.033333,0.0,,-11.395062,56.542835
US_KY_21161,2020-02-22,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,15,4,,,14.07,7.03,20.16,,38.45,7.97,-0.3,-8.322222,9.583333,0.0,,-9.858025,48.85653
US_KY_21161,2020-02-23,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,5,2,,8.21,17.86,,21.24,,37.66,9.17,3.5,-5.216667,12.427778,0.0,,-7.117284,46.854577
US_KY_21161,2020-02-24,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,1,2,7.48,8.23,16.46,11.22,33.29,8.6,34.79,,5.394444,-0.488889,11.283333,0.072571,,0.611111,72.328667
US_KY_21161,2020-02-25,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,10,-1,,8.25,19.5,9.38,37.51,7.5,34.13,9.0,7.627778,3.211111,10.5,13.389429,,6.567901,94.267351
US_KY_21161,2020-02-26,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,19,5,8.5,11.82,23.28,11.08,40.27,,30.3,8.13,5.022222,0.394444,9.161111,2.467429,,4.104938,94.719493
US_KY_21161,2020-02-27,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,16,-1,8.37,,27.9,6.78,44.23,7.17,37.06,6.38,-1.261111,-3.816667,3.45,4.862286,,-6.506173,67.735911
US_KY_21161,2020-02-28,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,21,-1,5.83,10.1,17.48,8.15,31.84,,26.41,,0.116667,-3.622222,3.005556,0.635,30.48,-5.734568,65.574189
US_KY_21161,2020-02-29,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,25,7,7.79,7.3,18.01,9.25,40.9,9.74,29.21,,-2.172222,-7.383333,3.116667,0.471714,30.48,-8.388889,62.761891
US_KY_21161,2020-03-01,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,25,,8.97,9.97,21.43,13.46,34.38,,40.37,,3.077778,-6.372222,16.555556,0.0508,30.48,-5.91358,52.413212
US_KY_21161,2020-03-02,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,19,3,,8.25,26.55,7.54,43.05,6.1,33.37,7.18,11.05,8.25,13.622222,1.524,,5.12963,67.252781
US_KY_21161,2020-03-03,ChIJ56HEJr5QQYgRigJFzC4V0Xc,Q491112,geoId/21161,US,United States of America,KY,Kentucky,21161,Mason County,US,USA,2,,,,,,,17192,8338,8854,2217,2228,2066,1920,2142,2427,2221,1330,641,1846557,38.6,-83.83,639,75.24,30,0,7.1,6.72,23.9,,36.23,8.59,34.73,7.47,11.5,8.277778,15.177778,13.171714,,8.450617,81.907589
