location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_IA_19101,2020-01-21,ChIJq-a0k-Bl5ocRYjgQyXBEarY,Q183135,geoId/19101,US,United States of America,IA,Iowa,19101,Jefferson County,US,USA,2,,,,,,,18219,9994,8225,1549,1641,3542,2081,1787,2120,3224,1452,823,1790072,41.031389,-91.944722,1131,80.3,,,6.5,8.24,7.37,17.34,12.14,21.68,7.37,33.81,,-11.944444,-17.188889,-4.461111,0.0,-13.87037,84.281597
US_IA_19101,2020-01-22,ChIJq-a0k-Bl5ocRYjgQyXBEarY,Q183135,geoId/19101,US,United States of America,IA,Iowa,19101,Jefferson County,US,USA,2,,,,,,,18219,9994,8225,1549,1641,3542,2081,1787,2120,3224,1452,823,1790072,41.031389,-91.944722,1131,80.3,,,,8.6,9.03,15.91,,34.41,,29.68,10.75,-2.472222,-5.361111,0.533333,0.0,-5.433333,80.345915
US_IA_19101,2020-01-23,ChIJq-a0k-Bl5ocRYjgQyXBEarY,Q183135,geoId/19101,US,United States of America,IA,Iowa,19101,Jefferson County,US,USA,2,,,,,,,18219,9994,8225,1549,1641,3542,2081,1787,2120,3224,1452,823,1790072,41.031389,-91.944722,1131,80.3,,,,8.31,7.38,21.23,11.08,32.31,7.38,35.54,,0.311111,-0.722222,1.716667,0.889,-0.520833,93.61716
US_IA_19101,2020-01-24,ChIJq-a0k-Bl5ocRYjgQyXBEarY,Q183135,geoId/19101,US,United States of America,IA,Iowa,19101,Jefferson County,US,USA,2,,,,,,,18219,9994,8225,1549,1641,3542,2081,1787,2120,3224,1452,823,1790072,41.031389,-91.944722,1131,80.3,,,,8.9,9.84,22.96,10.31,29.99,,35.15,,0.65,0.166667,1.524691,2.6924,0.133333,96.430918
US_IA_19101,2020-01-25,ChIJq-a0k-Bl5ocRYjgQyXBEarY,Q183135,geoId/19101,US,United States of America,IA,Iowa,19101,Jefferson County,US,USA,2,,,,,,,18219,9994,8225,1549,1641,3542,2081,1787,2120,3224,1452,823,1790072,41.031389,-91.944722,1131,80.3,,,,,12.46,20.17,,35.59,,27.88,,0.211111,-0.761111,1.711111,1.3716,-1.277778,89.891189
US_IA_19101,2020-01-26,ChIJq-a0k-Bl5ocRYjgQyXBEarY,Q183135,geoId/19101,US,United States of America,IA,Iowa,19101,Jefferson County,US,USA,2,,,,,,,18219,9994,8225,1549,1641,3542,2081,1787,2120,3224,1452,823,1790072,41.031389,-91.944722,1131,80.3,,,,8.88,10.55,20.55,,29.43,,41.09,,-3.827778,-8.65,0.4,0.0,-5.290123,89.13
US_IA_19101,2020-01-27,ChIJq-a0k-Bl5ocRYjgQyXBEarY,Q183135,geoId/19101,US,United States of America,IA,Iowa,19101,Jefferson County,US,USA,2,,,,,,,18219,9994,8225,1549,1641,3542,2081,1787,2120,3224,1452,823,1790072,41.031389,-91.944722,1131,80.3,,,7.77,8.64,10.8,25.91,12.53,38.87,9.5,34.55,,-1.05,-2.461111,0.211111,0.0,-1.785714,94.172602
US_IA_19101,2020-01-28,ChIJq-a0k-Bl5ocRYjgQyXBEarY,Q183135,geoId/19101,US,United States of America,IA,Iowa,19101,Jefferson County,US,USA,2,,,,,,,18219,9994,8225,1549,1641,3542,2081,1787,2120,3224,1452,823,1790072,41.031389,-91.944722,1131,80.3,,,,9.91,12.07,22.84,10.34,38.35,,35.34,,-3.205556,-5.433333,-0.583333,0.0,-4.316667,92.188264
US_IA_19101,2020-01-29,ChIJq-a0k-Bl5ocRYjgQyXBEarY,Q183135,geoId/19101,US,United States of America,IA,Iowa,19101,Jefferson County,US,USA,2,,,,,,,18219,9994,8225,1549,1641,3542,2081,1787,2120,3224,1452,823,1790072,41.031389,-91.944722,1131,80.3,,,6.59,,13.18,19.77,7.91,31.18,,35.14,,-5.077778,-6.15,-2.844444,0.0,-6.166667,91.965435
US_IA_19101,2020-01-30,ChIJq-a0k-Bl5ocRYjgQyXBEarY,Q183135,geoId/19101,US,United States of America,IA,Iowa,19101,Jefferson County,US,USA,2,,,,,,,18219,9994,8225,1549,1641,3542,2081,1787,2120,3224,1452,823,1790072,41.031389,-91.944722,1131,80.3,,,,9.49,6.9,29.77,,31.06,,31.5,7.77,-3.072222,-4.644444,-0.694444,0.0508,-4.7,88.694994
US_IA_19101,2020-01-31,ChIJq-a0k-Bl5ocRYjgQyXBEarY,Q183135,geoId/19101,US,United States of America,IA,Iowa,19101,Jefferson County,US,USA,2,,,,,,,18219,9994,8225,1549,1641,3542,2081,1787,2120,3224,1452,823,1790072,41.031389,-91.944722,1131,80.3,,,8.96,8.96,9.96,28.87,7.96,37.83,9.96,35.34,,-0.594444,-3.527778,2.5,0.0,-2.055556,89.457151
US_IA_19101,2020-02-01,ChIJq-a0k-Bl5ocRYjgQyXBEarY,Q183135,geoId/19101,US,United States of America,IA,Iowa,19101,Jefferson County,US,USA,2,,,,,,,18219,9994,8225,1549,1641,3542,2081,1787,2120,3224,1452,823,1790072,41.031389,-91.944722,1131,80.3,,,,8.9,10.01,20.58,,24.48,,31.15,,1.7,1.011111,3.388889,0.211667,0.361111,90.930396
US_IA_19101,2020-02-02,ChIJq-a0k-Bl5ocRYjgQyXBEarY,Q183135,geoId/19101,US,United States of America,IA,Iowa,19101,Jefferson County,US,USA,2,,,,,,,18219,9994,8225,1549,1641,3542,2081,1787,2120,3224,1452,823,1790072,41.031389,-91.944722,1131,80.3,,,,11.03,9.38,20.96,8.83,25.93,,36.96,,5.955556,2.005556,13.572222,0.0,0.544444,68.417309
