location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MI_26009,2020-01-26,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,5.87,9.78,8.22,9.39,5.87,7.83,20.74,9.78,7.04,,,,29.35,,7.44,5.87,34.83,10.18,8.22,0.544444,-0.622222,2.45,0.465667,129.54,-0.680556,91.325657
US_MI_26009,2020-01-27,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,6.99,8.39,,6.99,6.29,17.83,8.04,8.39,5.59,,8.74,27.28,9.44,,5.25,41.26,5.59,,-0.494444,-1.288889,0.85,0.362857,99.06,-2.5625,85.59088
US_MI_26009,2020-01-28,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,,8.43,,,,16.5,9.9,5.5,5.87,5.87,6.97,28.6,8.43,,8.43,33.36,5.13,,-2.188889,-3.194444,0.194444,0.108857,99.06,-4.777778,82.223883
US_MI_26009,2020-01-29,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,,6.58,6.95,6.58,,24.51,10.97,6.95,,,12.07,39.5,8.41,,5.12,31.09,10.97,,-3.65,-4.772222,-2.022222,0.0635,99.06,-6.319444,81.391026
US_MI_26009,2020-01-30,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,8.46,,8.09,,,22.79,10.29,6.25,6.62,,8.46,34.92,,6.62,8.09,32.72,,,-2.394444,-3.861111,-0.866667,0.0,99.06,-5.354167,79.56134
US_MI_26009,2020-01-31,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,5.16,7.74,8.11,,,33.16,11.79,7.0,,,,34.26,8.47,,,30.95,,,-1.155556,-2.783333,0.133333,0.042333,99.06,-3.125,85.899114
US_MI_26009,2020-02-01,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,6.91,,8.94,,6.5,,23.57,7.72,,,,7.32,33.32,6.1,6.5,,32.92,,,0.366667,-1.238889,1.5,0.254,99.06,-1.291667,88.162038
US_MI_26009,2020-02-02,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,6.33,9.88,7.51,,,28.07,9.88,7.12,,8.3,,24.51,9.09,,,38.74,,,0.838889,-0.766667,2.45,1.947333,78.74,-0.979167,87.63375
US_MI_26009,2020-02-03,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,5.85,8.04,5.48,8.41,7.31,19.01,11.7,6.94,,,6.94,30.34,,7.31,5.12,40.57,6.21,5.12,1.238889,-2.511111,3.133333,0.508,78.74,-2.263889,77.78753
US_MI_26009,2020-02-04,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,5.9,11.8,7.38,,6.27,21.77,5.53,7.01,6.64,7.01,6.64,28.41,6.27,5.53,5.17,36.15,9.22,,-2.216667,-6.522222,2.327778,0.0,78.74,-7.069444,69.55779
US_MI_26009,2020-02-05,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,5.46,9.83,6.92,,,18.21,9.1,10.92,,6.55,8.01,28.04,6.55,5.46,6.55,37.51,5.46,6.19,-6.566667,-10.283333,-2.516667,0.0,50.8,-11.895833,65.365492
US_MI_26009,2020-02-06,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,8.58,9.29,7.15,6.43,8.93,10.72,18.94,6.43,7.15,,7.5,,33.23,,,9.29,39.66,6.43,5.72,-5.394444,-9.983333,-1.383333,0.0,50.8,-9.638889,72.362897
US_MI_26009,2020-02-07,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,5.13,5.87,8.43,10.27,,5.13,13.57,6.97,,,6.6,9.53,24.2,,5.5,5.5,33.36,8.43,9.17,-4.994444,-8.85,-1.805556,0.084667,50.8,-8.006944,81.012406
US_MI_26009,2020-02-08,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,8.31,7.48,,,,21.2,7.07,,,6.65,,20.78,,7.9,,34.91,,,-10.438889,-16.25,-4.45,0.084667,78.74,-14.875,71.307349
US_MI_26009,2020-02-09,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,10.15,10.96,,6.9,,15.84,10.15,8.53,8.93,,6.5,19.49,,,,37.76,,6.5,-4.288889,-7.838889,-1.616667,0.042333,129.54,-7.701389,76.652351
US_MI_26009,2020-02-10,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,,7.8,5.32,6.39,,19.16,8.16,8.87,,7.1,7.45,28.03,4.97,10.64,5.68,28.03,9.58,,-3.261111,-9.327778,-0.061111,5.884333,129.54,-5.75,83.69904
US_MI_26009,2020-02-11,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,5.78,9.75,8.3,7.58,,13.36,8.67,7.22,,5.05,7.58,30.33,6.86,5.05,6.14,36.11,7.58,,-4.027778,-9.111111,-0.583333,0.296333,129.54,-6.909722,81.092637
US_MI_26009,2020-02-12,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,5.0,9.28,7.14,6.07,6.78,12.13,6.42,10.35,,,,18.2,6.78,7.14,9.28,32.83,,6.78,-1.161111,-5.072222,3.222222,0.0254,129.54,-6.152778,68.519482
US_MI_26009,2020-02-13,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,5.06,8.32,10.85,5.79,6.51,13.02,6.87,10.13,7.59,5.06,7.59,20.98,5.79,,,31.46,6.87,6.15,-9.555556,-15.266667,1.894444,0.762,200.66,-13.569444,73.357287
US_MI_26009,2020-02-14,ChIJE0nogdy5Sk0RYk2OtEXN7lI,Q490807,geoId/26009,US,United States of America,MI,Michigan,26009,Antrim County,US,USA,2,,,,,,,23270,11594,11676,2124,2531,2201,2145,2281,3681,4100,2759,1448,1907306,45.01,-85.18,1559,80.071429,,,,,,,6.7,,7.76,,12.7,8.47,6.0,,5.29,5.29,21.87,,,,33.87,,,-12.272222,-17.344444,-6.5,0.635,180.34,-17.076389,67.949094
