location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MS_28107,2020-02-15,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,15,4,26,-3,,6.08,9.8,,,,10.81,9.46,7.43,19.6,5.41,5.07,32.77,,5.07,3.338889,-3.044444,14.038889,0.0,,-4.191358,57.656827
US_MS_28107,2020-02-16,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,7,2,0,1,,4.91,10.15,7.86,4.91,,16.05,8.84,9.82,20.63,6.22,6.22,40.28,,6.55,10.783951,7.925926,14.135802,0.108857,,4.527778,65.368173
US_MS_28107,2020-02-17,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,0,-1,-7,-12,,6.53,8.52,8.23,4.83,5.68,15.33,9.37,10.22,27.25,6.24,5.68,35.48,4.26,5.96,10.419753,5.740741,15.740741,0.03175,,9.020833,89.257911
US_MS_28107,2020-02-18,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,-5,-5,5,5,,,10.06,4.53,4.28,4.53,15.59,8.05,7.04,27.91,4.53,7.04,36.96,7.29,5.28,13.9,7.672222,17.488889,1.778,,13.061728,94.588946
US_MS_28107,2020-02-19,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,-3,-2,0,0,,,7.09,9.19,5.51,5.78,18.11,6.56,10.5,28.09,7.88,,32.03,5.78,4.2,6.755556,3.716667,12.633333,15.24,,3.030864,77.01301
US_MS_28107,2020-02-20,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,-7,-10,1,2,,4.88,9.24,7.44,4.62,4.88,14.89,8.21,8.21,20.79,7.44,8.47,32.34,3.85,4.11,5.705556,2.4,9.505556,6.180667,,1.845679,76.2405
US_MS_28107,2020-02-21,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,1,-7,12,0,,,6.75,,5.13,4.86,13.77,7.29,7.29,21.59,7.29,5.4,25.91,,5.94,1.088889,-3.488889,6.388889,4.6482,,-5.290123,62.349844
US_MS_28107,2020-02-22,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,3,0,17,2,,,7.62,,,,12.47,8.32,5.54,18.02,,7.28,28.07,5.54,7.28,2.25,-4.416667,11.45,0.0,,-4.018519,62.62818
US_MS_28107,2020-02-23,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,2,-4,-5,4,,6.91,7.89,5.59,,5.92,16.11,9.21,8.22,22.69,,9.54,32.22,5.92,5.26,7.161111,2.922222,11.661111,0.0,,2.141975,69.67888
US_MS_28107,2020-02-24,ChIJNSJSZuIEgIgR3xHhJLfk-R4,Q490272,geoId/28107,US,United States of America,MS,Mississippi,28107,Panola County,US,USA,2,,,,,,,34158,16461,17697,4789,4604,4629,4053,4003,4609,4005,2282,1184,1833645,34.36,-89.95,1826,73.266667,0,-6,4,2,,5.58,10.37,6.38,4.25,5.32,15.68,8.77,9.3,22.86,3.99,7.44,36.15,4.79,7.44,10.383333,7.255556,16.472222,5.334,,9.648148,94.079082
