location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_SC_45071,2020-01-21,ChIJUdsGeYf_V4gR5Ws7BcpfzZM,Q515177,geoId/45071,US,United States of America,SC,South Carolina,45071,Newberry County,US,USA,2,,,,,,,38381,18725,19656,4667,5019,4867,3998,4456,5300,5205,3221,1648,2532518,34.29,-81.6,1676,77.3875,,,,,,,10.59,,10.29,10.0,5.0,,5.59,22.94,7.94,5.0,6.47,,8.53,5.29,,8.24,11.18,37.06,7.65,6.77,6.18,8.24,9.41,43.83,5.29,10.29,7.65,5.0,4.71,-0.094444,-3.261111,4.244444,0.0,,-9.246914,50.655285
US_SC_45071,2020-01-22,ChIJUdsGeYf_V4gR5Ws7BcpfzZM,Q515177,geoId/45071,US,United States of America,SC,South Carolina,45071,Newberry County,US,USA,2,,,,,,,38381,18725,19656,4667,5019,4867,3998,4456,5300,5205,3221,1648,2532518,34.29,-81.6,1676,77.3875,,,,,,4.3,8.02,,12.03,8.02,6.02,6.59,8.31,19.48,9.45,4.01,8.02,6.02,5.44,4.3,6.02,7.16,8.6,34.66,7.16,7.45,,11.46,8.88,46.12,4.01,9.74,,,6.3,1.088889,-4.361111,8.822222,0.0,,-10.296296,43.01246
US_SC_45071,2020-01-23,ChIJUdsGeYf_V4gR5Ws7BcpfzZM,Q515177,geoId/45071,US,United States of America,SC,South Carolina,45071,Newberry County,US,USA,2,,,,,,,38381,18725,19656,4667,5019,4867,3998,4456,5300,5205,3221,1648,2532518,34.29,-81.6,1676,77.3875,,,,,,4.96,9.34,,15.47,8.76,8.47,6.71,5.84,22.19,11.09,,13.43,,7.01,,,6.42,11.97,33.86,8.17,11.09,4.67,7.88,,45.83,7.59,11.97,,4.96,5.25,3.672222,-1.233333,10.122222,0.0,,-5.598765,51.237316
US_SC_45071,2020-01-24,ChIJUdsGeYf_V4gR5Ws7BcpfzZM,Q515177,geoId/45071,US,United States of America,SC,South Carolina,45071,Newberry County,US,USA,2,,,,,,,38381,18725,19656,4667,5019,4867,3998,4456,5300,5205,3221,1648,2532518,34.29,-81.6,1676,77.3875,,,,,,,9.23,,13.56,7.5,5.77,4.33,5.19,24.24,9.81,,10.68,,4.91,,6.64,4.04,8.37,34.91,7.21,6.06,5.19,,,48.18,4.33,7.21,9.23,5.77,,8.416667,3.644444,14.077778,1.8288,,5.160494,81.026075
US_SC_45071,2020-01-25,ChIJUdsGeYf_V4gR5Ws7BcpfzZM,Q515177,geoId/45071,US,United States of America,SC,South Carolina,45071,Newberry County,US,USA,2,,,,,,,38381,18725,19656,4667,5019,4867,3998,4456,5300,5205,3221,1648,2532518,34.29,-81.6,1676,77.3875,,,,,,,7.6,,9.5,6.02,,,4.43,22.17,9.5,,7.28,6.02,5.38,6.33,,5.07,11.08,32.62,,4.75,,,4.75,35.47,,6.97,5.07,4.75,5.07,8.4,4.766667,13.122222,9.821333,,5.364198,82.158542
US_SC_45071,2020-01-26,ChIJUdsGeYf_V4gR5Ws7BcpfzZM,Q515177,geoId/45071,US,United States of America,SC,South Carolina,45071,Newberry County,US,USA,2,,,,,,,38381,18725,19656,4667,5019,4867,3998,4456,5300,5205,3221,1648,2532518,34.29,-81.6,1676,77.3875,,,,,,7.16,9.84,,10.44,6.86,5.07,6.26,,26.25,11.34,4.77,10.14,,7.46,,4.77,4.47,8.35,28.93,5.97,8.95,4.18,6.26,5.67,40.87,4.77,5.97,5.97,4.47,5.37,5.777778,0.05,12.905556,0.0,,-0.061728,67.112235
US_SC_45071,2020-01-27,ChIJUdsGeYf_V4gR5Ws7BcpfzZM,Q515177,geoId/45071,US,United States of America,SC,South Carolina,45071,Newberry County,US,USA,2,,,,,,,38381,18725,19656,4667,5019,4867,3998,4456,5300,5205,3221,1648,2532518,34.29,-81.6,1676,77.3875,,,,,,7.19,8.3,6.09,12.45,9.68,5.53,6.09,,29.88,9.13,5.81,9.96,4.7,5.81,5.53,4.43,4.15,8.3,40.95,,6.36,6.09,5.81,9.13,47.86,8.02,7.75,6.92,,7.75,9.194444,4.694444,14.388889,0.0,,3.345679,67.771291
US_SC_45071,2020-01-28,ChIJUdsGeYf_V4gR5Ws7BcpfzZM,Q515177,geoId/45071,US,United States of America,SC,South Carolina,45071,Newberry County,US,USA,2,,,,,,,38381,18725,19656,4667,5019,4867,3998,4456,5300,5205,3221,1648,2532518,34.29,-81.6,1676,77.3875,,,,,,7.46,4.88,5.16,12.33,7.46,10.04,6.31,5.16,26.68,10.33,6.31,9.75,4.88,4.88,,5.45,4.88,7.74,32.41,5.16,8.89,,7.46,6.88,46.47,4.88,7.17,,4.88,,7.738889,0.711111,14.561111,0.0635,,1.734568,66.875174
US_SC_45071,2020-01-29,ChIJUdsGeYf_V4gR5Ws7BcpfzZM,Q515177,geoId/45071,US,United States of America,SC,South Carolina,45071,Newberry County,US,USA,2,,,,,,,38381,18725,19656,4667,5019,4867,3998,4456,5300,5205,3221,1648,2532518,34.29,-81.6,1676,77.3875,,,,,,9.22,10.37,4.9,8.93,10.08,6.63,,5.47,29.38,11.23,5.47,7.49,5.76,,6.34,7.49,,12.68,37.74,5.47,8.07,4.9,4.61,4.9,46.09,6.63,14.12,,,6.91,5.533333,0.433333,11.616667,0.0,,1.265432,75.053184
US_SC_45071,2020-01-30,ChIJUdsGeYf_V4gR5Ws7BcpfzZM,Q515177,geoId/45071,US,United States of America,SC,South Carolina,45071,Newberry County,US,USA,2,,,,,,,38381,18725,19656,4667,5019,4867,3998,4456,5300,5205,3221,1648,2532518,34.29,-81.6,1676,77.3875,,,,,,6.04,10.64,,12.37,9.2,6.04,5.46,4.03,37.97,10.93,4.03,9.49,4.6,6.33,8.63,7.19,5.75,8.63,37.1,7.48,9.49,6.04,,,48.03,,9.78,7.77,4.6,6.04,7.538889,1.5,12.516667,0.0,,2.697531,72.348006
