location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_AL_01001,2020-01-19,ChIJg9z7ewWPjogRA_8QrB0va7o,Q156168,geoId/01001,US,United States of America,AL,Alabama,01001,Autauga County,US,USA,2,,,,,,,55390,27010,28380,6839,7670,6939,7075,7589,7840,5688,3861,1889,1848758,32.536667,-86.648333,1540,75.32,,,,,,,4.58,6.47,3.77,7.41,5.66,4.31,,2.29,4.45,3.37,,2.96,13.07,3.5,6.07,3.64,3.64,2.7,5.79,2.96,2.83,3.77,2.29,3.5,3.5,4.04,2.7,5.53,15.37,3.5,,6.2,1.89,5.26,4.18,,4.04,36.39,2.96,4.58,,4.31,3.37,5.39,2.02,2.7,5.12,2.43,10.961111,4.694444,16.611111,5.334,2.685185,56.324052
US_AL_01001,2020-01-20,ChIJg9z7ewWPjogRA_8QrB0va7o,Q156168,geoId/01001,US,United States of America,AL,Alabama,01001,Autauga County,US,USA,2,,,,,,,55390,27010,28380,6839,7670,6939,7075,7589,7840,5688,3861,1889,1848758,32.536667,-86.648333,1540,75.32,,,,,,2.29,5.64,6.59,2.15,9.01,6.18,3.5,2.02,2.82,4.7,4.84,2.29,1.88,11.69,3.23,7.66,3.36,1.88,2.15,7.39,3.36,3.09,3.09,2.55,3.63,4.17,3.36,4.44,6.45,18.82,2.15,2.15,4.7,2.69,3.5,3.09,2.69,5.24,38.84,4.03,3.23,2.96,3.09,4.84,4.03,1.88,2.15,3.5,2.55,2.422222,-2.033333,8.033333,2.7686,-7.759259,46.637721
US_AL_01001,2020-01-21,ChIJg9z7ewWPjogRA_8QrB0va7o,Q156168,geoId/01001,US,United States of America,AL,Alabama,01001,Autauga County,US,USA,2,,,,,,,55390,27010,28380,6839,7670,6939,7075,7589,7840,5688,3861,1889,1848758,32.536667,-86.648333,1540,75.32,,,,,,2.54,5.21,5.88,2.4,7.75,8.41,5.48,2.81,3.87,5.74,4.01,2.94,3.21,14.83,2.4,6.95,2.54,5.48,2.27,8.01,3.47,2.67,4.27,4.41,4.14,3.61,4.67,4.81,7.21,22.17,4.54,,6.81,4.41,4.27,5.48,4.01,4.67,43.28,3.87,5.21,3.07,3.21,3.74,3.61,4.81,3.74,3.47,3.07,-0.305556,-4.688889,5.955556,0.0,-8.342593,53.672869
US_AL_01001,2020-01-22,ChIJg9z7ewWPjogRA_8QrB0va7o,Q156168,geoId/01001,US,United States of America,AL,Alabama,01001,Autauga County,US,USA,2,,,,,,,55390,27010,28380,6839,7670,6939,7075,7589,7840,5688,3861,1889,1848758,32.536667,-86.648333,1540,75.32,,,,,,,5.01,8.53,3.38,10.15,8.53,5.01,2.17,4.74,5.96,6.36,2.71,3.79,16.51,3.38,6.09,3.65,5.82,,6.9,3.25,2.98,4.74,5.14,,3.25,3.79,2.44,9.47,21.25,4.87,2.57,5.41,1.9,4.2,6.09,2.71,5.68,42.63,3.92,5.14,,5.28,4.6,4.74,2.84,,4.2,,1.45,-5.066667,10.305556,0.0,-7.87963,48.159753
US_AL_01001,2020-01-23,ChIJg9z7ewWPjogRA_8QrB0va7o,Q156168,geoId/01001,US,United States of America,AL,Alabama,01001,Autauga County,US,USA,2,,,,,,,55390,27010,28380,6839,7670,6939,7075,7589,7840,5688,3861,1889,1848758,32.536667,-86.648333,1540,75.32,,,,,,3.2,5.07,7.33,2.8,9.6,7.33,5.47,,4.8,3.87,4.13,,,15.34,3.07,7.2,2.67,5.6,,7.07,3.73,2.8,4.54,3.33,3.6,3.33,4.0,,9.07,18.94,4.93,2.4,4.27,,4.8,4.4,4.8,4.54,41.21,3.47,4.54,1.87,4.54,5.6,4.8,2.53,4.27,2.27,2.67,6.2,2.544444,8.905556,0.874889,-0.12037,62.400456
US_AL_01001,2020-01-24,ChIJg9z7ewWPjogRA_8QrB0va7o,Q156168,geoId/01001,US,United States of America,AL,Alabama,01001,Autauga County,US,USA,2,,,,,,,55390,27010,28380,6839,7670,6939,7075,7589,7840,5688,3861,1889,1848758,32.536667,-86.648333,1540,75.32,,,,,,2.83,5.0,7.02,3.51,8.23,5.54,4.05,2.02,2.56,5.94,3.65,3.24,2.56,16.74,,7.15,4.32,3.38,1.89,6.34,2.16,,5.13,3.65,3.51,2.97,4.05,2.43,8.23,25.51,5.8,3.24,6.07,,4.18,2.16,1.89,5.4,38.47,3.24,5.94,,5.8,,5.0,,3.38,3.51,2.97,11.183333,7.333333,15.627778,20.178889,7.851852,78.771863
US_AL_01001,2020-01-25,ChIJg9z7ewWPjogRA_8QrB0va7o,Q156168,geoId/01001,US,United States of America,AL,Alabama,01001,Autauga County,US,USA,2,,,,,,,55390,27010,28380,6839,7670,6939,7075,7589,7840,5688,3861,1889,1848758,32.536667,-86.648333,1540,75.32,,,,,,2.08,2.91,8.88,3.33,8.74,5.69,4.72,1.94,2.22,3.33,3.88,,2.64,15.81,3.61,7.21,2.91,,,4.86,2.64,,6.1,5.69,4.58,4.86,3.19,3.75,6.1,23.72,5.96,3.05,7.35,4.3,3.88,2.5,,3.19,34.54,3.19,5.13,,4.44,2.91,3.61,1.94,3.05,2.77,2.36,6.616667,0.05,13.388889,0.9398,1.101852,66.3551
US_AL_01001,2020-01-26,ChIJg9z7ewWPjogRA_8QrB0va7o,Q156168,geoId/01001,US,United States of America,AL,Alabama,01001,Autauga County,US,USA,2,,,,,,,55390,27010,28380,6839,7670,6939,7075,7589,7840,5688,3861,1889,1848758,32.536667,-86.648333,1540,75.32,,,,,,2.36,3.1,7.19,,9.3,2.98,3.72,2.98,3.23,5.71,4.46,2.11,3.72,22.2,2.98,9.92,2.48,4.22,2.6,5.95,3.1,2.98,4.59,4.96,3.47,3.35,4.46,3.35,6.2,22.08,3.85,2.85,5.95,2.73,4.34,4.71,2.98,3.35,32.12,4.22,5.08,,5.95,,2.73,3.6,3.6,2.98,,6.111111,0.811111,11.844444,0.0,2.37963,76.243968
US_AL_01001,2020-01-27,ChIJg9z7ewWPjogRA_8QrB0va7o,Q156168,geoId/01001,US,United States of America,AL,Alabama,01001,Autauga County,US,USA,2,,,,,,,55390,27010,28380,6839,7670,6939,7075,7589,7840,5688,3861,1889,1848758,32.536667,-86.648333,1540,75.32,,,,,,2.37,5.13,6.44,2.1,9.46,6.18,4.6,2.63,2.5,6.44,2.76,,4.08,24.45,2.37,11.3,3.15,4.6,2.76,7.89,4.34,2.1,6.31,5.78,4.08,2.37,5.0,2.89,9.46,29.57,2.63,2.63,7.1,4.08,1.84,5.39,,5.13,44.3,5.0,5.92,,4.34,4.47,5.0,3.15,2.63,3.42,,9.611111,6.088889,14.083333,1.044222,7.018519,82.583179
US_AL_01001,2020-01-28,ChIJg9z7ewWPjogRA_8QrB0va7o,Q156168,geoId/01001,US,United States of America,AL,Alabama,01001,Autauga County,US,USA,2,,,,,,,55390,27010,28380,6839,7670,6939,7075,7589,7840,5688,3861,1889,1848758,32.536667,-86.648333,1540,75.32,,,,,,,3.34,5.62,4.68,9.36,8.29,4.15,1.87,3.61,5.08,3.88,2.27,2.27,23.8,2.54,9.9,2.81,3.88,2.54,7.49,2.67,,4.68,7.22,3.88,3.88,3.08,,7.22,31.43,6.55,3.34,4.68,2.94,6.15,4.28,3.34,4.55,41.05,2.54,10.43,2.81,4.41,3.61,4.68,2.01,2.14,,,7.761111,0.938889,17.433333,0.141111,2.37963,67.906291
US_AL_01001,2020-01-29,ChIJg9z7ewWPjogRA_8QrB0va7o,Q156168,geoId/01001,US,United States of America,AL,Alabama,01001,Autauga County,US,USA,2,,,,,,,55390,27010,28380,6839,7670,6939,7075,7589,7840,5688,3861,1889,1848758,32.536667,-86.648333,1540,75.32,,,,,,,4.12,7.35,3.35,11.47,7.22,3.61,2.83,2.96,5.41,3.09,,,23.84,2.32,8.25,2.58,3.09,2.19,9.41,3.35,,4.9,4.12,4.77,3.35,3.35,2.58,7.86,31.57,4.64,3.48,5.54,2.19,5.03,3.09,2.45,6.19,43.69,4.51,8.38,2.06,3.61,5.03,5.03,2.19,2.71,1.8,,8.488889,4.611111,14.061111,0.423333,3.805556,72.581086
US_AL_01001,2020-01-30,ChIJg9z7ewWPjogRA_8QrB0va7o,Q156168,geoId/01001,US,United States of America,AL,Alabama,01001,Autauga County,US,USA,2,,,,,,,55390,27010,28380,6839,7670,6939,7075,7589,7840,5688,3861,1889,1848758,32.536667,-86.648333,1540,75.32,,,,,,1.97,3.94,6.04,3.28,8.93,7.75,3.15,2.89,3.94,4.6,2.5,,2.89,25.08,3.15,7.49,1.84,3.55,,8.93,4.6,2.63,4.33,5.25,1.84,1.97,3.68,2.89,8.14,31.39,5.65,3.02,6.7,3.02,3.68,3.68,3.02,3.68,41.5,3.28,6.7,,4.6,5.25,5.25,2.36,3.41,3.68,,7.583333,0.644444,16.477778,4.3688,3.537037,72.994213
US_AL_01001,2020-01-31,ChIJg9z7ewWPjogRA_8QrB0va7o,Q156168,geoId/01001,US,United States of America,AL,Alabama,01001,Autauga County,US,USA,2,,,,,,,55390,27010,28380,6839,7670,6939,7075,7589,7840,5688,3861,1889,1848758,32.536667,-86.648333,1540,75.32,,,,,,,3.25,5.08,2.6,8.46,8.46,3.12,3.65,2.73,4.95,2.21,2.99,,28.25,3.52,8.85,1.82,3.65,,6.9,3.9,2.34,5.47,5.86,2.86,3.38,3.77,,5.86,28.77,5.34,3.38,4.56,1.95,2.73,3.52,,6.12,36.45,3.25,5.47,2.21,4.56,3.25,4.56,1.82,2.86,3.12,2.21,9.188889,5.394444,13.755556,0.1016,5.861111,78.383452
US_AL_01001,2020-02-01,ChIJg9z7ewWPjogRA_8QrB0va7o,Q156168,geoId/01001,US,United States of America,AL,Alabama,01001,Autauga County,US,USA,2,,,,,,,55390,27010,28380,6839,7670,6939,7075,7589,7840,5688,3861,1889,1848758,32.536667,-86.648333,1540,75.32,,,,,,1.92,2.88,4.67,3.16,7.0,5.91,4.12,,1.92,4.67,2.2,2.2,3.02,24.86,3.71,10.71,2.88,3.16,,6.04,2.2,,4.12,5.22,3.43,3.57,3.85,2.88,7.83,24.44,5.91,2.06,6.73,2.2,2.47,3.85,,2.33,36.39,4.53,5.91,2.06,4.94,3.43,3.57,3.57,2.61,2.06,,8.916667,7.361111,11.511111,0.056444,6.046296,81.488675
US_AL_01001,2020-02-02,ChIJg9z7ewWPjogRA_8QrB0va7o,Q156168,geoId/01001,US,United States of America,AL,Alabama,01001,Autauga County,US,USA,2,,,,,,,55390,27010,28380,6839,7670,6939,7075,7589,7840,5688,3861,1889,1848758,32.536667,-86.648333,1540,75.32,,,,,,,4.3,5.47,3.78,8.85,6.64,3.25,2.6,2.08,3.12,1.95,2.6,2.86,21.35,2.6,10.81,,3.25,,6.25,3.0,2.08,3.25,6.12,4.69,3.0,3.91,3.0,5.86,21.35,3.25,2.47,4.17,,3.38,2.6,2.21,3.25,31.12,2.73,5.99,1.82,4.17,2.08,3.52,2.08,,4.3,1.82,8.255556,-0.083333,19.716667,0.0508,1.425926,60.813175
