location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_VA_51001,2020-01-24,ChIJpbtHDybVu4kRP69jB_vuj1U,Q49289,geoId/51001,US,United States of America,VA,Virginia,51001,Accomack County,US,USA,2,,,,,,,32685,15920,16765,3812,3594,3339,3389,3472,4733,5226,3367,1753,1477365,37.76,-75.76,3393,76.8875,,,,,,8.3,11.32,6.04,,7.17,20.76,12.08,5.28,10.19,,,,6.42,32.08,8.68,7.92,,5.28,34.72,7.55,,6.520833,-0.076389,11.152778,0.0,,4.375,82.725327
US_VA_51001,2020-01-25,ChIJpbtHDybVu4kRP69jB_vuj1U,Q49289,geoId/51001,US,United States of America,VA,Virginia,51001,Accomack County,US,USA,2,,,,,,,32685,15920,16765,3812,3594,3339,3389,3472,4733,5226,3367,1753,1477365,37.76,-75.76,3393,76.8875,,,,,,,10.97,9.34,,6.09,22.75,6.5,,8.53,,,5.69,9.75,27.22,6.09,6.09,,6.91,38.19,,8.94,11.090278,7.958333,14.527778,2.721429,,9.388889,83.87723
US_VA_51001,2020-01-26,ChIJpbtHDybVu4kRP69jB_vuj1U,Q49289,geoId/51001,US,United States of America,VA,Virginia,51001,Accomack County,US,USA,2,,,,,,,32685,15920,16765,3812,3594,3339,3389,3472,4733,5226,3367,1753,1477365,37.76,-75.76,3393,76.8875,,,,,6.21,6.21,12.04,6.99,14.37,,29.13,5.44,,7.77,8.54,,,6.99,36.51,,6.6,,,46.6,6.99,7.77,6.881944,3.729167,11.666667,9.652,,2.527778,73.077681
US_VA_51001,2020-01-27,ChIJpbtHDybVu4kRP69jB_vuj1U,Q49289,geoId/51001,US,United States of America,VA,Virginia,51001,Accomack County,US,USA,2,,,,,,,32685,15920,16765,3812,3594,3339,3389,3472,4733,5226,3367,1753,1477365,37.76,-75.76,3393,76.8875,,,,,,7.3,14.94,9.96,4.98,5.31,23.9,,,11.28,6.97,4.98,4.65,9.62,36.18,7.3,5.64,,5.97,37.17,,6.64,6.041667,1.027778,10.291667,0.0,,-0.013889,65.2149
US_VA_51001,2020-01-28,ChIJpbtHDybVu4kRP69jB_vuj1U,Q49289,geoId/51001,US,United States of America,VA,Virginia,51001,Accomack County,US,USA,2,,,,,,,32685,15920,16765,3812,3594,3339,3389,3472,4733,5226,3367,1753,1477365,37.76,-75.76,3393,76.8875,,,,,,6.74,8.67,9.63,7.06,,15.73,8.03,5.78,8.99,6.42,4.82,4.5,5.78,27.93,,6.74,5.78,7.38,29.86,8.99,,5.875,1.819444,8.944444,0.0,,-1.069444,61.064045
US_VA_51001,2020-01-29,ChIJpbtHDybVu4kRP69jB_vuj1U,Q49289,geoId/51001,US,United States of America,VA,Virginia,51001,Accomack County,US,USA,2,,,,,,,32685,15920,16765,3812,3594,3339,3389,3472,4733,5226,3367,1753,1477365,37.76,-75.76,3393,76.8875,,,,,4.48,10.56,6.08,7.36,6.72,5.76,22.73,7.68,,12.8,5.12,5.44,5.44,12.48,34.89,4.48,5.12,5.44,,33.29,10.56,5.44,5.3125,1.979167,7.291667,0.0,,-2.652778,56.437364
US_VA_51001,2020-01-30,ChIJpbtHDybVu4kRP69jB_vuj1U,Q49289,geoId/51001,US,United States of America,VA,Virginia,51001,Accomack County,US,USA,2,,,,,,,32685,15920,16765,3812,3594,3339,3389,3472,4733,5226,3367,1753,1477365,37.76,-75.76,3393,76.8875,,,,,4.93,9.25,5.86,7.09,5.86,4.32,25.27,11.1,4.32,8.63,4.32,5.86,,10.48,38.52,6.16,6.78,,6.47,37.6,6.78,,2.118056,-1.881944,6.784722,0.0,,-3.555556,68.23039
US_VA_51001,2020-01-31,ChIJpbtHDybVu4kRP69jB_vuj1U,Q49289,geoId/51001,US,United States of America,VA,Virginia,51001,Accomack County,US,USA,2,,,,,,,32685,15920,16765,3812,3594,3339,3389,3472,4733,5226,3367,1753,1477365,37.76,-75.76,3393,76.8875,,,,,9.88,5.42,8.29,8.92,6.05,6.05,22.94,7.65,4.78,9.24,7.01,,,5.74,32.18,5.42,7.01,,,40.47,7.97,,4.388889,-0.368056,9.590278,0.0,,0.625,76.561741
US_VA_51001,2020-02-01,ChIJpbtHDybVu4kRP69jB_vuj1U,Q49289,geoId/51001,US,United States of America,VA,Virginia,51001,Accomack County,US,USA,2,,,,,,,32685,15920,16765,3812,3594,3339,3389,3472,4733,5226,3367,1753,1477365,37.76,-75.76,3393,76.8875,,,,,,,9.98,10.38,6.79,,21.56,5.99,,7.19,,,,5.59,25.55,7.19,10.38,5.59,,38.33,,10.78,6.548611,2.659722,10.0,1.923143,,4.208333,82.730392
US_VA_51001,2020-02-02,ChIJpbtHDybVu4kRP69jB_vuj1U,Q49289,geoId/51001,US,United States of America,VA,Virginia,51001,Accomack County,US,USA,2,,,,,,,32685,15920,16765,3812,3594,3339,3389,3472,4733,5226,3367,1753,1477365,37.76,-75.76,3393,76.8875,,,,,,8.44,9.97,,,,17.64,7.67,,6.14,5.75,,5.37,7.29,25.32,8.05,8.05,,6.52,37.97,5.37,,6.763889,3.618056,11.104167,0.943429,,2.944444,76.892615
US_VA_51001,2020-02-03,ChIJpbtHDybVu4kRP69jB_vuj1U,Q49289,geoId/51001,US,United States of America,VA,Virginia,51001,Accomack County,US,USA,2,,,,,,,32685,15920,16765,3812,3594,3339,3389,3472,4733,5226,3367,1753,1477365,37.76,-75.76,3393,76.8875,,,,,,6.56,8.86,10.83,5.25,5.58,17.72,8.2,7.22,8.53,,,5.25,5.25,30.84,5.25,7.55,4.59,,33.47,5.58,5.58,10.9375,6.465278,17.4375,0.09525,,1.916667,54.567328
US_VA_51001,2020-02-04,ChIJpbtHDybVu4kRP69jB_vuj1U,Q49289,geoId/51001,US,United States of America,VA,Virginia,51001,Accomack County,US,USA,2,,,,,,,32685,15920,16765,3812,3594,3339,3389,3472,4733,5226,3367,1753,1477365,37.76,-75.76,3393,76.8875,,,,,,9.49,11.39,10.76,7.59,6.01,17.4,12.02,6.01,8.86,5.06,,4.75,8.54,27.2,6.96,7.28,,4.43,40.81,,6.64,14.597222,10.451389,18.208333,0.0,,6.388889,56.332546
US_VA_51001,2020-02-05,ChIJpbtHDybVu4kRP69jB_vuj1U,Q49289,geoId/51001,US,United States of America,VA,Virginia,51001,Accomack County,US,USA,2,,,,,,,32685,15920,16765,3812,3594,3339,3389,3472,4733,5226,3367,1753,1477365,37.76,-75.76,3393,76.8875,,,,,,8.64,11.1,9.25,,7.09,16.96,8.64,7.4,8.33,5.55,,,4.32,22.82,6.17,5.24,,,33.0,,5.24,11.763889,5.541667,17.569444,0.34925,,7.222222,73.07876
US_VA_51001,2020-02-06,ChIJpbtHDybVu4kRP69jB_vuj1U,Q49289,geoId/51001,US,United States of America,VA,Virginia,51001,Accomack County,US,USA,2,,,,,,,32685,15920,16765,3812,3594,3339,3389,3472,4733,5226,3367,1753,1477365,37.76,-75.76,3393,76.8875,,,,,10.08,4.58,11.92,7.94,6.11,4.89,17.72,8.25,4.89,5.5,6.72,4.58,,8.25,24.75,7.03,8.25,,4.89,36.36,4.28,5.8,8.4375,5.451389,14.159722,2.88925,,7.972222,92.661778
US_VA_51001,2020-02-07,ChIJpbtHDybVu4kRP69jB_vuj1U,Q49289,geoId/51001,US,United States of America,VA,Virginia,51001,Accomack County,US,USA,2,,,,,,,32685,15920,16765,3812,3594,3339,3389,3472,4733,5226,3367,1753,1477365,37.76,-75.76,3393,76.8875,,,,,4.66,5.59,9.93,8.38,,5.9,20.48,7.76,,14.59,6.21,,4.34,6.21,20.48,,4.66,,,30.11,,4.34,12.451389,7.305556,16.520833,19.84375,,8.527778,73.616063
US_VA_51001,2020-02-08,ChIJpbtHDybVu4kRP69jB_vuj1U,Q49289,geoId/51001,US,United States of America,VA,Virginia,51001,Accomack County,US,USA,2,,,,,,,32685,15920,16765,3812,3594,3339,3389,3472,4733,5226,3367,1753,1477365,37.76,-75.76,3393,76.8875,,,,,5.69,6.82,10.99,10.99,6.07,,14.79,,,7.58,,,,9.1,25.78,6.45,8.72,,,35.26,8.72,,4.590278,1.548611,7.833333,5.334,,-5.986111,45.906844
US_VA_51001,2020-02-09,ChIJpbtHDybVu4kRP69jB_vuj1U,Q49289,geoId/51001,US,United States of America,VA,Virginia,51001,Accomack County,US,USA,2,,,,,,,32685,15920,16765,3812,3594,3339,3389,3472,4733,5226,3367,1753,1477365,37.76,-75.76,3393,76.8875,,,,,6.96,,6.96,5.91,,6.96,18.43,8.0,,6.26,,4.87,4.87,,28.52,6.96,,4.87,9.74,40.0,,6.26,4.472222,-0.048611,9.381944,0.0,,-1.361111,67.477451
US_VA_51001,2020-02-10,ChIJpbtHDybVu4kRP69jB_vuj1U,Q49289,geoId/51001,US,United States of America,VA,Virginia,51001,Accomack County,US,USA,2,,,,,,,32685,15920,16765,3812,3594,3339,3389,3472,4733,5226,3367,1753,1477365,37.76,-75.76,3393,76.8875,,,,,,,9.47,10.38,9.47,7.94,17.71,15.27,6.11,7.02,6.11,8.24,4.28,7.02,28.7,5.5,6.11,5.19,8.24,42.75,,4.58,8.611111,1.930556,14.375,0.0,,3.097222,68.002118
US_VA_51001,2020-02-11,ChIJpbtHDybVu4kRP69jB_vuj1U,Q49289,geoId/51001,US,United States of America,VA,Virginia,51001,Accomack County,US,USA,2,,,,,,,32685,15920,16765,3812,3594,3339,3389,3472,4733,5226,3367,1753,1477365,37.76,-75.76,3393,76.8875,,,,,5.17,6.38,13.07,7.9,5.17,6.08,21.27,11.24,,13.37,4.86,5.77,5.47,6.08,28.87,6.38,8.81,8.81,,40.42,6.38,6.08,13.402778,7.409722,16.125,2.8575,,12.75,93.211804
US_VA_51001,2020-02-12,ChIJpbtHDybVu4kRP69jB_vuj1U,Q49289,geoId/51001,US,United States of America,VA,Virginia,51001,Accomack County,US,USA,2,,,,,,,32685,15920,16765,3812,3594,3339,3389,3472,4733,5226,3367,1753,1477365,37.76,-75.76,3393,76.8875,,,,,,5.32,12.2,5.95,,5.95,15.33,9.7,,8.76,5.32,6.88,,6.57,24.72,9.39,10.01,,4.69,38.8,6.26,5.01,9.125,6.951389,14.4375,16.1925,,2.930556,64.087725
