location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_AR_05015,2020-01-21,ChIJl3hv9Ly4zocRU59xTL7PAkU,Q61216,geoId/05015,US,United States of America,AR,Arkansas,05015,Carroll County,US,USA,2,,,,,,,27865,13804,14061,3278,3440,2897,2899,3071,3809,4342,2805,1324,1818402,36.368056,-93.496389,1655,76.96,,,,,,8.95,11.56,8.21,,19.4,7.83,11.56,5.22,11.19,11.56,34.32,7.09,5.22,7.09,40.66,6.71,7.83,-2.622222,-7.288889,4.161111,0.0,,-7.405556,69.850435
US_AR_05015,2020-01-22,ChIJl3hv9Ly4zocRU59xTL7PAkU,Q61216,geoId/05015,US,United States of America,AR,Arkansas,05015,Carroll County,US,USA,2,,,,,,,27865,13804,14061,3278,3440,2897,2899,3071,3809,4342,2805,1324,1818402,36.368056,-93.496389,1655,76.96,,,,,,10.26,9.53,5.5,5.87,17.96,6.6,11.73,6.23,6.6,11.0,28.96,7.7,,,39.95,5.13,8.43,-0.022222,-1.638889,1.716667,0.145143,,-3.416667,78.001104
US_AR_05015,2020-01-23,ChIJl3hv9Ly4zocRU59xTL7PAkU,Q61216,geoId/05015,US,United States of America,AR,Arkansas,05015,Carroll County,US,USA,2,,,,,,,27865,13804,14061,3278,3440,2897,2899,3071,3809,4342,2805,1324,1818402,36.368056,-93.496389,1655,76.96,,,,,6.93,13.13,10.94,,,18.96,9.12,9.12,6.93,5.83,7.66,31.73,6.2,7.29,,27.72,9.12,,2.1,1.216667,3.916667,5.696857,,1.6,96.567205
US_AR_05015,2020-01-24,ChIJl3hv9Ly4zocRU59xTL7PAkU,Q61216,geoId/05015,US,United States of America,AR,Arkansas,05015,Carroll County,US,USA,2,,,,,,,27865,13804,14061,3278,3440,2897,2899,3071,3809,4342,2805,1324,1818402,36.368056,-93.496389,1655,76.96,,,,,6.12,8.64,7.92,6.84,7.2,28.43,7.92,14.04,,,8.64,38.15,7.2,7.2,,38.15,9.0,,1.327778,-0.1,3.894444,3.265714,,0.522222,94.518135
US_AR_05015,2020-01-25,ChIJl3hv9Ly4zocRU59xTL7PAkU,Q61216,geoId/05015,US,United States of America,AR,Arkansas,05015,Carroll County,US,USA,2,,,,,,,27865,13804,14061,3278,3440,2897,2899,3071,3809,4342,2805,1324,1818402,36.368056,-93.496389,1655,76.96,,,,,11.12,17.9,15.48,,,30.47,,9.19,,,10.16,33.86,9.67,10.16,,46.91,9.67,7.74,2.166667,-3.138889,9.961111,0.1524,,-1.611111,76.406439
US_AR_05015,2020-01-26,ChIJl3hv9Ly4zocRU59xTL7PAkU,Q61216,geoId/05015,US,United States of America,AR,Arkansas,05015,Carroll County,US,USA,2,,,,,,,27865,13804,14061,3278,3440,2897,2899,3071,3809,4342,2805,1324,1818402,36.368056,-93.496389,1655,76.96,,,,,15.39,9.14,10.1,,,29.34,10.1,13.95,,7.21,7.7,33.67,,7.7,,43.77,,10.1,7.127778,1.511111,13.244444,0.1524,,3.238889,76.358571
US_AR_05015,2020-01-27,ChIJl3hv9Ly4zocRU59xTL7PAkU,Q61216,geoId/05015,US,United States of America,AR,Arkansas,05015,Carroll County,US,USA,2,,,,,,,27865,13804,14061,3278,3440,2897,2899,3071,3809,4342,2805,1324,1818402,36.368056,-93.496389,1655,76.96,,,,,6.99,5.89,10.3,,,27.6,8.46,5.89,5.89,8.1,,39.38,,6.99,,36.06,5.52,7.36,6.805556,-0.911111,15.777778,0.2032,,2.083333,72.112405
US_AR_05015,2020-01-28,ChIJl3hv9Ly4zocRU59xTL7PAkU,Q61216,geoId/05015,US,United States of America,AR,Arkansas,05015,Carroll County,US,USA,2,,,,,,,27865,13804,14061,3278,3440,2897,2899,3071,3809,4342,2805,1324,1818402,36.368056,-93.496389,1655,76.96,,,,,10.9,12.41,7.52,5.26,6.77,37.22,8.27,13.91,,11.28,7.14,45.12,8.27,10.15,6.77,37.22,12.78,,4.016667,1.566667,10.094444,0.0,,2.394444,89.28156
US_AR_05015,2020-01-29,ChIJl3hv9Ly4zocRU59xTL7PAkU,Q61216,geoId/05015,US,United States of America,AR,Arkansas,05015,Carroll County,US,USA,2,,,,,,,27865,13804,14061,3278,3440,2897,2899,3071,3809,4342,2805,1324,1818402,36.368056,-93.496389,1655,76.96,,,,,8.41,10.6,12.8,,,39.49,8.04,,,7.68,10.24,57.04,8.41,,,35.83,21.94,5.49,2.638889,1.588889,3.927778,9.361714,,2.083333,96.213474
US_AR_05015,2020-01-30,ChIJl3hv9Ly4zocRU59xTL7PAkU,Q61216,geoId/05015,US,United States of America,AR,Arkansas,05015,Carroll County,US,USA,2,,,,,,,27865,13804,14061,3278,3440,2897,2899,3071,3809,4342,2805,1324,1818402,36.368056,-93.496389,1655,76.96,,,,,6.17,9.07,8.71,,5.08,48.27,17.78,9.8,5.44,10.16,11.61,45.0,6.89,10.52,9.07,36.65,7.98,,1.911111,0.677778,4.311111,1.397,,1.077778,94.317924
US_AR_05015,2020-01-31,ChIJl3hv9Ly4zocRU59xTL7PAkU,Q61216,geoId/05015,US,United States of America,AR,Arkansas,05015,Carroll County,US,USA,2,,,,,,,27865,13804,14061,3278,3440,2897,2899,3071,3809,4342,2805,1324,1818402,36.368056,-93.496389,1655,76.96,,,,,8.88,,9.99,6.66,9.62,34.06,12.22,11.11,,10.73,7.03,42.57,,,,40.35,7.77,7.03,4.077778,2.666667,7.083333,0.0,,2.338889,88.489409
US_AR_05015,2020-02-01,ChIJl3hv9Ly4zocRU59xTL7PAkU,Q61216,geoId/05015,US,United States of America,AR,Arkansas,05015,Carroll County,US,USA,2,,,,,,,27865,13804,14061,3278,3440,2897,2899,3071,3809,4342,2805,1324,1818402,36.368056,-93.496389,1655,76.96,,,,,7.25,9.66,8.21,,,33.83,18.85,,,8.7,13.53,37.21,10.63,8.21,,51.7,8.7,,4.605556,-1.727778,12.1,0.0,,-0.866667,67.886047
US_AR_05015,2020-02-02,ChIJl3hv9Ly4zocRU59xTL7PAkU,Q61216,geoId/05015,US,United States of America,AR,Arkansas,05015,Carroll County,US,USA,2,,,,,,,27865,13804,14061,3278,3440,2897,2899,3071,3809,4342,2805,1324,1818402,36.368056,-93.496389,1655,76.96,,,,,,9.29,9.29,,7.82,22.49,10.76,,,,12.71,25.91,8.31,10.27,8.8,40.09,,7.33,13.005556,5.483333,24.744444,0.0,,-1.444444,37.518506
