location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_KY_21193,2020-02-10,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,5.66,14.66,8.0,16.99,12.99,11.66,34.98,9.99,51.3,7.66,8.981481,6.555556,11.185185,2.6416,,4.265432,72.985924
US_KY_21193,2020-02-11,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,9.1,12.02,11.04,11.37,13.32,7.8,35.41,5.52,40.61,6.5,9.524691,5.635802,12.339506,23.876,,9.229167,97.428141
US_KY_21193,2020-02-12,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,8.27,15.58,6.04,16.53,10.17,11.13,26.7,7.31,36.24,9.86,4.555556,2.648148,11.123457,2.9464,,3.666667,94.100897
US_KY_21193,2020-02-13,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,7.97,19.54,8.77,11.16,12.76,16.75,37.08,9.17,50.64,8.77,9.320988,2.123457,14.481481,20.5232,,8.290123,93.359822
US_KY_21193,2020-02-14,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,,,,8.36,9.4,9.75,11.49,12.19,9.75,29.25,6.96,32.73,4.88,-1.487654,-4.82716,2.259259,0.689429,,-6.796296,67.485024
US_KY_21193,2020-02-15,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,12,1,,8.78,11.88,13.95,17.56,11.36,11.36,33.57,,42.35,,-1.82716,-8.882716,8.518519,0.0,,-8.740741,59.317556
US_KY_21193,2020-02-16,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,4,7,,13.91,14.94,15.46,17.52,15.46,9.27,32.46,11.34,47.4,,6.697531,2.549383,12.185185,0.0,,-2.376543,52.748747
US_KY_21193,2020-02-17,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,0,-4,3,12.03,13.16,12.78,14.29,15.41,13.91,28.57,8.27,45.86,10.9,7.487654,0.345679,16.098765,0.0,,1.364198,65.387456
US_KY_21193,2020-02-18,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,-3,-3,10,9.31,20.17,12.8,16.29,11.25,9.7,38.01,8.14,56.62,8.92,11.222222,6.845679,13.703704,1.524,,6.993827,75.719475
US_KY_21193,2020-02-19,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,0,8,10,11.01,13.46,11.01,16.72,18.35,15.9,39.55,8.97,52.19,8.15,5.197531,1.648148,11.271605,4.106333,,0.45679,72.093615
US_KY_21193,2020-02-20,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,0,-4,10,5.62,10.84,6.82,16.46,18.06,12.04,38.53,12.85,49.37,10.44,1.679012,0.012346,5.506173,0.254,,-3.932099,67.106666
US_KY_21193,2020-02-21,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,2,-3,3,8.47,13.86,8.85,15.78,8.85,10.39,34.64,6.93,46.57,,-2.024691,-7.339506,3.592593,0.0,,-10.407407,52.910196
US_KY_21193,2020-02-22,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,12,-7,,13.4,19.07,10.31,21.13,12.37,14.95,34.01,11.34,39.17,10.31,0.296296,-7.895062,10.697531,0.0,,-10.888889,43.514026
US_KY_21193,2020-02-23,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,2,0,,16.62,14.47,10.72,22.52,18.77,14.47,31.63,11.26,53.08,15.01,3.839506,-5.037037,12.814815,0.0,,-6.771605,47.69163
US_KY_21193,2020-02-24,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,4,1,1,,13.17,14.41,13.99,16.46,14.41,47.34,9.47,53.92,13.17,6.111111,2.037037,10.438272,0.4572,,0.524691,68.517303
US_KY_21193,2020-02-25,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,8,13,8,11.04,20.8,8.07,25.47,16.98,11.04,45.0,11.04,53.49,12.31,10.160494,5.438272,15.691358,5.842,,7.765432,85.132537
US_KY_21193,2020-02-26,ChIJzU3-Mcm3RIgRC-22fsYPANw,Q505387,geoId/21193,US,United States of America,KY,Kentucky,21193,Perry County,US,USA,2,,,,,,,26586,13069,13517,3509,3065,3045,3265,3529,3888,3513,1846,926,1846576,37.24,-83.23,887,71.9375,17,15,8,8.96,15.88,9.37,32.99,15.07,10.59,63.95,11.81,51.73,15.48,8.487654,3.376543,12.981481,1.4732,,5.839506,83.576064
