location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_OH_39051,2020-01-21,ChIJ75S1KR9DPIgRrJ3FQ6c5hH8,Q485539,geoId/39051,US,United States of America,OH,Ohio,39051,Fulton County,US,USA,2,,,,,,,42265,20963,21302,5319,5742,4833,4861,5090,6089,5507,2937,1887,911263,41.6,-84.12,1055,78.722222,,,,,,4.2,6.09,2.46,6.67,8.41,6.09,3.91,3.48,2.61,,13.48,3.33,5.65,,4.35,7.54,4.49,5.36,5.07,2.9,2.75,6.52,,7.97,23.92,4.06,2.9,5.65,,4.35,7.97,3.77,37.54,,5.22,5.36,3.19,4.49,4.35,,-5.216667,-10.661111,-1.383333,0.0,50.8,-10.45,66.821456
US_OH_39051,2020-01-22,ChIJ75S1KR9DPIgRrJ3FQ6c5hH8,Q485539,geoId/39051,US,United States of America,OH,Ohio,39051,Fulton County,US,USA,2,,,,,,,42265,20963,21302,5319,5742,4833,4861,5090,6089,5507,2937,1887,911263,41.6,-84.12,1055,78.722222,,,,,,4.25,4.98,4.1,6.3,5.72,4.25,2.93,4.69,3.52,2.64,12.46,2.35,7.04,2.2,4.69,10.41,3.37,4.1,3.23,2.05,3.37,5.13,,6.3,22.28,3.96,3.23,4.1,2.79,4.54,4.54,3.67,28.44,2.93,4.1,4.69,7.18,3.96,2.64,2.2,-4.405556,-8.555556,0.344444,0.0,50.8,-8.761111,71.720272
US_OH_39051,2020-01-23,ChIJ75S1KR9DPIgRrJ3FQ6c5hH8,Q485539,geoId/39051,US,United States of America,OH,Ohio,39051,Fulton County,US,USA,2,,,,,,,42265,20963,21302,5319,5742,4833,4861,5090,6089,5507,2937,1887,911263,41.6,-84.12,1055,78.722222,,,,,,4.03,6.34,2.59,8.36,6.48,4.18,3.89,3.46,2.88,2.45,16.28,3.02,7.78,2.88,3.17,7.92,4.18,3.6,4.9,,,3.46,2.31,5.76,23.34,4.18,2.45,4.9,3.6,2.59,2.88,4.9,27.08,3.46,5.19,2.74,2.59,3.17,2.16,2.31,0.177778,-6.166667,4.344444,0.0,50.8,-5.955556,63.585825
US_OH_39051,2020-01-24,ChIJ75S1KR9DPIgRrJ3FQ6c5hH8,Q485539,geoId/39051,US,United States of America,OH,Ohio,39051,Fulton County,US,USA,2,,,,,,,42265,20963,21302,5319,5742,4833,4861,5090,6089,5507,2937,1887,911263,41.6,-84.12,1055,78.722222,,,,,,,6.84,2.18,5.38,5.09,4.08,3.06,3.49,3.49,3.06,20.67,2.18,5.24,2.47,4.8,10.91,4.51,3.93,2.77,4.37,3.78,4.51,2.47,4.22,26.34,3.49,2.47,5.68,,3.93,2.33,3.49,23.29,2.91,4.51,3.78,6.26,3.2,2.77,2.47,2.438889,-0.994444,4.122222,1.806222,30.48,-0.216667,82.732744
US_OH_39051,2020-01-25,ChIJ75S1KR9DPIgRrJ3FQ6c5hH8,Q485539,geoId/39051,US,United States of America,OH,Ohio,39051,Fulton County,US,USA,2,,,,,,,42265,20963,21302,5319,5742,4833,4861,5090,6089,5507,2937,1887,911263,41.6,-84.12,1055,78.722222,,,,,,4.17,5.25,,5.25,7.79,3.26,4.89,4.53,,3.08,18.84,3.26,6.16,5.25,2.54,4.89,4.35,4.53,7.25,3.44,3.98,5.25,,5.62,23.91,5.07,,4.53,,3.26,2.54,4.17,30.61,3.44,4.53,3.8,,3.62,3.08,,2.066667,0.444444,4.077778,4.233333,,0.85,91.735443
US_OH_39051,2020-01-26,ChIJ75S1KR9DPIgRrJ3FQ6c5hH8,Q485539,geoId/39051,US,United States of America,OH,Ohio,39051,Fulton County,US,USA,2,,,,,,,42265,20963,21302,5319,5742,4833,4861,5090,6089,5507,2937,1887,911263,41.6,-84.12,1055,78.722222,,,,,,3.16,6.65,3.16,6.99,7.32,3.99,3.16,3.49,2.66,2.5,18.79,3.99,7.98,2.66,3.16,6.99,5.49,2.99,4.32,,4.32,3.49,2.33,4.66,24.45,3.99,4.32,4.99,,4.16,3.83,3.83,29.94,,6.82,3.83,4.66,5.32,,,0.516667,0.144444,2.494444,0.435429,,-0.988889,89.7212
US_OH_39051,2020-01-27,ChIJ75S1KR9DPIgRrJ3FQ6c5hH8,Q485539,geoId/39051,US,United States of America,OH,Ohio,39051,Fulton County,US,USA,2,,,,,,,42265,20963,21302,5319,5742,4833,4861,5090,6089,5507,2937,1887,911263,41.6,-84.12,1055,78.722222,,,,,,3.0,5.14,2.85,6.28,7.71,3.57,4.42,5.14,5.0,3.28,19.41,2.14,7.14,2.43,4.14,8.14,3.28,4.28,4.85,2.0,3.0,4.0,,7.14,24.41,6.85,2.57,4.0,,3.14,4.0,4.42,31.54,3.71,7.42,3.43,3.57,2.43,,,0.844444,0.061111,2.238889,0.0,,-1.372222,85.220986
US_OH_39051,2020-01-28,ChIJ75S1KR9DPIgRrJ3FQ6c5hH8,Q485539,geoId/39051,US,United States of America,OH,Ohio,39051,Fulton County,US,USA,2,,,,,,,42265,20963,21302,5319,5742,4833,4861,5090,6089,5507,2937,1887,911263,41.6,-84.12,1055,78.722222,,,,,,3.33,4.35,3.33,5.51,6.09,6.81,2.46,4.64,2.17,2.75,19.57,2.32,6.96,3.33,3.48,6.67,,4.64,4.2,3.62,2.9,3.19,2.61,5.65,31.74,4.93,3.04,4.93,3.04,,3.19,5.22,30.15,4.64,8.41,3.19,3.91,3.62,,,0.633333,-0.222222,1.977778,0.0,,-2.3,80.857797
US_OH_39051,2020-01-29,ChIJ75S1KR9DPIgRrJ3FQ6c5hH8,Q485539,geoId/39051,US,United States of America,OH,Ohio,39051,Fulton County,US,USA,2,,,,,,,42265,20963,21302,5319,5742,4833,4861,5090,6089,5507,2937,1887,911263,41.6,-84.12,1055,78.722222,,,,,,2.92,5.4,2.33,6.71,7.0,4.38,4.23,3.79,2.92,2.33,21.16,,6.71,2.04,6.57,7.15,2.63,5.11,3.06,4.96,2.19,4.52,3.21,4.08,32.54,5.84,2.92,6.13,2.48,2.48,4.08,2.48,30.06,4.08,8.46,3.94,2.92,5.11,,,-0.366667,-1.1,1.072222,0.0508,,-3.772222,77.896716
US_OH_39051,2020-01-30,ChIJ75S1KR9DPIgRrJ3FQ6c5hH8,Q485539,geoId/39051,US,United States of America,OH,Ohio,39051,Fulton County,US,USA,2,,,,,,,42265,20963,21302,5319,5742,4833,4861,5090,6089,5507,2937,1887,911263,41.6,-84.12,1055,78.722222,,,,,,3.89,4.75,2.02,7.05,4.89,5.33,2.02,3.17,3.17,2.45,24.18,3.31,7.49,3.31,3.74,8.64,4.03,5.33,4.03,3.02,2.02,3.74,2.3,6.62,27.78,5.04,3.17,5.33,,2.88,3.02,4.46,32.24,3.17,4.75,4.03,4.17,4.03,3.31,2.88,-0.661111,-1.277778,0.427778,0.0,,-4.533333,75.236163
