location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_ND_38057,2020-01-31,ChIJfyuM76eIJ1MRB3Pka_Pv3NU,Q48905,geoId/38057,US,United States of America,ND,North Dakota,38057,Mercer County,US,USA,2,,,,,,,8457,4397,4060,1088,994,843,998,875,1372,1196,646,445,1740293,47.3,-101.82,2881,82.533333,,,19.11,19.76,-5.727778,-13.705556,1.305556,0.381,,-7.311111,88.725634
US_ND_38057,2020-02-01,ChIJfyuM76eIJ1MRB3Pka_Pv3NU,Q48905,geoId/38057,US,United States of America,ND,North Dakota,38057,Mercer County,US,USA,2,,,,,,,8457,4397,4060,1088,994,843,998,875,1372,1196,646,445,1740293,47.3,-101.82,2881,82.533333,,,16.87,22.49,0.705556,-7.15,7.827778,0.0635,,-3.177778,75.430196
US_ND_38057,2020-02-02,ChIJfyuM76eIJ1MRB3Pka_Pv3NU,Q48905,geoId/38057,US,United States of America,ND,North Dakota,38057,Mercer County,US,USA,2,,,,,,,8457,4397,4060,1088,994,843,998,875,1372,1196,646,445,1740293,47.3,-101.82,2881,82.533333,,,17.96,34.13,2.3,-1.872222,8.272222,0.0,,-2.938889,68.4427
US_ND_38057,2020-02-03,ChIJfyuM76eIJ1MRB3Pka_Pv3NU,Q48905,geoId/38057,US,United States of America,ND,North Dakota,38057,Mercer County,US,USA,2,,,,,,,8457,4397,4060,1088,994,843,998,875,1372,1196,646,445,1740293,47.3,-101.82,2881,82.533333,,,23.72,21.75,-6.216667,-9.833333,-1.811111,0.0,,-10.622222,71.114426
US_ND_38057,2020-02-04,ChIJfyuM76eIJ1MRB3Pka_Pv3NU,Q48905,geoId/38057,US,United States of America,ND,North Dakota,38057,Mercer County,US,USA,2,,,,,,,8457,4397,4060,1088,994,843,998,875,1372,1196,646,445,1740293,47.3,-101.82,2881,82.533333,,,16.12,17.37,-9.044444,-13.866667,-3.983333,0.084667,,-12.105556,78.610317
US_ND_38057,2020-02-05,ChIJfyuM76eIJ1MRB3Pka_Pv3NU,Q48905,geoId/38057,US,United States of America,ND,North Dakota,38057,Mercer County,US,USA,2,,,,,,,8457,4397,4060,1088,994,843,998,875,1372,1196,646,445,1740293,47.3,-101.82,2881,82.533333,,,14.49,25.2,-6.783333,-11.744444,0.672222,0.0,,-10.783333,73.392796
US_ND_38057,2020-02-06,ChIJfyuM76eIJ1MRB3Pka_Pv3NU,Q48905,geoId/38057,US,United States of America,ND,North Dakota,38057,Mercer County,US,USA,2,,,,,,,8457,4397,4060,1088,994,843,998,875,1372,1196,646,445,1740293,47.3,-101.82,2881,82.533333,,,15.94,22.58,-6.844444,-12.438889,-2.227778,0.616857,,-8.7,86.691151
US_ND_38057,2020-02-07,ChIJfyuM76eIJ1MRB3Pka_Pv3NU,Q48905,geoId/38057,US,United States of America,ND,North Dakota,38057,Mercer County,US,USA,2,,,,,,,8457,4397,4060,1088,994,843,998,875,1372,1196,646,445,1740293,47.3,-101.82,2881,82.533333,,,14.21,22.61,-15.344444,-21.772222,-7.855556,0.072571,,-18.761111,75.18107
US_ND_38057,2020-02-08,ChIJfyuM76eIJ1MRB3Pka_Pv3NU,Q48905,geoId/38057,US,United States of America,ND,North Dakota,38057,Mercer County,US,USA,2,,,,,,,8457,4397,4060,1088,994,843,998,875,1372,1196,646,445,1740293,47.3,-101.82,2881,82.533333,,,17.39,23.8,-4.294444,-9.672222,-0.288889,0.0,,-6.505556,84.670321
US_ND_38057,2020-02-09,ChIJfyuM76eIJ1MRB3Pka_Pv3NU,Q48905,geoId/38057,US,United States of America,ND,North Dakota,38057,Mercer County,US,USA,2,,,,,,,8457,4397,4060,1088,994,843,998,875,1372,1196,646,445,1740293,47.3,-101.82,2881,82.533333,,,17.87,22.12,-4.294444,-8.35,-0.8,0.0,,-6.372222,85.526216
US_ND_38057,2020-02-10,ChIJfyuM76eIJ1MRB3Pka_Pv3NU,Q48905,geoId/38057,US,United States of America,ND,North Dakota,38057,Mercer County,US,USA,2,,,,,,,8457,4397,4060,1088,994,843,998,875,1372,1196,646,445,1740293,47.3,-101.82,2881,82.533333,,,10.18,22.91,-5.288889,-7.861111,-2.611111,0.254,,-7.983333,81.457153
