location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_TX_48277,2020-01-11,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,,7.75,,10.41,8.42,5.1,3.77,4.87,,,19.27,3.99,8.42,4.21,4.21,14.18,,4.43,7.98,5.1,5.76,6.65,6.2,8.64,26.14,7.98,3.1,7.31,,4.87,6.65,5.76,40.32,3.32,8.86,8.2,4.65,3.77,,4.43,6.314815,-0.092593,18.574074,41.5544,4.679012,89.320837
US_TX_48277,2020-01-12,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,5.45,8.41,,11.59,10.91,6.13,3.41,7.04,7.5,,22.04,4.32,12.27,4.09,4.54,9.09,7.27,6.82,6.36,5.23,5.45,4.54,3.41,8.63,31.58,5.45,,10.0,3.18,3.41,6.36,6.82,42.26,,7.95,8.18,5.0,4.32,5.45,3.86,1.45679,-2.08642,9.074074,0.762,-0.611111,86.242305
US_TX_48277,2020-01-13,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,6.52,6.52,6.17,12.52,7.4,5.99,5.11,6.52,5.46,4.94,20.98,5.11,10.05,3.88,5.29,9.52,6.7,4.76,6.52,5.82,,4.41,3.88,11.81,37.02,5.99,4.23,12.16,,4.94,4.05,5.99,43.37,3.88,11.28,7.4,6.88,5.82,3.53,2.47,5.907407,1.401235,14.944444,0.0,3.858025,86.836532
US_TX_48277,2020-01-14,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,5.95,4.69,4.69,12.26,7.39,5.59,3.6,6.31,5.23,3.06,20.19,2.7,10.99,2.88,5.77,12.08,4.33,4.69,7.21,,4.15,3.06,3.97,11.18,32.27,7.75,4.33,8.29,,8.65,2.52,7.57,45.24,4.69,10.27,6.67,9.01,5.95,,6.13,13.598765,11.987654,16.611111,0.0,11.037037,84.672378
US_TX_48277,2020-01-15,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,4.65,7.15,3.75,12.7,9.83,6.44,5.01,7.33,4.65,4.83,19.31,4.65,9.3,4.65,4.47,11.09,4.65,7.51,7.33,4.65,3.22,6.26,4.29,11.09,37.19,7.15,3.4,10.55,2.86,3.22,6.26,7.87,40.05,4.11,12.52,8.76,4.29,5.18,3.4,3.93,17.654321,13.197531,23.598765,0.028222,16.179012,91.159636
US_TX_48277,2020-01-16,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,4.61,5.5,,10.64,7.09,6.74,4.96,4.79,3.72,3.19,17.02,,10.46,,4.96,10.64,5.5,4.79,5.32,3.72,4.25,5.5,3.37,11.17,29.79,7.45,4.61,7.45,2.48,4.43,6.74,5.32,43.08,2.66,6.03,5.85,6.21,7.62,3.9,4.08,13.277778,7.938272,19.691358,2.286,10.45679,83.151834
US_TX_48277,2020-01-17,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,2.71,6.88,4.34,8.14,6.33,6.52,4.89,4.16,4.34,,14.12,4.89,7.6,2.9,3.44,10.14,4.53,6.15,5.07,3.26,5.97,6.52,2.9,8.69,28.6,6.15,2.53,9.23,3.62,3.26,5.07,2.9,35.11,4.34,8.51,5.61,4.34,3.8,3.8,,8.148148,6.555556,11.030864,7.493,5.925926,86.316858
US_TX_48277,2020-01-18,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,5.88,9.04,3.16,11.98,4.52,6.1,,5.2,4.52,3.84,18.53,,10.85,4.07,4.52,10.4,4.75,5.88,8.36,4.29,6.33,5.65,4.52,10.62,24.86,7.23,,8.81,,3.39,8.59,5.2,42.26,3.39,7.23,6.78,5.88,3.84,4.29,,13.302469,9.074074,16.666667,1.651,9.512346,77.926027
US_TX_48277,2020-01-19,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,3.46,8.98,,8.76,8.52,6.45,,5.07,3.92,4.15,15.44,,10.37,3.23,4.61,10.83,5.07,7.37,7.6,3.69,6.45,,3.92,5.76,26.03,4.15,4.61,5.99,3.23,3.46,,6.22,42.16,3.46,5.99,5.3,3.92,6.68,4.61,3.23,5.302469,-0.709877,11.882716,0.508,-4.993827,47.748023
US_TX_48277,2020-01-20,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,5.74,8.82,4.51,14.57,5.54,5.95,4.31,4.92,7.39,3.08,17.03,5.13,11.28,4.51,4.31,10.05,3.28,5.13,5.54,5.33,3.9,4.1,,12.31,28.52,4.92,6.57,6.97,4.31,5.33,6.36,6.16,46.57,6.36,7.59,7.8,4.72,9.85,5.95,3.69,4.919753,-1.185185,12.462963,0.0,-4.407407,51.235404
US_TX_48277,2020-01-21,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,3.94,8.23,3.22,10.38,6.8,6.44,5.55,4.29,3.58,3.22,20.4,2.86,6.44,,5.19,12.88,4.12,6.26,5.19,3.04,3.58,5.91,,13.42,30.06,6.08,2.68,9.13,,6.62,6.8,5.73,40.62,4.65,10.02,4.65,6.98,6.98,4.12,3.58,2.660494,-1.925926,8.296296,0.0,-2.808642,67.347402
US_TX_48277,2020-01-22,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,4.67,5.53,2.94,9.68,7.95,5.18,3.46,4.49,6.91,3.97,19.0,3.97,9.5,,5.53,10.71,3.63,5.7,6.22,5.7,,7.26,3.11,7.26,30.75,5.87,5.01,7.6,2.59,5.18,7.78,5.36,38.7,5.01,7.26,6.57,5.18,5.18,3.46,4.15,3.123457,1.5,5.209877,3.3528,0.506173,83.039599
US_TX_48277,2020-01-23,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,4.2,10.67,3.32,12.42,7.7,6.47,2.62,6.82,4.72,3.85,19.94,4.2,9.97,2.97,5.07,10.67,3.67,7.7,5.95,7.35,3.32,5.07,5.6,10.15,30.44,8.57,,10.32,2.8,5.6,5.25,5.07,37.96,5.6,10.15,5.6,6.12,6.47,2.62,2.62,5.617284,3.333333,11.481481,10.7188,4.092593,89.967306
US_TX_48277,2020-01-24,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,5.04,7.74,3.06,7.92,9.9,4.86,3.6,5.4,3.24,3.42,24.13,4.32,11.35,3.24,4.86,7.38,6.66,8.82,4.68,4.5,5.4,2.7,3.24,9.72,34.04,7.56,4.32,7.38,,4.86,3.24,4.68,36.92,5.58,9.54,6.12,4.14,5.4,,4.32,6.493827,2.148148,12.049383,1.439333,1.450617,70.334564
US_TX_48277,2020-01-25,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,6.75,9.08,4.42,12.34,7.22,6.98,4.66,5.82,5.82,4.89,30.27,3.49,9.31,,4.42,8.85,4.89,5.36,6.29,4.19,7.45,7.22,,10.94,38.88,7.22,3.73,7.45,,7.45,5.59,4.19,45.17,,8.61,8.38,3.96,6.29,4.19,3.49,6.061728,-0.666667,16.228395,0.0,0.635802,68.455596
US_TX_48277,2020-01-26,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,7.24,7.03,4.26,10.65,5.75,3.41,,7.88,6.6,,26.83,3.83,12.14,,3.41,12.78,6.6,6.39,5.11,5.54,5.54,5.96,,9.58,38.54,6.81,3.62,7.88,,7.24,5.96,6.81,38.75,6.17,9.58,6.6,6.6,3.62,5.11,3.19,12.253086,9.919753,15.166667,0.0,7.561728,73.370984
US_TX_48277,2020-01-27,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,6.59,6.59,,9.71,8.5,6.24,4.51,6.76,3.64,5.03,29.66,2.95,12.66,,6.59,12.31,5.03,4.68,6.76,4.86,5.03,4.51,3.82,10.93,46.66,7.11,3.82,10.23,3.47,7.11,3.47,5.55,42.15,5.2,7.98,5.03,6.94,5.03,4.16,4.68,8.537037,4.5,14.203704,0.0,7.208333,91.685399
US_TX_48277,2020-01-28,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,7.28,8.13,3.39,13.2,7.79,6.26,3.72,4.23,3.56,4.57,26.07,3.39,9.82,3.56,4.06,13.54,5.25,6.94,5.92,5.76,4.4,3.89,3.56,12.36,36.4,5.59,2.71,8.8,,4.4,3.56,7.28,44.01,3.89,11.68,6.43,7.45,5.42,4.06,4.74,9.777778,7.635802,12.697531,1.27,8.660494,92.874938
US_TX_48277,2020-01-29,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,6.16,8.63,,9.51,7.39,5.28,2.82,3.87,,4.22,27.64,3.87,13.2,2.99,4.58,11.97,2.64,7.04,6.34,4.58,3.7,5.46,2.46,8.1,37.85,6.51,4.22,6.16,,7.75,4.22,5.63,38.55,3.87,13.03,4.58,7.22,6.51,,3.7,6.518519,4.160494,10.95679,6.646333,5.111111,90.803752
US_TX_48277,2020-01-30,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,5.71,5.01,,11.76,9.86,6.22,5.19,4.84,4.67,3.46,29.57,3.11,9.16,4.32,5.36,11.07,4.15,7.95,4.84,3.11,4.5,4.67,2.59,12.8,37.18,6.22,3.29,7.78,2.77,4.84,5.01,6.74,41.84,5.19,8.47,4.67,4.5,5.01,3.46,4.15,5.240741,3.987654,7.697531,0.03175,2.987654,85.473332
US_TX_48277,2020-01-31,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,2.85,10.68,3.38,10.5,7.66,4.99,,4.99,4.63,,31.33,2.67,8.9,3.03,4.99,9.79,3.56,4.45,6.41,5.7,3.74,3.38,4.09,7.66,29.91,5.7,3.92,6.59,2.85,7.12,3.56,5.34,34.54,5.52,8.9,8.72,3.74,4.45,4.09,2.49,7.067901,5.469136,11.191358,0.0635,3.734568,79.534456
US_TX_48277,2020-02-01,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,5.76,9.68,3.46,13.83,6.92,7.61,,7.14,4.61,3.69,20.51,4.61,8.53,,3.69,7.61,3.69,3.23,6.22,3.46,4.61,6.68,,11.06,29.27,7.14,3.23,8.76,4.38,4.61,5.3,3.92,45.18,6.92,7.14,5.76,3.69,4.15,4.38,,7.246914,-0.444444,17.648148,0.0,0.098765,60.683789
US_TX_48277,2020-02-02,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,4.68,6.68,3.34,12.92,5.79,3.56,3.34,5.35,7.13,,19.82,5.79,11.81,5.12,,8.02,4.46,,3.79,5.35,4.01,5.12,,8.69,25.62,8.46,,7.8,,,6.24,5.12,32.74,3.56,5.12,7.8,5.12,4.9,3.79,5.79,12.771605,4.635802,25.814815,0.0,-0.345679,40.726062
US_TX_48277,2020-02-03,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,6.07,7.12,2.43,12.15,8.68,5.03,5.38,5.03,3.99,3.3,18.74,2.78,10.41,5.03,4.69,9.72,3.47,4.17,5.21,4.17,3.64,7.12,2.78,12.15,29.16,5.9,4.86,9.02,3.99,6.25,5.03,4.86,44.77,5.55,5.73,6.59,4.17,3.12,3.99,3.12,16.351852,11.006173,21.771605,0.0,6.395062,51.852866
US_TX_48277,2020-02-04,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,4.83,4.49,,12.08,9.84,4.14,4.14,5.69,5.0,4.31,19.84,4.14,8.63,,4.83,11.04,4.83,5.35,4.14,5.52,4.14,5.18,2.59,9.66,32.96,8.11,4.66,8.46,3.97,7.07,6.38,6.21,40.72,6.21,6.04,7.42,7.07,4.31,2.76,3.97,13.765432,6.123457,18.975309,2.3876,12.314815,91.019643
US_TX_48277,2020-02-05,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,4.57,2.99,4.4,11.08,3.52,6.16,4.04,6.86,4.92,3.87,16.53,3.87,11.61,3.17,5.1,11.61,4.04,5.28,5.45,3.34,4.75,5.28,3.69,11.78,31.66,5.8,4.22,6.16,2.81,5.45,5.63,9.5,43.09,3.87,7.21,6.33,7.04,6.86,3.52,4.22,3.555556,1.796296,5.888889,1.3208,1.91358,89.08367
US_TX_48277,2020-02-06,ChIJf6k5FFj_SoYRwuSdUP31HL0,Q113313,geoId/48277,US,United States of America,TX,Texas,48277,Lamar County,US,USA,2,,,,,,,49568,23902,25666,6605,6360,6161,5546,5797,6594,5942,4285,2278,1634428,33.67,-95.57,2415,74.391667,,,,,,6.62,11.15,3.48,12.02,5.75,6.27,5.57,4.7,3.31,3.66,19.5,2.79,9.4,2.44,5.22,10.97,4.88,4.7,4.88,3.48,4.53,5.75,3.48,12.19,32.22,5.75,4.0,8.19,2.44,6.27,6.44,6.09,35.18,5.05,9.58,4.18,6.62,6.62,4.18,7.49,1.246914,-1.401235,5.197531,1.524,-2.524691,76.040671
