location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IN_18129,2020-01-27,ChIJybTWkt6zcYgRHjMrgEFGF4Y,Q512937,geoId/18129,US,United States of America,IN,Indiana,18129,Posey County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25569,12721,12848,3042,3147,2865,2962,2996,3936,3602,1912,1107,1804398,38.02,-87.86,1086,77.885714,,,,,11.23,10.86,10.11,29.2,11.98,5.99,37.07,8.99,37.07,5.99,0.95679,-2.0,5.567901,0.0,,-0.117284,92.685062
US_IN_18129,2020-01-28,ChIJybTWkt6zcYgRHjMrgEFGF4Y,Q512937,geoId/18129,US,United States of America,IN,Indiana,18129,Posey County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25569,12721,12848,3042,3147,2865,2962,2996,3936,3602,1912,1107,1804398,38.02,-87.86,1086,77.885714,,,,,5.79,11.2,8.89,33.61,18.93,,42.11,,32.07,8.11,-0.597222,-1.451389,1.111111,0.0635,,-1.583333,93.167565
US_IN_18129,2020-01-29,ChIJybTWkt6zcYgRHjMrgEFGF4Y,Q512937,geoId/18129,US,United States of America,IN,Indiana,18129,Posey County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25569,12721,12848,3042,3147,2865,2962,2996,3936,3602,1912,1107,1804398,38.02,-87.86,1086,77.885714,,,,,,10.32,5.96,38.51,8.73,,42.48,,32.55,8.34,0.958333,-0.479167,3.75,0.465667,,-0.701389,88.906747
US_IN_18129,2020-01-30,ChIJybTWkt6zcYgRHjMrgEFGF4Y,Q512937,geoId/18129,US,United States of America,IN,Indiana,18129,Posey County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25569,12721,12848,3042,3147,2865,2962,2996,3936,3602,1912,1107,1804398,38.02,-87.86,1086,77.885714,,,,,8.04,10.16,7.19,47.39,8.46,,41.47,,43.58,7.19,1.574074,-0.37037,4.604938,0.471714,,-0.135802,88.561649
US_IN_18129,2020-01-31,ChIJybTWkt6zcYgRHjMrgEFGF4Y,Q512937,geoId/18129,US,United States of America,IN,Indiana,18129,Posey County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25569,12721,12848,3042,3147,2865,2962,2996,3936,3602,1912,1107,1804398,38.02,-87.86,1086,77.885714,,,,,,14.84,7.63,40.7,8.06,8.9,44.52,,37.73,,3.45679,1.148148,5.938272,1.397,,1.839506,89.286473
US_IN_18129,2020-02-01,ChIJybTWkt6zcYgRHjMrgEFGF4Y,Q512937,geoId/18129,US,United States of America,IN,Indiana,18129,Posey County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25569,12721,12848,3042,3147,2865,2962,2996,3936,3602,1912,1107,1804398,38.02,-87.86,1086,77.885714,,,,,,9.33,,27.51,,10.32,36.35,9.82,32.42,9.82,4.82716,2.901235,7.666667,0.903111,,2.592593,85.509512
US_IN_18129,2020-02-02,ChIJybTWkt6zcYgRHjMrgEFGF4Y,Q512937,geoId/18129,US,United States of America,IN,Indiana,18129,Posey County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25569,12721,12848,3042,3147,2865,2962,2996,3936,3602,1912,1107,1804398,38.02,-87.86,1086,77.885714,,,,,,10.89,,22.72,9.47,,30.77,,34.08,10.89,7.17284,-0.858025,18.524691,0.0,,1.475309,67.133756
US_IN_18129,2020-02-03,ChIJybTWkt6zcYgRHjMrgEFGF4Y,Q512937,geoId/18129,US,United States of America,IN,Indiana,18129,Posey County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25569,12721,12848,3042,3147,2865,2962,2996,3936,3602,1912,1107,1804398,38.02,-87.86,1086,77.885714,,,,,,,5.95,25.76,7.93,9.12,26.55,,38.05,,12.209877,5.203704,20.901235,0.0,,4.746914,60.531914
US_IN_18129,2020-02-04,ChIJybTWkt6zcYgRHjMrgEFGF4Y,Q512937,geoId/18129,US,United States of America,IN,Indiana,18129,Posey County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25569,12721,12848,3042,3147,2865,2962,2996,3936,3602,1912,1107,1804398,38.02,-87.86,1086,77.885714,,,,,7.76,6.99,,25.23,8.54,,28.34,,38.43,12.42,13.135802,5.530864,18.296296,2.8575,,10.697531,85.296969
US_IN_18129,2020-02-05,ChIJybTWkt6zcYgRHjMrgEFGF4Y,Q512937,geoId/18129,US,United States of America,IN,Indiana,18129,Posey County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25569,12721,12848,3042,3147,2865,2962,2996,3936,3602,1912,1107,1804398,38.02,-87.86,1086,77.885714,,,,,,12.15,7.97,27.34,12.53,,26.2,7.59,35.69,9.11,2.845679,1.524691,5.771605,9.906,,1.777778,92.760887
