location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_UT_49041,2020-01-11,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,6.87,,9.62,9.62,,16.49,,33.44,,-5.388889,-10.561111,2.938889,0.0,-11.944444,59.921103
US_UT_49041,2020-01-12,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,9.71,6.62,7.95,,8.39,17.66,,33.11,,-4.044444,-9.888889,2.172222,0.028222,-7.666667,75.050441
US_UT_49041,2020-01-13,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,6.73,6.39,7.4,7.4,6.39,19.52,9.09,28.61,7.07,-1.711111,-8.944444,4.416667,0.0508,-8.296296,61.569044
US_UT_49041,2020-01-14,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,,7.37,5.36,9.05,9.72,14.41,,26.82,5.7,-0.338889,-6.75,7.255556,0.0,-8.283951,56.964241
US_UT_49041,2020-01-15,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,,8.39,5.03,7.38,8.39,18.46,,30.54,,-3.161111,-11.561111,5.572222,0.0,-9.253086,64.487628
US_UT_49041,2020-01-16,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,,6.57,5.92,7.56,5.26,12.16,,29.57,,-2.433333,-10.872222,7.516667,0.0,-8.814815,62.17297
US_UT_49041,2020-01-17,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,,7.0,,8.99,5.33,10.66,5.0,22.65,,1.155556,-5.116667,6.822222,0.395111,-7.179012,54.236822
US_UT_49041,2020-01-18,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,8.78,10.17,7.39,13.4,9.71,13.4,,39.29,,-4.15,-9.594444,3.638889,0.3302,-10.358025,61.946056
US_UT_49041,2020-01-19,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,9.48,,,14.22,9.91,19.82,,38.36,6.89,-3.977778,-10.111111,3.905556,0.0,-9.41358,66.309564
US_UT_49041,2020-01-20,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,8.72,7.41,,11.77,6.54,21.8,,45.78,,-2.727778,-8.316667,2.955556,0.0,-7.166667,71.757604
US_UT_49041,2020-01-21,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,5.78,5.1,5.44,10.88,8.16,21.09,,37.08,,0.783333,-3.627778,4.755556,0.4064,-2.635802,76.702769
US_UT_49041,2020-01-22,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,,6.46,5.38,14.0,8.61,17.23,,33.38,,1.4,-3.111111,6.711111,0.8636,-1.450617,82.145477
US_UT_49041,2020-01-23,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,6.39,,7.73,16.48,8.74,21.86,,27.24,5.72,1.25,-3.966667,7.466667,0.0,-2.438272,78.543102
US_UT_49041,2020-01-24,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,,,9.91,18.46,6.15,21.19,,24.61,,-0.388889,-5.422222,6.744444,0.338667,-3.45679,79.81367
US_UT_49041,2020-01-25,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,,12.28,7.08,17.47,7.08,18.88,,24.08,,-0.538889,-6.266667,6.388889,0.0,-3.135802,82.84695
US_UT_49041,2020-01-26,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,7.63,,6.78,26.7,14.83,25.01,6.78,25.43,,0.0,-4.861111,7.511111,0.0,-3.092593,78.550431
US_UT_49041,2020-01-27,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,4.84,4.84,8.71,27.42,6.45,32.26,,30.97,,2.577778,-3.716667,8.8,0.959556,-2.0,71.056885
US_UT_49041,2020-01-28,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,4.94,14.83,6.26,25.38,5.6,23.4,5.93,25.38,5.93,-0.527778,-6.738889,6.433333,0.0,-5.666667,68.828733
US_UT_49041,2020-01-29,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,4.62,5.61,7.59,31.36,8.58,31.69,5.61,29.38,8.25,-0.705556,-5.588889,5.45,0.254,-3.537037,81.002162
US_UT_49041,2020-01-30,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,,10.29,6.75,32.8,9.65,33.13,,33.13,,-1.0,-6.32716,5.030864,0.98425,-4.680556,76.687109
US_UT_49041,2020-01-31,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,,6.48,7.13,24.96,5.19,24.64,6.48,24.31,4.86,-1.938272,-8.87037,6.0,0.0,-6.118056,73.719733
US_UT_49041,2020-02-01,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,,8.56,,23.42,8.56,20.72,11.71,33.78,6.76,0.322222,-7.905556,9.683333,0.0,-5.432099,65.533128
US_UT_49041,2020-02-02,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,7.46,,,25.45,,20.63,8.34,37.3,,2.133333,-6.094444,12.327778,0.0,-5.648148,57.081583
US_UT_49041,2020-02-03,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,4.59,5.21,9.8,19.6,5.51,25.11,,33.38,,-0.772222,-7.288889,10.544444,0.705556,-7.654321,60.692025
US_UT_49041,2020-02-04,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,6.34,5.39,6.98,19.34,6.98,20.3,,26.64,,-8.677778,-14.377778,-3.638889,0.903111,-13.925926,67.869927
US_UT_49041,2020-02-05,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,4.9,6.86,,16.99,5.56,24.84,6.54,25.49,5.23,-9.966667,-16.0,-2.233333,0.0,-15.444444,66.584187
US_UT_49041,2020-02-06,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,,4.69,4.69,16.58,8.45,20.96,,23.15,4.38,-2.194444,-7.227778,4.894444,0.127,-7.376543,70.477747
US_UT_49041,2020-02-07,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,5.62,5.62,5.29,18.85,4.96,21.83,5.29,25.14,,3.577778,-2.777778,11.116667,0.4572,-2.666667,66.444612
US_UT_49041,2020-02-08,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,,7.54,6.66,21.75,,23.52,,26.63,,3.711111,-4.305556,13.361111,0.0,-3.944444,58.980817
US_UT_49041,2020-02-09,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,,6.49,16.86,20.32,6.49,31.56,,28.53,8.65,1.0,-4.394444,10.938889,0.0,-6.246914,59.614259
US_UT_49041,2020-02-10,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,4.9,5.88,8.16,17.3,4.57,20.23,4.9,24.48,,-2.033333,-8.527778,4.8,0.3556,-8.123457,64.175934
US_UT_49041,2020-02-11,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,6.51,8.79,7.49,15.96,8.79,17.91,,32.57,,-2.783333,-9.2,3.983333,0.0,-9.845679,59.295398
US_UT_49041,2020-02-12,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,6.39,4.8,5.76,16.95,,23.34,7.67,31.66,5.12,-2.030864,-9.493827,6.635802,0.0,-10.548611,54.063576
US_UT_49041,2020-02-13,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,5.25,7.87,6.56,14.1,6.89,17.71,,24.92,,-0.901235,-9.08642,9.117284,0.0,-8.388889,58.516596
US_UT_49041,2020-02-14,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,,,,,,,,8.2,7.49,16.41,,20.33,,25.68,6.06,1.104938,-7.833333,11.987654,0.0,-8.888889,48.432139
US_UT_49041,2020-02-15,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,-4,9,,4,-6,,,,8.78,18.49,,24.04,,33.28,7.86,2.345679,-6.006173,11.555556,0.0,-7.3125,51.068641
US_UT_49041,2020-02-16,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,11,,,-1,2,,8.64,10.0,10.46,26.83,8.19,28.19,7.73,31.83,,4.438272,-2.746914,12.333333,0.127,-5.097222,53.006482
US_UT_49041,2020-02-17,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,7,18,,10,-30,,,,6.71,15.52,7.13,17.19,8.81,36.9,,4.419753,-1.061728,10.876543,0.366889,-4.381944,54.646788
US_UT_49041,2020-02-18,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,13,16,,5,-1,,,6.79,,13.25,7.76,17.13,,36.2,5.49,-1.580247,-8.62963,7.154321,0.0,-10.548611,51.763552
US_UT_49041,2020-02-19,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,-5,10,,3,4,,,5.0,6.25,14.38,5.94,18.13,,31.57,5.63,-2.05,-8.994444,5.255556,0.0,-11.271605,50.470809
US_UT_49041,2020-02-20,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,16,25,,15,1,,4.29,7.36,6.44,14.41,7.97,16.86,4.6,26.06,7.05,-3.272222,-11.327778,5.85,0.0,-13.481481,46.323849
US_UT_49041,2020-02-21,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,2,18,,22,-2,,,,4.96,17.37,4.96,20.48,5.58,25.13,,-2.155556,-10.85,9.788889,0.0,-12.555556,45.820928
US_UT_49041,2020-02-22,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,7,28,,-5,-3,,10.13,7.18,,8.87,8.44,15.2,,24.48,7.18,1.127778,-7.222222,9.344444,0.0,-8.302469,50.524031
US_UT_49041,2020-02-23,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,8,,,9,-8,,,16.41,6.73,17.25,,20.19,,30.29,6.73,2.05,-3.038889,9.122222,6.8326,-2.740741,72.323285
US_UT_49041,2020-02-24,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,-9,24,,5,1,,5.06,8.22,,13.9,4.74,22.44,7.27,30.65,9.16,0.82716,-4.561728,7.179012,0.592667,-7.833333,55.131153
US_UT_49041,2020-02-25,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,7,9,,8,0,,4.56,,4.89,17.93,12.39,26.73,,30.97,,-2.024691,-7.703704,4.160494,0.0,-11.472222,49.215566
US_UT_49041,2020-02-26,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,17,30,,16,1,,7.18,,7.18,17.63,5.55,27.75,,29.05,,-3.104938,-10.179012,7.111111,0.0,-11.902778,51.65192
US_UT_49041,2020-02-27,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,27,29,,-1,-1,,5.95,6.88,5.01,19.71,,33.8,5.01,30.98,6.26,0.901235,-8.438272,11.734568,0.0,-8.965278,49.248174
US_UT_49041,2020-02-28,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,12,31,,13,1,,,5.53,6.5,19.5,8.13,25.03,,26.98,,2.055556,-7.382716,12.351852,0.0,-8.319444,47.359408
US_UT_49041,2020-02-29,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,17,38,,11,0,,,,,43.23,8.65,50.15,,34.15,,4.814815,-3.882716,13.432099,0.0,-6.895833,43.486677
US_UT_49041,2020-03-01,ChIJmd4aOhQOS4cR624msJmOB6Q,Q484222,geoId/49041,US,United States of America,UT,Utah,49041,Sevier County,US,USA,2,,,,,,,21292,10804,10488,3288,3577,2357,2744,2362,2353,2279,1541,791,1744368,38.75,-111.8,4968,78.96,32,,,9,0,,9.33,,,31.24,6.09,32.87,,34.9,,4.438272,-2.135802,12.148148,0.1905,-4.631944,53.571685
