location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IN_18103,2020-01-11,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,4.31,7.27,9.69,5.38,3.77,4.31,15.34,7.54,,7.0,9.42,4.31,4.04,4.04,7.0,19.65,3.77,7.27,,,34.46,5.12,7.54,6.19,3.77,10.933333,3.283333,14.933333,14.441714,,10.072222,94.625128
US_IN_18103,2020-01-12,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,5.2,5.75,9.03,5.47,7.39,5.2,11.49,8.48,,7.94,6.57,,4.38,4.65,8.48,19.7,4.65,5.2,4.65,6.84,33.11,,6.29,5.2,,0.877778,-0.611111,3.377778,22.86,,-0.272222,92.1867
US_IN_18103,2020-01-13,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,7.4,4.19,9.12,8.88,4.44,4.19,14.05,6.9,,9.62,4.19,,5.18,6.16,6.41,28.35,5.18,7.64,7.4,5.42,34.77,,5.42,6.66,6.66,2.011111,0.444444,3.105556,0.108857,,0.444444,89.574015
US_IN_18103,2020-01-14,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,4.0,7.5,7.5,7.25,3.5,6.0,11.5,9.75,,10.5,4.0,6.0,5.0,4.75,7.75,23.76,6.0,4.5,4.5,4.0,32.76,,7.25,4.75,,2.35,-0.394444,6.327778,0.0,,1.072222,91.414278
US_IN_18103,2020-01-15,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,4.41,4.41,7.11,10.05,,4.66,11.04,3.92,,9.32,7.85,7.6,3.92,5.15,3.68,25.01,5.89,5.89,5.89,5.15,33.11,5.15,5.89,4.91,3.68,2.083333,-0.633333,6.133333,0.042333,,1.644444,97.015623
US_IN_18103,2020-01-16,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,5.33,3.81,6.6,14.98,6.86,5.08,12.19,6.35,7.36,10.16,3.81,4.06,7.62,,7.11,19.3,6.09,,,5.08,34.79,,5.08,4.57,4.57,0.044444,-4.183333,4.944444,0.056444,,-2.555556,82.848805
US_IN_18103,2020-01-17,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,4.5,5.24,7.24,7.24,4.25,4.25,10.24,3.5,4.25,9.74,5.49,,5.74,,4.99,20.23,4.25,5.74,,4.25,32.46,3.5,6.49,4.0,4.75,-4.45,-6.994444,0.005556,0.0,,-8.45,73.80698
US_IN_18103,2020-01-18,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,8.29,,6.91,7.74,6.35,6.91,10.22,6.63,,11.05,7.74,8.56,,7.18,5.25,21.0,8.01,5.53,5.53,,43.37,4.14,6.91,,5.25,0.777778,-4.172222,5.694444,9.107714,30.48,-0.788889,89.448181
US_IN_18103,2020-01-19,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,3.8,6.78,8.95,5.97,4.07,5.15,13.83,8.95,5.7,10.58,4.07,6.51,4.61,,,19.53,3.8,8.41,,4.34,34.44,4.34,5.7,,,-10.283333,-14.172222,-1.55,2.648857,30.48,-13.566667,77.058548
US_IN_18103,2020-01-20,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,5.86,4.64,8.29,10.0,4.88,3.42,16.59,8.54,7.32,7.56,5.61,3.42,4.64,5.12,9.03,23.18,6.59,7.32,5.61,9.76,42.7,3.66,5.86,5.12,,-7.961111,-11.938889,-2.983333,0.0,,-10.377778,83.007127
US_IN_18103,2020-01-21,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,3.42,6.59,6.1,7.32,5.37,7.56,10.73,6.83,4.63,8.78,5.86,5.37,,3.66,9.51,23.42,6.59,4.63,8.78,11.22,37.32,,7.32,4.88,5.37,-3.238889,-7.811111,-0.683333,0.0,,-6.188889,80.32918
US_IN_18103,2020-01-22,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,5.43,4.69,7.89,8.63,6.17,5.18,15.79,6.41,6.41,9.87,3.45,4.44,6.91,7.89,9.37,26.39,6.41,7.4,9.13,,38.97,,6.41,7.15,6.41,-3.655556,-6.916667,1.25,0.0,,-7.127778,77.128087
US_IN_18103,2020-01-23,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,4.86,8.74,8.02,8.02,4.37,5.59,15.79,3.4,4.13,7.53,4.61,3.89,4.86,4.86,10.2,29.14,4.37,6.31,3.4,5.1,34.97,3.89,5.1,5.83,4.61,1.472222,-3.327778,5.688889,0.0,,-4.638889,64.26876
US_IN_18103,2020-01-24,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,7.23,7.23,6.75,5.06,6.51,4.1,20.73,5.06,,8.2,5.3,4.82,4.1,3.86,8.2,27.96,,6.51,,4.58,29.65,5.79,7.47,4.58,5.06,3.1,0.483333,5.111111,1.197429,,1.861111,91.735148
US_IN_18103,2020-01-25,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,6.86,5.76,8.78,5.21,4.94,4.94,20.03,6.58,,7.68,4.12,7.13,7.68,,6.31,29.09,6.86,9.05,4.94,5.49,34.3,,6.58,,5.49,1.133333,-0.088889,3.6,5.007429,30.48,0.594444,96.327939
US_IN_18103,2020-01-26,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,4.92,7.51,7.0,6.22,4.15,6.74,22.54,10.36,,8.29,4.41,4.15,5.96,7.77,5.18,27.98,,5.7,6.22,6.22,34.46,5.44,7.77,7.0,,0.15,-0.58642,2.034722,1.161143,30.48,-0.722222,93.991967
US_IN_18103,2020-01-27,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,3.62,7.0,7.72,10.62,6.04,4.1,26.8,8.93,4.34,10.14,4.59,6.52,4.59,3.62,8.69,43.69,7.0,4.83,5.55,,38.87,5.31,6.04,4.59,,-0.516667,-1.716667,1.283333,0.0,30.48,-1.544444,92.895705
US_IN_18103,2020-01-28,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,4.38,8.77,9.74,8.77,7.55,5.84,26.3,11.69,,7.3,,6.58,7.79,,8.28,37.26,4.38,5.6,3.41,6.58,31.66,,7.55,5.6,,0.061111,-1.02381,0.777778,0.0,30.48,-0.861111,93.665514
US_IN_18103,2020-01-29,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,4.07,5.27,7.43,7.67,5.75,5.27,37.39,9.35,3.83,6.23,4.55,5.27,7.19,5.27,4.55,40.26,10.07,,4.79,5.27,36.67,,11.26,,5.75,-0.144444,-0.679012,0.537037,0.0,,-2.172222,86.436185
US_IN_18103,2020-01-30,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,4.11,4.35,8.22,8.46,6.29,6.29,34.82,11.12,6.53,9.43,5.56,4.59,5.32,3.63,5.08,40.87,7.74,5.08,5.8,4.35,33.62,4.59,4.84,6.05,3.63,-0.25,-0.855556,0.722222,0.0,,-2.611111,84.292826
US_IN_18103,2020-01-31,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,4.68,3.69,8.61,5.91,5.41,,27.81,8.37,4.18,9.6,5.91,,5.17,,5.66,40.36,7.88,6.64,3.94,6.15,25.84,,6.4,,4.18,0.316667,-0.733333,2.827778,0.0,,-1.933333,85.099269
US_IN_18103,2020-02-01,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,,4.4,8.53,7.7,4.95,,23.38,10.45,,6.88,5.5,6.6,7.7,3.85,6.88,31.63,4.68,5.78,6.88,3.85,33.28,,6.6,4.95,4.68,0.983333,-0.427778,3.188889,0.3048,,-0.144444,92.32285
US_IN_18103,2020-02-02,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,5.97,6.25,10.59,8.42,4.34,5.7,20.91,8.42,4.62,7.33,4.34,5.16,4.34,5.16,4.07,29.59,5.97,4.89,4.89,,41.54,,6.25,5.7,,5.188889,0.2,15.4,0.028222,,1.094444,75.128985
US_IN_18103,2020-02-03,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,7.54,6.08,6.81,8.76,4.38,6.81,26.26,12.16,3.89,6.08,8.03,6.81,7.78,7.3,5.84,31.61,4.86,5.11,4.38,5.59,33.07,4.38,6.08,3.4,5.35,6.466667,-0.972222,13.627778,0.0,,2.944444,78.646111
US_IN_18103,2020-02-04,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,6.51,5.3,10.13,8.68,6.75,4.1,17.6,6.75,5.06,7.23,4.82,4.1,5.55,5.55,5.06,29.9,6.51,5.55,5.55,4.34,34.24,4.1,4.58,5.55,,6.538889,0.122222,12.716667,0.889,,3.522222,81.486508
US_IN_18103,2020-02-05,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,3.87,4.11,10.39,6.77,4.59,3.87,22.23,8.7,5.08,7.25,5.8,,5.8,,7.49,25.86,4.11,8.46,4.83,5.32,29.48,8.22,6.53,3.62,,-0.094444,-1.983333,1.183333,2.467429,30.48,-4.35,73.536957
US_IN_18103,2020-02-06,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,3.43,6.86,7.59,7.1,5.63,4.17,21.8,8.08,5.88,6.86,4.66,7.35,6.37,,6.61,26.21,4.66,3.43,3.92,4.41,27.93,4.9,5.88,7.84,,-2.808642,-3.37037,-0.783951,2.201333,40.64,-4.135802,90.771913
US_IN_18103,2020-02-07,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,4.25,5.43,11.32,5.19,5.19,3.3,18.17,6.61,4.72,8.97,4.48,,5.43,,4.48,28.08,4.72,6.84,,4.48,30.44,4.25,5.43,,3.54,-2.746914,-5.265432,0.882716,0.3175,30.48,-5.141975,83.881189
US_IN_18103,2020-02-08,ChIJ_YQ75pJwFIgRZaRGnODdLY8,Q304289,geoId/18103,US,United States of America,IN,Indiana,18103,Miami County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35864,19268,16596,3960,4573,4575,4559,4823,4987,4278,2663,1446,1802228,40.77,-86.05,977,76.33,,,,,4.02,,4.55,4.29,3.75,4.55,16.07,9.64,5.09,9.38,6.16,7.23,6.16,5.62,7.77,20.89,,4.29,,,32.95,,5.36,4.29,,-1.444444,-4.524691,0.839506,0.6985,30.48,-3.092593,88.796658
