location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anemia,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bloating,search_trends_bone_fracture,search_trends_burn,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_dementia,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_epilepsy,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_hay_fever,search_trends_headache,search_trends_heart_arrhythmia,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_nausea,search_trends_obesity,search_trends_pain,search_trends_paresthesia,search_trends_perspiration,search_trends_scar,search_trends_skin_condition,search_trends_skin_rash,search_trends_skin_ulcer,search_trends_sleep_disorder,search_trends_sore_throat,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_KS_20169,2020-01-11,ChIJT1BSz2DAvIcRVmQB_0faOrY,Q375991,geoId/20169,US,United States of America,KS,Kansas,20169,Saline County,US,USA,2,,,,,,,54508,27013,27495,7029,7188,6934,6671,6231,7433,6504,3850,2668,1070392,38.7833,-97.6667,1868,78.033333,,,,,,,2.77,3.88,7.77,3.88,9.99,,5.27,5.27,1.94,3.05,5.13,4.16,1.94,2.36,,2.77,16.79,4.3,10.13,2.91,2.36,3.19,2.5,8.19,2.36,,2.91,2.64,4.16,4.72,3.88,4.16,,5.55,,2.91,5.13,20.81,3.05,2.77,6.66,,3.05,3.88,,,4.58,37.19,2.77,1.94,,2.91,5.97,,2.64,,3.05,5.13,3.19,4.58,3.33,2.5,2.64,3.19,-7.419753,-11.32716,-0.981481,6.462889,,-11.534722,72.469437
US_KS_20169,2020-01-12,ChIJT1BSz2DAvIcRVmQB_0faOrY,Q375991,geoId/20169,US,United States of America,KS,Kansas,20169,Saline County,US,USA,2,,,,,,,54508,27013,27495,7029,7188,6934,6671,6231,7433,6504,3850,2668,1070392,38.7833,-97.6667,1868,78.033333,,,,,,,3.32,5.95,8.44,4.84,10.24,,8.31,4.15,1.94,2.35,6.51,5.12,,3.6,,3.6,15.37,,5.95,3.74,2.08,5.26,,9.28,5.67,2.35,,2.77,5.54,2.63,,4.15,2.21,3.74,2.91,4.29,6.51,27.13,6.09,4.29,8.31,2.49,5.12,4.84,,1.94,5.95,37.24,,,1.94,4.01,6.09,,4.15,2.49,4.01,3.46,6.09,3.04,,4.15,2.63,2.63,-4.895062,-9.450617,0.012346,0.0,78.74,-6.763889,85.716611
US_KS_20169,2020-01-13,ChIJT1BSz2DAvIcRVmQB_0faOrY,Q375991,geoId/20169,US,United States of America,KS,Kansas,20169,Saline County,US,USA,2,,,,,,,54508,27013,27495,7029,7188,6934,6671,6231,7433,6504,3850,2668,1070392,38.7833,-97.6667,1868,78.033333,,,,,,,1.79,4.47,6.04,3.69,10.29,1.9,7.16,6.26,2.68,3.24,5.48,3.69,1.9,5.48,,2.79,16.99,2.91,8.16,1.68,1.68,5.93,2.79,9.39,4.92,2.79,3.47,4.25,6.04,,2.35,2.46,2.24,4.7,3.35,1.79,7.49,27.84,4.47,4.58,6.93,2.79,4.7,4.14,2.79,2.24,5.48,37.45,2.01,,1.56,3.24,5.03,1.68,3.02,,2.79,5.48,3.35,2.12,3.13,4.25,2.46,1.56,-0.814815,-6.333333,5.567901,0.056444,30.48,-2.298611,90.068501
US_KS_20169,2020-01-14,ChIJT1BSz2DAvIcRVmQB_0faOrY,Q375991,geoId/20169,US,United States of America,KS,Kansas,20169,Saline County,US,USA,2,,,,,,,54508,27013,27495,7029,7188,6934,6671,6231,7433,6504,3850,2668,1070392,38.7833,-97.6667,1868,78.033333,,,,,,,1.56,4.58,8.04,4.13,10.83,,7.26,4.13,2.46,3.68,5.02,4.46,2.46,4.46,1.79,2.46,15.63,3.8,8.26,2.12,1.79,3.57,2.68,8.6,6.03,2.46,2.57,4.35,5.36,1.9,3.24,2.79,,4.46,3.68,2.01,5.8,28.91,5.25,3.68,7.14,3.35,4.8,5.13,2.34,2.68,5.36,37.29,1.56,1.9,1.68,3.57,7.03,2.12,2.23,2.9,3.57,5.25,3.68,4.24,3.01,2.79,1.79,,3.796296,-0.185185,9.209877,0.03175,30.48,2.541667,91.988049
US_KS_20169,2020-01-15,ChIJT1BSz2DAvIcRVmQB_0faOrY,Q375991,geoId/20169,US,United States of America,KS,Kansas,20169,Saline County,US,USA,2,,,,,,,54508,27013,27495,7029,7188,6934,6671,6231,7433,6504,3850,2668,1070392,38.7833,-97.6667,1868,78.033333,,,,,,,2.25,6.06,5.05,3.03,8.53,,6.29,6.06,,5.5,7.74,5.28,1.8,4.04,1.91,2.25,12.01,4.04,5.61,3.03,2.58,4.38,,10.89,7.63,3.25,1.8,4.6,5.61,2.13,3.03,3.7,2.25,3.14,1.57,1.91,8.42,30.75,6.51,3.93,6.51,4.71,4.71,4.83,2.36,2.36,6.51,38.05,1.91,,,5.16,6.85,,2.13,1.57,2.92,2.36,4.94,3.48,2.69,4.38,2.69,1.8,3.753086,-1.660494,7.716049,0.0,,1.236111,83.844835
US_KS_20169,2020-01-16,ChIJT1BSz2DAvIcRVmQB_0faOrY,Q375991,geoId/20169,US,United States of America,KS,Kansas,20169,Saline County,US,USA,2,,,,,,,54508,27013,27495,7029,7188,6934,6671,6231,7433,6504,3850,2668,1070392,38.7833,-97.6667,1868,78.033333,,,,,,,2.44,3.77,5.77,5.21,9.54,2.66,7.65,5.88,3.44,4.1,4.55,3.99,1.66,4.1,,2.11,15.86,2.99,7.32,3.55,1.89,5.1,1.77,8.43,5.32,2.99,2.44,4.21,4.1,2.22,3.66,3.44,,4.21,2.33,2.77,6.65,31.05,4.55,2.99,5.32,2.88,5.77,4.88,4.1,1.89,5.1,35.81,,1.77,2.44,3.99,6.1,1.66,1.77,2.55,3.77,3.44,5.43,3.1,2.44,2.66,2.22,2.22,-7.604938,-11.623457,-1.117284,0.0,,-13.298611,63.472253
US_KS_20169,2020-01-17,ChIJT1BSz2DAvIcRVmQB_0faOrY,Q375991,geoId/20169,US,United States of America,KS,Kansas,20169,Saline County,US,USA,2,,,,,,,54508,27013,27495,7029,7188,6934,6671,6231,7433,6504,3850,2668,1070392,38.7833,-97.6667,1868,78.033333,,,,,,,1.7,4.07,5.42,3.95,8.59,2.6,7.23,5.65,2.6,3.62,3.16,3.62,,1.92,1.7,,13.22,3.62,6.44,2.6,2.37,4.18,,9.94,4.75,3.05,2.49,3.28,4.07,2.49,3.5,3.5,,3.73,,3.16,6.1,25.53,5.99,2.37,4.75,1.58,4.07,3.95,2.37,,2.82,30.84,2.6,1.58,,4.41,5.99,,1.58,,2.03,3.73,4.18,2.82,1.92,3.16,2.49,2.82,-1.12963,-6.197531,2.975309,4.995333,,-3.638889,82.660489
US_KS_20169,2020-01-18,ChIJT1BSz2DAvIcRVmQB_0faOrY,Q375991,geoId/20169,US,United States of America,KS,Kansas,20169,Saline County,US,USA,2,,,,,,,54508,27013,27495,7029,7188,6934,6671,6231,7433,6504,3850,2668,1070392,38.7833,-97.6667,1868,78.033333,,,,,,,2.92,4.46,8.77,5.57,5.99,,5.43,3.06,,3.2,4.46,4.18,1.95,3.9,,2.09,13.37,2.92,7.66,2.92,2.37,3.06,2.37,6.68,5.57,,3.34,4.59,4.46,,2.92,4.46,,2.92,,2.65,5.43,19.77,3.2,2.23,5.01,3.76,2.92,2.51,,3.06,4.59,37.73,,,3.2,,4.46,,,2.51,3.34,5.43,3.06,,,3.76,3.48,2.65,1.5,-3.882716,5.333333,3.951111,,-3.791667,67.46922
US_KS_20169,2020-01-19,ChIJT1BSz2DAvIcRVmQB_0faOrY,Q375991,geoId/20169,US,United States of America,KS,Kansas,20169,Saline County,US,USA,2,,,,,,,54508,27013,27495,7029,7188,6934,6671,6231,7433,6504,3850,2668,1070392,38.7833,-97.6667,1868,78.033333,,,,,,,1.91,3.95,7.36,5.72,7.08,,5.99,5.72,,,3.54,2.86,,3.27,1.91,2.04,16.21,3.27,7.22,,1.91,3.68,2.59,6.54,4.63,4.36,2.72,4.5,3.81,3.0,5.31,4.36,,5.04,,3.0,3.54,19.75,5.04,2.72,6.13,2.45,2.86,3.4,2.31,2.59,4.09,32.96,1.91,,1.91,4.63,5.45,,3.0,,2.04,6.81,2.86,3.27,4.77,3.4,2.72,3.4,-3.851852,-7.802469,1.981481,0.056444,,-9.784722,62.389612
US_KS_20169,2020-01-20,ChIJT1BSz2DAvIcRVmQB_0faOrY,Q375991,geoId/20169,US,United States of America,KS,Kansas,20169,Saline County,US,USA,2,,,,,,,54508,27013,27495,7029,7188,6934,6671,6231,7433,6504,3850,2668,1070392,38.7833,-97.6667,1868,78.033333,,,,,,,2.39,4.16,6.42,4.91,8.18,,5.67,4.91,1.89,2.9,5.67,3.4,,4.91,,1.76,16.62,3.53,8.69,2.9,3.4,4.79,4.41,9.57,6.04,2.52,3.02,5.29,5.41,2.14,2.9,4.41,,3.78,,3.15,6.3,27.07,4.53,3.4,7.68,3.15,4.79,4.53,2.52,,4.91,34.37,2.14,2.14,2.64,5.41,7.3,2.14,2.64,2.14,2.77,5.92,5.16,5.16,1.89,3.27,3.4,4.53,-7.17284,-10.598765,-2.049383,0.0,,-12.076389,66.967686
US_KS_20169,2020-01-21,ChIJT1BSz2DAvIcRVmQB_0faOrY,Q375991,geoId/20169,US,United States of America,KS,Kansas,20169,Saline County,US,USA,2,,,,,,,54508,27013,27495,7029,7188,6934,6671,6231,7433,6504,3850,2668,1070392,38.7833,-97.6667,1868,78.033333,,,,,,,2.66,3.21,5.87,4.54,8.42,2.22,7.09,5.76,2.77,3.99,4.21,3.88,2.88,3.66,,1.77,18.06,4.21,9.08,2.22,2.33,3.32,,11.52,2.99,2.33,1.88,5.87,4.99,,2.77,1.88,,7.87,1.55,,6.2,27.7,5.76,2.99,5.65,1.88,1.99,8.2,3.32,2.22,5.1,36.45,2.22,,,3.32,4.21,,2.22,2.22,1.77,3.77,5.43,3.1,2.44,4.54,2.77,2.22,-7.067901,-12.790123,2.493827,0.0,,-11.104167,71.458884
US_KS_20169,2020-01-22,ChIJT1BSz2DAvIcRVmQB_0faOrY,Q375991,geoId/20169,US,United States of America,KS,Kansas,20169,Saline County,US,USA,2,,,,,,,54508,27013,27495,7029,7188,6934,6671,6231,7433,6504,3850,2668,1070392,38.7833,-97.6667,1868,78.033333,,,,,,,,3.28,7.55,3.28,9.2,1.97,8.87,5.25,2.41,4.05,5.04,3.94,1.75,3.5,1.64,1.53,17.74,3.94,9.2,3.06,2.63,4.05,1.75,8.21,3.5,2.96,2.52,4.71,3.17,2.41,3.06,3.83,1.53,4.82,,3.06,6.57,27.92,5.69,4.6,6.35,3.06,3.61,6.02,2.19,2.63,4.93,29.67,1.64,3.17,1.64,3.5,5.69,1.75,2.52,3.5,3.28,4.16,3.72,3.39,2.19,3.39,2.63,1.97,1.604938,0.611111,3.432099,6.096,,-0.284722,87.318141
US_KS_20169,2020-01-23,ChIJT1BSz2DAvIcRVmQB_0faOrY,Q375991,geoId/20169,US,United States of America,KS,Kansas,20169,Saline County,US,USA,2,,,,,,,54508,27013,27495,7029,7188,6934,6671,6231,7433,6504,3850,2668,1070392,38.7833,-97.6667,1868,78.033333,,,,,,,1.99,4.2,6.19,5.2,9.62,3.54,6.86,6.19,,3.76,4.87,3.43,1.99,3.1,1.88,2.77,16.7,4.64,6.08,3.21,2.99,4.53,2.32,8.74,3.87,4.42,1.77,4.42,5.31,1.77,4.98,2.99,,6.52,4.87,2.65,5.97,30.3,6.52,4.75,8.18,3.43,2.88,5.2,4.53,1.55,6.08,40.03,2.65,,,3.98,5.86,,2.1,2.32,5.64,3.87,3.54,2.99,1.66,2.1,2.21,2.65,2.339506,0.469136,4.006173,2.794,,1.118056,91.434412
US_KS_20169,2020-01-24,ChIJT1BSz2DAvIcRVmQB_0faOrY,Q375991,geoId/20169,US,United States of America,KS,Kansas,20169,Saline County,US,USA,2,,,,,,,54508,27013,27495,7029,7188,6934,6671,6231,7433,6504,3850,2668,1070392,38.7833,-97.6667,1868,78.033333,,,,,,,2.68,3.69,5.7,4.25,8.05,1.57,6.26,5.48,2.57,2.57,3.02,4.81,,2.12,,,20.8,2.12,5.59,2.35,,3.35,1.79,7.94,2.8,2.57,3.02,3.58,4.36,2.68,3.91,4.14,,5.93,2.24,3.24,6.71,28.4,4.47,3.35,5.26,1.57,2.57,5.03,2.12,,2.91,31.42,,,2.01,3.02,5.37,,3.02,2.01,4.25,5.03,3.91,5.14,,2.46,3.13,2.8,-0.259259,-1.45679,1.839506,2.088444,,-2.576389,83.958463
US_KS_20169,2020-01-25,ChIJT1BSz2DAvIcRVmQB_0faOrY,Q375991,geoId/20169,US,United States of America,KS,Kansas,20169,Saline County,US,USA,2,,,,,,,54508,27013,27495,7029,7188,6934,6671,6231,7433,6504,3850,2668,1070392,38.7833,-97.6667,1868,78.033333,,,,,,,,5.81,7.06,4.71,8.58,,6.64,6.09,2.08,,5.4,4.84,2.35,3.6,,3.32,20.48,2.63,6.92,2.35,1.94,4.15,,7.2,4.43,2.21,3.6,4.43,4.57,,3.18,3.32,,4.98,2.08,3.46,7.75,29.2,6.23,2.08,6.37,3.18,3.88,4.43,3.6,2.63,3.74,35.57,2.08,,2.08,3.6,4.98,1.94,2.35,2.91,3.46,6.09,3.46,4.71,3.6,3.04,2.21,3.6,-1.419753,-5.5,4.240741,0.028222,,-3.034722,87.646824
US_KS_20169,2020-01-26,ChIJT1BSz2DAvIcRVmQB_0faOrY,Q375991,geoId/20169,US,United States of America,KS,Kansas,20169,Saline County,US,USA,2,,,,,,,54508,27013,27495,7029,7188,6934,6671,6231,7433,6504,3850,2668,1070392,38.7833,-97.6667,1868,78.033333,,,,,,,2.37,7.25,7.78,3.16,7.25,2.5,8.44,5.14,,2.5,3.95,5.01,2.24,4.22,2.9,1.84,24.65,5.8,9.09,3.56,,4.48,2.9,7.78,3.95,,2.9,3.69,3.43,2.11,4.22,4.75,,4.22,,2.11,6.72,32.29,4.75,2.24,6.99,2.64,3.43,3.69,1.98,1.98,3.43,35.59,3.29,,1.98,4.88,6.72,1.98,,,3.16,5.4,4.61,3.82,,4.75,,2.24,2.54321,-4.061728,13.228395,0.0,,-0.902778,77.193996
US_KS_20169,2020-01-27,ChIJT1BSz2DAvIcRVmQB_0faOrY,Q375991,geoId/20169,US,United States of America,KS,Kansas,20169,Saline County,US,USA,2,,,,,,,54508,27013,27495,7029,7188,6934,6671,6231,7433,6504,3850,2668,1070392,38.7833,-97.6667,1868,78.033333,,,,,,,2.2,4.51,5.5,4.51,10.01,1.76,6.38,4.4,1.87,3.08,5.94,2.53,1.76,4.18,1.76,1.54,23.0,2.09,7.15,1.98,2.75,2.75,3.52,8.8,3.63,2.42,2.42,5.72,5.28,3.19,2.64,4.29,,4.4,3.52,2.64,7.92,34.22,4.95,3.41,7.37,3.85,4.73,2.97,1.65,2.53,2.31,34.99,1.54,2.09,1.65,4.4,6.16,,3.19,2.42,3.3,4.73,4.84,4.18,2.42,2.75,2.09,,2.018519,-2.54321,9.734568,0.0,,-1.125,79.047677
US_KS_20169,2020-01-28,ChIJT1BSz2DAvIcRVmQB_0faOrY,Q375991,geoId/20169,US,United States of America,KS,Kansas,20169,Saline County,US,USA,2,,,,,,,54508,27013,27495,7029,7188,6934,6671,6231,7433,6504,3850,2668,1070392,38.7833,-97.6667,1868,78.033333,,,,,,,2.29,5.13,6.33,5.13,8.84,3.27,7.75,6.98,2.95,6.33,5.13,3.93,1.75,4.91,1.53,3.06,32.73,1.53,8.84,2.73,3.93,4.04,2.07,9.93,3.82,2.95,2.29,5.56,4.8,2.29,3.38,2.4,,3.71,2.07,2.07,7.86,41.35,6.22,4.36,6.76,1.85,5.46,5.78,2.29,1.96,6.55,36.0,1.96,1.53,2.29,4.15,6.76,2.18,2.51,1.64,2.51,10.15,5.35,4.04,1.96,3.93,,1.96,0.228395,-0.808642,2.882716,0.366889,,-1.819444,86.377877
