location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_diabetes,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_OR_41015,2020-01-11,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,,5.38,5.72,,,7.4,6.73,,,15.48,,,32.64,5.38,5.05,7.58642,4.228395,9.290123,10.131778,,4.222222,83.711256
US_OR_41015,2020-01-12,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,6.01,9.02,5.34,9.02,,10.02,5.34,,6.01,16.37,10.69,7.35,35.08,5.01,5.01,6.833333,5.160494,8.635802,3.781778,,4.490741,90.070323
US_OR_41015,2020-01-13,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,4.5,8.16,7.31,4.78,4.5,8.44,5.91,4.22,5.34,16.32,3.94,,31.22,4.78,5.91,5.111111,2.925926,8.518519,9.369778,,3.046296,90.524117
US_OR_41015,2020-01-14,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,,6.51,6.81,4.14,,7.7,8.88,,7.4,15.39,,5.92,28.41,6.81,,5.265432,2.938272,8.018519,25.089556,,2.888889,88.128758
US_OR_41015,2020-01-15,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,4.54,11.91,7.09,5.39,5.96,8.51,,,6.8,17.3,4.54,5.39,31.47,,4.82,4.395062,1.518519,8.666667,7.281333,,0.777778,81.615723
US_OR_41015,2020-01-16,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,5.1,7.93,7.08,5.95,,7.37,8.22,5.67,8.79,13.89,6.52,3.97,25.5,3.97,5.1,3.654321,1.32716,8.154321,27.827111,,1.546296,91.052302
US_OR_41015,2020-01-17,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,,7.37,7.93,3.97,3.97,8.5,8.22,,9.63,15.02,5.38,4.82,26.64,7.08,,4.277778,1.907407,7.117284,7.817556,,1.722222,87.63361
US_OR_41015,2020-01-18,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,,5.71,7.39,,,8.06,6.72,,,15.79,6.05,5.71,29.57,,,7.228395,4.469136,10.0,1.354667,,2.425926,77.257951
US_OR_41015,2020-01-19,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,7.47,9.16,5.09,,,8.15,7.47,,6.45,18.67,6.11,,39.37,5.43,,8.216049,4.814815,12.0,5.051778,,5.592593,88.517822
US_OR_41015,2020-01-20,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,,9.52,6.46,5.1,8.16,16.66,7.82,,11.56,26.86,6.46,6.12,36.38,6.46,7.48,8.135802,5.37037,12.209877,0.169333,,4.12963,80.111526
US_OR_41015,2020-01-21,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,4.99,9.69,7.93,,4.99,8.81,8.81,4.11,5.29,17.91,6.46,,34.65,5.87,6.75,8.240741,5.148148,11.506173,8.523111,,5.12037,84.63482
US_OR_41015,2020-01-22,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,,10.78,9.32,6.7,7.28,7.86,13.4,4.95,9.03,15.14,4.95,,37.57,5.83,4.08,7.981481,6.395062,10.623457,7.563556,,5.490741,90.574142
US_OR_41015,2020-01-23,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,4.15,8.59,,,7.7,12.74,8.0,5.04,8.89,18.37,4.74,4.15,30.52,5.33,,9.746914,7.450617,11.432099,1.862667,,7.944444,93.624147
US_OR_41015,2020-01-24,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,6.93,10.9,6.61,4.95,4.95,14.53,7.26,,5.94,29.39,5.61,,29.06,6.28,,9.969136,8.691358,11.864198,14.986,,8.546296,94.677809
US_OR_41015,2020-01-25,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,5.71,7.72,7.72,6.04,,16.44,5.71,,10.74,29.86,8.39,6.04,32.88,5.71,9.06,10.141975,8.419753,12.067901,2.088444,,8.777778,94.872753
US_OR_41015,2020-01-26,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,,6.81,7.78,4.54,6.81,24.64,8.75,,7.46,31.12,,,33.39,5.19,,10.296296,8.006173,12.179012,18.965333,,8.712963,93.629974
US_OR_41015,2020-01-27,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,7.15,8.01,4.58,4.29,5.15,22.89,10.3,,,30.32,6.01,4.58,31.18,7.44,,9.154321,7.32716,11.216049,5.418667,,7.212963,92.567216
US_OR_41015,2020-01-28,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,6.62,11.23,5.76,5.76,5.47,16.41,10.08,4.9,,32.54,4.9,10.08,36.57,6.34,6.05,10.018519,8.41358,11.320988,13.857111,,8.231481,93.0547
US_OR_41015,2020-01-29,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,6.03,9.65,4.82,6.33,,17.49,5.73,,6.93,29.55,6.63,5.12,33.77,5.43,,8.469136,6.790123,10.944444,2.314222,,5.925926,88.735441
US_OR_41015,2020-01-30,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,,10.75,4.07,4.36,,29.34,12.49,,4.07,31.96,5.52,6.68,31.38,,4.94,9.117284,6.580247,11.765432,6.462889,,7.833333,94.761462
US_OR_41015,2020-01-31,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,5.63,5.0,5.0,4.38,,18.44,7.5,,6.56,25.63,4.38,5.0,26.88,4.38,6.56,10.814815,8.166667,13.944444,0.112889,,8.898148,89.678578
US_OR_41015,2020-02-01,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,,7.58,7.25,5.93,5.6,17.46,6.59,,6.26,27.34,,,29.98,10.54,5.6,10.234568,8.222222,13.697531,3.273778,,8.685185,93.232085
US_OR_41015,2020-02-02,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,6.83,6.15,,,6.15,10.25,6.15,,8.2,26.64,,5.46,29.03,6.83,5.12,5.753086,2.04321,10.006173,4.459111,,2.509259,82.522564
US_OR_41015,2020-02-03,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,4.64,8.05,5.26,4.33,5.26,13.93,8.36,,6.19,31.89,6.5,7.43,32.82,11.46,,2.598765,-0.259259,7.549383,2.455333,,-0.388889,84.459763
US_OR_41015,2020-02-04,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,,6.9,7.8,4.2,4.8,12.0,8.1,,9.3,19.5,,6.9,26.71,6.6,,2.962963,-0.592593,8.0,0.423333,,-2.888889,68.799793
US_OR_41015,2020-02-05,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,4.74,6.52,6.52,5.34,,14.23,9.49,5.63,8.01,29.06,4.45,,32.02,5.63,4.45,6.296296,1.728395,9.45679,0.0,,1.675926,75.84085
US_OR_41015,2020-02-06,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,4.76,5.35,6.84,6.54,4.16,17.84,8.32,,8.62,27.95,6.84,4.46,30.32,,,8.506173,5.753086,11.246914,5.023556,,7.111111,95.014638
US_OR_41015,2020-02-07,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,5.14,5.14,6.65,,5.14,14.51,8.16,,8.16,23.27,,,28.41,4.53,,8.567901,6.388889,11.345679,0.649111,,6.601852,90.861381
US_OR_41015,2020-02-08,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,5.46,6.15,,,,14.0,13.66,5.8,6.49,25.95,5.8,6.49,33.81,,,7.222222,4.41358,10.820988,2.173111,,4.111111,83.866583
US_OR_41015,2020-02-09,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,5.72,7.41,,6.4,,15.15,7.07,,8.42,17.17,5.72,,32.33,6.4,,5.216049,1.290123,11.0,1.241778,,-0.37037,71.145715
US_OR_41015,2020-02-10,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,5.98,10.16,6.87,7.47,,9.86,8.96,4.18,4.78,20.02,,7.17,28.99,7.77,6.57,7.308642,1.95679,13.444444,0.0,,-0.583333,61.718842
US_OR_41015,2020-02-11,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,4.14,5.03,5.03,7.1,5.91,13.9,7.1,,4.14,19.81,,,29.27,8.57,,9.123457,3.783951,14.364198,0.0,,0.62963,59.504139
US_OR_41015,2020-02-12,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,5.88,8.22,7.05,,,11.16,6.17,6.76,7.93,22.62,,6.76,26.14,6.46,4.41,7.648148,2.438272,14.080247,0.0,,2.87963,73.390261
US_OR_41015,2020-02-13,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,7.57,7.28,5.83,7.57,4.66,7.57,7.86,,6.7,16.31,6.41,4.08,30.29,5.53,6.99,6.444444,2.395062,11.623457,0.0,,3.240741,81.343558
US_OR_41015,2020-02-14,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,,,,,,5.16,6.07,7.28,6.98,,11.53,5.16,,8.19,16.09,7.28,6.98,29.74,4.86,,6.277778,2.0,10.790123,0.536222,,3.009259,81.083797
US_OR_41015,2020-02-15,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,23,4,87,-1,,6.63,9.61,6.3,5.3,6.3,15.25,8.29,6.96,9.28,25.52,5.63,7.29,30.49,7.29,,6.203704,3.296296,9.592593,0.508,,2.87963,81.445153
US_OR_41015,2020-02-16,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,36,11,79,-1,,6.15,5.5,8.09,5.5,,15.86,6.8,4.86,10.03,22.98,6.15,6.47,33.66,9.06,,7.993827,4.722222,11.006173,11.599333,,6.009259,90.704906
US_OR_41015,2020-02-17,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,22,3,,-18,,8.03,5.78,4.5,5.46,6.11,12.53,10.28,6.43,7.39,26.67,,4.82,31.49,6.75,,5.993827,2.024691,11.512346,3.245556,,2.0,77.140495
US_OR_41015,2020-02-18,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,10,-3,60,1,,,10.64,8.4,4.76,4.76,17.08,10.08,5.32,8.12,17.36,5.04,5.88,29.13,4.2,6.72,6.654321,1.518519,12.104938,0.0,,-1.601852,57.125983
US_OR_41015,2020-02-19,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,15,3,47,6,,5.23,9.01,10.17,,,15.4,6.39,4.36,7.55,24.41,4.36,5.52,26.44,5.52,,5.969136,0.290123,13.58642,0.056444,,-1.212963,60.903979
US_OR_41015,2020-02-20,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,13,0,23,1,,4.77,9.85,4.47,5.37,4.47,13.43,9.25,,8.35,22.97,7.16,6.56,29.84,8.05,4.18,7.32716,1.407407,14.506173,0.0,,0.777778,65.180254
US_OR_41015,2020-02-21,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,16,0,33,7,,5.31,8.55,7.08,,,13.27,9.14,,7.96,26.25,6.78,6.78,29.79,5.01,4.13,7.339506,2.185185,13.67284,0.0,,1.398148,67.789899
US_OR_41015,2020-02-22,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,22,1,84,8,,6.37,9.72,5.7,5.03,,15.09,9.39,5.36,,24.81,6.04,,35.54,,,7.333333,2.395062,12.882716,0.0,,3.12963,76.69941
US_OR_41015,2020-02-23,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,11,-7,10,2,,4.5,8.36,6.75,6.11,8.36,10.94,6.43,6.43,6.11,22.84,6.75,7.08,29.59,8.68,5.15,8.111111,4.469136,11.567901,0.084667,,4.731481,81.742081
US_OR_41015,2020-02-24,ChIJB3QJGv8txVQR6PPF_zzVDlM,Q484411,geoId/41015,US,United States of America,OR,Oregon,41015,Curry County,US,USA,2,,,,,,,22630,11155,11475,1828,1811,1824,1918,2051,3327,4803,3448,1620,1837110,42.48,-124.136667,5150,75.85,19,-1,,5,,4.09,8.18,4.96,6.13,4.67,7.88,7.88,6.42,5.55,26.87,6.13,6.13,26.57,8.76,,5.845679,1.234568,12.419753,1.072444,,0.703704,71.032357
