location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48019,2020-01-11,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,,27.66,,24.01,,20.36,16.18,45.41,,13.061111,6.961111,22.605556,7.1628,,3.472222,52.687668
US_TX_48019,2020-01-12,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,,35.14,,16.3,8.66,20.88,9.68,38.71,,8.055556,1.072222,17.833333,0.0254,,2.583333,68.6221
US_TX_48019,2020-01-13,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,,22.73,,17.28,11.82,30.01,7.73,46.83,,12.844444,6.761111,18.177778,0.0,,10.505556,86.023296
US_TX_48019,2020-01-14,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,,22.18,11.33,15.1,8.02,25.49,,37.76,,17.355556,12.211111,25.45,0.3302,,15.094444,86.830748
US_TX_48019,2020-01-15,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,7.99,20.2,8.46,18.79,10.8,22.55,12.21,41.34,12.68,20.427778,15.533333,25.177778,0.0508,,17.794444,84.987833
US_TX_48019,2020-01-16,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,8.83,14.87,7.9,16.26,8.83,24.16,7.9,33.46,16.26,18.511111,13.75,23.111111,0.0508,,16.638889,88.942383
US_TX_48019,2020-01-17,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,6.88,16.96,,18.34,12.84,27.05,,45.85,8.25,13.461111,10.955556,18.772222,10.3632,,12.333333,93.037015
US_TX_48019,2020-01-18,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,9.62,17.11,,18.72,11.76,26.2,,48.66,,17.227778,13.461111,20.211111,5.461,,13.661111,79.626355
US_TX_48019,2020-01-19,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,,24.03,,16.2,18.81,27.17,,37.61,,9.366667,3.194444,17.294444,0.0508,,-3.15,41.449322
US_TX_48019,2020-01-20,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,,22.23,,18.19,8.08,19.7,10.1,40.92,,7.977778,1.544444,15.605556,0.0,,-3.95,42.863032
US_TX_48019,2020-01-21,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,,28.34,14.89,21.14,11.53,33.63,8.65,49.48,7.21,9.35,2.95,16.222222,0.0,,-0.644444,49.791807
US_TX_48019,2020-01-22,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,,23.26,,35.12,9.97,32.75,,40.82,,11.677778,7.677778,15.65,4.2164,,9.061111,84.107256
US_TX_48019,2020-01-23,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,10.13,21.7,8.2,24.6,9.65,36.17,9.16,39.07,8.68,13.838889,8.016667,21.322222,3.9624,,8.816667,71.808729
US_TX_48019,2020-01-24,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,8.34,26.01,,21.59,15.7,30.42,7.36,33.86,14.23,11.111111,3.188889,20.138889,0.0,,3.361111,58.901062
US_TX_48019,2020-01-25,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,11.64,19.4,,24.95,8.31,38.25,,56.54,,11.355556,4.788889,18.033333,0.0,,6.327778,71.348638
US_TX_48019,2020-01-26,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,12.36,27.69,,37.58,,31.15,8.9,43.02,13.35,16.488889,9.316667,25.15,0.4826,,11.522222,72.543781
US_TX_48019,2020-01-27,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,9.69,22.62,,31.85,8.77,41.55,,48.93,9.23,14.361111,6.194444,24.383333,0.0,,7.355556,63.021235
US_TX_48019,2020-01-28,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,,21.07,,16.76,,44.53,7.66,47.41,,15.45,9.25,22.011111,6.35,,9.361111,67.189271
US_TX_48019,2020-01-29,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,10.77,26.94,11.31,24.24,16.16,35.02,,50.64,8.62,10.566667,3.994444,17.861111,0.6096,,0.85,51.365783
US_TX_48019,2020-01-30,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,,20.48,8.29,27.79,,33.64,8.29,46.32,7.31,7.216667,4.233333,14.905556,0.0,,3.177778,75.686448
US_TX_48019,2020-01-31,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,7.35,15.16,,22.52,7.81,30.79,,41.36,,9.216667,5.988889,15.338889,0.0,,3.833333,69.174118
US_TX_48019,2020-02-01,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,8.12,20.04,,18.96,12.46,30.87,,30.33,,10.322222,1.333333,21.633333,0.0,,0.161111,49.440637
US_TX_48019,2020-02-02,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,,16.58,10.05,27.13,,22.1,12.06,40.19,8.54,12.2,2.466667,23.811111,0.0,,-1.572222,38.951416
US_TX_48019,2020-02-03,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,,23.15,7.86,23.59,15.73,29.27,,40.19,10.05,15.755556,10.977778,21.355556,0.0,,7.472222,58.129758
US_TX_48019,2020-02-04,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,,15.64,9.83,14.74,16.08,21.89,8.94,42.44,,17.85,12.483333,24.994444,0.2032,,14.222222,79.404222
US_TX_48019,2020-02-05,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,,11.23,,19.01,7.78,34.13,,33.27,,6.416667,2.594444,18.244444,0.0762,,2.794444,78.079804
US_TX_48019,2020-02-06,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,,15.08,9.31,15.52,9.31,26.17,9.76,32.38,6.65,3.438889,-3.638889,14.044444,0.0254,,-4.761111,55.117292
US_TX_48019,2020-02-07,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,,15.47,10.61,20.33,7.07,29.17,8.4,42.43,,8.983333,-1.655556,22.977778,0.0,,-3.922222,40.170138
US_TX_48019,2020-02-08,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,8.79,11.54,,24.72,9.89,30.76,,45.59,8.79,11.783333,5.377778,20.983333,0.0,,3.511111,57.296522
US_TX_48019,2020-02-09,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,,17.57,,18.57,8.03,25.6,10.04,42.17,9.04,18.983333,13.288889,25.627778,0.0,,15.838889,82.081696
US_TX_48019,2020-02-10,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,6.4,19.2,8.11,17.49,,30.72,,39.68,11.52,19.016667,11.355556,24.305556,0.0254,,16.661111,86.32692
US_TX_48019,2020-02-11,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,,14.26,7.35,16.42,11.67,28.52,,44.08,,7.883333,5.955556,12.394444,1.9304,,5.744444,86.524096
US_TX_48019,2020-02-12,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,9.02,9.92,7.22,22.1,9.47,21.65,8.57,42.85,,8.227778,5.488889,17.833333,13.9446,,5.711111,84.24863
US_TX_48019,2020-02-13,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,,13.04,,29.34,7.92,36.33,,47.51,9.31,9.455556,2.822222,16.788889,6.2992,,2.333333,61.206639
US_TX_48019,2020-02-14,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,,,,,,,14.03,,25.55,7.51,33.06,7.51,39.57,,6.555556,-0.172222,15.166667,0.0,,0.661111,66.069613
US_TX_48019,2020-02-15,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,71,4,,11,,,18.21,,19.28,12.32,26.77,11.25,36.95,,9.022222,1.683333,16.388889,0.0,,4.4,72.857407
US_TX_48019,2020-02-16,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,16,2,,0,,,16.14,9.37,16.14,15.1,33.33,9.37,51.04,11.46,13.5,5.633333,23.361111,0.0,,10.216667,80.672467
US_TX_48019,2020-02-17,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,8,-4,,-19,,13.28,18.39,,16.35,12.26,30.14,,44.44,7.66,17.783333,9.9,27.038889,0.0,,14.455556,81.056818
US_TX_48019,2020-02-18,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,16,10,,4,,,15.25,,19.17,9.59,20.92,6.54,40.53,,18.633333,11.011111,25.7,0.0,,16.172222,85.686975
US_TX_48019,2020-02-19,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,6,3,,3,,,12.49,9.71,21.74,12.49,29.14,10.64,48.1,,9.822222,8.583333,11.505556,0.889,,6.788889,81.568659
US_TX_48019,2020-02-20,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,-3,-5,,1,,7.25,9.96,,14.49,10.87,24.01,,40.31,,8.111111,6.744444,10.527778,0.9398,,6.194444,87.800677
US_TX_48019,2020-02-21,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,11,2,,3,,,15.07,9.31,15.07,12.41,23.94,,31.92,,6.455556,1.166667,12.755556,0.4064,,0.277778,64.8055
US_TX_48019,2020-02-22,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,16,3,,2,,,11.84,,11.3,12.91,27.98,,41.98,8.61,9.377778,3.555556,17.116667,0.0,,1.733333,58.969663
US_TX_48019,2020-02-23,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,4,1,,4,,11.42,15.39,9.93,17.37,,26.8,7.94,33.75,,14.655556,10.433333,20.005556,0.0,,9.75,72.55107
US_TX_48019,2020-02-24,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,20,0,,5,,,13.76,8.88,22.19,7.99,27.95,,41.27,,17.377778,13.038889,21.844444,0.0,,10.061111,62.292416
US_TX_48019,2020-02-25,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,9,7,,5,,6.7,18.77,8.94,26.82,7.6,37.54,,44.7,7.6,11.883333,4.138889,20.822222,0.0762,,3.677778,57.590183
US_TX_48019,2020-02-26,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,15,3,,0,,,15.89,,29.06,,39.05,6.81,37.69,,8.561111,2.194444,16.311111,0.0762,,-5.305556,37.168352
US_TX_48019,2020-02-27,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,25,1,,2,,,14.23,6.67,26.67,9.34,36.01,,35.12,,4.983333,-4.466667,16.405556,0.0,,-7.083333,41.528636
US_TX_48019,2020-02-28,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,24,3,,2,,,15.97,,26.18,,31.5,,35.94,10.65,9.883333,-1.138889,22.427778,0.0,,-4.766667,35.730424
US_TX_48019,2020-02-29,ChIJ3dcmJQ-pXoYR9Tfjv4TPPnA,Q108367,geoId/48019,US,United States of America,TX,Texas,48019,Bandera County,US,USA,2,,,,,,,22327,11058,11269,2012,2172,1942,2006,2319,3829,4195,2709,1143,1651195,29.74,-99.23,2066,80.34,15,3,,6,,9.51,11.62,7.92,28.52,7.92,44.36,9.51,44.89,,13.894444,3.061111,23.283333,0.0,,-0.927778,36.170646
