location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_PA_42035,2020-01-21,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,5.06,6.67,4.6,10.58,13.11,5.06,6.67,5.29,20.93,3.91,8.05,,4.14,9.89,5.75,5.29,5.06,,3.22,6.9,10.35,33.81,9.43,9.43,4.14,5.98,5.06,46.46,,7.82,8.74,6.21,4.14,-7.633333,-13.411111,-2.911111,0.0,50.8,-12.6,67.905139
US_PA_42035,2020-01-22,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,3.44,7.8,3.21,6.65,9.18,3.44,5.74,4.59,22.25,5.05,7.8,3.44,3.9,10.1,4.36,7.11,5.51,4.36,5.74,9.18,10.78,30.29,6.2,8.49,4.36,6.2,4.82,41.3,7.57,9.18,8.03,5.96,4.13,-6.327778,-13.5,1.155556,0.0,30.48,-11.838889,64.992265
US_PA_42035,2020-01-23,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,5.78,9.02,5.09,11.56,12.25,3.93,6.93,4.62,16.41,3.93,7.63,,8.09,10.17,5.09,8.55,5.09,4.86,,5.78,9.48,35.83,3.7,8.32,4.62,5.55,7.17,57.33,5.78,6.7,5.78,6.7,6.24,-4.361111,-12.85,3.144444,0.0,30.48,-10.238889,64.989328
US_PA_42035,2020-01-24,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,5.88,11.76,6.35,9.41,6.82,5.65,,4.47,19.29,4.0,7.06,,4.94,7.53,5.18,4.71,6.82,4.71,5.41,,7.53,33.88,5.88,7.53,5.88,5.88,6.82,38.82,4.71,14.35,,4.0,6.12,0.594444,-7.005556,6.727778,0.0,30.48,-4.983333,66.714764
US_PA_42035,2020-01-25,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,8.02,5.08,6.15,9.63,6.69,4.28,6.95,6.15,23.54,7.76,9.09,4.55,5.08,8.29,7.76,5.62,6.15,,4.01,6.69,4.01,42.26,6.69,8.82,5.35,5.88,4.01,46.53,4.55,8.29,5.88,4.01,,3.433333,-2.366667,7.283333,8.946444,30.48,0.377778,80.762952
US_PA_42035,2020-01-26,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,5.16,8.85,5.16,12.29,12.05,6.15,5.65,5.16,25.08,5.41,11.06,5.41,7.13,12.78,6.64,6.15,6.39,7.62,,5.9,9.34,37.86,5.16,7.62,4.18,5.65,7.13,46.22,4.67,7.13,7.62,5.9,3.93,0.783333,-0.772222,4.466667,5.700889,,-1.494444,84.790203
US_PA_42035,2020-01-27,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,3.57,8.91,5.35,11.59,9.36,8.69,4.23,,28.97,4.9,11.14,4.01,5.13,10.92,5.35,6.91,6.46,6.91,5.79,5.13,8.25,37.44,8.02,9.36,4.9,4.23,8.02,43.46,6.24,9.14,5.57,6.69,4.9,1.094444,-0.9,2.438889,0.254,,-2.15,79.290093
US_PA_42035,2020-01-28,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,5.94,6.62,5.94,9.13,14.62,6.39,6.39,5.94,23.98,4.34,12.79,,6.62,12.79,5.71,5.48,6.17,7.08,7.54,3.65,6.39,42.02,8.45,8.45,4.57,4.8,6.17,48.41,3.65,9.36,6.62,5.48,5.25,0.616667,-0.255556,2.172222,0.141111,,-3.577778,73.96505
US_PA_42035,2020-01-29,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,6.61,4.11,,11.63,11.4,4.33,4.56,6.61,28.28,5.7,13.23,,5.02,11.86,5.47,5.47,4.11,3.19,3.19,4.33,7.07,39.22,6.61,7.3,6.61,,7.75,41.27,4.56,10.72,8.21,8.44,4.56,-0.472222,-2.888889,2.366667,0.084667,,-7.133333,61.359213
US_PA_42035,2020-01-30,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,8.22,6.4,5.03,9.82,11.19,6.4,5.94,8.22,31.3,4.8,8.68,3.65,6.4,10.96,8.68,7.54,5.71,8.22,4.11,3.43,7.54,46.15,8.91,5.03,4.11,4.34,8.0,46.83,4.11,8.68,7.77,5.03,5.25,-4.238889,-9.161111,2.05,0.0,,-9.638889,66.105328
US_PA_42035,2020-01-31,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,6.94,6.26,6.04,11.41,12.75,5.82,7.16,4.47,33.79,4.47,10.96,,3.36,8.28,7.38,8.28,6.71,,,3.36,7.61,38.04,8.5,6.49,3.13,4.25,5.37,39.16,5.37,4.47,6.71,3.58,5.15,0.105556,-4.055556,3.022222,0.0,,-5.938889,64.08138
US_PA_42035,2020-02-01,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,7.86,8.91,6.29,10.22,11.8,4.19,5.5,6.55,25.95,4.19,12.58,4.19,7.34,8.65,6.29,5.77,,4.19,,6.55,6.82,28.57,7.86,7.34,,5.24,4.46,43.51,,6.29,7.08,4.19,,0.744444,-1.605556,3.394444,0.310444,,-1.911111,82.536818
US_PA_42035,2020-02-02,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,5.94,7.18,4.71,11.39,8.67,6.44,6.19,3.96,24.52,7.68,11.64,3.71,6.93,10.15,5.7,9.91,7.92,3.96,,6.69,8.17,34.92,3.96,9.41,5.2,6.93,7.43,42.35,3.47,6.93,6.44,5.45,4.95,0.344444,-1.377778,2.788889,0.60325,,-1.794444,85.625862
US_PA_42035,2020-02-03,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,6.45,7.6,5.76,10.36,9.9,9.21,5.3,4.38,30.86,5.07,12.2,,6.22,13.12,6.68,5.53,7.37,3.68,,3.68,8.06,45.59,5.76,7.83,5.3,5.3,7.37,43.52,4.14,8.98,6.45,4.38,5.3,6.594444,-0.661111,14.188889,1.6256,,0.166667,63.863868
US_PA_42035,2020-02-04,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,9.26,7.68,,11.97,12.43,6.55,4.07,8.81,23.05,4.97,11.3,4.52,8.36,9.94,7.23,7.68,4.29,5.2,3.62,5.42,7.0,35.47,9.94,4.97,8.13,6.33,6.55,50.61,4.97,6.55,7.91,6.33,4.07,7.588889,1.555556,13.688889,0.03175,,3.211111,74.158002
US_PA_42035,2020-02-05,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,6.92,11.6,4.24,10.94,8.93,3.79,4.69,5.13,26.33,4.46,11.6,,7.36,9.82,10.04,5.58,7.36,4.69,,,6.03,34.81,7.14,5.13,7.81,4.24,7.81,44.85,5.13,6.92,6.7,,4.02,0.883333,-1.527778,7.861111,1.8415,,-3.705556,71.551477
US_PA_42035,2020-02-06,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,5.02,9.38,3.49,10.69,11.13,5.67,6.11,6.54,27.49,3.93,13.31,3.27,8.07,12.22,6.76,6.54,7.2,,3.71,4.36,6.98,35.12,7.42,7.2,5.45,3.05,4.36,40.8,3.71,7.85,5.67,5.67,5.45,0.627778,-2.122222,3.227778,5.6515,,-0.911111,89.501204
US_PA_42035,2020-02-07,ChIJBROUhdXzzokR7zH7DI2Ir0w,Q494093,geoId/42035,US,United States of America,PA,Pennsylvania,42035,Clinton County,US,USA,2,,,,,,,38830,19074,19756,4292,5207,6348,4014,4244,5076,4710,3008,1931,416639,41.24,-77.64,2326,79.166667,,,,,,6.45,8.17,7.95,11.39,6.45,6.23,,3.22,20.2,,11.17,,5.37,10.1,,5.37,4.08,6.02,5.59,6.23,7.31,30.73,5.59,7.09,,6.23,6.23,40.18,4.3,5.59,6.66,6.45,3.87,0.222222,-3.422222,3.616667,9.23925,,-1.294444,89.589037
