location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WI_55005,2020-01-11,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,,3.71,8.28,5.45,6.97,6.54,6.97,,,5.88,5.23,3.27,,15.04,,8.5,3.05,3.92,,8.94,4.58,,4.14,6.97,3.71,4.79,6.32,4.58,5.23,23.11,6.54,4.58,7.85,5.01,,,3.27,3.92,40.98,,7.63,4.36,4.36,,4.14,,,4.58,,-12.2,-17.027778,-6.661111,0.0,149.86,-18.0,62.072296
US_WI_55005,2020-01-12,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,4.09,5.17,10.12,,9.47,5.38,5.6,,,5.17,,,3.44,16.15,4.31,6.89,,6.46,4.31,8.4,6.03,,5.6,4.74,3.44,5.6,,,6.89,29.06,6.24,,6.24,,3.44,3.44,,4.74,35.52,5.6,7.97,,5.38,3.44,3.23,,,3.66,,-12.088889,-18.155556,-7.127778,0.0,149.86,-15.772222,74.110341
US_WI_55005,2020-01-13,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,,3.83,7.12,4.2,10.22,8.58,6.94,,3.29,6.57,3.83,4.2,3.29,20.99,,8.4,3.29,4.93,,8.03,4.38,,5.66,8.4,5.11,3.83,4.38,4.56,4.02,33.04,4.56,2.92,5.29,3.1,3.83,4.38,,6.75,38.33,2.92,7.85,2.56,5.66,4.38,3.65,2.92,3.1,3.65,,-7.366667,-12.75,-3.083333,0.9525,149.86,-9.605556,84.127711
US_WI_55005,2020-01-14,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,3.22,5.01,6.62,9.84,5.9,9.66,5.19,,3.4,4.65,,4.65,3.4,16.99,4.65,6.62,3.76,6.08,,10.19,6.44,2.68,7.33,5.19,4.65,3.4,5.19,,6.62,34.7,5.9,2.5,5.19,3.04,5.19,2.86,,5.01,40.42,,6.26,3.58,5.01,3.58,2.68,,3.76,3.22,,-2.644444,-6.977778,-0.261111,1.227667,200.66,-4.327778,88.282108
US_WI_55005,2020-01-15,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,,5.25,6.34,5.25,9.42,8.51,3.62,,4.53,4.53,2.72,3.44,2.9,19.56,3.8,11.41,3.26,5.25,3.98,9.42,5.8,,5.98,5.98,2.54,,2.9,,6.34,29.53,5.62,3.08,6.34,,6.34,2.72,,7.25,37.5,3.8,8.33,3.8,5.62,,2.72,2.72,2.9,,,-7.677778,-11.211111,-5.072222,0.677333,248.92,-9.766667,85.055178
US_WI_55005,2020-01-16,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,,3.03,5.88,4.1,7.13,7.49,3.74,,4.1,4.1,3.21,3.74,,15.51,4.46,8.2,2.85,,,8.91,3.21,2.67,4.28,3.21,4.1,5.88,2.5,,3.74,24.77,3.92,4.28,4.63,,4.81,3.92,,6.06,33.5,3.74,5.53,2.67,7.49,4.1,5.17,,,,,-17.6,-23.833333,-7.572222,0.846667,248.92,-22.294444,66.804263
US_WI_55005,2020-01-17,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,,5.37,6.93,4.16,4.68,7.28,3.12,,2.6,2.94,3.98,2.77,2.94,17.32,3.64,10.05,2.6,3.12,2.43,7.8,3.64,,4.68,4.85,3.98,3.64,3.64,2.77,6.76,28.59,3.98,3.12,5.89,,4.5,6.06,,7.28,38.12,4.85,6.93,3.12,5.72,,5.2,,3.46,,,-16.827778,-24.838889,-6.744444,0.127,248.92,-21.0,70.130559
US_WI_55005,2020-01-18,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,,5.07,11.02,4.63,9.92,6.39,3.75,3.08,3.53,5.07,4.63,3.97,,21.38,,10.14,,5.73,,9.92,4.85,,4.41,5.95,,4.19,,,4.19,28.21,5.29,3.31,7.27,,5.73,4.63,,3.75,37.68,,7.49,,6.83,3.97,4.19,,3.08,3.31,,-5.538889,-12.605556,-3.355556,1.820333,248.92,-7.333333,87.263357
US_WI_55005,2020-01-19,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,4.07,5.78,10.27,4.49,10.27,7.49,,,4.71,6.21,4.49,4.07,3.64,18.83,8.35,9.84,,3.64,,8.56,6.21,,3.85,5.35,3.21,3.21,4.92,4.07,7.28,26.75,4.92,4.71,6.63,,,3.21,,3.0,33.59,3.85,6.85,3.42,5.78,4.28,3.85,3.21,,3.0,3.42,-12.994444,-15.911111,-9.016667,1.735667,299.72,-16.572222,74.559032
US_WI_55005,2020-01-20,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,,4.82,7.23,2.78,7.6,7.97,7.05,,2.78,6.49,4.08,3.52,,20.03,5.75,7.79,2.6,3.52,2.78,9.83,4.82,3.15,6.12,4.82,,5.93,,,6.12,29.67,8.35,,9.46,,2.97,2.78,,5.56,39.31,3.15,6.86,2.78,5.38,7.6,4.08,,2.78,,5.01,-11.705556,-18.45,-6.705556,0.3175,299.72,-14.55,79.460068
US_WI_55005,2020-01-21,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,,4.14,9.55,4.32,7.03,8.47,6.67,2.52,2.7,3.78,3.78,,,22.16,3.96,9.19,2.7,3.78,2.7,7.21,4.32,,4.86,5.76,3.6,2.52,4.86,3.06,7.57,34.59,7.75,4.68,7.21,,5.58,4.14,2.52,7.57,36.93,3.6,6.84,2.7,4.86,4.14,,3.42,,5.95,3.6,-13.972222,-20.166667,-7.388889,0.0,279.4,-16.961111,78.176032
US_WI_55005,2020-01-22,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,3.92,,7.66,4.1,8.73,7.13,5.88,,6.24,5.88,3.39,4.81,,18.0,3.03,10.16,2.85,3.56,2.85,9.09,5.88,3.03,5.35,4.63,2.5,3.39,5.88,,5.7,31.01,5.35,,3.92,,5.17,3.92,,6.06,32.26,5.17,7.49,3.03,2.67,4.81,4.1,,3.39,3.56,2.85,-3.772222,-8.7,1.466667,0.973667,279.4,-6.466667,81.622638
US_WI_55005,2020-01-23,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,,2.94,7.91,3.68,6.26,6.81,3.86,,4.97,8.1,,3.31,2.58,21.53,3.13,10.3,2.94,4.23,2.94,8.46,6.81,,5.52,4.6,2.94,,4.97,2.58,5.7,28.15,3.13,2.58,5.34,,4.05,4.42,,3.68,35.88,4.42,7.18,2.94,4.97,3.68,4.6,,2.94,,,-0.383333,-2.238889,0.683333,2.0955,279.4,-1.561111,91.853678
US_WI_55005,2020-01-24,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,,4.86,7.85,3.55,6.17,5.61,3.93,3.18,,5.98,3.74,4.11,,26.18,2.62,7.29,,4.67,,6.92,4.67,,4.49,5.05,3.93,4.86,6.54,2.81,7.67,31.98,3.93,,6.36,3.18,3.37,4.3,2.62,5.42,35.91,2.81,6.92,2.62,4.86,3.37,4.11,2.99,5.61,6.17,2.62,-0.383333,-1.661111,1.277778,0.47625,381.0,-1.7,90.930041
US_WI_55005,2020-01-25,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,,6.04,9.06,4.42,9.53,6.51,6.04,,4.42,6.04,3.95,3.72,,28.12,8.37,10.46,6.51,4.18,4.42,8.37,3.25,,3.95,8.6,,,3.95,3.25,6.28,37.88,7.2,,10.69,3.25,3.95,,,5.58,42.53,4.65,5.11,,6.74,6.04,4.18,3.25,,3.95,,-0.161111,-1.388889,1.25,0.296333,360.68,-1.944444,87.88651
US_WI_55005,2020-01-26,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,,5.39,9.48,4.96,7.97,7.97,4.53,,,,3.45,4.74,3.23,25.0,5.39,9.05,3.45,6.68,,6.68,5.82,,3.02,10.56,4.74,5.39,4.53,,5.17,33.19,7.11,4.09,7.76,3.88,3.45,4.96,,3.88,38.58,6.25,5.6,,6.25,,4.31,,4.74,,3.45,-2.9,-4.144444,-0.55,0.0508,360.68,-4.716667,87.360529
US_WI_55005,2020-01-27,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,4.19,5.64,8.01,3.64,9.1,4.01,5.46,,2.73,6.01,3.64,5.46,2.73,32.05,5.1,10.2,4.19,5.28,2.91,6.74,4.92,,6.37,7.46,,3.1,5.28,,7.1,44.61,6.19,,6.01,3.82,4.92,5.1,2.73,4.73,37.51,,5.83,,5.46,2.91,3.82,2.91,3.28,,,-3.205556,-4.205556,-1.661111,0.0,330.2,-4.866667,88.379251
US_WI_55005,2020-01-28,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,,3.76,7.16,6.81,9.31,7.34,3.22,3.76,3.94,4.48,4.12,4.3,,29.19,4.12,6.99,3.94,3.94,,8.42,5.73,2.87,3.94,4.12,,3.94,3.58,,8.78,38.51,5.37,3.94,5.37,2.51,4.12,3.58,2.69,3.94,38.69,3.76,7.16,2.87,5.19,4.84,5.01,,3.22,3.58,,-6.977778,-9.077778,-3.494444,0.0,330.2,-9.338889,83.357222
US_WI_55005,2020-01-29,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,,5.38,7.23,6.12,12.05,6.12,3.9,5.38,2.6,4.64,3.9,,,30.79,3.71,8.72,,5.19,,8.35,4.08,3.34,4.27,6.68,3.34,,4.08,,6.31,34.5,4.82,3.9,5.75,2.78,3.9,,,7.42,40.25,3.52,7.6,,4.08,3.15,4.82,3.34,3.34,3.71,,-7.633333,-10.833333,-4.033333,0.0,299.72,-10.905556,77.48974
US_WI_55005,2020-01-30,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,,7.62,5.58,6.7,9.67,7.62,5.76,,2.98,7.25,5.39,,,34.59,2.98,7.81,2.98,4.65,3.91,7.62,4.28,,5.21,4.84,4.84,3.35,6.14,2.98,5.39,38.68,4.28,2.79,7.44,3.16,3.53,5.58,,5.76,33.1,,9.67,,3.91,4.84,5.02,2.6,5.58,2.79,4.09,-6.411111,-7.938889,-4.266667,0.0,299.72,-9.338889,79.778086
US_WI_55005,2020-01-31,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,2.99,2.81,5.24,10.66,9.17,6.17,4.3,3.56,3.37,5.43,,,,32.93,3.37,9.73,,4.49,3.18,7.48,5.05,3.56,4.3,7.11,3.93,3.37,2.99,5.43,7.67,37.23,6.92,2.81,6.17,2.81,4.12,3.93,,5.61,35.18,3.74,7.11,,7.86,,4.68,,3.18,,,-2.888889,-5.394444,0.427778,0.0,299.72,-4.938889,85.864441
US_WI_55005,2020-02-01,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,,5.69,8.19,5.01,7.28,8.65,5.69,,3.64,4.32,5.01,3.64,4.78,27.99,5.01,9.33,4.78,4.32,3.41,10.69,5.92,,6.14,7.74,4.78,,4.32,,4.1,32.99,5.92,,9.33,,,4.55,,6.14,41.19,6.14,7.28,,4.78,4.78,,,3.87,,,-0.105556,-2.161111,2.233333,0.0,299.72,-3.255556,79.404974
US_WI_55005,2020-02-02,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,,,6.43,5.76,6.43,8.42,3.77,,,5.98,3.99,,,20.61,3.1,6.87,3.54,5.54,,8.2,3.99,,5.76,3.77,3.1,,5.98,,4.43,29.69,,,5.76,,3.77,5.98,,4.43,40.1,,5.54,,8.64,4.88,3.77,,3.32,3.77,,3.072222,-2.794444,6.911111,0.0,299.72,-1.75,70.711137
US_WI_55005,2020-02-03,ChIJLWAq8FoFrVIR29KfCeKNR24,Q494916,geoId/55005,US,United States of America,WI,Wisconsin,55005,Barron County,US,USA,2,,,,,,,45141,22578,22563,5263,5374,4726,5101,5076,6596,6389,4172,2444,1798736,45.42,-91.85,2305,,,,,,2.52,6.11,4.67,8.99,13.48,7.19,4.49,2.52,4.31,6.29,3.77,3.06,3.95,23.37,5.03,10.79,2.88,5.93,,6.29,3.6,3.06,6.47,7.73,,3.06,4.31,2.7,8.09,31.64,8.99,5.93,7.91,4.49,4.49,4.13,3.42,4.31,35.59,3.23,7.55,2.52,6.65,3.23,4.85,,5.21,4.49,2.7,-0.144444,-4.05,3.6,0.0,279.4,-5.372222,68.005541
