location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TX_48067,2020-01-23,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,9.41,10.19,12.94,25.48,13.72,9.02,26.65,9.41,40.76,8.23,6.188889,3.183333,9.761111,21.7424,,5.116667,92.923429
US_TX_48067,2020-01-24,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,8.95,9.72,7.0,23.73,7.39,9.34,31.51,,40.45,10.11,6.6,2.138889,12.733333,0.8382,,2.194444,73.614
US_TX_48067,2020-01-25,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,8.07,,7.6,25.65,11.4,10.92,40.37,8.07,32.3,12.82,6.05,-1.194444,16.766667,0.0,,0.872222,69.554991
US_TX_48067,2020-01-26,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,,7.24,,36.17,7.24,,42.98,9.36,44.26,9.36,11.055556,8.805556,13.788889,2.0066,,7.477778,78.810961
US_TX_48067,2020-01-27,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,6.48,14.76,5.04,29.53,9.0,12.24,32.77,7.56,36.73,9.0,11.483333,9.016667,16.905556,0.6096,,8.777778,83.580817
US_TX_48067,2020-01-28,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,8.63,12.95,6.84,27.7,15.47,13.67,43.89,6.48,39.94,9.71,9.738889,7.194444,13.788889,0.127,,8.233333,90.460983
US_TX_48067,2020-01-29,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,6.67,13.35,5.56,26.33,12.24,32.26,37.45,10.01,37.82,15.94,8.694444,6.877778,11.005556,11.5824,,7.477778,92.143097
US_TX_48067,2020-01-30,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,7.0,11.05,,32.4,13.99,11.05,41.61,6.63,34.98,11.05,7.366667,6.272222,9.361111,0.0762,,5.622222,88.788719
US_TX_48067,2020-01-31,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,,8.74,8.36,28.88,9.5,7.22,31.92,,32.68,5.7,7.866667,6.866667,9.938889,0.889,,5.761111,86.643957
US_TX_48067,2020-02-01,ChIJTdUg7t8qNIYRpTjvC1dUdX0,Q109150,geoId/48067,US,United States of America,TX,Texas,48067,Cass County,US,USA,2,,,,,,,29966,14461,15505,3575,3794,3072,3148,3493,4192,4047,3016,1629,1839456,33.07,-94.35,2487,76.385714,,,,,,,9.23,,29.07,7.38,10.61,30.92,,42.46,,7.661111,0.488889,17.344444,0.0254,,1.344444,64.378138
