location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IA_19191,2020-01-11,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,10.77,9.91,,,12.06,9.91,6.89,23.69,,,31.45,,,-7.716667,-10.8,-3.666667,0.1016,,-12.7,67.871745
US_IA_19191,2020-01-12,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,9.76,10.98,6.92,,13.83,8.54,,25.22,,,36.61,7.32,6.92,-8.716667,-12.994444,-3.866667,0.0,50.8,-12.427778,74.793467
US_IA_19191,2020-01-13,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,6.71,8.95,10.23,7.99,11.83,5.12,4.8,22.06,4.48,4.8,39.64,7.35,,-4.022222,-6.833333,-1.872222,1.298222,50.8,-5.688889,88.403433
US_IA_19191,2020-01-14,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,8.32,7.97,7.28,7.63,9.36,9.36,5.2,31.9,7.28,,29.12,7.63,5.55,-1.205556,-6.511111,1.061111,1.806222,60.113333,-2.711111,89.726031
US_IA_19191,2020-01-15,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,5.69,5.69,,6.76,14.58,5.69,,29.52,,6.76,36.63,6.76,9.96,-7.744444,-13.127778,-3.055556,0.4064,93.133333,-9.144444,89.915901
US_IA_19191,2020-01-16,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,9.72,9.36,,,13.67,,5.76,26.27,7.2,,35.26,6.12,,-16.733333,-21.361111,-7.544444,0.1905,82.973333,-20.772222,71.233172
US_IA_19191,2020-01-17,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,6.95,6.22,5.49,,9.51,7.31,,25.23,,,34.38,6.22,,-13.383333,-19.511111,-4.872222,0.0,92.286667,-16.7,76.284374
US_IA_19191,2020-01-18,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,17.09,6.57,6.57,,9.64,,,25.41,,6.57,32.86,7.01,,-5.916667,-16.8,-1.45,4.6736,92.286667,-7.583333,88.146858
US_IA_19191,2020-01-19,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,7.07,7.9,9.98,,10.82,7.07,,13.31,9.15,,34.11,7.07,,-16.305556,-19.072222,-12.116667,0.254,170.18,-19.627778,75.838128
US_IA_19191,2020-01-20,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,10.0,7.41,13.33,,11.85,7.41,,24.81,,6.3,44.81,5.93,,-12.161111,-14.772222,-8.011111,0.169333,170.18,-14.833333,80.783336
US_IA_19191,2020-01-21,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,8.62,5.03,9.34,5.03,16.88,7.54,7.9,23.34,,5.39,38.07,5.39,6.46,-14.227778,-19.894444,-8.011111,0.127,163.406667,-16.32716,82.984902
US_IA_19191,2020-01-22,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,6.34,8.81,10.57,,15.51,7.05,8.11,23.96,5.29,5.99,37.71,,,-3.9,-9.3,-0.25,0.0762,163.406667,-6.061111,85.315188
US_IA_19191,2020-01-23,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,6.94,5.48,11.69,5.48,13.88,7.67,,27.39,7.67,,36.15,,,-1.244444,-2.377778,-0.088889,2.213429,163.406667,-2.203704,93.186075
US_IA_19191,2020-01-24,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,6.08,8.74,7.22,,20.91,7.22,,26.61,6.46,,34.21,,5.7,-0.494444,-1.288889,0.672222,0.874889,204.046667,-1.394444,93.804901
US_IA_19191,2020-01-25,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,,,,10.81,20.2,,,31.95,,,37.59,,,-0.272222,-1.15,0.472222,1.11125,204.046667,-1.55,91.317494
US_IA_19191,2020-01-26,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,6.93,6.52,8.15,,26.9,,,26.5,,8.56,33.02,8.15,,-2.694444,-4.45,-0.366667,0.03175,214.206667,-4.388889,88.010311
US_IA_19191,2020-01-27,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,6.75,8.17,5.68,6.39,23.08,5.68,6.04,33.38,,,33.73,,,-2.422222,-5.1,-1.697531,0.0508,214.206667,-4.244444,88.167373
US_IA_19191,2020-01-28,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,,6.77,7.84,7.48,23.52,10.34,6.77,36.35,7.13,5.35,45.26,5.7,4.99,-4.416667,-7.055556,-3.203704,0.0,193.886667,-6.338889,87.57988
US_IA_19191,2020-01-29,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,8.95,9.33,5.97,,21.26,,,31.71,7.46,5.97,35.44,,5.22,-6.466667,-7.444444,-4.238889,0.0,183.726667,-8.211111,87.848074
US_IA_19191,2020-01-30,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,8.84,6.02,8.84,8.03,22.49,,6.02,24.5,,7.63,26.91,,,-4.716667,-6.15,-2.188889,0.0508,183.726667,-6.722222,86.280785
US_IA_19191,2020-01-31,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,6.33,9.28,,,22.79,8.02,6.75,24.47,,7.17,32.49,,6.33,-2.333333,-4.1,0.05,0.0,176.953333,-3.844444,89.642667
US_IA_19191,2020-02-01,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,13.89,8.74,7.71,,,11.31,,21.09,,,26.23,,,0.333333,-1.238889,2.361111,0.620889,176.953333,-1.316667,88.911889
US_IA_19191,2020-02-02,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,9.76,10.25,,,21.96,,,23.43,,,34.17,,,3.916667,0.361111,7.333333,0.0,180.34,-0.372222,74.07872
US_IA_19191,2020-02-03,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,6.95,6.57,6.95,,13.9,10.04,,19.7,5.41,,31.67,6.18,7.34,-0.45,-4.872222,3.922222,0.0,143.086667,-2.838889,84.121431
US_IA_19191,2020-02-04,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,7.0,7.37,,5.9,11.05,7.37,5.53,18.06,7.74,5.9,42.74,,5.16,-3.755556,-8.277778,0.961111,0.0,119.38,-10.705556,58.97079
US_IA_19191,2020-02-05,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,5.93,6.98,8.37,4.88,13.6,5.58,9.42,26.51,,6.28,32.78,4.88,9.42,-8.083333,-12.45,-2.733333,0.0,119.38,-13.566667,65.061854
US_IA_19191,2020-02-06,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,5.96,5.96,9.47,5.96,20.69,7.72,5.26,30.16,7.01,,36.83,10.17,8.77,-7.117284,-13.358025,-1.17284,0.0,119.38,-13.098765,62.528301
US_IA_19191,2020-02-07,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,6.92,5.1,10.93,7.29,16.03,7.29,5.83,25.14,,10.2,35.34,,8.02,-5.475309,-10.506173,-1.265432,0.0,110.066667,-10.462963,68.060973
US_IA_19191,2020-02-08,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,11.53,,,,16.84,7.54,7.09,31.47,8.87,,32.36,,8.87,-7.950617,-12.919753,-2.975309,0.03175,110.066667,-11.364198,76.843945
US_IA_19191,2020-02-09,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,10.08,8.46,11.69,,15.72,8.46,,26.61,,,33.05,6.85,6.45,-6.660494,-12.512346,-2.04321,1.905,110.066667,-9.660494,79.465585
US_IA_19191,2020-02-10,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,4.68,7.7,6.36,,20.75,10.71,8.03,25.1,5.02,7.03,32.46,7.03,6.36,-10.407407,-18.45679,-3.265432,3.386667,153.246667,-12.458333,84.978071
US_IA_19191,2020-02-11,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,6.49,7.86,7.86,,18.45,7.18,8.54,27.34,4.78,5.81,32.47,6.83,5.47,-6.895062,-12.67284,-2.981481,0.0,256.54,-9.401235,82.661087
US_IA_19191,2020-02-12,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,6.98,7.64,8.97,,17.95,7.98,9.64,28.25,,,37.23,7.64,,-3.814815,-9.549383,1.598765,0.0,246.38,-7.512346,75.979525
US_IA_19191,2020-02-13,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,5.21,7.3,5.56,5.91,28.85,9.73,9.39,33.37,7.3,6.26,37.89,,5.21,-14.320988,-20.864198,-1.475309,0.8255,246.38,-18.339506,71.813225
US_IA_19191,2020-02-14,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,,,,9.89,9.1,8.31,6.73,19.79,6.73,,21.77,,5.94,34.03,,7.52,-21.259259,-27.716049,-12.018519,0.0,247.226667,-26.17284,64.854261
US_IA_19191,2020-02-15,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,8,0,2,,,11.14,,29.24,7.89,10.21,23.21,,7.43,28.78,6.96,7.89,-6.537037,-13.561728,1.240741,0.0,237.066667,-11.049383,70.69979
US_IA_19191,2020-02-16,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,-7,0,-2,9.34,8.06,9.34,,25.04,8.49,,30.98,10.19,7.64,40.31,8.91,,-4.728395,-9.716049,-0.308642,0.0,237.066667,-7.314815,82.659588
US_IA_19191,2020-02-17,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,-12,-11,-11,9.28,7.56,5.84,6.53,23.02,8.59,,32.98,,7.56,38.82,6.18,,-1.088889,-4.083333,1.383333,0.0,220.133333,-3.883333,81.799197
US_IA_19191,2020-02-18,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,2,-1,-2,5.78,7.83,8.17,,27.56,10.21,5.44,35.73,4.76,7.49,30.28,6.8,7.14,-3.544444,-8.627778,0.572222,4.191,209.973333,-5.822222,84.48846
US_IA_19191,2020-02-19,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,2,-1,2,9.58,8.21,7.87,4.79,27.71,9.58,5.47,27.03,5.47,8.55,46.87,,,-12.844444,-17.183333,-7.416667,0.0254,226.906667,-17.394444,69.008665
US_IA_19191,2020-02-20,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,-6,4,8,10.2,8.44,8.79,,24.61,20.74,5.27,35.86,8.44,7.38,34.1,5.27,9.49,-17.122222,-23.661111,-10.55,0.0254,226.906667,-21.6,68.551578
US_IA_19191,2020-02-21,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,5,-1,1,11.68,6.03,,,21.48,6.03,6.41,28.26,7.16,,27.51,6.03,6.41,-9.0,-17.672222,1.744444,0.0,226.906667,-14.144444,66.67809
US_IA_19191,2020-02-22,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,11,5,9,,6.82,,,21.37,,,15.46,6.82,8.64,45.47,,,-0.966667,-6.727778,4.416667,0.0508,220.133333,-5.033333,74.530424
US_IA_19191,2020-02-23,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,7,6,,,11.4,,,12.24,7.18,,24.06,7.18,10.13,42.21,,,2.066667,-4.594444,7.438889,0.1524,209.973333,-2.127778,74.156833
US_IA_19191,2020-02-24,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,-1,0,6,5.06,9.44,10.12,5.73,18.88,6.41,7.42,34.05,6.74,,36.75,,6.07,-0.694444,-5.838889,4.672222,0.0,193.04,-3.694444,80.470639
US_IA_19191,2020-02-25,ChIJRxD1G55U-ocRj906wI6aURU,Q485361,geoId/19191,US,United States of America,IA,Iowa,19191,Winneshiek County,US,USA,2,,,,,,,20129,9989,10140,1846,2962,2960,1960,2029,2846,2721,1572,1233,1792818,43.283333,-91.866667,690,82.04,3,-4,6,5.68,9.02,5.01,,22.72,10.02,4.68,34.74,7.35,7.68,37.75,7.35,5.01,-0.083333,-2.8,2.344444,0.0,153.246667,-5.0,69.833684
