location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_diabetes,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WV_54009,2020-01-22,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,8.45,9.58,7.04,5.07,5.35,12.4,7.33,4.79,7.33,26.49,8.45,7.33,39.17,8.74,9.02,-6.030864,-12.358025,2.537037,0.0,,-11.104938,67.475758
US_WV_54009,2020-01-23,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,6.86,8.85,6.57,4.28,6.0,14.85,9.14,4.57,7.14,25.7,6.28,,34.27,5.71,5.14,-0.771605,-11.512346,7.166667,0.0,,-7.925926,58.756014
US_WV_54009,2020-01-24,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,9.66,13.29,10.57,4.53,6.95,18.42,8.46,,6.34,27.18,6.04,7.25,35.03,7.85,,4.641975,1.62963,7.45679,0.145143,,-2.345679,61.04693
US_WV_54009,2020-01-25,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,11.94,11.24,8.43,5.97,,20.72,7.37,,7.72,27.39,6.67,9.13,41.43,7.37,5.27,4.919753,1.685185,7.283951,24.384,,3.518519,90.691046
US_WV_54009,2020-01-26,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,,8.95,9.91,,,24.62,7.67,6.72,7.36,31.98,8.31,11.51,31.66,8.95,7.04,0.623457,-0.111111,5.475309,2.213429,,-1.222222,87.507108
US_WV_54009,2020-01-27,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,9.89,7.69,7.42,5.22,6.04,21.97,6.87,,7.14,34.06,4.12,6.04,35.15,5.49,3.85,0.851852,0.098765,1.493827,0.290286,30.48,-1.08642,86.997584
US_WV_54009,2020-01-28,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,9.56,6.83,12.01,,5.73,26.21,11.19,8.19,7.92,37.68,8.19,8.46,36.04,9.01,5.46,0.555556,-0.333333,1.475309,0.181429,,-1.382716,86.933728
US_WV_54009,2020-01-29,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,7.44,8.26,12.12,4.41,5.23,20.11,8.26,4.13,10.47,34.98,6.61,5.78,35.81,10.47,6.06,-0.518519,-1.82716,1.166667,0.399143,,-3.95679,77.676073
US_WV_54009,2020-01-30,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,7.36,8.18,11.45,4.63,5.45,24.26,9.27,,10.63,29.43,9.27,7.63,37.34,6.27,5.18,-2.475309,-5.419753,1.030864,0.0,,-6.08642,76.535652
US_WV_54009,2020-01-31,ChIJRz737cUyNIgRVVeaetpZv9A,Q490937,geoId/54009,US,United States of America,WV,West Virginia,54009,Brooke County,US,USA,2,,,,,,,22373,10987,11386,2017,2596,2706,2169,2670,3277,3531,2079,1328,1910157,40.27,-80.58,350,239,75.216667,,,,,6.5,10.75,6.5,6.5,6.5,31.11,8.48,5.94,6.79,33.65,5.94,4.81,33.37,5.09,3.96,0.635802,-4.623457,4.228395,0.0,,-3.006173,76.689942
