location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_IN_18073,2020-01-18,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,3.72,8.43,4.21,7.19,8.43,4.71,4.46,3.72,15.12,6.69,3.72,9.42,3.97,3.47,6.2,,3.97,6.69,5.95,22.06,5.21,4.96,,5.21,4.96,31.98,,,5.95,4.71,,0.067901,-6.62963,4.345679,7.438571,-1.41358,89.827898
US_IN_18073,2020-01-19,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,,8.22,,7.25,3.38,5.8,6.04,3.87,14.02,8.46,3.87,6.04,4.35,3.38,5.32,3.38,3.87,5.08,4.35,20.07,,7.74,7.25,3.63,6.04,38.68,5.56,5.56,4.11,,6.04,-11.851852,-15.351852,-6.246914,1.651,-15.845679,72.322264
US_IN_18073,2020-01-20,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,7.0,5.51,3.39,8.27,12.73,3.39,5.51,,18.45,10.82,5.94,8.48,7.0,5.3,8.48,5.51,,3.39,7.0,24.6,4.24,8.06,3.18,4.45,3.18,40.94,3.82,9.54,6.36,5.94,6.36,-7.123457,-11.277778,-2.740741,0.0,-9.858025,80.941866
US_IN_18073,2020-01-21,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,3.75,6.17,,11.46,11.46,,6.62,3.75,25.58,8.6,4.85,10.14,5.07,5.07,12.57,4.19,3.97,7.5,7.28,30.43,4.63,3.09,3.53,7.28,4.63,41.01,4.41,10.14,5.07,6.17,3.97,-4.395062,-9.524691,-0.259259,0.0,-7.722222,77.744245
US_IN_18073,2020-01-22,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,6.24,7.35,,7.58,8.24,4.9,4.23,,27.18,11.36,5.57,8.47,6.24,4.01,4.68,5.12,4.68,8.24,8.24,35.2,5.12,7.8,4.23,6.24,4.9,38.77,4.23,5.79,6.68,5.12,5.35,-2.864198,-6.04321,1.401235,0.0,-6.734568,74.849954
US_IN_18073,2020-01-23,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,6.58,6.12,3.4,10.43,7.94,3.4,7.94,5.44,27.22,10.21,4.31,10.43,3.86,5.67,7.71,,,,9.75,31.52,5.44,4.99,3.4,3.17,4.99,38.78,5.67,8.16,3.17,5.44,4.08,0.160494,-3.006173,2.753086,0.0,-3.950617,74.511154
US_IN_18073,2020-01-24,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,4.27,6.74,,9.89,7.87,4.94,5.39,,38.88,6.97,3.6,8.99,3.15,6.07,7.87,,,5.84,8.76,37.75,4.94,6.97,3.82,5.62,4.49,35.73,4.94,7.19,5.39,3.6,3.15,2.364198,0.876543,3.765432,1.016,1.604938,94.753641
US_IN_18073,2020-01-25,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,6.91,6.4,,8.7,6.66,6.14,6.91,3.58,24.83,12.54,4.35,10.24,3.84,6.4,6.66,5.12,4.61,5.12,6.91,36.09,6.91,7.68,,5.89,5.12,39.93,4.86,8.45,7.42,4.09,,0.734568,0.111111,2.641975,1.820333,0.432099,97.868108
US_IN_18073,2020-01-26,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,5.26,8.13,,10.05,4.55,6.46,5.02,5.02,29.19,9.33,,8.85,5.74,3.83,4.79,3.35,3.83,3.83,5.26,30.86,6.46,4.31,4.79,3.83,5.98,36.37,3.83,5.26,7.18,3.83,5.5,0.074074,-1.012346,1.1875,0.8128,-1.067901,92.082234
US_IN_18073,2020-01-27,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,3.11,8.44,3.55,8.66,8.22,8.22,4.22,4.66,28.65,10.22,4.66,8.66,,6.22,8.44,3.78,3.78,5.33,10.44,33.09,4.89,6.0,4.66,5.11,5.33,44.64,4.89,7.55,7.77,4.22,5.33,-0.753086,-2.067901,1.08642,0.0,-2.240741,89.726012
US_IN_18073,2020-01-28,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,5.16,8.3,3.81,12.12,4.26,5.38,6.51,,41.5,9.2,4.49,9.87,6.73,5.38,8.53,4.26,3.81,4.94,8.97,44.2,5.61,7.18,,3.59,5.83,41.05,,9.42,4.71,,7.63,-0.006173,-0.935185,0.611111,0.0508,-1.432099,90.243729
US_IN_18073,2020-01-29,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,5.62,4.04,3.15,12.58,7.64,4.94,5.62,,50.33,10.56,7.64,8.99,4.49,4.72,6.29,4.94,,4.94,8.76,52.13,4.94,5.62,3.37,3.82,6.29,41.79,3.37,9.44,3.15,3.37,4.04,-0.302469,-0.9375,0.305556,0.0,-3.277778,80.447181
US_IN_18073,2020-01-30,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,3.38,8.78,6.53,7.21,8.33,6.76,,3.15,40.31,6.98,5.18,7.66,5.63,3.83,6.98,6.53,5.41,3.38,6.31,42.34,6.98,7.88,,,,34.23,5.63,7.88,5.41,5.86,4.28,-0.253086,-1.135802,0.808642,0.0,-3.067901,81.466333
US_IN_18073,2020-01-31,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,4.68,4.46,,9.36,9.58,5.57,3.34,3.12,32.74,6.91,4.9,8.46,,5.57,6.01,4.01,3.12,4.9,6.91,32.52,6.46,3.79,4.68,4.23,3.34,34.08,4.23,7.57,5.12,,4.9,0.345679,-1.08642,2.259259,0.0,-1.919753,84.916739
US_IN_18073,2020-02-01,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,3.62,5.17,4.4,7.76,7.76,6.46,,5.69,18.36,5.43,4.14,10.34,3.88,7.24,6.98,,4.91,5.43,4.66,30.52,5.69,5.69,5.95,6.21,4.66,42.41,3.88,5.43,6.46,4.4,6.46,0.932099,-0.246914,2.67284,0.635,-0.222222,92.082866
US_IN_18073,2020-02-02,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,3.97,7.94,4.96,9.68,5.71,5.96,4.47,5.46,19.86,5.96,,6.95,,4.96,7.45,,3.72,5.21,4.72,27.55,4.22,8.69,,4.72,5.21,34.25,,7.7,6.7,5.46,4.47,5.197531,0.537037,14.641975,0.112889,0.425926,71.616269
US_IN_18073,2020-02-03,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,3.87,,,9.24,6.45,3.65,4.3,4.3,20.2,8.6,4.08,5.8,6.88,5.37,5.8,3.44,4.51,4.51,5.37,32.66,6.45,6.02,,3.87,,32.02,,7.3,4.3,4.73,5.59,4.561728,-2.0,11.808642,0.0,1.265432,79.227922
US_IN_18073,2020-02-04,ChIJBaILgf82EogRd3MlR4FWrvg,Q506768,geoId/18073,US,United States of America,IN,Indiana,18073,Jasper County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33424,16603,16821,4027,4850,4083,3781,4085,4737,4047,2507,1307,1802081,41.03,-87.12,696,1454,77.1625,,,,,,6.23,3.56,4.45,7.79,8.68,3.34,6.23,3.34,17.36,8.9,4.23,9.12,5.79,5.79,4.45,4.01,4.9,5.34,8.01,23.37,4.23,3.78,4.67,4.9,6.23,38.72,,9.12,,5.79,5.34,3.395062,0.055556,8.216049,0.0,0.512346,81.494908
