location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,cumulative_confirmed,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,mobility_retail_and_recreation,mobility_parks,mobility_workplaces,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_PR_72089,2020-02-08,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,26.833333,25.030864,29.123457,0.254,20.1,66.685266
US_PR_72089,2020-02-09,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,26.635802,23.950617,29.117284,0.34925,20.577778,69.019038
US_PR_72089,2020-02-10,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,26.845679,24.283951,29.37037,0.366889,20.888889,69.981898
US_PR_72089,2020-02-11,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,26.716049,24.388889,29.438272,0.141111,20.222222,67.669792
US_PR_72089,2020-02-12,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,26.58642,24.561728,29.283951,0.169333,20.955556,71.229361
US_PR_72089,2020-02-13,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,26.740741,24.691358,29.382716,0.903111,19.788889,65.669317
US_PR_72089,2020-02-14,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,26.018519,23.654321,28.987654,0.15875,21.011111,73.758508
US_PR_72089,2020-02-15,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,25.740741,23.117284,28.660494,6.575778,21.255556,76.210337
US_PR_72089,2020-02-16,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,25.987654,23.598765,28.481481,2.6035,21.522222,76.390191
US_PR_72089,2020-02-17,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,-34,26.320988,23.759259,28.882716,0.733778,21.044444,72.827256
US_PR_72089,2020-02-18,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,6,26.481481,23.975309,29.074074,0.28575,21.022222,71.657762
US_PR_72089,2020-02-19,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,4,26.117284,23.82716,28.759259,0.903111,20.633333,71.749439
US_PR_72089,2020-02-20,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,4,26.493827,24.351852,28.919753,1.0795,19.733333,66.455666
US_PR_72089,2020-02-21,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,7,26.049383,23.320988,28.641975,0.084667,19.922222,69.1316
US_PR_72089,2020-02-22,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,26.185185,23.290123,29.283951,0.0,20.111111,69.908995
US_PR_72089,2020-02-23,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,25.981481,23.339506,29.166667,0.0,19.911111,70.216143
US_PR_72089,2020-02-24,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,1,24.746914,22.932099,27.58642,1.8415,21.077778,80.884521
US_PR_72089,2020-02-25,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,4,24.802469,22.62963,27.462963,14.7955,21.577778,83.542964
US_PR_72089,2020-02-26,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,3,25.839506,23.598765,28.450617,4.318,21.833333,78.147919
US_PR_72089,2020-02-27,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,6,25.444444,21.660494,28.555556,0.705556,19.2,69.146066
US_PR_72089,2020-02-28,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,9,25.962963,22.592593,28.709877,0.0,20.977778,74.286372
US_PR_72089,2020-02-29,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,25.82716,22.41358,28.814815,0.084667,21.0,74.932659
US_PR_72089,2020-03-01,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,26.049383,22.845679,28.91358,0.169333,21.444444,76.075365
US_PR_72089,2020-03-02,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,-19,25.339506,23.345679,28.185185,1.397,21.277778,78.929746
US_PR_72089,2020-03-03,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,10,25.765432,23.234568,28.493827,0.903111,20.711111,73.771541
US_PR_72089,2020-03-04,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,4,26.32716,23.654321,28.888889,0.084667,20.744444,71.915324
US_PR_72089,2020-03-05,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,4,26.524691,23.993827,29.08642,0.084667,21.188889,72.853483
US_PR_72089,2020-03-06,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,4,26.080247,23.734568,28.975309,0.5715,20.744444,73.083429
US_PR_72089,2020-03-07,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,25.919753,23.012346,28.765432,0.620889,20.622222,72.786168
US_PR_72089,2020-03-08,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,25.191358,22.777778,28.259259,0.60325,20.855556,76.359277
US_PR_72089,2020-03-09,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,3,24.555556,22.907407,27.203704,1.27,21.133333,81.765512
US_PR_72089,2020-03-10,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,7,25.574074,22.685185,28.561728,6.519333,20.433333,74.078513
US_PR_72089,2020-03-11,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,4,25.462963,23.185185,28.018519,0.254,20.911111,76.397495
US_PR_72089,2020-03-12,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,10,26.623457,23.783951,29.635802,3.245556,20.311111,69.281741
US_PR_72089,2020-03-13,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,7,26.160494,23.209877,29.006173,0.084667,21.277778,75.235833
US_PR_72089,2020-03-14,ChIJUduRnWmXBIwRxib5huu5bzs,Q1984618,geoId/72089,US,United States of America,PR,Puerto Rico,72089,Luquillo Municipio,US,USA,2,,,,,20068,4467875,18.3725,-65.716667,19,88,,,,26.259259,23.493827,28.537037,0.5715,21.366667,76.039226
