location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13227,2020-01-11,ChIJyWrjvzxk9YgRWbe85k9D2Y8,Q498675,geoId/13227,US,United States of America,GA,Georgia,13227,Pickens County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31541,15454,16087,3306,3789,3496,3336,3865,4662,4781,3132,1174,1020715,34.46,-84.46,603,77.266667,,,,,5.22,6.87,,10.44,4.95,4.12,,,15.66,4.67,9.06,5.49,,11.81,3.85,,4.39,,4.39,8.24,7.14,18.68,6.04,5.22,5.49,5.77,6.04,41.75,,8.52,4.95,,3.85,17.833333,12.85,21.0,0.326571,15.272222,85.379391
US_GA_13227,2020-01-12,ChIJyWrjvzxk9YgRWbe85k9D2Y8,Q498675,geoId/13227,US,United States of America,GA,Georgia,13227,Pickens County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31541,15454,16087,3306,3789,3496,3336,3865,4662,4781,3132,1174,1020715,34.46,-84.46,603,77.266667,,,,,3.99,10.25,5.7,8.83,7.97,9.68,7.41,7.41,19.65,3.99,11.68,,8.54,11.68,5.13,5.98,4.84,4.56,,4.84,11.39,23.35,7.97,,9.4,5.98,5.41,47.85,6.83,9.68,8.26,4.27,,13.481481,6.012346,19.54321,24.674286,10.166667,80.416765
US_GA_13227,2020-01-13,ChIJyWrjvzxk9YgRWbe85k9D2Y8,Q498675,geoId/13227,US,United States of America,GA,Georgia,13227,Pickens County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31541,15454,16087,3306,3789,3496,3336,3865,4662,4781,3132,1174,1020715,34.46,-84.46,603,77.266667,,,,,,10.12,3.3,7.92,5.5,7.7,4.18,3.74,18.93,4.18,9.02,,,10.34,4.84,,5.72,4.62,,6.16,11.66,26.85,9.46,4.18,4.62,6.16,5.72,49.08,6.16,7.04,7.26,5.5,6.16,14.061111,8.216667,18.083333,2.50825,12.522222,90.545919
US_GA_13227,2020-01-14,ChIJyWrjvzxk9YgRWbe85k9D2Y8,Q498675,geoId/13227,US,United States of America,GA,Georgia,13227,Pickens County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31541,15454,16087,3306,3789,3496,3336,3865,4662,4781,3132,1174,1020715,34.46,-84.46,603,77.266667,,,,,4.77,6.72,4.34,4.12,8.03,6.07,6.07,,13.67,,6.94,3.47,6.94,12.58,4.34,6.29,3.9,4.55,3.25,5.64,11.28,27.11,7.81,6.94,5.86,,5.21,39.7,,6.29,,5.86,5.64,15.938889,13.6,17.377778,16.47825,15.322222,96.21801
US_GA_13227,2020-01-15,ChIJyWrjvzxk9YgRWbe85k9D2Y8,Q498675,geoId/13227,US,United States of America,GA,Georgia,13227,Pickens County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31541,15454,16087,3306,3789,3496,3336,3865,4662,4781,3132,1174,1020715,34.46,-84.46,603,77.266667,,,,,9.19,4.83,5.06,10.8,8.51,8.28,7.36,3.22,11.95,4.83,10.34,,5.52,11.26,,5.75,4.6,3.91,3.22,4.14,10.34,28.73,7.13,7.82,6.9,6.44,8.96,43.9,5.98,8.73,6.21,5.75,6.67,15.283333,11.405556,20.283333,10.9855,14.1,92.706121
US_GA_13227,2020-01-16,ChIJyWrjvzxk9YgRWbe85k9D2Y8,Q498675,geoId/13227,US,United States of America,GA,Georgia,13227,Pickens County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31541,15454,16087,3306,3789,3496,3336,3865,4662,4781,3132,1174,1020715,34.46,-84.46,603,77.266667,,,,,6.02,7.41,3.24,10.66,9.04,5.33,,3.48,16.68,,6.02,3.48,3.71,9.96,5.79,3.48,3.48,,6.02,5.33,8.8,27.8,5.79,5.33,3.48,3.94,6.49,41.7,,7.64,5.79,3.94,8.11,15.533333,10.766667,19.688889,10.414,10.455556,71.835749
US_GA_13227,2020-01-17,ChIJyWrjvzxk9YgRWbe85k9D2Y8,Q498675,geoId/13227,US,United States of America,GA,Georgia,13227,Pickens County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31541,15454,16087,3306,3789,3496,3336,3865,4662,4781,3132,1174,1020715,34.46,-84.46,603,77.266667,,,,,4.67,3.56,5.56,10.0,8.89,4.45,,4.45,16.22,3.11,9.78,,5.78,7.33,4.45,4.67,3.78,3.78,5.56,3.11,6.45,29.56,4.89,8.22,3.56,7.33,4.45,37.56,,7.56,8.45,4.0,5.33,7.838889,4.233333,15.283333,2.1844,-3.672222,44.24924
US_GA_13227,2020-01-18,ChIJyWrjvzxk9YgRWbe85k9D2Y8,Q498675,geoId/13227,US,United States of America,GA,Georgia,13227,Pickens County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31541,15454,16087,3306,3789,3496,3336,3865,4662,4781,3132,1174,1020715,34.46,-84.46,603,77.266667,,,,,6.16,9.25,8.41,10.93,8.12,7.57,7.0,6.72,17.65,,10.93,,6.44,11.49,5.32,6.44,4.76,4.2,4.76,,9.81,28.02,5.32,5.6,6.72,4.48,5.04,47.63,3.92,5.32,9.25,5.04,5.88,6.366667,4.172222,10.05,1.378857,-1.705556,56.630724
US_GA_13227,2020-01-19,ChIJyWrjvzxk9YgRWbe85k9D2Y8,Q498675,geoId/13227,US,United States of America,GA,Georgia,13227,Pickens County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31541,15454,16087,3306,3789,3496,3336,3865,4662,4781,3132,1174,1020715,34.46,-84.46,603,77.266667,,,,,9.0,9.56,7.59,10.41,6.19,8.16,9.0,,16.32,7.03,9.85,4.5,3.94,10.41,,6.47,3.94,4.5,4.5,5.91,12.38,24.47,4.78,6.75,3.94,5.63,8.44,45.85,6.19,7.88,7.31,5.63,4.78,6.677778,2.538889,10.433333,9.506857,1.216667,68.720402
US_GA_13227,2020-01-20,ChIJyWrjvzxk9YgRWbe85k9D2Y8,Q498675,geoId/13227,US,United States of America,GA,Georgia,13227,Pickens County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31541,15454,16087,3306,3789,3496,3336,3865,4662,4781,3132,1174,1020715,34.46,-84.46,603,77.266667,,,,,6.1,11.91,,13.02,11.91,8.31,9.14,,18.57,,9.7,4.71,7.21,14.13,5.54,5.82,7.48,6.65,6.37,,8.04,26.05,5.82,7.76,5.82,,6.1,54.87,4.99,7.48,6.93,6.65,6.65,-1.088889,-4.805556,7.383333,0.0254,-8.683333,56.489857
US_GA_13227,2020-01-21,ChIJyWrjvzxk9YgRWbe85k9D2Y8,Q498675,geoId/13227,US,United States of America,GA,Georgia,13227,Pickens County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31541,15454,16087,3306,3789,3496,3336,3865,4662,4781,3132,1174,1020715,34.46,-84.46,603,77.266667,,,,,7.69,7.01,3.85,8.37,8.37,5.43,6.56,4.53,16.74,4.07,8.37,3.17,5.43,10.18,4.3,7.47,4.98,,4.3,6.79,10.18,30.99,8.14,5.66,4.3,6.56,3.62,47.28,4.07,8.14,5.43,6.33,6.11,-1.427778,-5.005556,3.866667,0.084667,-9.3,55.284087
US_GA_13227,2020-01-22,ChIJyWrjvzxk9YgRWbe85k9D2Y8,Q498675,geoId/13227,US,United States of America,GA,Georgia,13227,Pickens County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31541,15454,16087,3306,3789,3496,3336,3865,4662,4781,3132,1174,1020715,34.46,-84.46,603,77.266667,,,,,3.67,9.86,,11.92,7.57,6.88,7.57,,21.1,3.67,12.15,3.67,5.27,10.78,4.59,,7.8,,5.27,6.88,8.94,27.75,7.11,7.11,4.82,7.8,3.67,39.67,4.82,7.57,7.57,5.04,,-0.016667,-7.222222,9.455556,0.254,-9.977778,47.211659
US_GA_13227,2020-01-23,ChIJyWrjvzxk9YgRWbe85k9D2Y8,Q498675,geoId/13227,US,United States of America,GA,Georgia,13227,Pickens County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31541,15454,16087,3306,3789,3496,3336,3865,4662,4781,3132,1174,1020715,34.46,-84.46,603,77.266667,,,,,5.15,8.29,4.26,8.73,8.51,5.15,6.05,4.26,20.61,3.36,9.18,,6.94,6.05,5.15,7.62,6.5,6.27,4.03,4.26,9.86,30.91,8.06,8.06,5.15,6.72,3.81,43.45,6.05,9.18,4.03,,6.05,5.244444,0.483333,8.988889,0.689429,-5.466667,46.19916
US_GA_13227,2020-01-24,ChIJyWrjvzxk9YgRWbe85k9D2Y8,Q498675,geoId/13227,US,United States of America,GA,Georgia,13227,Pickens County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31541,15454,16087,3306,3789,3496,3336,3865,4662,4781,3132,1174,1020715,34.46,-84.46,603,77.266667,,,,,5.64,6.94,,9.55,7.16,4.34,4.99,6.08,19.1,4.99,9.33,,4.12,8.46,5.21,7.59,5.86,3.91,3.04,6.29,7.81,26.26,5.21,6.73,,5.86,9.11,36.67,5.86,4.99,4.34,,4.77,6.661111,3.405556,11.277778,16.09725,4.933333,88.841656
US_GA_13227,2020-01-25,ChIJyWrjvzxk9YgRWbe85k9D2Y8,Q498675,geoId/13227,US,United States of America,GA,Georgia,13227,Pickens County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31541,15454,16087,3306,3789,3496,3336,3865,4662,4781,3132,1174,1020715,34.46,-84.46,603,77.266667,,,,,8.47,9.06,,12.57,7.01,5.55,7.89,,29.52,4.97,10.81,,5.84,8.18,,6.43,4.97,5.26,,7.6,7.89,30.98,5.55,9.64,9.35,6.43,6.43,49.68,4.68,8.47,8.47,4.09,,5.461111,3.15,9.555556,4.2164,1.338889,75.03957
US_GA_13227,2020-01-26,ChIJyWrjvzxk9YgRWbe85k9D2Y8,Q498675,geoId/13227,US,United States of America,GA,Georgia,13227,Pickens County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31541,15454,16087,3306,3789,3496,3336,3865,4662,4781,3132,1174,1020715,34.46,-84.46,603,77.266667,,,,,4.4,6.61,4.96,11.29,7.98,6.06,9.91,4.4,29.45,,10.19,,,11.29,,5.23,7.16,4.4,6.33,6.33,6.06,36.89,5.78,5.5,3.85,6.06,,53.68,4.96,7.71,4.68,6.88,4.13,4.033333,-0.527778,9.383333,0.028222,-0.833333,70.71641
US_GA_13227,2020-01-27,ChIJyWrjvzxk9YgRWbe85k9D2Y8,Q498675,geoId/13227,US,United States of America,GA,Georgia,13227,Pickens County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31541,15454,16087,3306,3789,3496,3336,3865,4662,4781,3132,1174,1020715,34.46,-84.46,603,77.266667,,,,,6.39,5.95,8.16,10.8,9.04,6.17,9.48,6.83,20.28,6.39,7.27,3.53,5.07,10.58,3.53,4.63,7.05,3.97,4.19,5.29,9.7,38.13,8.6,8.38,5.95,7.05,4.85,42.1,5.73,6.61,6.17,5.51,4.63,7.222222,1.427778,11.155556,1.0795,4.433333,82.530915
US_GA_13227,2020-01-28,ChIJyWrjvzxk9YgRWbe85k9D2Y8,Q498675,geoId/13227,US,United States of America,GA,Georgia,13227,Pickens County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31541,15454,16087,3306,3789,3496,3336,3865,4662,4781,3132,1174,1020715,34.46,-84.46,603,77.266667,,,,,4.89,6.99,,14.68,11.42,5.83,6.53,5.36,25.87,,8.39,,3.26,12.12,5.36,4.89,9.09,5.59,4.89,4.2,10.95,40.79,8.16,7.69,4.66,,8.62,44.75,3.73,8.39,4.2,5.59,5.13,6.011111,-0.911111,14.694444,0.1778,1.011111,70.381943
