location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_TX_48273,2020-01-21,ChIJsedguuaZaIYRgt5N8XxnJHQ,Q26527,geoId/48273,US,United States of America,TX,Texas,48273,Kleberg County,US,USA,2,,,,,,,30752,15680,15072,4202,4773,6986,3704,2945,2781,2530,1836,995,1828394,27.43,-97.66,2824,76.58,,,,,,,4.86,8.4,2.8,12.88,8.22,3.36,4.48,4.48,16.06,,6.91,3.55,2.61,11.02,5.79,3.17,4.11,2.99,4.29,8.4,3.36,8.4,27.45,8.4,5.04,7.1,,8.96,5.79,39.03,5.42,6.72,4.29,8.4,6.16,13.322222,8.522222,18.766667,0.0,4.805556,60.655522
US_TX_48273,2020-01-22,ChIJsedguuaZaIYRgt5N8XxnJHQ,Q26527,geoId/48273,US,United States of America,TX,Texas,48273,Kleberg County,US,USA,2,,,,,,,30752,15680,15072,4202,4773,6986,3704,2945,2781,2530,1836,995,1828394,27.43,-97.66,2824,76.58,,,,,,,4.42,8.48,4.24,11.24,7.74,3.69,3.13,8.66,20.64,,8.29,,3.32,12.9,3.32,4.05,4.61,3.32,2.58,6.08,,8.48,31.15,3.5,6.63,9.21,5.71,5.53,5.16,38.15,4.98,9.21,6.27,6.82,6.63,16.994444,15.638889,18.555556,0.3556,13.814815,82.149442
US_TX_48273,2020-01-23,ChIJsedguuaZaIYRgt5N8XxnJHQ,Q26527,geoId/48273,US,United States of America,TX,Texas,48273,Kleberg County,US,USA,2,,,,,,,30752,15680,15072,4202,4773,6986,3704,2945,2781,2530,1836,995,1828394,27.43,-97.66,2824,76.58,,,,,,,3.78,8.88,4.35,8.7,8.88,4.35,5.86,3.78,20.42,,8.13,3.4,,10.59,4.16,4.16,3.59,3.78,2.84,5.86,,8.32,35.54,3.4,3.02,10.4,,6.43,3.78,36.48,2.84,8.13,6.43,5.67,4.92,16.977778,12.338889,22.905556,2.3114,13.805556,81.84189
US_TX_48273,2020-01-24,ChIJsedguuaZaIYRgt5N8XxnJHQ,Q26527,geoId/48273,US,United States of America,TX,Texas,48273,Kleberg County,US,USA,2,,,,,,,30752,15680,15072,4202,4773,6986,3704,2945,2781,2530,1836,995,1828394,27.43,-97.66,2824,76.58,,,,,,,5.21,8.41,3.2,7.81,8.21,3.0,8.41,3.0,25.23,4.61,8.01,3.6,,9.81,6.61,5.21,,,5.01,4.41,,8.41,35.65,5.61,3.6,6.21,4.0,6.01,6.01,35.65,3.4,7.81,5.61,6.41,4.61,15.0,9.611111,20.322222,0.0,7.805556,64.293687
US_TX_48273,2020-01-25,ChIJsedguuaZaIYRgt5N8XxnJHQ,Q26527,geoId/48273,US,United States of America,TX,Texas,48273,Kleberg County,US,USA,2,,,,,,,30752,15680,15072,4202,4773,6986,3704,2945,2781,2530,1836,995,1828394,27.43,-97.66,2824,76.58,,,,,,,6.33,9.12,,9.12,6.84,3.8,9.37,4.81,24.83,3.55,11.4,,4.31,7.6,,6.59,4.81,4.05,,,,6.84,33.44,5.83,,6.08,,,5.57,44.84,,6.84,,3.55,4.05,16.25,12.277778,20.511111,0.0,12.527778,83.292539
US_TX_48273,2020-01-26,ChIJsedguuaZaIYRgt5N8XxnJHQ,Q26527,geoId/48273,US,United States of America,TX,Texas,48273,Kleberg County,US,USA,2,,,,,,,30752,15680,15072,4202,4773,6986,3704,2945,2781,2530,1836,995,1828394,27.43,-97.66,2824,76.58,,,,,,,6.01,9.94,3.47,11.32,6.01,3.93,3.93,6.24,21.72,3.7,7.63,3.93,3.47,5.55,4.62,6.24,,,5.08,5.32,,5.32,34.9,4.85,4.85,10.4,,3.23,4.85,32.12,3.7,6.93,4.62,6.24,5.55,18.938889,16.1,23.022222,0.2032,17.092593,87.534979
US_TX_48273,2020-01-27,ChIJsedguuaZaIYRgt5N8XxnJHQ,Q26527,geoId/48273,US,United States of America,TX,Texas,48273,Kleberg County,US,USA,2,,,,,,,30752,15680,15072,4202,4773,6986,3704,2945,2781,2530,1836,995,1828394,27.43,-97.66,2824,76.58,,,,,,,5.08,10.71,3.63,8.54,8.54,4.18,3.45,4.9,21.97,2.9,4.36,4.54,4.9,7.81,5.45,5.81,5.81,3.63,4.0,3.09,3.09,8.9,31.05,9.26,,9.08,2.9,2.54,5.63,35.23,4.36,8.17,6.17,4.18,5.63,15.588889,11.127778,21.244444,0.0,13.287037,88.44944
US_TX_48273,2020-01-28,ChIJsedguuaZaIYRgt5N8XxnJHQ,Q26527,geoId/48273,US,United States of America,TX,Texas,48273,Kleberg County,US,USA,2,,,,,,,30752,15680,15072,4202,4773,6986,3704,2945,2781,2530,1836,995,1828394,27.43,-97.66,2824,76.58,,,,,,,5.79,9.52,3.73,12.88,7.47,4.11,6.72,6.35,15.87,2.8,7.28,4.29,6.35,10.82,4.11,4.48,4.29,,3.17,3.73,,8.21,37.52,6.53,,9.33,6.91,3.73,4.67,40.5,2.99,10.27,4.85,4.67,9.15,19.161111,15.544444,25.488889,0.0,14.925926,75.149596
US_TX_48273,2020-01-29,ChIJsedguuaZaIYRgt5N8XxnJHQ,Q26527,geoId/48273,US,United States of America,TX,Texas,48273,Kleberg County,US,USA,2,,,,,,,30752,15680,15072,4202,4773,6986,3704,2945,2781,2530,1836,995,1828394,27.43,-97.66,2824,76.58,,,,,,,5.15,7.73,6.54,10.1,10.9,5.15,3.96,3.76,19.22,,7.13,3.57,4.56,8.91,3.76,5.35,2.97,4.95,5.75,4.16,2.97,6.54,35.46,6.74,4.16,11.29,3.37,5.15,6.14,40.41,6.93,8.32,7.13,6.93,7.33,15.866667,9.627778,22.955556,0.0,2.990741,42.557847
US_TX_48273,2020-01-30,ChIJsedguuaZaIYRgt5N8XxnJHQ,Q26527,geoId/48273,US,United States of America,TX,Texas,48273,Kleberg County,US,USA,2,,,,,,,30752,15680,15072,4202,4773,6986,3704,2945,2781,2530,1836,995,1828394,27.43,-97.66,2824,76.58,,,,,,,3.0,8.8,4.4,9.4,6.6,7.0,5.8,3.8,29.41,2.8,10.6,,3.0,11.0,4.4,8.2,3.4,4.8,3.6,6.4,5.0,9.6,36.01,5.8,3.2,8.0,3.4,4.0,6.8,38.41,3.6,5.6,4.6,9.4,4.2,12.683333,10.288889,17.011111,0.0,7.703704,75.148747
