location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_MI_26153,2020-01-23,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,24.48,29.92,0.061111,-2.461111,1.077778,1.580444,-0.877778,92.209562
US_MI_26153,2020-01-24,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,,30.24,0.266667,-0.477778,1.144444,2.060222,-0.522222,93.364145
US_MI_26153,2020-01-25,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,,36.98,0.516667,-0.15,1.811111,2.596444,-0.011111,95.246907
US_MI_26153,2020-01-26,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,,29.01,-0.016667,-0.95,1.144444,1.834444,-1.266667,89.795562
US_MI_26153,2020-01-27,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,32.06,34.63,-0.733333,-2.083333,0.366667,0.544286,-2.411111,87.271457
US_MI_26153,2020-01-28,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,32.52,39.59,-3.127778,-4.561111,-1.094444,0.3175,-5.677778,81.109651
US_MI_26153,2020-01-29,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,35.19,27.07,-4.772222,-6.25,-3.072222,0.22225,-6.444444,86.52323
US_MI_26153,2020-01-30,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,43.38,36.61,-3.6,-5.622222,-1.288889,0.0,-5.255556,87.716537
US_MI_26153,2020-01-31,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,23.75,33.53,-2.738889,-5.366667,-0.655556,0.108857,-5.233333,82.237424
US_MI_26153,2020-02-01,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,41.52,55.36,-0.127778,-3.205556,1.477778,0.0,-1.844444,87.219433
US_MI_26153,2020-02-02,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,,65.78,0.555556,-1.344444,1.872222,0.564444,-0.977778,87.785074
US_MI_26153,2020-02-03,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,36.17,31.01,0.483333,-2.022222,2.677778,0.4572,-2.844444,77.593243
US_MI_26153,2020-02-04,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,34.7,49.78,-4.105556,-8.166667,0.544444,0.0,-9.233333,66.799604
US_MI_26153,2020-02-05,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,45.95,53.83,-8.811111,-14.283333,-3.433333,0.0,-13.9,66.705086
US_MI_26153,2020-02-06,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,39.03,25.09,-6.261111,-13.116667,0.055556,0.0,-10.988889,69.863672
US_MI_26153,2020-02-07,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,,38.51,-5.922222,-11.588889,-1.094444,0.108857,-8.622222,79.90215
US_MI_26153,2020-02-08,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,,,-11.566667,-16.594444,-6.166667,0.217714,-15.544444,72.907395
US_MI_26153,2020-02-09,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,,38.28,-7.616667,-11.833333,-4.666667,0.310444,-10.422222,81.327798
US_MI_26153,2020-02-10,ChIJFxqbOZEBTE0RFkj7ESy5Mlo,Q502549,geoId/26153,US,United States of America,MI,Michigan,26153,Schoolcraft County,US,USA,2,,,,,,,8013,3941,4072,704,805,711,665,904,1317,1519,862,526,1898723,46.02,-86.19,4879,79.6,,,,,35.15,22.98,-5.338889,-10.377778,-1.816667,0.53975,-7.866667,82.862595
