location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_KY_21071,2020-01-11,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,,8.92,14.54,5.62,9.91,4.63,20.16,10.57,6.28,13.22,9.58,6.94,7.93,7.27,11.89,34.03,7.6,6.94,8.26,12.22,47.25,4.63,7.6,9.25,,17.759259,13.487654,23.660494,0.0,,10.530864,62.799385
US_KY_21071,2020-01-12,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,6.72,8.07,7.4,11.1,5.38,6.72,18.83,14.46,5.72,11.1,,8.41,5.72,4.71,10.76,33.29,5.04,11.1,10.76,7.06,47.75,5.38,6.05,10.42,11.43,11.537037,6.641975,17.611111,10.16,,7.12963,74.444668
US_KY_21071,2020-01-13,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,7.96,8.26,15.91,11.02,8.26,7.65,18.36,9.49,4.9,10.71,4.59,7.96,9.18,4.9,13.77,39.79,,11.02,5.2,9.18,48.05,8.26,11.63,11.63,10.1,8.104938,4.450617,13.759259,0.0,,4.975309,81.103949
US_KY_21071,2020-01-14,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,8.7,8.08,14.6,10.56,8.39,5.28,17.7,12.74,8.39,9.01,6.21,6.21,23.61,8.08,8.08,40.69,7.14,9.94,7.14,7.14,46.59,,13.36,8.08,4.66,11.314815,6.716049,14.518519,2.455333,,10.339506,93.776468
US_KY_21071,2020-01-15,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,9.16,8.55,8.55,12.52,4.28,8.25,19.55,9.47,6.42,15.58,6.11,11.0,15.58,5.5,11.61,40.93,8.25,6.72,6.42,12.22,55.9,5.19,7.33,9.16,11.3,11.080247,7.006173,17.074074,0.508,,10.444444,95.864407
US_KY_21071,2020-01-16,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,9.03,9.03,14.75,11.44,7.22,5.42,21.37,14.15,6.62,14.15,5.12,6.02,4.82,4.21,12.94,37.63,14.45,11.44,6.62,8.43,46.66,7.83,,5.42,6.02,10.216049,3.907407,16.54321,0.362857,,4.018519,65.479775
US_KY_21071,2020-01-17,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,6.67,6.67,12.71,11.76,7.31,5.09,19.07,9.85,7.95,16.85,,7.63,6.67,5.4,13.99,35.92,11.44,11.44,5.09,9.54,40.69,,7.95,10.17,6.04,-0.061728,-4.12963,4.950617,0.0,,-8.302469,54.004878
US_KY_21071,2020-01-18,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,9.17,11.06,14.23,9.48,6.96,11.06,20.55,13.28,,12.64,4.74,9.8,8.85,6.64,5.69,28.14,,10.75,6.32,5.37,47.1,7.9,5.37,10.43,7.27,5.845679,-0.055556,10.055556,0.254,,-3.987654,49.804622
US_KY_21071,2020-01-19,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,9.54,6.99,15.57,6.67,7.63,5.72,17.16,8.58,7.31,9.85,5.4,5.09,,4.45,13.03,29.56,7.95,6.04,,7.31,49.9,4.77,5.72,5.4,5.72,2.067901,-4.308642,9.759259,3.175,,-2.67284,70.95128
US_KY_21071,2020-01-20,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,10.71,8.33,13.98,9.81,8.92,7.43,19.93,9.52,5.95,12.79,,6.25,4.46,5.06,11.3,37.47,8.03,8.33,6.25,,52.94,5.95,8.33,5.95,5.95,-6.475309,-8.32716,-4.302469,0.0,,-11.04321,70.173507
US_KY_21071,2020-01-21,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,4.92,10.12,13.3,9.83,7.52,9.54,30.07,10.41,5.78,15.61,,5.78,8.1,9.83,10.41,40.19,6.36,6.36,12.43,10.12,50.02,4.05,10.99,8.68,6.94,-5.58642,-7.975309,-1.635802,0.0,,-10.567901,68.340674
US_KY_21071,2020-01-22,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,6.05,12.72,10.9,11.2,4.24,4.84,30.28,14.53,6.66,15.14,5.45,,6.96,13.93,15.74,40.57,8.48,7.87,11.81,11.81,50.87,6.66,9.39,8.18,8.18,-3.703704,-10.024691,6.574074,0.0,,-9.888889,62.424201
US_KY_21071,2020-01-23,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,5.55,11.39,13.44,10.81,8.18,5.26,23.66,12.56,5.84,16.07,4.38,7.89,5.26,,13.44,38.56,9.64,9.06,7.6,4.97,65.15,6.13,7.01,4.67,8.47,3.67284,-2.450617,11.055556,0.0,,-8.246914,43.265687
US_KY_21071,2020-01-24,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,7.51,8.42,10.82,19.24,6.01,5.41,31.56,13.83,5.71,10.22,5.41,,,4.51,12.03,45.09,11.72,6.91,6.31,8.42,45.39,,6.31,7.82,6.31,8.030864,2.425926,11.12963,2.370667,,3.234568,71.875865
US_KY_21071,2020-01-25,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,7.14,9.09,12.66,7.79,5.19,5.52,27.92,13.63,7.79,12.01,7.47,8.12,4.87,,8.44,45.44,,10.71,4.54,5.19,44.8,,10.06,,7.14,3.679012,1.37037,9.166667,8.805333,,2.006173,88.880373
US_KY_21071,2020-01-26,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,7.37,7.07,13.82,14.44,6.76,,31.03,13.21,7.37,8.29,5.84,9.22,5.84,7.07,7.68,39.94,7.68,8.6,5.84,6.76,39.33,4.92,10.14,7.68,,2.067901,0.067901,6.290123,0.1524,,-2.074074,74.148508
US_KY_21071,2020-01-27,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,6.19,8.54,16.5,12.37,7.36,,30.05,9.13,10.61,14.43,6.48,7.95,5.89,5.6,14.73,50.37,5.89,10.61,5.89,5.3,44.19,5.89,5.3,4.42,6.78,3.320988,0.604938,6.5,0.169333,,1.425926,87.647841
US_KY_21071,2020-01-28,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,7.21,8.42,16.83,11.42,7.21,7.21,37.88,12.02,5.71,14.43,,7.21,9.62,4.51,14.73,50.8,9.92,6.01,6.61,7.82,43.59,4.81,8.72,8.72,9.02,2.302469,0.37037,6.345679,0.181429,,-0.783951,80.187878
US_KY_21071,2020-01-29,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,,10.44,14.74,11.05,8.29,7.06,31.32,14.13,,14.74,,7.68,9.83,,14.43,49.75,11.67,6.76,8.91,7.98,45.76,9.52,11.67,8.6,10.44,1.660494,-0.135802,5.061728,0.0,,-1.438272,80.057557
US_KY_21071,2020-01-30,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,8.0,10.37,10.37,11.86,5.63,5.33,39.72,13.93,,15.12,,4.15,6.22,5.04,11.56,47.72,7.71,9.19,5.04,10.97,45.64,6.22,8.3,12.15,6.22,2.345679,0.5,5.833333,0.084667,,0.055556,85.311741
US_KY_21071,2020-01-31,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,8.88,8.58,11.03,9.8,8.27,7.05,31.86,10.11,6.43,10.42,,5.21,6.13,6.43,5.51,50.24,10.72,6.13,7.66,4.59,48.4,4.29,8.88,4.9,6.74,4.932099,1.734568,8.648148,0.0,,2.388889,83.821362
US_KY_21071,2020-02-01,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,7.26,6.93,9.57,7.59,6.6,6.93,32.35,15.52,5.61,9.57,9.24,6.6,,,9.24,39.62,6.27,7.92,,10.56,45.23,6.27,8.58,9.24,5.61,4.197531,2.006173,6.95679,1.439333,,3.283951,93.88721
US_KY_21071,2020-02-02,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,6.13,11.61,10.65,10.0,,6.13,36.45,9.68,4.84,12.26,5.48,6.78,,,7.74,35.49,,6.13,4.84,,40.97,6.45,10.97,6.45,7.42,6.179012,0.833333,15.993827,1.2065,,0.240741,66.045362
US_KY_21071,2020-02-03,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,6.93,7.83,10.84,11.75,6.93,6.03,32.83,18.38,6.93,11.45,6.03,8.74,7.23,9.64,13.25,46.09,9.94,6.93,6.33,5.42,48.8,6.03,9.34,8.43,7.83,10.790123,4.234568,18.074074,0.0,,1.259259,53.185523
US_KY_21071,2020-02-04,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,8.38,7.78,11.07,10.18,5.99,7.18,30.83,13.17,10.18,14.07,8.38,4.79,9.28,,12.27,46.99,13.17,5.39,,10.47,52.08,4.79,5.99,4.49,8.98,13.302469,9.549383,17.91358,1.439333,,7.549383,68.7516
US_KY_21071,2020-02-05,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,10.22,9.92,17.43,11.72,7.51,4.51,21.64,10.22,7.51,15.93,,7.51,9.02,7.21,14.42,33.66,8.11,10.52,7.81,7.51,51.39,4.51,5.41,4.51,9.32,10.037037,6.864198,16.117284,12.615333,,9.561728,96.891143
US_KY_21071,2020-02-06,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,6.02,11.13,9.63,14.74,6.02,6.92,24.97,8.72,4.51,8.12,6.32,7.52,5.72,6.32,8.43,30.09,7.22,7.52,7.52,9.03,45.43,,8.43,6.92,6.92,10.969136,6.666667,13.604938,7.958667,,10.654321,97.927477
US_KY_21071,2020-02-07,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,8.51,9.42,10.64,11.55,,,22.18,11.24,8.81,11.24,6.38,9.12,5.17,4.56,13.37,29.48,6.38,5.47,7.9,7.6,44.07,4.86,7.29,7.9,,1.623457,-2.259259,9.734568,7.450667,30.48,0.339506,91.205532
US_KY_21071,2020-02-08,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,6.57,8.54,12.82,8.22,4.6,9.2,18.08,11.17,7.56,13.8,6.9,6.9,8.22,4.6,9.86,32.87,5.59,8.54,8.22,4.93,49.63,5.59,9.53,10.19,5.59,-0.765432,-4.049383,3.512346,0.423333,54.61,-3.839506,79.736828
US_KY_21071,2020-02-09,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,6.09,10.49,12.86,11.17,8.12,5.08,19.3,11.17,5.75,11.17,7.45,6.09,5.42,4.74,10.49,28.77,8.46,9.82,4.74,10.49,47.73,5.42,8.46,7.11,9.82,2.685185,-2.746914,9.845679,0.254,30.48,-1.049383,76.68458
US_KY_21071,2020-02-10,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,7.57,8.45,13.11,11.36,5.54,8.45,23.01,10.2,5.83,11.36,9.32,5.24,4.08,7.28,14.56,37.58,5.54,8.45,5.83,6.99,56.8,,5.83,6.12,6.7,8.259259,4.302469,10.759259,3.979333,,3.401235,72.66904
US_KY_21071,2020-02-11,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,6.58,9.27,12.26,10.77,6.58,6.28,23.33,6.58,4.79,15.85,5.38,4.79,8.08,6.28,9.27,42.17,8.08,10.47,8.08,8.67,47.56,,8.38,6.58,5.38,9.407407,5.641975,12.037037,21.505333,,8.888889,96.608711
US_KY_21071,2020-02-12,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,8.18,6.72,12.86,13.15,4.38,7.89,15.78,9.94,7.31,12.57,4.68,5.26,4.97,6.43,11.69,37.7,4.68,7.89,5.85,8.18,43.26,9.35,7.6,4.38,6.14,4.277778,1.895062,9.944444,1.778,,3.12963,92.395766
US_KY_21071,2020-02-13,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,4.75,8.61,12.76,10.39,,9.2,16.92,8.31,5.94,10.98,6.53,5.34,6.53,6.23,10.98,31.46,8.9,7.12,5.64,10.98,42.74,,7.42,5.05,6.53,8.765432,1.901235,13.654321,23.029333,,7.567901,92.253208
US_KY_21071,2020-02-14,ChIJg3oQoV0CRYgRT5pvfMJQ12E,Q500702,geoId/21071,US,United States of America,KY,Kentucky,21071,Floyd County,US,USA,2,,,,,,,36296,17737,18559,4422,4341,4219,4317,4732,5175,5017,2812,1261,1846521,37.56,-82.75,1024,73.03,,,,5.78,7.71,15.42,6.1,8.35,6.42,17.67,7.39,7.71,10.28,,,6.75,,11.56,31.8,8.67,8.35,,7.39,40.47,5.78,4.5,6.42,,-1.512346,-4.716049,2.858025,0.7112,,-6.697531,68.169091
