location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MO_29083,2020-01-25,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,7.36,8.18,,18.4,6.95,,40.08,6.54,39.67,,-0.452381,-1.261905,0.730159,0.326571,99.06,-2.134921,88.521062
US_MO_29083,2020-01-26,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,,6.23,,18.3,,,30.36,8.95,30.36,,-0.547619,-4.722222,4.325397,0.0,50.8,-1.769841,91.550407
US_MO_29083,2020-01-27,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,5.23,9.41,7.67,24.4,5.23,9.06,28.93,5.93,28.23,6.97,-0.34127,-3.357143,3.269841,0.0,,-1.333333,93.234679
US_MO_29083,2020-01-28,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,6.97,9.4,8.36,28.21,10.8,9.75,35.53,9.4,32.74,8.71,-0.52381,-1.373016,0.761905,0.0,,-1.285714,94.706225
US_MO_29083,2020-01-29,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,,10.96,9.54,22.97,12.37,6.36,42.05,,39.58,13.07,-1.277778,-2.428571,0.071429,0.254,30.48,-2.626984,90.665431
US_MO_29083,2020-01-30,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,5.76,11.52,,30.23,11.88,5.4,37.79,5.4,37.07,5.76,-0.531746,-2.198413,2.857143,0.145143,,-3.02381,83.512914
US_MO_29083,2020-01-31,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,5.2,7.28,5.54,28.75,9.35,7.62,36.38,7.28,34.65,,1.888889,-0.261905,4.714286,0.0,,0.285714,89.284613
US_MO_29083,2020-02-01,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,,6.8,6.8,17.42,,,20.82,,34.42,6.8,2.833333,-1.238095,10.047619,0.0,,-0.619048,78.348355
US_MO_29083,2020-02-02,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,,8.22,6.92,16.0,,,19.89,7.35,27.25,9.52,9.47619,4.269841,18.47619,0.0,,1.626984,58.304937
US_MO_29083,2020-02-03,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,6.85,14.07,8.3,14.07,7.57,9.02,23.8,,34.26,,12.229167,4.951389,19.756944,0.0,,2.881944,53.155934
US_MO_29083,2020-02-04,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,,,8.24,21.29,9.96,6.87,27.81,5.15,28.5,5.49,1.493056,-0.916667,6.145833,0.1524,,-1.381944,81.421924
US_MO_29083,2020-02-05,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,,7.17,,16.98,8.68,6.04,18.11,7.17,29.05,5.66,-1.5,-2.881944,-0.277778,0.4572,30.48,-5.881944,72.248021
US_MO_29083,2020-02-06,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,,7.41,7.78,22.6,10.74,8.89,26.31,,31.86,5.56,-2.690476,-6.992063,1.380952,0.465667,30.48,-7.063492,72.449153
US_MO_29083,2020-02-07,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,,9.07,,17.78,10.16,7.62,24.68,8.35,30.12,,-2.071429,-5.857143,2.912698,0.0,,-5.960317,75.39002
US_MO_29083,2020-02-08,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,,6.69,,21.33,8.78,,32.62,8.37,33.04,7.95,-1.531746,-6.896825,4.428571,0.0,,-6.269841,70.294306
US_MO_29083,2020-02-09,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,6.9,8.12,,15.42,8.52,,25.16,,34.9,,5.753968,0.777778,11.293651,0.169333,,0.928571,71.426412
US_MO_29083,2020-02-10,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,5.25,11.9,,17.86,5.95,7.7,26.26,,31.86,,0.666667,-2.904762,6.992063,0.677333,,-3.071429,76.487425
US_MO_29083,2020-02-11,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,6.51,7.88,7.88,19.88,6.17,,32.22,7.2,34.27,5.14,2.777778,0.388889,6.222222,0.0,,-3.261905,65.142523
US_MO_29083,2020-02-12,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,,7.0,,18.68,6.67,9.67,25.02,,33.02,,0.515873,-0.603175,3.468254,1.7272,50.8,-2.547619,80.101162
US_MO_29083,2020-02-13,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,,,5.96,17.87,14.52,10.05,29.41,,27.55,9.68,-7.269841,-14.65873,0.412698,5.2832,50.8,-11.031746,74.826559
US_MO_29083,2020-02-14,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,,,,,,7.37,,14.74,5.26,11.23,22.11,,26.32,,-11.666667,-16.785714,-3.309524,0.0,,-17.15873,63.969762
US_MO_29083,2020-02-15,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,2,-1,2,,7.17,6.75,7.17,23.62,6.75,,22.78,,29.53,,0.259259,-3.981481,4.814815,0.0,,-5.453704,65.628731
US_MO_29083,2020-02-16,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,12,8,0,,,12.19,8.27,22.2,10.45,,24.37,7.83,40.47,,2.148148,-4.712963,11.074074,0.0,,-0.962963,80.102678
US_MO_29083,2020-02-17,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,1,6,-16,,7.99,8.37,,20.54,11.79,,24.34,5.71,41.08,7.99,6.928571,3.349206,13.634921,0.0,,4.02381,82.05505
US_MO_29083,2020-02-18,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,-2,-1,1,-1,,6.29,9.59,17.2,5.96,11.25,23.16,6.62,30.77,6.95,3.634921,-0.579365,11.460317,0.0,,-0.785714,73.328131
US_MO_29083,2020-02-19,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,11,1,4,-2,,9.84,6.79,20.36,7.13,8.48,23.42,5.43,34.28,6.45,0.515873,-3.706349,5.888889,0.0,,-4.031746,71.835051
US_MO_29083,2020-02-20,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,-3,-4,4,0,6.78,9.83,5.08,20.33,7.12,7.12,25.41,,31.18,6.44,-2.222222,-6.031746,2.126984,0.0,,-7.81746,65.600732
US_MO_29083,2020-02-21,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,18,-8,22,,,5.7,5.36,10.39,8.38,,22.46,,27.48,5.03,-3.611111,-9.769841,5.031746,0.0,,-11.047619,56.660101
US_MO_29083,2020-02-22,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,10,2,5,,8.73,11.23,,17.05,7.49,,25.79,7.49,32.45,8.32,2.230159,-3.039683,11.325397,0.0,,-6.47619,52.821283
US_MO_29083,2020-02-23,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,21,16,-7,,,,,17.0,9.12,,17.83,,31.52,,8.730159,4.412698,15.15873,0.0,,1.333333,59.897408
US_MO_29083,2020-02-24,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,-9,-2,3,3,5.23,12.09,4.57,19.27,7.51,5.23,26.13,5.55,31.69,6.86,7.0,4.84127,11.261905,7.2136,,5.595238,90.865757
US_MO_29083,2020-02-25,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,-2,0,2,0,5.28,7.59,7.92,20.46,7.92,7.26,35.98,6.6,29.38,9.9,3.0,0.873016,5.436508,2.54,,1.253968,88.657134
US_MO_29083,2020-02-26,ChIJQ5R_EUUexIcRA-u2J7mJYF0,Q490378,geoId/29083,US,United States of America,MO,Missouri,29083,Henry County,US,USA,2,,,,,,,21695,10662,11033,2621,2616,2257,2440,2385,3117,2988,2141,1130,1180453,38.39,-93.79,1897,74.95,19,2,7,-1,5.7,13.09,7.38,25.5,9.39,6.04,35.9,6.71,25.83,5.37,0.968254,-1.357143,3.714286,0.6096,,-3.253968,74.260377
