location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MI_26137,2020-01-25,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,6.88,7.21,11.47,5.57,7.21,4.59,18.36,6.23,,5.24,,,5.57,,25.24,8.52,,,38.35,,,1.227778,-0.338889,2.8,1.6764,279.4,0.462963,94.039798
US_MI_26137,2020-01-26,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,6.52,4.97,8.07,6.52,4.97,4.35,21.73,8.38,6.52,6.52,4.35,5.59,6.52,,30.74,,7.45,4.35,34.77,6.21,7.14,0.355556,-0.977778,2.327778,0.5588,200.66,-0.660494,92.149728
US_MI_26137,2020-01-27,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,4.68,4.09,11.12,10.24,4.68,7.61,20.18,8.48,,7.02,4.68,6.14,6.14,9.36,29.25,,4.97,6.73,38.62,4.97,5.27,-0.888889,-1.744444,0.816667,0.435429,180.34,-2.87037,85.482949
US_MI_26137,2020-01-28,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,6.0,7.8,7.8,4.8,5.1,8.7,24.59,7.8,,6.9,4.8,5.4,,12.0,29.39,6.0,6.6,8.7,38.39,5.7,,-2.461111,-3.661111,-0.066667,0.0635,180.34,-4.91358,82.38513
US_MI_26137,2020-01-29,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,4.78,7.46,8.65,11.94,,5.67,17.61,7.76,4.48,9.55,4.78,,4.78,6.27,30.74,,7.16,5.07,38.5,9.55,,-3.961111,-4.961111,-1.933333,0.056444,200.66,-6.635802,80.715286
US_MI_26137,2020-01-30,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,5.25,8.17,7.3,9.05,9.05,5.54,24.22,8.17,6.13,7.59,6.42,4.96,,4.96,28.89,7.88,8.46,5.25,34.44,7.59,6.42,-2.938889,-4.577778,-1.2,0.0,200.66,-5.808642,79.657626
US_MI_26137,2020-01-31,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,,4.92,9.83,9.54,4.63,7.81,25.45,5.21,7.52,7.81,4.63,5.21,4.34,4.92,27.47,4.05,10.7,4.05,36.44,9.83,,-1.388889,-3.461111,-0.0,0.0508,200.66,-3.302469,85.903204
US_MI_26137,2020-02-01,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,,,8.32,9.28,,6.4,13.76,6.72,6.08,7.68,6.08,4.8,,7.04,25.59,,8.32,6.4,30.07,4.8,,-0.038889,-1.877778,1.116667,0.508,200.66,-1.469136,89.124447
US_MI_26137,2020-02-02,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,4.56,7.49,10.74,5.86,,6.51,23.11,8.79,,8.79,6.18,,,6.18,21.81,5.53,5.86,6.84,40.69,6.51,4.56,0.266667,-1.188889,2.027778,2.54,200.66,-1.166667,89.281804
US_MI_26137,2020-02-03,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,4.55,5.46,10.92,6.07,7.28,5.46,24.28,7.59,4.86,10.01,6.68,6.98,4.86,8.5,30.65,10.32,10.62,9.41,40.06,6.37,4.55,0.866667,-2.938889,3.016667,0.635,200.66,-2.432099,78.069936
US_MI_26137,2020-02-04,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,6.56,6.56,7.15,7.75,6.86,5.07,19.67,6.56,4.17,10.13,4.77,4.77,5.37,7.45,29.51,5.96,4.47,4.17,39.35,5.96,4.77,-2.333333,-6.955556,2.555556,0.0,200.66,-6.925926,70.181417
US_MI_26137,2020-02-05,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,,6.12,11.01,7.03,7.64,6.73,18.96,7.95,5.2,9.79,,6.12,4.28,6.42,24.46,8.87,,4.59,33.02,7.64,6.42,-6.911111,-10.661111,-2.1,0.0,149.86,-12.179012,65.047102
US_MI_26137,2020-02-06,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,5.48,,7.0,7.0,4.57,7.61,24.67,7.61,7.61,6.39,,5.18,9.75,9.14,28.02,5.79,5.18,6.7,34.11,7.0,7.31,-6.077778,-10.033333,-2.094444,0.0,180.34,-10.234568,71.808202
US_MI_26137,2020-02-07,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,4.19,7.48,5.39,,4.19,4.19,19.75,9.88,,9.28,,4.19,,8.38,23.34,,,4.49,34.42,7.18,,-5.483333,-9.505556,-2.094444,0.254,180.34,-8.055556,81.710388
US_MI_26137,2020-02-08,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,5.64,7.3,9.63,5.64,5.64,7.63,15.27,4.65,,8.3,,,,5.64,25.89,,8.3,,37.51,8.96,5.97,-11.366667,-17.838889,-3.888889,0.1016,180.34,-15.425926,71.928678
US_MI_26137,2020-02-09,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,5.2,4.87,9.74,6.82,10.39,,18.19,9.42,7.79,8.44,7.14,,,7.47,22.41,,7.47,8.12,34.43,4.55,7.14,-5.055556,-8.555556,-1.866667,0.0508,180.34,-8.290123,77.204038
US_MI_26137,2020-02-10,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,5.92,,10.66,5.92,7.11,6.51,17.47,5.33,,4.44,5.33,5.33,,8.29,27.24,9.18,4.44,4.44,37.02,7.4,6.22,-3.6,-10.094444,-0.361111,7.4676,180.34,-5.666667,84.993279
US_MI_26137,2020-02-11,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,4.65,8.13,7.55,8.42,,,18.0,9.87,4.65,6.97,,,,6.1,24.68,4.65,6.97,,31.65,6.68,4.65,-4.855556,-10.766667,-0.755556,0.3556,299.72,-7.141975,83.658254
US_MI_26137,2020-02-12,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,4.18,6.87,13.15,9.56,6.57,5.08,16.73,7.17,5.38,13.74,4.48,,4.18,8.07,27.79,6.27,,5.38,36.75,9.26,,-1.738889,-6.905556,2.905556,0.028222,279.4,-6.506173,69.118996
US_MI_26137,2020-02-13,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,,,7.06,7.06,4.42,,14.72,4.42,6.47,9.42,6.18,,,8.83,26.2,6.47,6.77,,38.26,8.83,5.0,-9.844444,-16.3,1.844444,1.1176,279.4,-13.592593,73.977604
US_MI_26137,2020-02-14,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,,,,,4.02,4.6,6.9,7.18,4.31,4.31,18.39,5.75,7.76,8.34,,4.31,6.32,7.76,18.97,6.04,7.47,4.31,26.73,7.18,4.31,-13.294444,-19.655556,-5.461111,0.9144,299.72,-17.604938,69.219436
US_MI_26137,2020-02-15,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,6,2,6,,5.98,4.4,6.61,6.29,5.35,5.35,16.98,,4.4,6.61,10.06,,,6.92,23.59,6.29,5.03,,39.95,7.23,5.66,-8.272222,-15.061111,-2.177778,0.0508,299.72,-12.419753,70.688134
US_MI_26137,2020-02-16,ChIJub9HR30WNU0RRSY1VwqC-qg,Q502712,geoId/26137,US,United States of America,MI,Michigan,26137,Otsego County,US,USA,2,,,,,,,24528,12230,12298,2794,2974,2822,2578,2774,3663,3558,2179,1186,1907336,45.02,-84.61,1362,78.466667,17,10,5,,4.33,5.26,9.28,7.43,,5.57,19.19,7.74,,4.33,,4.64,5.26,4.95,24.45,6.19,5.88,7.43,32.18,6.81,5.26,-3.244444,-8.911111,-0.905556,0.3556,299.72,-7.91358,69.687478
