location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_VA_51685,2020-02-08,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,8.34,,,15.36,,6.58,21.06,7.46,31.15,,2.805556,-2.166667,10.961111,5.3594,,-6.709877,50.106609
US_VA_51685,2020-02-09,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,11.67,8.21,,14.69,7.78,,18.15,,31.11,,2.533333,-3.755556,10.011111,0.0,,-4.347222,62.043353
US_VA_51685,2020-02-10,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,,7.57,,20.44,6.43,,37.48,8.71,26.12,,6.888889,3.6,8.944444,3.7084,,1.518519,68.978921
US_VA_51685,2020-02-11,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,8.36,6.91,6.91,16.36,9.09,6.54,27.27,6.18,29.45,6.91,10.2,6.383333,13.316667,9.7282,,9.240741,94.132053
US_VA_51685,2020-02-12,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,13.57,9.8,6.79,17.72,10.93,7.92,25.25,5.65,30.91,7.54,7.783333,4.722222,12.194444,2.3622,,0.654321,61.250861
US_VA_51685,2020-02-13,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,8.04,6.43,6.03,16.49,,,26.54,7.24,31.77,,8.044444,4.527778,13.294444,3.4798,,6.41358,89.637231
US_VA_51685,2020-02-14,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,,,,8.92,6.79,7.64,8.07,,,19.53,,30.99,,3.866667,-0.888889,11.605556,2.7686,,-4.580247,54.60131
US_VA_51685,2020-02-15,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,-33,-4,1,,,15.23,6.53,23.5,8.7,,17.84,10.01,29.16,,-2.577778,-8.438889,4.65,0.0,,-11.234568,51.92336
US_VA_51685,2020-02-16,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,2,-2,,9.75,8.9,9.32,11.44,7.21,6.78,21.19,8.48,36.87,,2.911111,-5.5,11.327778,0.0,,-5.061728,56.491442
US_VA_51685,2020-02-17,ChIJubEj6XNbtokRHIdv7zwLvKc,Q502269,geoId/51685,US,United States of America,VA,Virginia,51685,Manassas Park,US,USA,2,,,,,,,17149,8841,8308,2474,2422,2496,2963,2621,2175,1158,559,281,206609,38.773564,-77.453542,62,6,80.35,,-5,-29,,7.05,6.64,10.37,9.12,8.29,,17.42,12.03,35.25,,6.044444,-0.611111,12.727778,0.0,,-2.111111,56.88667
