location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MD_24029,2020-01-26,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,6.22,,7.88,22.82,11.2,7.05,31.54,,41.91,,5.683333,1.711111,8.833333,3.048,,0.022222,68.239705
US_MD_24029,2020-01-27,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,10.61,8.41,11.34,28.53,8.41,6.22,61.44,8.05,33.65,6.22,5.083333,1.622222,8.233333,0.0,,-1.555556,62.898044
US_MD_24029,2020-01-28,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,,5.41,6.18,31.27,11.58,9.65,39.38,10.04,42.47,7.72,5.3,3.083333,6.988889,0.0,,-1.666667,60.998231
US_MD_24029,2020-01-29,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,,7.37,10.47,22.87,9.69,6.98,33.34,6.59,37.21,7.75,4.766667,2.527778,6.472222,0.0,,-3.733333,54.126379
US_MD_24029,2020-01-30,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,,11.95,10.71,35.02,6.59,8.24,46.15,,45.74,,0.872222,-2.222222,4.533333,0.0,,-5.344444,64.296464
US_MD_24029,2020-01-31,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,9.29,10.5,12.52,25.85,7.27,,33.12,,39.99,9.29,2.655556,-0.688889,6.538889,0.0,,-0.955556,77.614447
US_MD_24029,2020-02-01,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,11.28,11.73,,32.04,9.03,,37.01,7.67,31.14,9.03,3.061111,-0.633333,6.972222,0.0,,1.708333,91.232634
US_MD_24029,2020-02-02,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,10.97,8.13,7.32,23.16,6.5,,31.29,6.91,37.39,,4.761111,2.105556,7.35,0.362857,,1.955556,82.649343
US_MD_24029,2020-02-03,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,7.28,6.91,8.37,19.64,9.46,7.64,29.83,7.64,38.19,5.46,6.472222,0.733333,15.094444,0.0,,2.277778,76.306619
US_MD_24029,2020-02-04,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,9.81,8.24,12.17,28.27,7.85,,28.27,7.85,39.26,6.67,10.233333,5.355556,15.883333,0.0,,6.222222,75.717631
US_MD_24029,2020-02-05,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,,14.88,8.04,16.89,8.44,7.64,31.36,7.24,45.83,8.44,7.116667,3.422222,13.027778,0.0,,4.588889,84.72353
US_MD_24029,2020-02-06,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,8.32,11.49,9.9,19.02,6.74,7.92,34.47,,36.84,,4.127778,2.844444,6.311111,0.435429,,3.144444,92.682033
US_MD_24029,2020-02-07,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,11.35,9.25,7.57,15.13,7.57,6.72,24.8,,39.09,6.72,7.922222,4.477778,12.961111,2.939143,,3.833333,76.12166
US_MD_24029,2020-02-08,ChIJ44K7zlphx4kRXcFy39IYyik,Q494228,geoId/24029,US,United States of America,MD,Maryland,24029,Kent County,US,USA,2,,,,,,,19442,9299,10143,1628,2270,2519,1863,1772,2741,2948,2308,1393,935861,39.23,-76.1,19,1073,78.86,,,,7.9,8.37,,14.41,8.37,15.8,22.77,10.22,33.93,6.97,2.916667,0.105556,6.716667,0.6096,,-4.944444,56.72973
