location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TN_47107,2020-01-21,ChIJT5Yu-eU_XogRQAnU3e8XUyM,Q494636,geoId/47107,US,United States of America,TN,Tennessee,47107,McMinn County,US,USA,2,,,,,,,52931,25861,27070,5869,6666,6295,5838,6689,7581,6959,4619,2415,1848190,35.42,-84.62,1119,74.822222,,,,,,,7.08,7.28,3.93,10.43,9.44,7.28,4.92,6.29,4.52,,,25.77,4.13,12.59,4.92,6.69,9.64,4.52,3.74,7.67,8.85,5.9,5.11,8.85,4.52,10.82,32.85,8.26,3.74,9.24,,,8.85,4.52,48.78,5.51,8.46,6.88,7.08,7.28,2.95,3.93,-2.994444,-5.5,1.55,0.0,,-10.623457,54.745329
US_TN_47107,2020-01-22,ChIJT5Yu-eU_XogRQAnU3e8XUyM,Q494636,geoId/47107,US,United States of America,TN,Tennessee,47107,McMinn County,US,USA,2,,,,,,,52931,25861,27070,5869,6666,6295,5838,6689,7581,6959,4619,2415,1848190,35.42,-84.62,1119,74.822222,,,,,,,4.46,8.71,3.1,12.78,8.71,4.84,5.04,6.39,6.0,3.49,5.42,20.92,3.68,11.62,5.04,6.78,13.56,5.62,,3.87,4.46,6.39,5.23,8.13,5.23,13.17,31.18,6.0,5.81,11.62,3.49,6.58,8.52,8.33,44.16,6.97,8.71,6.78,6.78,7.17,4.65,5.04,-2.1,-8.194444,7.388889,0.0,,-9.308642,57.790048
US_TN_47107,2020-01-23,ChIJT5Yu-eU_XogRQAnU3e8XUyM,Q494636,geoId/47107,US,United States of America,TN,Tennessee,47107,McMinn County,US,USA,2,,,,,,,52931,25861,27070,5869,6666,6295,5838,6689,7581,6959,4619,2415,1848190,35.42,-84.62,1119,74.822222,,,,,,,8.79,8.98,4.97,12.04,9.94,10.52,3.44,5.93,3.25,4.21,2.87,25.04,5.35,11.09,3.44,8.03,12.81,6.5,4.21,7.07,3.82,4.78,5.16,6.69,3.44,11.66,35.75,9.37,4.4,8.6,2.87,6.5,6.31,6.31,48.75,4.21,8.41,7.65,3.06,8.41,4.01,4.97,3.516667,-2.372222,8.677778,0.0,,-3.901235,58.738377
US_TN_47107,2020-01-24,ChIJT5Yu-eU_XogRQAnU3e8XUyM,Q494636,geoId/47107,US,United States of America,TN,Tennessee,47107,McMinn County,US,USA,2,,,,,,,52931,25861,27070,5869,6666,6295,5838,6689,7581,6959,4619,2415,1848190,35.42,-84.62,1119,74.822222,,,,,,,5.9,10.84,3.23,10.65,4.57,7.04,,4.76,5.33,,3.04,37.28,4.38,12.74,6.66,5.52,11.03,5.9,4.18,5.52,3.81,3.81,4.76,5.14,3.61,10.08,41.09,7.8,,10.65,,6.28,8.37,6.66,41.66,4.57,7.23,6.66,7.42,5.33,3.04,3.23,7.538889,3.738889,11.222222,12.925778,,5.444444,85.900796
US_TN_47107,2020-01-25,ChIJT5Yu-eU_XogRQAnU3e8XUyM,Q494636,geoId/47107,US,United States of America,TN,Tennessee,47107,McMinn County,US,USA,2,,,,,,,52931,25861,27070,5869,6666,6295,5838,6689,7581,6959,4619,2415,1848190,35.42,-84.62,1119,74.822222,,,,,,,5.79,7.58,,9.38,11.97,7.78,2.79,4.79,,4.79,3.19,28.54,3.59,10.58,4.19,4.19,13.17,5.79,4.19,4.79,5.39,5.59,4.19,6.19,2.99,8.98,39.31,8.18,,8.78,3.39,,4.79,4.79,41.31,3.59,7.98,5.39,7.78,4.39,3.79,,4.355556,2.011111,8.622222,5.3594,,0.444444,74.519853
US_TN_47107,2020-01-26,ChIJT5Yu-eU_XogRQAnU3e8XUyM,Q494636,geoId/47107,US,United States of America,TN,Tennessee,47107,McMinn County,US,USA,2,,,,,,,52931,25861,27070,5869,6666,6295,5838,6689,7581,6959,4619,2415,1848190,35.42,-84.62,1119,74.822222,,,,,,,6.71,7.87,5.18,11.51,8.06,5.95,2.69,8.44,,,2.88,22.83,4.6,11.32,,6.91,9.02,5.18,4.41,4.99,6.52,4.22,4.6,4.22,4.03,6.71,36.45,8.06,,7.67,3.45,4.99,6.14,3.45,43.74,3.65,8.25,6.91,5.37,4.6,,5.75,2.538889,-1.738889,7.1,0.2794,,-1.697531,72.972454
US_TN_47107,2020-01-27,ChIJT5Yu-eU_XogRQAnU3e8XUyM,Q494636,geoId/47107,US,United States of America,TN,Tennessee,47107,McMinn County,US,USA,2,,,,,,,52931,25861,27070,5869,6666,6295,5838,6689,7581,6959,4619,2415,1848190,35.42,-84.62,1119,74.822222,,,,,,,7.05,8.9,4.08,11.5,11.13,4.82,3.71,8.9,6.12,4.08,2.6,27.26,6.3,11.13,3.52,6.68,12.24,6.86,3.89,6.3,4.82,3.71,2.6,7.42,4.64,9.27,40.05,7.79,4.08,9.64,2.6,7.6,5.01,6.86,50.44,7.05,9.09,5.01,6.68,5.93,4.45,4.08,6.272222,3.027778,10.411111,0.959556,,3.623457,82.786672
US_TN_47107,2020-01-28,ChIJT5Yu-eU_XogRQAnU3e8XUyM,Q494636,geoId/47107,US,United States of America,TN,Tennessee,47107,McMinn County,US,USA,2,,,,,,,52931,25861,27070,5869,6666,6295,5838,6689,7581,6959,4619,2415,1848190,35.42,-84.62,1119,74.822222,,,,,,,5.7,10.07,4.75,12.73,9.69,5.89,4.75,6.08,5.7,3.04,4.94,26.42,,11.59,4.94,7.03,14.64,4.37,3.04,4.94,5.7,5.13,5.51,5.7,3.8,9.69,35.16,6.65,3.42,11.02,3.42,6.08,6.84,7.03,46.19,7.79,11.97,4.37,7.41,5.32,5.7,4.18,3.555556,-2.088889,11.233333,1.9812,,0.067901,77.14246
US_TN_47107,2020-01-29,ChIJT5Yu-eU_XogRQAnU3e8XUyM,Q494636,geoId/47107,US,United States of America,TN,Tennessee,47107,McMinn County,US,USA,2,,,,,,,52931,25861,27070,5869,6666,6295,5838,6689,7581,6959,4619,2415,1848190,35.42,-84.62,1119,74.822222,,,,,,,4.93,5.31,4.36,14.61,11.19,6.45,3.79,10.81,7.02,3.23,3.42,22.39,3.42,11.19,,7.97,11.57,3.79,3.6,9.11,3.79,5.31,4.17,6.26,4.74,12.71,44.39,9.3,6.26,10.24,4.93,3.79,8.35,6.07,53.31,5.88,13.09,6.64,6.26,5.31,4.93,3.98,4.25,-1.1,10.55,0.028222,,0.783951,77.413558
US_TN_47107,2020-01-30,ChIJT5Yu-eU_XogRQAnU3e8XUyM,Q494636,geoId/47107,US,United States of America,TN,Tennessee,47107,McMinn County,US,USA,2,,,,,,,52931,25861,27070,5869,6666,6295,5838,6689,7581,6959,4619,2415,1848190,35.42,-84.62,1119,74.822222,,,,,,,4.35,9.45,4.16,13.42,9.45,7.75,5.1,8.32,4.54,3.97,3.97,36.68,4.35,14.56,2.65,5.86,13.42,4.73,3.02,6.62,6.81,5.1,4.54,7.18,3.59,13.04,43.86,7.18,2.65,10.96,4.16,6.81,7.18,7.94,49.53,4.92,8.7,7.75,6.81,5.67,4.92,3.78,6.838889,2.25,13.05,0.0254,,2.91358,74.941659
US_TN_47107,2020-01-31,ChIJT5Yu-eU_XogRQAnU3e8XUyM,Q494636,geoId/47107,US,United States of America,TN,Tennessee,47107,McMinn County,US,USA,2,,,,,,,52931,25861,27070,5869,6666,6295,5838,6689,7581,6959,4619,2415,1848190,35.42,-84.62,1119,74.822222,,,,,,,6.7,6.7,2.87,11.48,9.0,8.04,3.44,4.59,6.32,2.87,3.06,36.37,6.12,11.1,5.36,6.32,9.38,6.51,3.06,4.59,6.32,4.98,,6.51,3.44,12.06,35.41,6.89,3.44,6.32,2.68,4.4,5.17,4.98,42.87,3.44,7.46,6.89,4.98,6.89,4.79,4.4,7.344444,4.166667,11.288889,0.0635,,3.179012,74.857367
US_TN_47107,2020-02-01,ChIJT5Yu-eU_XogRQAnU3e8XUyM,Q494636,geoId/47107,US,United States of America,TN,Tennessee,47107,McMinn County,US,USA,2,,,,,,,52931,25861,27070,5869,6666,6295,5838,6689,7581,6959,4619,2415,1848190,35.42,-84.62,1119,74.822222,,,,,,,5.58,9.96,3.39,9.17,7.77,5.58,4.98,6.38,4.98,,3.19,30.09,3.79,13.35,,4.18,10.96,4.58,3.39,6.97,7.57,6.18,4.98,3.79,2.79,8.97,34.28,7.37,2.99,9.37,2.99,4.78,4.38,4.58,43.44,,6.38,5.78,6.97,6.78,5.18,4.38,5.411111,2.805556,9.344444,0.0635,,3.098765,84.661086
