location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_KY_21079,2020-01-27,ChIJ1Y9kq6jtQogR0LSUAKu564Y,Q491988,geoId/21079,US,United States of America,KY,Kentucky,21079,Garrard County,US,USA,2,,,,,,,17449,8557,8892,2073,2125,1762,2040,2264,2808,2317,1347,713,1846525,37.63958,-84.53763,266,606,76.625,,,,12.14,22.54,34.68,32.37,5.160494,2.209877,8.82716,0.290286,,1.777778,78.239355
US_KY_21079,2020-01-28,ChIJ1Y9kq6jtQogR0LSUAKu564Y,Q491988,geoId/21079,US,United States of America,KY,Kentucky,21079,Garrard County,US,USA,2,,,,,,,17449,8557,8892,2073,2125,1762,2040,2264,2808,2317,1347,713,1846525,37.63958,-84.53763,266,606,76.625,,,,,26.47,30.1,40.48,1.407407,-0.802469,5.820988,0.028222,,-1.513889,80.701299
US_KY_21079,2020-01-29,ChIJ1Y9kq6jtQogR0LSUAKu564Y,Q491988,geoId/21079,US,United States of America,KY,Kentucky,21079,Garrard County,US,USA,2,,,,,,,17449,8557,8892,2073,2125,1762,2040,2264,2808,2317,1347,713,1846525,37.63958,-84.53763,266,606,76.625,,,,,16.29,31.01,28.38,1.808642,0.08642,4.253086,0.0,,-1.680556,77.620958
US_KY_21079,2020-01-30,ChIJ1Y9kq6jtQogR0LSUAKu564Y,Q491988,geoId/21079,US,United States of America,KY,Kentucky,21079,Garrard County,US,USA,2,,,,,,,17449,8557,8892,2073,2125,1762,2040,2264,2808,2317,1347,713,1846525,37.63958,-84.53763,266,606,76.625,,,,,29.84,37.3,47.42,2.422222,-0.272222,6.961111,0.0635,,-0.882716,78.349674
US_KY_21079,2020-01-31,ChIJ1Y9kq6jtQogR0LSUAKu564Y,Q491988,geoId/21079,US,United States of America,KY,Kentucky,21079,Garrard County,US,USA,2,,,,,,,17449,8557,8892,2073,2125,1762,2040,2264,2808,2317,1347,713,1846525,37.63958,-84.53763,266,606,76.625,,,,9.3,33.06,28.93,36.68,4.183333,1.438889,6.9,0.0,,1.395062,81.403395
US_KY_21079,2020-02-01,ChIJ1Y9kq6jtQogR0LSUAKu564Y,Q491988,geoId/21079,US,United States of America,KY,Kentucky,21079,Garrard County,US,USA,2,,,,,,,17449,8557,8892,2073,2125,1762,2040,2264,2808,2317,1347,713,1846525,37.63958,-84.53763,266,606,76.625,,,,15.84,30.31,23.42,41.33,4.438889,2.644444,6.355556,2.685143,,3.246914,91.522941
US_KY_21079,2020-02-02,ChIJ1Y9kq6jtQogR0LSUAKu564Y,Q491988,geoId/21079,US,United States of America,KY,Kentucky,21079,Garrard County,US,USA,2,,,,,,,17449,8557,8892,2073,2125,1762,2040,2264,2808,2317,1347,713,1846525,37.63958,-84.53763,266,606,76.625,,,,,20.66,23.99,29.32,6.094444,0.172222,16.783333,0.254,,0.444444,67.128043
US_KY_21079,2020-02-03,ChIJ1Y9kq6jtQogR0LSUAKu564Y,Q491988,geoId/21079,US,United States of America,KY,Kentucky,21079,Garrard County,US,USA,2,,,,,,,17449,8557,8892,2073,2125,1762,2040,2264,2808,2317,1347,713,1846525,37.63958,-84.53763,266,606,76.625,,,,8.07,33.88,38.72,41.4,11.966667,4.85,20.388889,0.0,,1.820988,49.830365
US_KY_21079,2020-02-04,ChIJ1Y9kq6jtQogR0LSUAKu564Y,Q491988,geoId/21079,US,United States of America,KY,Kentucky,21079,Garrard County,US,USA,2,,,,,,,17449,8557,8892,2073,2125,1762,2040,2264,2808,2317,1347,713,1846525,37.63958,-84.53763,266,606,76.625,,,,,25.21,27.73,27.73,14.011111,9.511111,18.672222,1.886857,,8.716049,70.707119
US_KY_21079,2020-02-05,ChIJ1Y9kq6jtQogR0LSUAKu564Y,Q491988,geoId/21079,US,United States of America,KY,Kentucky,21079,Garrard County,US,USA,2,,,,,,,17449,8557,8892,2073,2125,1762,2040,2264,2808,2317,1347,713,1846525,37.63958,-84.53763,266,606,76.625,,,,,24.83,33.11,38.28,5.405556,1.811111,14.5,11.720286,,5.148148,97.068791
