location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IN_18151,2020-01-11,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,5.73,9.74,6.3,7.45,7.45,5.16,5.16,4.3,15.19,,10.03,4.01,6.3,4.87,6.3,,4.58,4.01,5.16,9.46,27.23,9.17,10.6,,4.01,5.73,42.99,8.03,5.16,8.6,6.02,6.59,8.444444,1.155556,13.472222,30.226,,7.622222,94.670725
US_IN_18151,2020-01-12,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,5.02,9.76,3.9,7.81,9.48,4.18,5.3,,17.84,6.13,9.2,6.69,8.64,8.09,6.97,6.13,,4.46,,8.36,25.93,7.25,6.41,3.9,,5.58,40.98,,4.18,5.86,6.69,,-1.138889,-3.9,1.288889,18.505714,,-2.916667,87.835533
US_IN_18151,2020-01-13,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,6.89,8.27,5.06,9.65,10.11,7.81,4.83,8.27,15.63,,4.83,3.45,9.65,4.37,5.06,7.58,3.91,4.83,9.19,8.27,23.44,5.75,5.97,7.12,3.45,5.75,46.65,6.67,5.29,6.43,5.29,,0.505556,-2.294444,1.85,0.338667,,-1.2,88.448807
US_IN_18151,2020-01-14,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,3.66,6.17,5.94,9.6,8.69,4.57,5.03,3.66,15.77,,9.83,7.77,7.77,4.8,7.31,5.26,4.57,4.8,7.08,7.54,25.14,4.57,8.23,3.43,7.77,6.63,39.31,4.57,5.71,6.17,,4.34,1.677778,-0.572222,4.583333,0.0,,-0.211111,87.376569
US_IN_18151,2020-01-15,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,3.79,7.34,8.99,10.88,7.57,5.68,7.34,3.55,13.25,3.31,10.18,4.02,11.83,6.39,4.73,3.55,4.02,3.55,6.15,11.83,21.53,,7.34,4.5,5.68,11.36,38.1,5.21,4.73,,,5.92,1.427778,-2.422222,4.161111,0.127,,0.272222,92.10292
US_IN_18151,2020-01-16,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,3.56,7.37,4.99,10.93,8.08,7.6,7.6,4.04,14.73,3.33,9.03,5.23,9.74,,5.46,5.23,,,6.18,8.32,27.56,5.7,9.03,5.7,5.94,12.36,37.54,5.46,7.6,5.46,5.23,4.28,-0.616667,-5.683333,2.955556,0.254,,-3.85,78.839873
US_IN_18151,2020-01-17,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,,5.79,3.95,9.22,7.64,5.53,6.06,5.79,11.85,,4.74,6.32,9.74,3.69,8.16,,,4.48,3.95,5.79,30.02,,7.64,4.74,5.27,5.0,34.5,7.9,6.32,,5.27,3.95,-5.966667,-9.361111,-0.061111,0.0,,-10.027778,73.082542
US_IN_18151,2020-01-18,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,,5.68,5.08,11.97,6.58,8.08,6.28,5.68,14.36,8.08,9.57,,,6.58,5.08,4.79,,4.19,4.79,6.58,22.44,10.77,6.88,,,,36.49,4.49,4.49,7.78,4.49,,-0.622222,-6.161111,4.177778,9.180286,30.48,-2.166667,89.375137
US_IN_18151,2020-01-19,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,7.16,7.73,4.01,9.16,6.3,5.16,5.44,,12.89,4.3,5.44,4.3,6.87,4.58,5.73,4.87,5.73,6.87,5.73,7.73,21.77,5.44,4.3,6.59,4.87,5.16,35.52,,4.87,4.3,5.16,,-8.877778,-12.622222,1.733333,3.483429,30.48,-11.983333,78.335475
US_IN_18151,2020-01-20,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,,5.68,,9.87,7.65,5.18,6.67,4.2,14.56,,7.16,4.94,9.13,6.17,3.7,5.92,3.46,4.69,,6.17,25.43,6.17,7.16,5.68,,7.9,38.51,,6.42,6.42,6.17,4.44,-9.233333,-14.483333,-3.744444,0.0,,-12.3,78.550337
US_IN_18151,2020-01-21,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,6.78,6.78,,8.42,9.12,5.38,8.19,7.25,21.52,3.74,9.36,5.85,9.36,6.08,6.08,4.68,,4.21,5.61,9.12,36.25,5.85,6.08,5.61,4.44,5.85,43.74,4.91,8.65,7.95,5.61,3.27,-4.333333,-8.788889,-1.166667,0.0,,-8.188889,74.603797
US_IN_18151,2020-01-22,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,5.75,7.19,4.07,7.91,4.31,8.14,6.71,3.83,18.92,4.79,7.67,4.31,9.58,5.27,4.07,4.07,3.35,5.03,9.58,6.47,31.86,7.19,6.47,4.07,6.47,,35.69,5.51,7.67,5.99,6.47,4.79,-4.394444,-7.927778,0.1,0.0,,-8.283333,74.325728
US_IN_18151,2020-01-23,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,4.61,10.14,6.68,7.6,8.29,6.68,,3.69,16.82,,4.15,4.61,7.14,5.76,5.07,6.22,5.76,3.23,6.45,8.53,38.02,7.14,4.84,4.61,7.37,7.37,38.25,5.76,11.06,5.07,4.61,4.84,0.45,-4.622222,3.872222,0.0,,-5.45,64.701669
US_IN_18151,2020-01-24,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,,5.95,6.43,9.04,6.19,5.47,6.19,4.76,20.71,3.57,8.09,5.0,9.04,8.09,,4.52,3.81,3.81,5.24,8.09,39.75,6.9,5.95,3.81,4.52,6.66,35.94,4.76,7.38,5.24,4.52,,2.35,-0.066667,3.7,0.943429,,0.227778,85.938155
US_IN_18151,2020-01-25,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,6.61,8.91,5.46,8.34,4.6,7.19,,,20.42,7.19,9.49,,10.64,6.9,,4.31,4.89,,5.46,8.63,34.51,6.9,4.6,,4.31,5.75,37.67,,5.46,6.61,4.31,5.18,1.327778,0.411111,3.15,5.406571,30.48,0.627778,95.157962
US_IN_18151,2020-01-26,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,6.17,6.7,6.97,11.53,10.19,6.43,5.36,5.63,26.0,,9.11,,11.53,4.29,4.83,,6.17,4.56,5.09,7.5,36.45,4.29,9.11,3.75,5.09,,42.89,6.43,6.17,6.97,6.17,5.36,0.361111,-0.030864,1.611111,1.016,30.48,-0.411111,94.650501
US_IN_18151,2020-01-27,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,6.17,5.94,4.11,11.43,9.6,4.57,8.23,4.34,20.11,,7.08,5.71,9.37,5.71,4.34,5.26,5.26,,3.66,10.97,36.8,5.49,7.77,6.17,4.11,5.49,42.51,6.86,6.86,5.49,4.34,4.34,0.261111,-0.533333,1.661111,0.0,30.48,-1.05,90.994549
US_IN_18151,2020-01-28,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,6.02,7.41,4.4,8.1,6.25,5.79,7.41,,22.68,,7.64,4.86,10.65,7.41,,4.17,6.48,4.17,4.17,8.1,40.27,8.1,6.02,5.32,6.02,7.64,37.95,5.79,5.55,3.24,7.17,4.4,0.25,-0.555556,1.283333,0.127,30.48,-1.538889,87.942392
US_IN_18151,2020-01-29,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,,5.21,11.37,6.87,6.63,4.97,4.5,,32.44,,9.95,5.21,7.1,6.39,7.58,,6.16,4.74,7.58,8.53,39.78,7.1,5.68,3.79,3.31,8.29,44.52,4.74,9.71,8.53,4.03,,-0.4,-1.116667,0.62963,0.0,,-3.733333,78.426408
US_IN_18151,2020-01-30,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,4.47,6.12,4.47,8.0,10.82,8.94,4.47,4.47,34.11,3.53,8.47,4.71,9.41,5.65,4.71,5.65,5.65,4.94,6.12,6.35,44.7,6.59,5.41,4.0,5.88,6.59,36.94,5.65,5.65,,5.41,4.71,-0.744444,-1.55,0.4,0.0,,-4.266667,77.163551
US_IN_18151,2020-01-31,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,4.61,6.3,4.61,7.76,4.85,3.64,5.58,3.64,30.54,,8.24,6.54,7.03,6.79,5.82,6.54,,,5.58,4.12,37.08,4.12,5.09,,,,38.3,4.36,5.82,5.09,3.39,,-0.366667,-1.427778,1.716667,0.0,,-4.405556,74.340007
US_IN_18151,2020-02-01,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,,7.58,9.32,8.74,,6.99,6.7,6.99,19.81,,6.41,,9.03,4.95,,,6.99,4.66,4.08,4.37,32.63,,6.41,,,6.99,32.92,,5.83,4.95,,,-0.066667,-2.738889,1.977778,0.0,,-1.95,87.231653
US_IN_18151,2020-02-02,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,5.98,8.26,,9.69,4.56,11.11,7.12,,19.66,,6.27,5.13,,,5.98,8.26,4.27,4.56,7.12,4.56,30.48,9.12,5.13,,6.84,6.84,39.89,5.41,8.55,4.56,8.26,,4.088889,-1.338889,11.533333,0.127,,-0.144444,74.070614
US_IN_18151,2020-02-03,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,5.73,6.42,4.13,7.8,9.4,4.13,7.34,3.9,21.79,5.05,9.86,4.36,9.18,5.28,5.5,6.19,4.82,4.59,5.96,10.55,33.72,5.05,5.05,3.9,,5.96,37.85,4.36,3.9,3.67,4.82,,5.15,-2.366667,12.344444,0.0,,0.866667,73.916535
US_IN_18151,2020-02-04,ChIJxSp9DtklFogRmp4VfPrSZi0,Q24646,geoId/18151,US,United States of America,IN,Indiana,18151,Steuben County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34384,17430,16954,3743,4443,4338,3404,4025,5089,4931,2911,1500,1802089,41.64,-85.0,835,78.5625,,,,,,,,8.22,3.2,8.0,7.08,5.25,6.4,,25.13,,11.42,3.88,9.82,4.34,5.71,6.4,5.71,4.8,4.11,7.54,30.61,5.48,5.71,,5.71,6.4,33.81,7.08,6.85,8.0,4.8,5.94,3.25,-0.955556,10.277778,0.0,,-0.083333,78.880598
