location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13107,2020-01-11,ChIJJyyCFHKm8IgRT_8QtN1x4VU,Q111894,geoId/13107,US,United States of America,GA,Georgia,13107,Emanuel County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22533,11055,11478,3185,3044,3012,2912,2535,2843,2633,1574,795,1073769,32.59,-82.3,1788,73.1,,,,,8.5,7.5,,12.5,8.5,,26.5,,46.5,10.0,19.955556,14.705556,25.111111,0.762,17.177778,84.10153
US_GA_13107,2020-01-12,ChIJJyyCFHKm8IgRT_8QtN1x4VU,Q111894,geoId/13107,US,United States of America,GA,Georgia,13107,Emanuel County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22533,11055,11478,3185,3044,3012,2912,2535,2843,2633,1574,795,1073769,32.59,-82.3,1788,73.1,,,,,8.27,,10.21,8.75,15.08,7.29,18.97,8.75,49.6,,20.172222,17.472222,24.183333,10.287,18.516667,90.2863
US_GA_13107,2020-01-13,ChIJJyyCFHKm8IgRT_8QtN1x4VU,Q111894,geoId/13107,US,United States of America,GA,Georgia,13107,Emanuel County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22533,11055,11478,3185,3044,3012,2912,2535,2843,2633,1574,795,1073769,32.59,-82.3,1788,73.1,,,,,,5.94,7.06,16.71,8.54,8.91,20.42,7.06,40.85,,19.861111,17.65,24.094444,2.794,18.666667,92.885739
US_GA_13107,2020-01-14,ChIJJyyCFHKm8IgRT_8QtN1x4VU,Q111894,geoId/13107,US,United States of America,GA,Georgia,13107,Emanuel County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22533,11055,11478,3185,3044,3012,2912,2535,2843,2633,1574,795,1073769,32.59,-82.3,1788,73.1,,,,,,9.95,6.12,11.48,9.18,,27.54,7.65,33.28,6.89,20.155556,17.155556,25.0,0.084667,17.85,86.744119
US_GA_13107,2020-01-15,ChIJJyyCFHKm8IgRT_8QtN1x4VU,Q111894,geoId/13107,US,United States of America,GA,Georgia,13107,Emanuel County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22533,11055,11478,3185,3044,3012,2912,2535,2843,2633,1574,795,1073769,32.59,-82.3,1788,73.1,,,,,,6.76,9.15,13.53,9.95,8.75,18.3,,31.82,,19.416667,16.444444,24.944444,0.042333,16.438889,83.072386
US_GA_13107,2020-01-16,ChIJJyyCFHKm8IgRT_8QtN1x4VU,Q111894,geoId/13107,US,United States of America,GA,Georgia,13107,Emanuel County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22533,11055,11478,3185,3044,3012,2912,2535,2843,2633,1574,795,1073769,32.59,-82.3,1788,73.1,,,,,7.47,10.11,8.79,11.43,10.11,9.67,27.7,7.04,35.61,13.19,19.838889,16.633333,24.961111,9.017,15.666667,77.163274
US_GA_13107,2020-01-17,ChIJJyyCFHKm8IgRT_8QtN1x4VU,Q111894,geoId/13107,US,United States of America,GA,Georgia,13107,Emanuel County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22533,11055,11478,3185,3044,3012,2912,2535,2843,2633,1574,795,1073769,32.59,-82.3,1788,73.1,,,,,9.87,13.46,9.87,12.12,10.77,7.63,27.38,,30.07,,12.35,7.522222,20.388889,0.0,-2.638889,35.505943
US_GA_13107,2020-01-18,ChIJJyyCFHKm8IgRT_8QtN1x4VU,Q111894,geoId/13107,US,United States of America,GA,Georgia,13107,Emanuel County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22533,11055,11478,3185,3044,3012,2912,2535,2843,2633,1574,795,1073769,32.59,-82.3,1788,73.1,,,,,11.16,,,14.34,7.97,9.03,20.19,10.62,41.44,,10.594444,5.533333,20.122222,0.0,2.666667,58.129399
US_GA_13107,2020-01-19,ChIJJyyCFHKm8IgRT_8QtN1x4VU,Q111894,geoId/13107,US,United States of America,GA,Georgia,13107,Emanuel County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22533,11055,11478,3185,3044,3012,2912,2535,2843,2633,1574,795,1073769,32.59,-82.3,1788,73.1,,,,,9.07,15.12,,14.11,,10.08,32.76,7.56,28.22,,14.872222,7.155556,18.605556,0.381,9.327778,69.613453
US_GA_13107,2020-01-20,ChIJJyyCFHKm8IgRT_8QtN1x4VU,Q111894,geoId/13107,US,United States of America,GA,Georgia,13107,Emanuel County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22533,11055,11478,3185,3044,3012,2912,2535,2843,2633,1574,795,1073769,32.59,-82.3,1788,73.1,,,,,7.06,11.76,7.06,16.46,10.82,15.05,34.81,10.82,39.51,10.35,5.116667,0.394444,10.472222,0.127,-5.3,47.03924
US_GA_13107,2020-01-21,ChIJJyyCFHKm8IgRT_8QtN1x4VU,Q111894,geoId/13107,US,United States of America,GA,Georgia,13107,Emanuel County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22533,11055,11478,3185,3044,3012,2912,2535,2843,2633,1574,795,1073769,32.59,-82.3,1788,73.1,,,,,8.19,8.56,5.58,16.75,6.7,10.42,21.58,8.56,31.63,,1.727778,-1.705556,6.9,0.0,-6.283333,55.828109
US_GA_13107,2020-01-22,ChIJJyyCFHKm8IgRT_8QtN1x4VU,Q111894,geoId/13107,US,United States of America,GA,Georgia,13107,Emanuel County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22533,11055,11478,3185,3044,3012,2912,2535,2843,2633,1574,795,1073769,32.59,-82.3,1788,73.1,,,,,6.32,13.01,5.95,17.09,9.66,10.4,30.47,5.95,42.73,5.2,3.537037,-1.333333,12.401235,0.0,-8.691358,40.542264
US_GA_13107,2020-01-23,ChIJJyyCFHKm8IgRT_8QtN1x4VU,Q111894,geoId/13107,US,United States of America,GA,Georgia,13107,Emanuel County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22533,11055,11478,3185,3044,3012,2912,2535,2843,2633,1574,795,1073769,32.59,-82.3,1788,73.1,,,,,9.8,16.58,5.65,18.47,14.32,6.41,29.77,9.04,40.7,,6.37037,1.641975,11.641975,0.0,-1.561728,57.305579
US_GA_13107,2020-01-24,ChIJJyyCFHKm8IgRT_8QtN1x4VU,Q111894,geoId/13107,US,United States of America,GA,Georgia,13107,Emanuel County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22533,11055,11478,3185,3044,3012,2912,2535,2843,2633,1574,795,1073769,32.59,-82.3,1788,73.1,,,,,7.39,7.04,,20.77,9.5,5.63,25.7,9.5,31.68,7.74,12.45679,6.876543,18.648148,4.826,10.222222,86.344498
US_GA_13107,2020-01-25,ChIJJyyCFHKm8IgRT_8QtN1x4VU,Q111894,geoId/13107,US,United States of America,GA,Georgia,13107,Emanuel County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22533,11055,11478,3185,3044,3012,2912,2535,2843,2633,1574,795,1073769,32.59,-82.3,1788,73.1,,,,,12.36,7.72,,26.77,,11.84,28.32,9.78,41.7,9.27,10.617284,4.833333,15.697531,4.191,5.753086,72.099503
US_GA_13107,2020-01-26,ChIJJyyCFHKm8IgRT_8QtN1x4VU,Q111894,geoId/13107,US,United States of America,GA,Georgia,13107,Emanuel County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22533,11055,11478,3185,3044,3012,2912,2535,2843,2633,1574,795,1073769,32.59,-82.3,1788,73.1,,,,,,9.89,,27.31,9.42,7.53,33.43,12.24,33.9,,7.987654,1.919753,16.006173,0.0,0.802469,60.706005
US_GA_13107,2020-01-27,ChIJJyyCFHKm8IgRT_8QtN1x4VU,Q111894,geoId/13107,US,United States of America,GA,Georgia,13107,Emanuel County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22533,11055,11478,3185,3044,3012,2912,2535,2843,2633,1574,795,1073769,32.59,-82.3,1788,73.1,,,,,6.69,11.27,6.69,26.76,10.56,10.91,38.37,8.45,40.48,10.21,10.728395,5.901235,14.382716,1.143,5.790123,71.790404
US_GA_13107,2020-01-28,ChIJJyyCFHKm8IgRT_8QtN1x4VU,Q111894,geoId/13107,US,United States of America,GA,Georgia,13107,Emanuel County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22533,11055,11478,3185,3044,3012,2912,2535,2843,2633,1574,795,1073769,32.59,-82.3,1788,73.1,,,,,7.26,10.89,6.54,24.33,,7.99,37.04,6.17,44.3,12.71,9.382716,2.12963,16.919753,0.0,3.740741,68.042797
US_GA_13107,2020-01-29,ChIJJyyCFHKm8IgRT_8QtN1x4VU,Q111894,geoId/13107,US,United States of America,GA,Georgia,13107,Emanuel County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22533,11055,11478,3185,3044,3012,2912,2535,2843,2633,1574,795,1073769,32.59,-82.3,1788,73.1,,,,,9.58,6.39,7.1,23.06,8.16,5.68,37.97,5.32,37.61,12.42,6.8,2.383333,13.411111,0.0,4.138889,83.435933
US_GA_13107,2020-01-30,ChIJJyyCFHKm8IgRT_8QtN1x4VU,Q111894,geoId/13107,US,United States of America,GA,Georgia,13107,Emanuel County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22533,11055,11478,3185,3044,3012,2912,2535,2843,2633,1574,795,1073769,32.59,-82.3,1788,73.1,,,,,4.94,8.12,7.76,23.29,14.11,7.06,29.99,6.7,30.7,5.64,10.061111,5.244444,16.027778,1.651,6.322222,77.693625
US_GA_13107,2020-01-31,ChIJJyyCFHKm8IgRT_8QtN1x4VU,Q111894,geoId/13107,US,United States of America,GA,Georgia,13107,Emanuel County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22533,11055,11478,3185,3044,3012,2912,2535,2843,2633,1574,795,1073769,32.59,-82.3,1788,73.1,,,,,5.17,7.92,6.2,27.57,7.92,6.2,24.47,7.24,24.81,7.58,7.577778,5.438889,11.666667,0.0,4.188889,79.212264
US_GA_13107,2020-02-01,ChIJJyyCFHKm8IgRT_8QtN1x4VU,Q111894,geoId/13107,US,United States of America,GA,Georgia,13107,Emanuel County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22533,11055,11478,3185,3044,3012,2912,2535,2843,2633,1574,795,1073769,32.59,-82.3,1788,73.1,,,,,11.45,8.96,,21.9,,,27.88,8.96,37.83,,6.7,5.305556,9.627778,26.416,5.666667,93.219624
US_GA_13107,2020-02-02,ChIJJyyCFHKm8IgRT_8QtN1x4VU,Q111894,geoId/13107,US,United States of America,GA,Georgia,13107,Emanuel County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22533,11055,11478,3185,3044,3012,2912,2535,2843,2633,1574,795,1073769,32.59,-82.3,1788,73.1,,,,,11.48,11.0,,22.0,7.17,,29.66,7.65,33.01,,9.738889,4.105556,17.561111,0.0,3.461111,65.208904
US_GA_13107,2020-02-03,ChIJJyyCFHKm8IgRT_8QtN1x4VU,Q111894,geoId/13107,US,United States of America,GA,Georgia,13107,Emanuel County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22533,11055,11478,3185,3044,3012,2912,2535,2843,2633,1574,795,1073769,32.59,-82.3,1788,73.1,,,,,8.68,6.15,10.49,28.57,13.38,11.57,39.78,7.59,39.42,5.42,12.816667,3.544444,24.233333,0.0,3.7,54.372973
US_GA_13107,2020-02-04,ChIJJyyCFHKm8IgRT_8QtN1x4VU,Q111894,geoId/13107,US,United States of America,GA,Georgia,13107,Emanuel County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22533,11055,11478,3185,3044,3012,2912,2535,2843,2633,1574,795,1073769,32.59,-82.3,1788,73.1,,,,,8.21,13.22,8.21,20.36,8.57,6.07,31.07,7.5,35.0,9.64,15.111111,7.377778,23.122222,0.0,9.527778,69.650765
US_GA_13107,2020-02-05,ChIJJyyCFHKm8IgRT_8QtN1x4VU,Q111894,geoId/13107,US,United States of America,GA,Georgia,13107,Emanuel County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22533,11055,11478,3185,3044,3012,2912,2535,2843,2633,1574,795,1073769,32.59,-82.3,1788,73.1,,,,,,12.0,6.7,19.76,14.82,9.88,31.4,5.29,38.1,,17.844444,13.822222,24.094444,0.1524,13.805556,77.333079
US_GA_13107,2020-02-06,ChIJJyyCFHKm8IgRT_8QtN1x4VU,Q111894,geoId/13107,US,United States of America,GA,Georgia,13107,Emanuel County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22533,11055,11478,3185,3044,3012,2912,2535,2843,2633,1574,795,1073769,32.59,-82.3,1788,73.1,,,,,7.48,12.92,6.46,17.34,8.5,9.18,24.15,7.14,30.27,5.44,20.455556,17.005556,25.294444,17.145,17.966667,85.851554
US_GA_13107,2020-02-07,ChIJJyyCFHKm8IgRT_8QtN1x4VU,Q111894,geoId/13107,US,United States of America,GA,Georgia,13107,Emanuel County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22533,11055,11478,3185,3044,3012,2912,2535,2843,2633,1574,795,1073769,32.59,-82.3,1788,73.1,,,,,,9.74,7.88,14.84,12.05,8.81,36.16,,28.75,,12.744444,7.405556,20.122222,42.799,6.588889,66.471955
US_GA_13107,2020-02-08,ChIJJyyCFHKm8IgRT_8QtN1x4VU,Q111894,geoId/13107,US,United States of America,GA,Georgia,13107,Emanuel County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22533,11055,11478,3185,3044,3012,2912,2535,2843,2633,1574,795,1073769,32.59,-82.3,1788,73.1,,,,,10.96,,7.97,20.43,8.47,9.97,23.92,7.47,37.87,7.97,5.966667,0.277778,14.133333,1.016,0.633333,68.93687
