location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_IA_19057,2020-01-11,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,4.42,7.96,4.64,9.73,8.85,5.97,,4.64,6.41,4.42,3.32,14.38,,7.96,,4.64,8.18,3.1,4.64,3.1,,,5.53,,5.75,24.11,,,9.95,,4.87,5.31,6.19,36.72,3.98,5.97,7.74,4.64,4.42,4.2,3.1,-1.311111,-4.1,2.305556,17.2212,-1.988889,95.268679
US_IA_19057,2020-01-12,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,4.86,7.88,5.56,7.41,7.88,6.25,4.17,8.34,4.17,,,15.06,,11.35,,5.79,12.97,5.33,5.79,3.48,5.79,5.1,4.86,4.17,4.4,25.71,5.56,,9.73,4.4,3.48,5.79,5.79,43.55,4.86,6.95,6.49,4.4,5.33,3.48,5.33,-4.322222,-6.588889,-1.966667,0.689429,-5.711111,90.269852
US_IA_19057,2020-01-13,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,3.42,6.11,3.06,8.09,7.01,5.39,4.32,8.09,4.32,3.24,2.7,15.82,4.14,9.71,3.78,5.04,8.81,5.04,6.83,6.11,4.86,3.78,3.6,4.86,7.55,25.89,3.24,,6.11,4.67,3.6,5.93,5.75,42.98,3.78,5.57,3.78,3.06,3.96,,5.04,-0.894444,-2.955556,0.672222,0.0,-1.881944,92.182338
US_IA_19057,2020-01-14,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,4.18,6.73,4.91,9.09,8.91,6.18,4.91,5.09,2.91,3.27,,14.91,,8.18,2.54,5.63,10.54,4.36,4.73,6.36,3.27,4.0,6.36,4.18,7.45,23.09,5.45,3.82,8.36,3.09,7.09,4.36,4.91,38.17,6.18,7.45,4.91,4.0,2.73,,2.91,2.522222,-0.238889,5.383333,0.0,1.166667,90.929762
US_IA_19057,2020-01-15,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,4.65,5.21,4.09,9.48,8.0,4.09,4.28,6.7,6.51,2.98,3.72,14.51,3.9,7.25,,8.0,8.55,5.02,6.7,6.51,5.76,3.53,3.16,5.02,7.25,24.18,5.02,5.02,7.07,3.72,6.14,3.9,6.7,41.47,4.09,5.76,5.58,5.95,4.83,3.16,,0.088889,-2.327778,2.922222,0.381,-0.277778,96.148331
US_IA_19057,2020-01-16,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,4.66,8.39,5.22,6.52,8.95,3.54,5.59,7.08,,3.91,2.79,13.04,,8.57,3.91,6.15,7.64,3.73,5.4,5.59,3.35,,,,9.5,24.04,6.34,3.73,4.84,5.03,4.66,4.1,7.27,35.59,3.17,5.4,3.54,5.96,3.17,,3.91,-9.516667,-14.505556,-1.4,0.0,-13.288889,74.146804
US_IA_19057,2020-01-17,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,5.68,6.7,4.26,8.52,8.52,4.46,3.65,5.48,3.65,,,13.6,,6.9,,6.49,8.72,5.68,4.67,6.29,3.85,4.26,4.06,,5.07,25.97,4.87,4.06,7.71,4.67,4.46,4.06,4.46,36.73,6.09,8.12,7.1,4.46,3.85,5.68,,-7.111111,-11.3,-2.311111,0.6096,-9.55,82.964564
US_IA_19057,2020-01-18,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,5.37,5.6,4.67,11.91,9.34,4.9,,3.5,3.97,4.9,,15.18,4.9,7.24,,4.9,6.77,6.07,4.2,3.74,5.6,4.9,5.37,3.5,6.07,24.05,5.6,,4.2,,4.2,6.07,4.2,36.42,4.9,7.71,5.84,5.14,4.2,3.97,,-2.516667,-11.538889,1.683333,11.7348,-4.177778,88.441456
US_IA_19057,2020-01-19,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,4.51,6.99,6.09,11.05,6.99,3.38,3.61,5.64,4.06,,3.16,16.91,,10.14,,5.41,10.82,5.41,5.64,5.86,3.61,4.73,4.06,,6.54,21.19,7.89,4.51,7.21,3.38,6.09,3.83,6.09,38.77,,6.76,4.51,4.51,4.28,4.51,,-15.111111,-17.627778,-11.333333,0.423333,-19.238889,70.852973
US_IA_19057,2020-01-20,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,6.06,5.86,3.03,10.1,5.86,3.84,3.44,6.06,3.23,4.85,3.64,18.39,3.84,10.51,2.83,6.06,9.5,5.25,5.46,6.47,5.25,5.66,,,6.47,31.52,4.04,3.84,5.86,,6.26,,7.88,36.98,6.26,6.67,6.06,5.46,5.25,5.05,3.23,-11.975309,-14.265432,-8.080247,0.0,-14.753086,80.004227
US_IA_19057,2020-01-21,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,,5.85,3.84,10.06,8.78,6.95,4.39,7.31,2.92,4.21,2.56,17.0,3.29,8.23,3.47,5.12,7.31,7.5,4.39,3.66,4.75,5.67,7.5,3.66,7.13,26.15,5.85,2.92,6.76,4.57,7.68,7.5,3.84,44.61,4.57,6.4,4.75,,4.75,3.11,,-11.088889,-16.055556,-3.977778,0.0,-12.950617,84.221696
US_IA_19057,2020-01-22,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,4.24,5.53,5.9,8.66,10.88,5.9,5.35,5.53,4.79,4.05,2.77,25.99,5.53,9.4,,6.64,11.61,7.0,7.37,7.56,2.77,3.13,8.29,2.58,5.71,30.23,8.29,4.61,7.93,3.69,8.11,7.56,5.9,37.05,5.9,5.9,6.08,5.16,,5.35,,-2.738889,-5.266667,0.622222,0.0,-5.905556,79.091389
US_IA_19057,2020-01-23,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,5.28,9.82,4.73,11.46,8.91,4.91,4.0,6.91,4.37,4.37,,19.83,,12.19,3.82,3.46,9.82,6.0,6.91,7.46,4.55,3.64,5.28,,9.46,35.48,4.91,2.91,9.1,5.09,3.82,5.64,6.37,41.48,8.55,9.64,6.0,5.64,5.64,4.73,2.91,0.161111,-1.1,1.555556,0.762,-0.986111,91.765006
US_IA_19057,2020-01-24,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,5.76,5.34,,8.33,8.11,4.7,3.42,4.06,4.06,5.76,,29.25,4.48,8.33,,5.98,7.9,5.98,5.76,5.55,7.26,3.42,8.33,5.55,6.83,35.02,5.76,4.06,6.19,,4.48,5.76,,39.29,5.34,7.9,6.62,3.63,,4.91,,0.611111,0.074074,1.58642,3.4544,0.205556,97.186988
US_IA_19057,2020-01-25,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,4.8,8.88,4.8,9.6,11.28,4.32,3.6,5.76,4.08,3.6,3.84,29.03,5.04,11.99,4.32,3.36,8.16,6.96,6.72,6.24,5.04,,4.56,4.08,5.28,36.47,5.76,,8.64,3.84,3.84,5.04,4.32,43.66,6.24,8.4,10.08,4.08,3.84,4.8,,0.227778,-0.65,1.561111,0.762,-1.011111,91.50175
US_IA_19057,2020-01-26,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,4.6,6.91,4.83,11.05,7.59,5.52,5.52,3.45,6.67,4.6,,26.01,,8.05,3.22,3.68,9.44,6.91,6.44,6.91,5.52,5.52,6.91,3.68,7.37,35.67,5.52,4.14,5.52,4.14,4.6,6.44,5.75,39.13,4.14,7.37,6.91,,5.29,5.29,4.37,-3.461111,-7.855556,0.633333,0.0,-5.074074,87.936236
US_IA_19057,2020-01-27,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,4.41,7.53,2.94,10.1,7.89,3.85,2.94,5.69,3.49,,2.57,27.9,3.3,8.99,3.3,6.06,10.83,8.81,4.77,7.53,5.51,4.22,6.06,4.04,6.61,38.18,6.42,,5.32,3.3,4.41,5.51,4.59,42.4,4.59,3.49,5.32,4.77,4.77,5.14,5.14,-1.494444,-3.077778,-0.094444,0.0,-2.5,93.616039
US_IA_19057,2020-01-28,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,6.71,8.58,3.92,7.27,7.65,5.6,4.85,8.39,5.41,4.29,4.29,24.81,2.98,10.63,,4.66,10.82,5.78,4.85,6.53,5.22,3.54,4.29,4.85,8.58,32.27,5.04,4.29,7.09,3.36,5.97,5.04,6.71,39.17,4.29,8.02,4.29,4.1,5.41,3.73,2.8,-2.933333,-4.977778,-0.666667,0.0,-4.1,91.848415
US_IA_19057,2020-01-29,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,6.49,6.86,4.45,8.15,10.01,5.0,4.82,6.67,4.26,5.93,3.52,25.57,,9.27,3.71,5.74,9.27,9.27,6.49,5.56,,2.78,6.86,3.52,8.15,41.69,5.93,5.0,6.3,,7.41,3.71,5.37,42.62,4.08,9.82,8.34,4.26,3.71,7.23,,-4.544444,-5.472222,-2.377778,0.0,-5.697531,91.21974
US_IA_19057,2020-01-30,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,5.76,8.36,2.97,7.43,7.98,6.68,3.34,4.83,4.27,2.97,,30.08,2.97,9.1,4.27,4.08,12.81,6.31,6.13,5.2,3.71,2.97,5.94,3.16,8.91,39.55,6.5,2.97,6.31,,7.06,5.76,5.01,43.45,4.27,6.5,3.34,5.94,4.83,5.01,,-2.594444,-4.011111,-0.422222,0.0,-4.211111,88.838148
US_IA_19057,2020-01-31,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,4.41,4.41,6.8,6.25,7.9,5.33,6.06,3.86,3.31,5.33,,30.69,3.49,5.88,2.94,4.78,11.21,5.14,5.88,5.88,3.31,,4.04,2.94,5.51,35.28,7.9,,4.78,,4.96,4.96,5.51,37.12,3.31,4.59,5.14,3.67,4.78,4.78,4.41,-0.494444,-3.538889,2.355556,0.1524,-1.802469,90.404817
US_IA_19057,2020-02-01,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,4.22,7.04,3.99,10.09,9.62,5.16,,6.33,4.46,3.28,3.75,25.34,4.93,8.91,4.22,6.8,7.98,7.51,8.45,6.8,,,4.93,3.99,6.8,34.96,6.8,3.52,7.27,3.75,,6.1,7.04,37.07,,7.27,8.68,3.99,4.69,6.1,,1.505556,0.4,3.0,0.508,0.311111,91.851866
US_IA_19057,2020-02-02,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,6.19,5.96,4.81,6.64,8.25,4.12,,5.04,3.21,,,21.54,3.9,10.54,3.67,3.44,5.96,5.73,3.67,5.27,4.81,,5.04,4.81,8.94,30.7,4.35,,6.42,4.81,5.04,6.42,5.96,37.35,3.44,5.96,6.87,,3.67,5.96,3.44,5.927778,1.544444,14.138889,0.0,0.672222,69.186394
US_IA_19057,2020-02-03,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,6.54,6.0,4.91,10.73,9.27,3.45,5.82,3.82,4.36,4.0,3.64,20.0,3.09,9.63,3.09,6.73,9.45,5.82,6.91,7.27,4.73,2.91,4.73,4.0,7.09,33.09,5.82,5.27,10.0,,5.82,5.45,6.18,37.63,2.91,7.09,6.36,3.09,5.27,4.18,,3.283333,-0.605556,9.016667,0.0,0.655556,83.198446
US_IA_19057,2020-02-04,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,8.42,6.96,4.21,9.15,6.41,7.14,5.68,8.42,3.48,5.49,2.56,25.63,,10.8,4.76,4.21,9.15,8.06,7.69,7.32,4.58,3.11,5.49,2.56,5.49,32.04,6.59,3.3,8.06,3.48,3.85,4.39,4.39,43.94,6.04,7.14,4.58,5.49,4.94,4.03,,1.2,-0.933333,3.872222,0.0,-3.277778,72.434701
US_IA_19057,2020-02-05,ChIJyQ2JTNrK5ocRklbH4o2UalY,Q115386,geoId/19057,US,United States of America,IA,Iowa,19057,Des Moines County,US,USA,2,,,,,,,39326,19142,20184,4844,4863,4333,4672,4444,5440,5247,3268,2215,1790024,40.927778,-91.183889,1113,78.481818,,,,,,4.25,6.1,4.07,7.02,9.61,4.25,5.17,7.21,4.8,4.07,,26.98,3.88,13.49,2.96,6.1,9.24,5.73,9.05,7.39,3.51,3.69,4.62,2.77,6.84,35.66,6.28,4.8,7.21,,4.99,3.69,5.54,34.92,3.51,4.8,4.43,4.07,3.33,3.33,,-2.044444,-3.438889,0.016667,0.036286,-8.627778,61.06129
