location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_AL_01021,2020-01-21,ChIJS3kV4bHJjogROXThhEVi6WQ,Q111266,geoId/01021,US,United States of America,AL,Alabama,01021,Chilton County,US,USA,2,,,,,,,44120,21700,22420,5800,5784,5504,5344,5654,5984,5314,3173,1563,1848763,32.845278,-86.714444,189,1815,73.922222,,,,,,,3.66,7.72,,8.74,7.52,6.3,5.49,5.69,16.67,3.86,4.47,4.47,8.33,,3.86,2.85,4.07,6.5,5.49,10.77,21.75,6.3,9.15,,6.91,5.29,33.54,6.3,8.74,5.89,3.66,4.47,-0.616667,-4.755556,5.755556,0.0,-8.325397,56.031056
US_AL_01021,2020-01-22,ChIJS3kV4bHJjogROXThhEVi6WQ,Q111266,geoId/01021,US,United States of America,AL,Alabama,01021,Chilton County,US,USA,2,,,,,,,44120,21700,22420,5800,5784,5504,5344,5654,5984,5314,3173,1563,1848763,32.845278,-86.714444,189,1815,73.922222,,,,,,,3.66,7.52,3.86,8.33,8.94,6.1,3.66,4.06,15.45,3.66,6.5,5.08,5.08,3.66,6.1,3.25,3.25,,5.28,8.54,23.98,5.08,7.32,3.25,5.69,7.52,35.77,3.46,4.47,5.49,4.47,3.66,1.305556,-5.027778,10.011111,0.0,-7.920635,48.977756
US_AL_01021,2020-01-23,ChIJS3kV4bHJjogROXThhEVi6WQ,Q111266,geoId/01021,US,United States of America,AL,Alabama,01021,Chilton County,US,USA,2,,,,,,,44120,21700,22420,5800,5784,5504,5344,5654,5984,5314,3173,1563,1848763,32.845278,-86.714444,189,1815,73.922222,,,,,,,4.67,9.92,4.67,11.47,5.44,4.67,2.72,,20.42,,9.53,4.28,7.58,2.72,5.25,4.47,5.05,3.11,4.28,5.64,25.08,6.8,6.8,4.08,3.89,6.61,33.83,5.44,7.58,6.03,3.11,3.69,5.9,2.405556,8.494444,0.931333,-0.809524,61.195027
US_AL_01021,2020-01-24,ChIJS3kV4bHJjogROXThhEVi6WQ,Q111266,geoId/01021,US,United States of America,AL,Alabama,01021,Chilton County,US,USA,2,,,,,,,44120,21700,22420,5800,5784,5504,5344,5654,5984,5314,3173,1563,1848763,32.845278,-86.714444,189,1815,73.922222,,,,,,,,6.8,5.05,6.41,6.41,4.86,7.58,3.11,16.72,2.92,4.86,,10.5,,4.28,3.89,2.72,2.92,4.47,6.03,23.52,6.03,4.47,,5.44,7.97,32.66,4.47,5.83,4.86,5.05,4.86,10.85,7.088889,15.355556,20.404667,7.825397,80.95229
US_AL_01021,2020-01-25,ChIJS3kV4bHJjogROXThhEVi6WQ,Q111266,geoId/01021,US,United States of America,AL,Alabama,01021,Chilton County,US,USA,2,,,,,,,44120,21700,22420,5800,5784,5504,5344,5654,5984,5314,3173,1563,1848763,32.845278,-86.714444,189,1815,73.922222,,,,,,,5.13,9.24,4.11,10.01,6.16,4.36,,5.9,20.27,,8.98,6.93,8.47,6.41,5.64,4.88,5.64,4.62,6.93,8.21,31.04,4.36,8.21,4.36,5.64,4.36,37.2,5.64,8.47,4.62,4.36,5.39,6.238889,-0.188889,13.088889,0.7112,1.119048,68.705586
US_AL_01021,2020-01-26,ChIJS3kV4bHJjogROXThhEVi6WQ,Q111266,geoId/01021,US,United States of America,AL,Alabama,01021,Chilton County,US,USA,2,,,,,,,44120,21700,22420,5800,5784,5504,5344,5654,5984,5314,3173,1563,1848763,32.845278,-86.714444,189,1815,73.922222,,,,,,,7.01,6.77,,9.19,6.77,4.11,6.77,3.87,26.1,4.83,6.53,4.59,9.43,6.28,5.08,7.01,6.28,6.28,3.63,11.12,28.04,5.32,8.22,5.32,4.35,8.7,35.29,4.35,6.77,6.04,,5.56,5.666667,0.177778,11.761111,0.0,2.198413,77.694353
US_AL_01021,2020-01-27,ChIJS3kV4bHJjogROXThhEVi6WQ,Q111266,geoId/01021,US,United States of America,AL,Alabama,01021,Chilton County,US,USA,2,,,,,,,44120,21700,22420,5800,5784,5504,5344,5654,5984,5314,3173,1563,1848763,32.845278,-86.714444,189,1815,73.922222,,,,,,,6.07,7.05,2.94,7.83,6.66,3.33,5.68,3.92,21.34,3.13,6.46,5.09,6.46,2.94,3.72,6.66,6.46,3.33,4.11,9.2,27.6,5.29,7.63,4.11,6.85,3.72,33.28,4.11,8.61,5.48,3.92,5.68,9.577778,5.3,14.172222,0.903111,7.039683,83.933105
US_AL_01021,2020-01-28,ChIJS3kV4bHJjogROXThhEVi6WQ,Q111266,geoId/01021,US,United States of America,AL,Alabama,01021,Chilton County,US,USA,2,,,,,,,44120,21700,22420,5800,5784,5504,5344,5654,5984,5314,3173,1563,1848763,32.845278,-86.714444,189,1815,73.922222,,,,,,,4.71,7.58,3.48,8.6,7.17,6.14,5.53,3.48,20.88,,6.35,4.3,8.19,,6.35,7.78,4.09,4.3,5.32,7.78,31.73,6.35,5.73,6.35,6.14,2.87,45.86,3.69,9.21,6.14,4.5,6.14,7.405556,0.416667,17.305556,0.084667,2.571429,69.828472
US_AL_01021,2020-01-29,ChIJS3kV4bHJjogROXThhEVi6WQ,Q111266,geoId/01021,US,United States of America,AL,Alabama,01021,Chilton County,US,USA,2,,,,,,,44120,21700,22420,5800,5784,5504,5344,5654,5984,5314,3173,1563,1848763,32.845278,-86.714444,189,1815,73.922222,,,,,,,5.32,5.71,2.76,10.24,7.88,4.33,4.14,,26.0,5.12,10.04,3.74,11.03,4.33,3.54,5.71,3.54,,3.35,8.47,37.23,7.48,8.67,2.95,2.76,7.48,35.45,2.95,9.65,4.73,5.51,5.51,8.733333,4.816667,14.3,0.423333,3.571429,69.507062
US_AL_01021,2020-01-30,ChIJS3kV4bHJjogROXThhEVi6WQ,Q111266,geoId/01021,US,United States of America,AL,Alabama,01021,Chilton County,US,USA,2,,,,,,,44120,21700,22420,5800,5784,5504,5344,5654,5984,5314,3173,1563,1848763,32.845278,-86.714444,189,1815,73.922222,,,,,,,3.68,6.01,,10.66,6.4,5.43,,,31.01,4.26,12.98,4.26,8.53,3.1,6.4,6.59,3.29,2.71,5.62,6.78,36.44,6.59,7.75,3.49,4.84,5.43,30.43,3.1,8.14,5.23,4.65,4.84,7.377778,0.216667,16.488889,1.4478,3.277778,73.165107
