location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IN_18087,2020-01-11,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,,,7.05,,6.61,15.43,,10.58,,,20.28,,9.7,7.05,33.95,6.61,7.5,7.605556,0.816667,13.116667,43.6372,,6.933333,95.545567
US_IN_18087,2020-01-12,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,8.32,12.02,9.25,,,12.48,,,,,19.42,,,6.94,33.76,6.94,,-1.027778,-3.477778,1.033333,9.271,,-2.733333,88.304529
US_IN_18087,2020-01-13,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,10.7,11.81,11.07,,6.64,5.54,7.75,9.6,7.01,12.55,24.73,,,5.91,38.02,,5.54,0.5,-1.883333,1.627778,0.1524,,-1.266667,88.055354
US_IN_18087,2020-01-14,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,9.6,9.96,12.8,,5.69,15.64,9.24,11.38,6.4,12.45,25.25,,10.31,,34.84,6.04,6.76,1.8,-0.127778,4.533333,0.0254,,-0.061111,87.607411
US_IN_18087,2020-01-15,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,,9.2,5.66,6.02,5.31,18.4,7.43,12.03,,13.1,30.44,,5.66,,32.56,6.02,6.02,1.233333,-2.227778,3.761111,0.1524,,0.25,93.24579
US_IN_18087,2020-01-16,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,8.11,,8.11,9.17,4.94,12.69,7.41,7.05,6.35,18.34,27.15,6.7,6.35,5.29,41.25,,5.64,-1.144444,-5.733333,2.777778,0.254,,-4.261111,79.409372
US_IN_18087,2020-01-17,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,7.19,5.13,4.79,,6.85,9.59,9.59,6.16,4.79,11.3,19.51,5.13,5.82,6.85,38.34,,6.16,-5.733333,-8.95,-0.7,0.0,,-9.877778,72.654859
US_IN_18087,2020-01-18,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,,12.53,,7.35,6.91,12.53,9.07,11.23,,10.37,22.9,,,,38.03,6.91,6.91,-0.5,-5.405556,3.905556,10.9728,,-1.866667,90.550903
US_IN_18087,2020-01-19,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,7.53,9.3,8.42,,6.64,18.6,,8.86,,11.07,26.13,6.64,8.42,,32.33,,,-9.683333,-13.272222,-0.7,3.4544,50.8,-12.738889,78.457344
US_IN_18087,2020-01-20,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,4.84,10.02,6.57,,6.22,17.62,8.98,10.02,4.84,10.02,27.64,,7.26,4.84,39.39,10.02,11.06,-8.722222,-13.322222,-3.927778,0.635,50.8,-11.355556,81.300093
US_IN_18087,2020-01-21,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,4.88,9.06,7.67,,6.27,11.85,9.41,10.8,,11.15,24.4,,11.15,,37.3,,6.27,-3.966667,-7.266667,-1.155556,0.127,99.06,-7.611111,75.843253
US_IN_18087,2020-01-22,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,6.95,,9.03,,,15.98,8.34,7.29,6.25,15.28,29.52,4.86,8.34,,39.6,,12.85,-4.061111,-7.527778,0.0,0.0,78.74,-8.061111,73.75559
US_IN_18087,2020-01-23,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,5.95,7.7,9.45,,6.3,14.01,8.4,14.01,5.25,12.61,27.31,4.9,8.4,6.3,31.51,6.65,7.7,0.594444,-3.561111,3.316667,0.0,78.74,-5.327778,64.611004
US_IN_18087,2020-01-24,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,7.03,10.89,,,,28.46,10.19,10.54,8.08,8.43,38.3,6.32,5.62,,36.19,7.38,,2.233333,0.438889,3.266667,1.3208,78.74,0.444444,88.031478
US_IN_18087,2020-01-25,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,,10.56,12.76,,,26.84,7.92,11.44,,,38.28,7.92,9.68,,39.61,,7.04,1.083333,0.35,2.811111,5.7912,30.48,0.483333,95.818501
US_IN_18087,2020-01-26,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,8.65,7.35,7.78,8.22,,22.05,8.22,,,10.81,32.0,,8.65,6.49,38.92,,6.92,0.261111,-0.039683,1.373016,1.27,,-0.45,95.03519
US_IN_18087,2020-01-27,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,,9.6,,,7.11,24.52,7.46,6.75,5.69,7.11,29.5,6.4,6.4,,38.74,6.75,5.69,0.272222,-0.65,2.022222,0.084667,,-1.011111,91.209918
US_IN_18087,2020-01-28,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,8.46,6.35,7.76,5.64,,23.28,15.17,8.46,5.64,8.46,30.33,6.0,6.0,8.11,37.74,8.46,6.7,0.133333,-0.450617,1.574074,0.508,,-1.372222,89.713404
US_IN_18087,2020-01-29,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,10.04,11.07,7.61,,5.19,27.34,9.69,,6.23,9.0,26.65,,10.73,6.23,39.8,11.07,5.54,-0.427778,-1.105556,0.382716,0.072571,,-3.983333,77.211254
US_IN_18087,2020-01-30,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,7.28,8.32,6.58,5.2,5.2,38.82,8.32,9.36,6.58,12.82,36.05,5.89,,6.93,34.66,6.24,,-0.627778,-1.405556,0.338889,0.0,,-4.188889,76.974051
US_IN_18087,2020-01-31,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,7.32,11.51,8.02,,,26.84,6.62,8.37,,9.06,27.89,9.06,4.88,6.28,30.68,10.11,6.28,-0.205556,-1.333333,1.572222,0.0,,-4.116667,75.078715
US_IN_18087,2020-02-01,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,,10.25,6.83,,,30.75,8.54,8.12,,6.41,37.16,,6.83,,38.87,,8.54,0.188889,-1.961111,1.877778,0.0,,-1.555556,88.167759
US_IN_18087,2020-02-02,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,10.45,6.81,7.27,,6.81,25.43,12.71,9.54,,,37.24,9.08,7.27,,43.14,,,4.544444,-0.6,11.744444,0.15875,,-0.088889,72.225189
US_IN_18087,2020-02-03,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,7.06,12.01,8.48,5.65,4.95,22.96,12.01,13.07,,7.06,30.73,7.42,5.65,6.36,34.97,9.18,,5.233333,-2.261111,12.327778,0.0,,0.75,72.896117
US_IN_18087,2020-02-04,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,7.59,8.67,9.75,,5.42,19.14,6.14,7.95,,7.59,29.98,,7.22,8.67,39.73,5.78,5.78,3.088889,-0.688889,10.088889,0.0,,-0.405556,78.036012
US_IN_18087,2020-02-05,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,6.67,8.42,8.07,,5.26,22.11,11.93,10.53,7.72,7.72,37.91,5.26,,7.02,33.69,7.37,7.72,-1.583333,-4.327778,1.394444,0.0635,,-8.188889,60.777724
US_IN_18087,2020-02-06,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,,7.82,8.93,,6.33,21.59,8.56,10.79,7.07,6.7,37.97,,,,34.99,7.82,,-3.755556,-4.661111,-1.505556,1.8415,,-5.716667,86.371883
US_IN_18087,2020-02-07,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,4.83,7.24,,,,26.55,8.62,5.52,,10.69,33.1,6.55,7.59,5.52,33.1,7.59,,-3.4,-7.255556,0.488889,0.677333,78.74,-6.394444,79.873146
US_IN_18087,2020-02-08,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,6.94,8.68,,,,24.3,9.55,10.41,,6.94,23.87,,,,33.85,7.38,,-2.066667,-6.183333,1.377778,0.169333,99.06,-5.222222,79.128603
US_IN_18087,2020-02-09,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,8.45,12.0,,,,22.22,8.45,7.11,,,29.33,,8.45,,33.78,,6.67,-1.644444,-5.0,1.077778,0.0635,50.8,-3.905556,84.68864
US_IN_18087,2020-02-10,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,5.07,7.09,13.17,,4.73,25.33,10.13,8.78,7.77,,44.24,,4.73,,28.03,5.74,6.42,0.783333,-2.194444,1.966667,1.0668,30.48,-0.783333,89.398257
US_IN_18087,2020-02-11,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,4.84,5.18,13.13,,9.33,17.62,5.53,8.64,,8.29,35.23,5.18,4.84,,36.96,8.64,6.22,-0.427778,-2.183333,2.033333,0.0,30.48,-3.633333,79.124508
US_IN_18087,2020-02-12,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,,6.94,14.57,,6.59,27.06,8.67,12.84,7.63,7.29,41.97,10.06,,5.2,37.12,6.59,6.24,-2.5,-6.233333,1.166667,0.0,,-5.927778,77.36105
US_IN_18087,2020-02-13,ChIJVVqCpClFFogRGss69-idxro,Q24464,geoId/18087,US,United States of America,IN,Indiana,18087,LaGrange County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39248,19868,19380,7140,6871,4893,4419,4262,4341,3823,2358,1141,1802083,41.641667,-85.416667,1002,79.2125,,,,,,,10.56,,9.1,,,13.11,7.65,11.65,6.55,5.83,40.78,,,,28.77,6.19,5.1,-2.055556,-6.805556,0.222222,2.6924,,-3.661111,88.824718
