location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_MS_28085,2020-01-22,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,,12.93,9.11,4.99,9.4,11.16,7.64,23.5,,8.22,39.07,5.88,,2.877778,-1.411111,9.211111,0.0,,-4.305556,59.489783
US_MS_28085,2020-01-23,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,6.74,9.26,6.46,5.05,9.82,9.82,8.42,26.66,3.93,8.7,35.08,7.58,4.21,8.027778,3.594444,13.866667,1.651,,3.938889,76.001161
US_MS_28085,2020-01-24,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,8.96,10.99,9.54,,11.57,8.67,8.96,27.47,7.52,4.92,30.07,4.63,6.65,9.694444,4.016667,14.477778,4.938889,,6.083333,78.676653
US_MS_28085,2020-01-25,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,6.38,14.64,,,23.27,6.76,7.88,26.28,,6.01,33.79,8.63,5.63,6.55,-0.311111,15.377778,0.0,,1.733333,71.570784
US_MS_28085,2020-01-26,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,5.52,12.43,6.9,,21.05,5.18,,30.03,5.52,6.21,40.04,6.9,7.25,8.7,5.0,11.538889,0.762,,6.761111,87.806605
US_MS_28085,2020-01-27,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,11.54,8.79,8.51,,18.95,7.96,9.89,24.99,4.12,5.22,33.78,3.85,,11.15,9.338889,14.683333,6.1722,,9.466667,89.545495
US_MS_28085,2020-01-28,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,7.75,11.34,6.64,4.43,22.69,8.85,6.36,52.85,7.47,6.64,36.25,18.82,8.02,8.172222,1.938889,16.061111,0.028222,,5.622222,84.21731
US_MS_28085,2020-01-29,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,9.11,8.01,4.97,4.42,17.67,5.8,14.36,51.91,7.46,5.8,35.06,22.92,4.42,11.055556,8.777778,13.922222,3.58775,,8.938889,87.004153
US_MS_28085,2020-01-30,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,5.76,8.78,7.13,6.03,21.12,8.5,7.13,30.72,4.11,6.03,34.01,6.58,7.68,9.055556,5.038889,14.072222,4.0386,,6.788889,85.989689
US_MS_28085,2020-01-31,ChIJe2etGRvaJ4YRp-gUhVO6R7o,Q485896,geoId/28085,US,United States of America,MS,Mississippi,28085,Lincoln County,US,USA,2,,,,,,,34340,16385,17955,4505,4508,4127,4287,4343,4570,4222,2412,1366,1833636,31.54,-90.45,1523,73.266667,,,,,7.76,8.33,6.89,,22.12,10.06,10.06,31.6,6.89,5.75,33.9,4.02,4.88,9.505556,7.594444,12.4,0.381,,7.555556,87.836931
