location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_TN_47123,2020-01-21,ChIJmZLtaGmrXogRgB2jqW2H3Vs,Q495006,geoId/47123,US,United States of America,TN,Tennessee,47123,Monroe County,US,USA,2,,,,,,,46035,22912,23123,5122,5713,5328,4884,5676,6493,6509,4450,1860,1848191,35.45,-84.25,1690,75.057143,,,,,,7.06,7.94,4.41,12.79,6.18,5.51,6.18,5.29,18.09,,10.15,,3.09,13.01,3.97,5.29,6.84,3.75,5.51,6.18,11.25,34.19,6.62,10.81,4.63,6.18,5.29,41.91,6.62,6.62,4.85,3.31,5.29,-2.4,-4.988889,1.877778,0.0,,-10.688889,53.497394
US_TN_47123,2020-01-22,ChIJmZLtaGmrXogRgB2jqW2H3Vs,Q495006,geoId/47123,US,United States of America,TN,Tennessee,47123,Monroe County,US,USA,2,,,,,,,46035,22912,23123,5122,5713,5328,4884,5676,6493,6509,4450,1860,1848191,35.45,-84.25,1690,75.057143,,,,,,8.04,8.04,5.22,9.56,6.74,5.0,7.82,4.78,21.73,,11.73,3.91,7.61,10.65,4.78,5.0,6.52,3.91,3.26,8.48,11.52,27.6,5.43,6.95,4.56,9.56,6.52,37.16,3.48,6.3,5.65,6.95,5.0,-2.183333,-8.344444,7.361111,0.0,,-9.361111,58.275626
US_TN_47123,2020-01-23,ChIJmZLtaGmrXogRgB2jqW2H3Vs,Q495006,geoId/47123,US,United States of America,TN,Tennessee,47123,Monroe County,US,USA,2,,,,,,,46035,22912,23123,5122,5713,5328,4884,5676,6493,6509,4450,1860,1848191,35.45,-84.25,1690,75.057143,,,,,,3.4,10.64,4.04,11.92,11.49,5.32,9.57,4.89,18.72,4.04,5.11,,3.83,10.0,3.62,5.32,2.98,4.89,4.26,3.83,10.64,28.51,4.68,7.45,4.47,5.11,7.23,44.26,5.53,7.87,6.81,5.11,5.32,2.955556,-2.961111,9.055556,0.0,,-3.833333,61.7626
US_TN_47123,2020-01-24,ChIJmZLtaGmrXogRgB2jqW2H3Vs,Q495006,geoId/47123,US,United States of America,TN,Tennessee,47123,Monroe County,US,USA,2,,,,,,,46035,22912,23123,5122,5713,5328,4884,5676,6493,6509,4450,1860,1848191,35.45,-84.25,1690,75.057143,,,,,,5.05,6.94,6.73,10.52,9.25,6.1,5.89,5.05,28.6,4.63,7.15,3.79,4.21,10.52,5.05,4.0,3.37,4.0,6.1,3.79,7.99,42.27,4.84,6.31,4.84,4.21,5.05,41.85,3.37,5.26,5.47,8.41,5.05,7.383333,3.477778,11.238889,14.0335,,5.3,86.688648
US_TN_47123,2020-01-25,ChIJmZLtaGmrXogRgB2jqW2H3Vs,Q495006,geoId/47123,US,United States of America,TN,Tennessee,47123,Monroe County,US,USA,2,,,,,,,46035,22912,23123,5122,5713,5328,4884,5676,6493,6509,4450,1860,1848191,35.45,-84.25,1690,75.057143,,,,,,4.19,6.16,6.65,8.63,8.63,7.64,7.15,4.19,21.19,5.92,10.35,4.44,3.94,11.34,4.93,9.37,3.94,5.42,5.17,,7.39,33.27,6.9,7.89,3.7,4.68,7.15,48.55,,7.39,7.39,5.42,6.16,4.605556,2.25,8.361111,4.374444,,0.35,74.287844
US_TN_47123,2020-01-26,ChIJmZLtaGmrXogRgB2jqW2H3Vs,Q495006,geoId/47123,US,United States of America,TN,Tennessee,47123,Monroe County,US,USA,2,,,,,,,46035,22912,23123,5122,5713,5328,4884,5676,6493,6509,4450,1860,1848191,35.45,-84.25,1690,75.057143,,,,,,4.01,6.13,4.95,9.9,6.6,5.66,7.07,4.01,28.27,5.42,12.25,,,10.84,6.13,5.89,11.07,4.71,7.07,4.24,8.48,31.34,8.95,6.83,3.77,,5.18,41.47,5.89,6.36,8.72,3.77,5.18,2.538889,-1.85,7.211111,0.0254,,-2.111111,71.611011
US_TN_47123,2020-01-27,ChIJmZLtaGmrXogRgB2jqW2H3Vs,Q495006,geoId/47123,US,United States of America,TN,Tennessee,47123,Monroe County,US,USA,2,,,,,,,46035,22912,23123,5122,5713,5328,4884,5676,6493,6509,4450,1860,1848191,35.45,-84.25,1690,75.057143,,,,,,7.53,5.23,3.98,11.09,6.07,3.77,9.21,4.6,24.9,4.18,11.72,5.44,3.98,10.67,3.56,2.93,6.91,3.14,3.98,3.98,10.04,34.53,5.86,7.74,3.77,5.86,6.49,40.18,7.12,4.39,6.07,5.23,6.7,5.961111,2.977778,10.283333,1.04775,,3.25,82.982882
US_TN_47123,2020-01-28,ChIJmZLtaGmrXogRgB2jqW2H3Vs,Q495006,geoId/47123,US,United States of America,TN,Tennessee,47123,Monroe County,US,USA,2,,,,,,,46035,22912,23123,5122,5713,5328,4884,5676,6493,6509,4450,1860,1848191,35.45,-84.25,1690,75.057143,,,,,,4.89,7.24,3.4,13.2,5.32,5.96,5.96,4.68,27.45,6.38,12.77,3.4,2.98,7.66,4.26,4.68,4.04,4.47,5.96,5.32,10.0,37.46,5.75,9.58,5.32,5.32,5.53,40.86,5.96,10.22,4.68,4.26,4.47,4.205556,-1.944444,12.055556,1.3716,,-0.005556,74.274201
US_TN_47123,2020-01-29,ChIJmZLtaGmrXogRgB2jqW2H3Vs,Q495006,geoId/47123,US,United States of America,TN,Tennessee,47123,Monroe County,US,USA,2,,,,,,,46035,22912,23123,5122,5713,5328,4884,5676,6493,6509,4450,1860,1848191,35.45,-84.25,1690,75.057143,,,,,,8.04,8.04,3.04,11.74,8.04,8.48,6.74,,31.95,3.48,13.04,4.35,5.87,10.22,3.91,6.74,7.83,7.17,3.69,9.35,10.43,38.04,8.04,7.17,8.48,6.3,6.3,42.82,6.3,13.7,4.78,8.04,5.65,4.183333,-1.238889,10.622222,0.028222,,0.455556,76.89029
US_TN_47123,2020-01-30,ChIJmZLtaGmrXogRgB2jqW2H3Vs,Q495006,geoId/47123,US,United States of America,TN,Tennessee,47123,Monroe County,US,USA,2,,,,,,,46035,22912,23123,5122,5713,5328,4884,5676,6493,6509,4450,1860,1848191,35.45,-84.25,1690,75.057143,,,,,,5.19,7.36,4.76,9.52,12.77,8.22,5.19,3.9,36.36,4.76,9.74,3.03,4.98,12.12,4.33,6.92,6.71,4.54,3.03,4.54,8.22,38.52,7.57,7.57,5.19,,8.01,43.93,4.98,6.71,9.52,6.92,5.19,6.777778,2.1,13.177778,0.0,,2.677778,75.302255
