location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IA_19175,2020-01-31,ChIJjc5_RuWc64cR9Sf1LN1mMus,Q485944,geoId/19175,US,United States of America,IA,Iowa,19175,Union County,US,USA,2,,,,,,,12459,6090,6369,1471,1742,1426,1458,1336,1719,1573,1013,721,1789351,41.025833,-94.241389,1103,77.975,,,,27.27,32.04,27.95,-0.172222,-2.538889,1.994444,0.0,200.66,-1.203704,92.440821
US_IA_19175,2020-02-01,ChIJjc5_RuWc64cR9Sf1LN1mMus,Q485944,geoId/19175,US,United States of America,IA,Iowa,19175,Union County,US,USA,2,,,,,,,12459,6090,6369,1471,1742,1426,1458,1336,1719,1573,1013,721,1789351,41.025833,-94.241389,1103,77.975,,,,21.79,33.16,40.74,1.488889,-1.361111,5.527778,0.03175,149.86,-0.205556,88.639086
US_IA_19175,2020-02-02,ChIJjc5_RuWc64cR9Sf1LN1mMus,Q485944,geoId/19175,US,United States of America,IA,Iowa,19175,Union County,US,USA,2,,,,,,,12459,6090,6369,1471,1742,1426,1458,1336,1719,1573,1013,721,1789351,41.025833,-94.241389,1103,77.975,,,,29.77,21.89,39.41,5.694444,0.75,12.238889,0.0,78.74,0.85,71.553579
US_IA_19175,2020-02-03,ChIJjc5_RuWc64cR9Sf1LN1mMus,Q485944,geoId/19175,US,United States of America,IA,Iowa,19175,Union County,US,USA,2,,,,,,,12459,6090,6369,1471,1742,1426,1458,1336,1719,1573,1013,721,1789351,41.025833,-94.241389,1103,77.975,,,,19.66,44.24,38.62,1.255556,-1.005556,7.116667,0.0,78.74,-0.611111,87.586665
US_IA_19175,2020-02-04,ChIJjc5_RuWc64cR9Sf1LN1mMus,Q485944,geoId/19175,US,United States of America,IA,Iowa,19175,Union County,US,USA,2,,,,,,,12459,6090,6369,1471,1742,1426,1458,1336,1719,1573,1013,721,1789351,41.025833,-94.241389,1103,77.975,,,,27.37,46.32,36.49,-2.577778,-5.211111,0.633333,0.0,78.74,-7.472222,69.332372
US_IA_19175,2020-02-05,ChIJjc5_RuWc64cR9Sf1LN1mMus,Q485944,geoId/19175,US,United States of America,IA,Iowa,19175,Union County,US,USA,2,,,,,,,12459,6090,6369,1471,1742,1426,1458,1336,1719,1573,1013,721,1789351,41.025833,-94.241389,1103,77.975,,,12.3,39.78,47.02,49.91,-5.188889,-7.272222,-1.65,0.0,78.74,-10.733333,65.399743
US_IA_19175,2020-02-06,ChIJjc5_RuWc64cR9Sf1LN1mMus,Q485944,geoId/19175,US,United States of America,IA,Iowa,19175,Union County,US,USA,2,,,,,,,12459,6090,6369,1471,1742,1426,1458,1336,1719,1573,1013,721,1789351,41.025833,-94.241389,1103,77.975,,,,28.21,36.68,40.91,-5.544444,-12.033333,0.922222,0.0,50.8,-10.416667,68.808961
US_IA_19175,2020-02-07,ChIJjc5_RuWc64cR9Sf1LN1mMus,Q485944,geoId/19175,US,United States of America,IA,Iowa,19175,Union County,US,USA,2,,,,,,,12459,6090,6369,1471,1742,1426,1458,1336,1719,1573,1013,721,1789351,41.025833,-94.241389,1103,77.975,,,13.08,29.06,40.68,38.5,-3.194444,-6.077778,-0.711111,0.127,99.06,-7.205556,74.080738
US_IA_19175,2020-02-08,ChIJjc5_RuWc64cR9Sf1LN1mMus,Q485944,geoId/19175,US,United States of America,IA,Iowa,19175,Union County,US,USA,2,,,,,,,12459,6090,6369,1471,1742,1426,1458,1336,1719,1573,1013,721,1789351,41.025833,-94.241389,1103,77.975,,,,22.55,33.34,41.18,-5.955556,-10.466667,-0.183333,0.4445,78.74,-8.894444,79.979556
US_IA_19175,2020-02-09,ChIJjc5_RuWc64cR9Sf1LN1mMus,Q485944,geoId/19175,US,United States of America,IA,Iowa,19175,Union County,US,USA,2,,,,,,,12459,6090,6369,1471,1742,1426,1458,1336,1719,1573,1013,721,1789351,41.025833,-94.241389,1103,77.975,,,13.89,37.97,33.34,32.41,0.761111,-4.122222,5.438889,0.0,50.8,-3.166667,75.169533
