location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_IL_17103,2020-01-21,ChIJI9KqpU2oCYgRuLFiqhq7Qg4,Q491035,geoId/17103,US,United States of America,IL,Illinois,17103,Lee County,US,USA,2,,,,,,,34540,18322,16218,3687,3881,4156,4252,4269,5234,4557,2743,1761,536310,41.75,-89.3,1889,78.0,,,,,4.05,7.2,4.5,12.82,7.87,3.15,6.52,5.62,19.79,13.04,6.07,11.02,4.05,5.17,4.95,4.95,4.05,10.8,8.32,28.34,6.07,9.67,5.85,9.9,7.42,40.48,3.6,7.2,7.2,6.07,3.15,-9.772222,-15.15,-3.222222,0.028222,50.8,-11.87037,84.448358
US_IL_17103,2020-01-22,ChIJI9KqpU2oCYgRuLFiqhq7Qg4,Q491035,geoId/17103,US,United States of America,IL,Illinois,17103,Lee County,US,USA,2,,,,,,,34540,18322,16218,3687,3881,4156,4252,4269,5234,4557,2743,1761,536310,41.75,-89.3,1889,78.0,,,,,4.27,4.5,4.27,8.54,5.17,6.07,6.97,,19.33,9.44,4.72,11.69,3.37,5.84,6.74,,,8.32,9.66,28.32,6.07,4.72,4.95,8.09,7.87,38.88,3.15,3.82,7.64,5.39,5.84,-4.161111,-7.783333,0.161111,0.0,50.8,-6.771605,81.798679
US_IL_17103,2020-01-23,ChIJI9KqpU2oCYgRuLFiqhq7Qg4,Q491035,geoId/17103,US,United States of America,IL,Illinois,17103,Lee County,US,USA,2,,,,,,,34540,18322,16218,3687,3881,4156,4252,4269,5234,4557,2743,1761,536310,41.75,-89.3,1889,78.0,,,,,,10.12,3.22,11.5,8.74,6.67,6.44,,16.56,8.05,5.98,6.44,4.37,6.44,6.67,3.91,,6.67,8.05,28.98,5.29,5.52,4.6,5.29,5.98,34.96,,6.9,5.06,5.75,4.37,-0.577778,-1.466667,0.638889,0.834571,99.06,-1.907407,90.380769
US_IL_17103,2020-01-24,ChIJI9KqpU2oCYgRuLFiqhq7Qg4,Q491035,geoId/17103,US,United States of America,IL,Illinois,17103,Lee County,US,USA,2,,,,,,,34540,18322,16218,3687,3881,4156,4252,4269,5234,4557,2743,1761,536310,41.75,-89.3,1889,78.0,,,,,,4.2,6.3,10.73,6.06,4.43,6.76,3.27,33.12,9.33,4.43,7.93,3.73,6.06,5.36,4.67,,5.83,9.1,36.85,3.5,6.76,5.36,9.8,3.5,36.15,,6.3,3.96,3.5,,0.75,-0.061111,2.061111,3.39725,78.74,0.45679,97.751105
US_IL_17103,2020-01-25,ChIJI9KqpU2oCYgRuLFiqhq7Qg4,Q491035,geoId/17103,US,United States of America,IL,Illinois,17103,Lee County,US,USA,2,,,,,,,34540,18322,16218,3687,3881,4156,4252,4269,5234,4557,2743,1761,536310,41.75,-89.3,1889,78.0,,,,,,5.61,,5.61,6.45,5.61,5.61,,22.42,10.65,6.45,9.81,,4.48,,4.2,5.04,5.61,7.85,25.78,,5.88,4.48,4.48,5.04,35.87,5.88,,4.76,,5.88,0.283333,-0.083333,1.144444,6.35,149.86,-0.228395,96.216187
US_IL_17103,2020-01-26,ChIJI9KqpU2oCYgRuLFiqhq7Qg4,Q491035,geoId/17103,US,United States of America,IL,Illinois,17103,Lee County,US,USA,2,,,,,,,34540,18322,16218,3687,3881,4156,4252,4269,5234,4557,2743,1761,536310,41.75,-89.3,1889,78.0,,,,,5.1,5.1,3.83,6.89,5.87,6.63,6.63,4.85,23.98,6.63,7.4,8.16,5.61,4.59,5.36,3.83,4.08,,5.36,35.45,3.83,8.16,4.85,,4.85,36.73,5.1,6.89,6.12,3.83,4.08,-1.15,-2.75,0.261111,2.088444,129.54,-2.487654,90.244687
US_IL_17103,2020-01-27,ChIJI9KqpU2oCYgRuLFiqhq7Qg4,Q491035,geoId/17103,US,United States of America,IL,Illinois,17103,Lee County,US,USA,2,,,,,,,34540,18322,16218,3687,3881,4156,4252,4269,5234,4557,2743,1761,536310,41.75,-89.3,1889,78.0,,,,,5.27,5.49,3.3,8.57,8.35,5.49,5.27,,27.91,12.75,5.93,9.23,4.62,4.62,6.59,5.49,4.18,5.05,7.47,34.5,5.93,5.71,4.83,4.62,5.49,30.77,,7.03,7.91,6.37,5.05,-1.894444,-3.2,-0.35,0.0,129.54,-3.296296,89.752825
US_IL_17103,2020-01-28,ChIJI9KqpU2oCYgRuLFiqhq7Qg4,Q491035,geoId/17103,US,United States of America,IL,Illinois,17103,Lee County,US,USA,2,,,,,,,34540,18322,16218,3687,3881,4156,4252,4269,5234,4557,2743,1761,536310,41.75,-89.3,1889,78.0,,,,,4.65,4.65,4.65,8.42,8.86,4.43,6.65,4.21,27.04,14.4,8.86,7.98,4.21,10.64,5.1,4.65,,4.88,9.53,39.0,7.76,8.86,5.32,5.32,7.98,41.0,3.77,8.2,4.65,4.88,,-1.577778,-2.627778,-0.738889,0.0,129.54,-3.191358,88.505662
US_IL_17103,2020-01-29,ChIJI9KqpU2oCYgRuLFiqhq7Qg4,Q491035,geoId/17103,US,United States of America,IL,Illinois,17103,Lee County,US,USA,2,,,,,,,34540,18322,16218,3687,3881,4156,4252,4269,5234,4557,2743,1761,536310,41.75,-89.3,1889,78.0,,,,,5.15,8.06,4.48,9.4,10.97,5.82,4.48,4.25,25.08,8.73,5.37,10.08,6.05,6.72,6.94,,,5.15,5.6,35.83,5.37,4.93,6.72,4.48,8.96,32.69,3.58,10.52,4.93,3.58,,-2.344444,-3.166667,-0.872222,0.0,129.54,-4.851852,82.687161
US_IL_17103,2020-01-30,ChIJI9KqpU2oCYgRuLFiqhq7Qg4,Q491035,geoId/17103,US,United States of America,IL,Illinois,17103,Lee County,US,USA,2,,,,,,,34540,18322,16218,3687,3881,4156,4252,4269,5234,4557,2743,1761,536310,41.75,-89.3,1889,78.0,,,,,5.17,5.62,5.62,8.77,7.42,5.4,6.07,,32.39,8.77,7.2,9.45,5.17,4.72,6.52,4.95,,6.07,9.22,38.47,4.27,6.52,4.95,7.65,4.72,35.54,,6.52,3.82,4.05,3.6,-1.983333,-3.216667,0.05,0.0,129.54,-4.154321,84.696272
