location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_6,cumulative_confirmed_age_6,new_deceased_age_6,cumulative_deceased_age_6,new_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_6,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WA_53017,2020-01-11,ChIJ_Q32EIaXm1QRh494YwBK8vg,Q156220,geoId/53017,US,United States of America,WA,Washington,53017,Douglas County,US,USA,2,,,,,,,,,,,,,,,,,,,,42027,21221,20806,5975,5992,4987,5192,4885,5089,5038,3193,1676,1153555,47.74,-119.69,4788,81.1,,,,,,,3.95,9.62,4.44,10.61,8.39,6.42,3.46,5.43,5.43,,3.46,12.34,,7.9,,5.67,10.86,,3.46,4.93,8.64,4.44,4.69,6.66,3.46,4.93,28.87,6.66,4.44,7.65,,4.69,3.46,4.44,37.75,4.69,10.12,,4.2,4.69,7.16,,,3.46,,0.011111,-4.322222,3.622222,6.1214,35.56,-1.919753,87.392129
US_WA_53017,2020-01-12,ChIJ_Q32EIaXm1QRh494YwBK8vg,Q156220,geoId/53017,US,United States of America,WA,Washington,53017,Douglas County,US,USA,2,,,,,,,,,,,,,,,,,,,,42027,21221,20806,5975,5992,4987,5192,4885,5089,5038,3193,1676,1153555,47.74,-119.69,4788,81.1,,,,,,,6.05,10.65,6.05,8.96,6.53,6.05,,7.5,4.6,,,11.62,,8.71,5.57,5.32,9.44,3.39,,4.11,5.57,4.6,3.63,7.26,,7.74,24.93,8.71,4.11,5.32,4.36,3.39,3.63,7.74,45.26,6.05,6.53,,4.84,5.57,4.11,,3.39,3.87,4.11,0.9,-2.711111,4.605556,3.048,78.74,-2.555556,78.495616
US_WA_53017,2020-01-13,ChIJ_Q32EIaXm1QRh494YwBK8vg,Q156220,geoId/53017,US,United States of America,WA,Washington,53017,Douglas County,US,USA,2,,,,,,,,,,,,,,,,,,,,42027,21221,20806,5975,5992,4987,5192,4885,5089,5038,3193,1676,1153555,47.74,-119.69,4788,81.1,,,,,,,5.78,8.17,3.39,10.36,9.76,6.37,,6.57,,4.58,2.79,17.33,2.99,9.56,,6.57,7.37,6.37,,3.78,4.18,4.58,5.38,3.19,2.99,4.78,27.09,7.77,6.17,7.97,3.19,4.98,,6.57,40.03,4.78,6.57,4.78,5.78,3.58,5.38,,4.78,3.39,2.99,-4.927778,-9.766667,3.866667,3.7084,99.06,-11.0,64.278383
US_WA_53017,2020-01-14,ChIJ_Q32EIaXm1QRh494YwBK8vg,Q156220,geoId/53017,US,United States of America,WA,Washington,53017,Douglas County,US,USA,2,,,,,,,,,,,,,,,,,,,,42027,21221,20806,5975,5992,4987,5192,4885,5089,5038,3193,1676,1153555,47.74,-119.69,4788,81.1,,,,,,,3.76,7.52,5.94,8.11,7.52,4.35,4.75,3.96,6.33,4.75,3.17,13.06,5.94,8.71,,6.93,8.11,3.96,,4.75,3.36,,2.77,4.95,,7.92,32.85,4.55,,7.52,3.36,5.14,5.34,7.72,41.36,5.14,9.7,5.54,6.53,,4.16,,4.55,,3.76,-9.522222,-11.527778,-4.316667,0.6604,149.86,-14.820988,67.684108
US_WA_53017,2020-01-15,ChIJ_Q32EIaXm1QRh494YwBK8vg,Q156220,geoId/53017,US,United States of America,WA,Washington,53017,Douglas County,US,USA,2,,,,,,,,,,,,,,,,,,,,42027,21221,20806,5975,5992,4987,5192,4885,5089,5038,3193,1676,1153555,47.74,-119.69,4788,81.1,,,,,,,4.99,8.18,6.38,9.78,10.57,4.79,4.79,6.98,4.39,2.79,,10.57,3.39,3.99,3.79,6.58,8.78,3.79,3.59,4.99,5.59,6.38,3.19,4.39,,7.38,27.14,7.38,6.98,4.99,2.79,5.79,3.79,7.18,36.91,5.59,10.38,5.59,4.79,4.19,4.19,,5.19,2.99,,-9.833333,-12.683333,-5.594444,2.765778,149.86,-13.876543,74.151431
US_WA_53017,2020-01-16,ChIJ_Q32EIaXm1QRh494YwBK8vg,Q156220,geoId/53017,US,United States of America,WA,Washington,53017,Douglas County,US,USA,2,,,,,,,,,,,,,,,,,,,,42027,21221,20806,5975,5992,4987,5192,4885,5089,5038,3193,1676,1153555,47.74,-119.69,4788,81.1,,,,,,,5.15,7.53,5.35,12.88,7.33,5.35,,8.13,5.15,5.55,,8.52,2.97,6.74,3.17,5.75,8.92,6.34,2.97,5.95,5.55,5.35,5.95,5.55,,7.13,28.14,6.54,4.16,6.94,,4.16,4.16,7.53,39.05,4.56,7.53,4.56,4.36,5.15,4.76,2.77,4.96,,2.77,-5.294444,-10.638889,-1.833333,2.6162,124.46,-8.197531,83.362547
US_WA_53017,2020-01-17,ChIJ_Q32EIaXm1QRh494YwBK8vg,Q156220,geoId/53017,US,United States of America,WA,Washington,53017,Douglas County,US,USA,2,,,,,,,,,,,,,,,,,,,,42027,21221,20806,5975,5992,4987,5192,4885,5089,5038,3193,1676,1153555,47.74,-119.69,4788,81.1,,,,,,,6.2,7.39,3.4,8.79,7.79,3.8,3.0,5.0,5.4,5.0,,12.59,4.0,10.59,5.8,6.0,9.19,3.2,,7.39,6.2,4.8,4.4,3.4,2.8,6.79,22.58,4.2,5.6,6.59,,6.59,,5.2,40.17,5.0,9.99,5.4,5.4,4.4,4.8,3.4,4.0,,,-6.172222,-10.894444,-1.544444,0.8128,165.1,-8.962963,84.473686
US_WA_53017,2020-01-18,ChIJ_Q32EIaXm1QRh494YwBK8vg,Q156220,geoId/53017,US,United States of America,WA,Washington,53017,Douglas County,US,USA,2,,,,,,,,,,,,,,,,,,,,42027,21221,20806,5975,5992,4987,5192,4885,5089,5038,3193,1676,1153555,47.74,-119.69,4788,81.1,,,,,,,3.96,12.39,5.95,9.66,4.96,8.18,,4.71,4.21,3.72,,15.86,5.2,6.69,,6.69,7.93,4.96,,5.7,5.7,4.96,7.19,7.43,4.46,4.71,24.29,4.96,,6.2,,9.42,5.2,5.2,38.91,3.72,8.67,,6.2,3.47,4.46,,,,4.21,-3.455556,-9.111111,-0.361111,1.2954,149.86,-5.876543,86.15554
US_WA_53017,2020-01-19,ChIJ_Q32EIaXm1QRh494YwBK8vg,Q156220,geoId/53017,US,United States of America,WA,Washington,53017,Douglas County,US,USA,2,,,,,,,,,,,,,,,,,,,,42027,21221,20806,5975,5992,4987,5192,4885,5089,5038,3193,1676,1153555,47.74,-119.69,4788,81.1,,,,,,,5.27,11.99,5.04,8.87,7.19,6.95,,7.19,4.08,4.08,,13.19,4.32,8.87,,4.79,9.83,,3.36,3.84,3.84,3.84,5.04,8.63,,7.67,24.45,7.43,,12.23,5.51,5.51,5.27,6.47,42.67,7.43,8.39,,6.47,4.79,3.36,,4.08,,3.84,0.027778,-4.311111,3.105556,2.7432,134.62,-2.030864,87.012233
US_WA_53017,2020-01-20,ChIJ_Q32EIaXm1QRh494YwBK8vg,Q156220,geoId/53017,US,United States of America,WA,Washington,53017,Douglas County,US,USA,2,,,,,,,,,,,,,,,,,,,,42027,21221,20806,5975,5992,4987,5192,4885,5089,5038,3193,1676,1153555,47.74,-119.69,4788,81.1,,,,,,3.59,8.76,14.82,6.74,9.43,11.22,6.96,,7.63,5.39,,3.14,18.86,5.61,9.65,,8.31,11.22,6.06,3.59,6.74,5.61,6.74,4.71,4.94,4.94,8.31,24.24,5.84,4.04,8.98,4.49,5.16,4.94,7.18,49.84,5.16,10.78,3.82,7.63,6.51,4.04,4.04,3.37,3.82,,1.022222,-1.538889,3.933333,0.028222,95.25,-1.135802,86.134627
US_WA_53017,2020-01-21,ChIJ_Q32EIaXm1QRh494YwBK8vg,Q156220,geoId/53017,US,United States of America,WA,Washington,53017,Douglas County,US,USA,2,,,,,,,,,,,,,,,,,,,,42027,21221,20806,5975,5992,4987,5192,4885,5089,5038,3193,1676,1153555,47.74,-119.69,4788,81.1,,,,,,,3.91,8.4,5.86,9.77,7.62,5.47,4.49,7.81,,4.49,3.91,20.9,3.91,7.62,3.71,7.03,9.57,5.08,3.52,5.08,4.3,5.47,6.83,8.98,,6.05,31.64,4.69,4.69,9.57,,5.86,6.64,7.03,46.48,5.27,9.57,3.32,5.86,5.86,3.52,3.52,4.1,3.91,,0.45,-1.961111,4.016667,0.254,64.77,-1.376543,88.84635
US_WA_53017,2020-01-22,ChIJ_Q32EIaXm1QRh494YwBK8vg,Q156220,geoId/53017,US,United States of America,WA,Washington,53017,Douglas County,US,USA,2,,,,,,,,,,,,,,,,,,,,42027,21221,20806,5975,5992,4987,5192,4885,5089,5038,3193,1676,1153555,47.74,-119.69,4788,81.1,,,,,,2.97,5.54,8.9,5.54,10.48,10.68,5.54,5.34,8.9,,3.96,3.36,21.55,4.15,9.49,,7.71,8.11,4.75,,5.93,4.94,2.77,4.55,6.72,,8.7,33.02,5.74,6.33,8.3,4.55,6.53,9.1,7.12,46.08,5.34,3.96,3.76,6.33,4.35,,3.16,3.36,4.55,,0.494444,-3.033333,3.383333,3.7084,54.61,-1.302469,88.976821
US_WA_53017,2020-01-23,ChIJ_Q32EIaXm1QRh494YwBK8vg,Q156220,geoId/53017,US,United States of America,WA,Washington,53017,Douglas County,US,USA,2,,,,,,,,,,,,,,,,,,,,42027,21221,20806,5975,5992,4987,5192,4885,5089,5038,3193,1676,1153555,47.74,-119.69,4788,81.1,,,,,,,4.48,8.19,6.43,7.8,7.99,4.29,3.9,5.85,,3.9,,16.57,4.87,7.99,,3.7,7.6,5.26,,4.09,3.12,4.48,4.09,4.68,2.92,6.04,31.77,7.6,3.12,7.41,3.12,4.29,3.9,5.65,41.71,4.09,5.85,,4.68,2.92,4.29,5.26,4.48,,,1.894444,-2.033333,3.888889,6.5532,78.74,0.654321,92.14577
US_WA_53017,2020-01-24,ChIJ_Q32EIaXm1QRh494YwBK8vg,Q156220,geoId/53017,US,United States of America,WA,Washington,53017,Douglas County,US,USA,2,,,,,,,,,,,,,,,,,,,,42027,21221,20806,5975,5992,4987,5192,4885,5089,5038,3193,1676,1153555,47.74,-119.69,4788,81.1,,,,,,4.61,5.01,12.63,5.41,8.82,8.42,6.21,,8.82,4.61,4.01,,18.64,4.21,6.01,3.21,6.01,7.82,5.01,2.81,4.61,5.61,,4.61,6.21,3.01,8.82,34.27,6.21,4.01,4.41,4.01,3.61,4.41,4.81,41.49,4.61,6.81,7.42,6.21,4.01,,,,,,3.027778,1.166667,6.5,11.1506,30.48,1.790123,91.809607
US_WA_53017,2020-01-25,ChIJ_Q32EIaXm1QRh494YwBK8vg,Q156220,geoId/53017,US,United States of America,WA,Washington,53017,Douglas County,US,USA,2,,,,,,,,,,,,,,,,,,,,42027,21221,20806,5975,5992,4987,5192,4885,5089,5038,3193,1676,1153555,47.74,-119.69,4788,81.1,,,,,,,4.32,10.56,6.24,8.16,12.0,4.8,,6.24,,3.36,4.08,23.05,,10.8,,6.72,7.2,6.24,3.6,4.8,5.52,,4.08,6.72,4.08,7.68,43.21,5.52,3.6,6.48,,3.36,6.0,6.96,42.01,4.32,6.48,4.08,9.6,5.28,4.08,3.36,,,3.36,2.383333,0.061111,6.761111,3.0988,,0.876543,90.662323
US_WA_53017,2020-01-26,ChIJ_Q32EIaXm1QRh494YwBK8vg,Q156220,geoId/53017,US,United States of America,WA,Washington,53017,Douglas County,US,USA,2,,,,,,,,,,,,,,,,,,,,42027,21221,20806,5975,5992,4987,5192,4885,5089,5038,3193,1676,1153555,47.74,-119.69,4788,81.1,,,,,,3.08,5.06,11.88,6.16,11.22,10.34,8.58,,3.3,5.06,3.74,,22.89,4.84,8.36,3.96,5.28,8.14,5.72,3.3,5.28,3.3,4.62,6.16,6.38,4.4,7.04,33.45,6.16,3.74,9.68,,5.5,4.4,5.06,44.46,4.4,7.26,3.52,4.62,4.4,,,,,4.18,3.122222,0.088889,6.655556,3.5052,,1.41358,89.205605
US_WA_53017,2020-01-27,ChIJ_Q32EIaXm1QRh494YwBK8vg,Q156220,geoId/53017,US,United States of America,WA,Washington,53017,Douglas County,US,USA,2,,,,,,,,,,,,,,,,,,,,42027,21221,20806,5975,5992,4987,5192,4885,5089,5038,3193,1676,1153555,47.74,-119.69,4788,81.1,,,,,,,4.68,7.41,5.46,12.08,7.99,3.12,2.73,7.6,5.65,3.31,,27.87,3.9,7.01,,3.31,7.79,5.07,3.51,4.48,5.07,4.48,4.09,5.85,,8.96,43.65,6.04,2.92,6.82,3.31,3.31,4.87,4.48,44.04,5.46,7.79,3.31,6.04,4.68,6.24,,,2.92,,2.727778,-0.383333,7.083333,3.1496,,0.518519,86.669674
US_WA_53017,2020-01-28,ChIJ_Q32EIaXm1QRh494YwBK8vg,Q156220,geoId/53017,US,United States of America,WA,Washington,53017,Douglas County,US,USA,2,,,,,,,,,,,,,,,,,,,,42027,21221,20806,5975,5992,4987,5192,4885,5089,5038,3193,1676,1153555,47.74,-119.69,4788,81.1,,,,,,,5.94,9.31,6.14,8.12,12.28,6.73,6.73,6.73,3.96,5.94,,22.38,2.97,8.32,4.75,7.92,10.3,4.56,,6.14,4.36,3.17,4.75,5.15,3.17,6.73,43.58,6.93,4.75,5.55,2.77,5.35,6.73,7.92,40.41,3.96,12.28,,4.95,3.96,,,,3.96,,2.905556,-0.533333,6.477778,9.3218,,1.111111,88.982047
US_WA_53017,2020-01-29,ChIJ_Q32EIaXm1QRh494YwBK8vg,Q156220,geoId/53017,US,United States of America,WA,Washington,53017,Douglas County,US,USA,2,,,,,,,,,,,,,,,,,,,,42027,21221,20806,5975,5992,4987,5192,4885,5089,5038,3193,1676,1153555,47.74,-119.69,4788,81.1,,,,,,,5.05,8.48,5.05,10.7,10.7,5.86,5.45,4.85,3.03,7.27,,29.48,5.25,8.48,,5.86,11.11,5.65,,5.05,6.26,4.85,7.27,4.64,3.23,7.47,41.8,6.46,5.25,6.66,,4.04,7.47,5.45,38.97,5.05,11.91,,6.26,7.47,,,4.04,,,2.077778,-0.366667,6.072222,1.524,,0.401235,90.05015
US_WA_53017,2020-01-30,ChIJ_Q32EIaXm1QRh494YwBK8vg,Q156220,geoId/53017,US,United States of America,WA,Washington,53017,Douglas County,US,USA,2,,,,,,,,,,,,,,,,,,,,42027,21221,20806,5975,5992,4987,5192,4885,5089,5038,3193,1676,1153555,47.74,-119.69,4788,81.1,,,,,,3.04,4.87,7.91,4.46,8.31,7.5,3.65,5.68,3.65,4.05,3.45,,33.05,5.47,8.11,3.04,5.47,9.94,4.26,4.05,7.3,3.85,3.65,3.65,5.47,3.85,7.3,39.94,7.1,,6.29,,6.29,5.27,8.31,38.52,4.46,9.94,,7.1,3.65,,4.05,5.47,4.05,,1.438889,-1.85,5.288889,2.1844,,-0.604938,87.253904
US_WA_53017,2020-01-31,ChIJ_Q32EIaXm1QRh494YwBK8vg,Q156220,geoId/53017,US,United States of America,WA,Washington,53017,Douglas County,US,USA,2,,,,,,,,,,,,,,,,,,,,42027,21221,20806,5975,5992,4987,5192,4885,5089,5038,3193,1676,1153555,47.74,-119.69,4788,81.1,,,,,,,3.43,7.66,5.65,7.06,5.85,5.85,5.04,3.02,,3.43,3.23,32.66,4.84,8.47,2.82,4.44,11.29,4.23,3.23,5.24,4.44,4.23,2.82,6.25,,10.28,38.71,5.04,,6.25,,3.43,5.24,5.44,39.12,3.83,5.44,4.03,4.03,4.64,3.83,3.43,5.24,2.82,,3.783333,-1.388889,9.722222,2.032,,1.938272,88.627501
US_WA_53017,2020-02-01,ChIJ_Q32EIaXm1QRh494YwBK8vg,Q156220,geoId/53017,US,United States of America,WA,Washington,53017,Douglas County,US,USA,2,,,,,,,,,,,,,,,,,,,,42027,21221,20806,5975,5992,4987,5192,4885,5089,5038,3193,1676,1153555,47.74,-119.69,4788,81.1,,,,,,,6.32,8.03,6.08,11.68,8.03,6.32,3.4,5.59,7.54,,3.4,21.16,5.84,5.84,4.62,6.81,10.22,5.84,3.89,5.11,5.59,4.13,5.59,4.13,,8.76,31.14,7.54,3.89,6.32,,,4.87,6.81,39.65,4.62,7.3,,5.11,,,,3.89,6.57,3.89,10.205556,2.422222,13.655556,5.4102,,3.555556,63.556318
US_WA_53017,2020-02-02,ChIJ_Q32EIaXm1QRh494YwBK8vg,Q156220,geoId/53017,US,United States of America,WA,Washington,53017,Douglas County,US,USA,2,,,,,,,,,,,,,,,,,,,,42027,21221,20806,5975,5992,4987,5192,4885,5089,5038,3193,1676,1153555,47.74,-119.69,4788,81.1,,,,,,,5.12,11.47,7.08,17.08,9.76,5.12,3.9,6.59,,,4.88,19.27,5.86,6.1,3.9,5.86,9.03,,,4.64,5.86,6.59,5.61,,,9.03,36.35,6.1,4.39,4.15,,,,4.88,44.41,5.37,10.25,4.39,,4.64,4.15,,4.64,,3.66,1.633333,-3.416667,11.638889,2.8702,,-6.858025,54.635497
