location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vomiting,search_trends_weight_gain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_LA_22095,2020-01-11,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,4.71,10.52,2.54,6.35,6.17,4.35,2.54,3.26,3.44,,3.63,11.61,4.71,6.71,3.99,3.44,7.62,3.99,,3.26,4.53,5.26,5.08,3.99,6.71,24.3,3.81,,8.52,2.72,,2.72,4.17,32.46,4.71,7.25,3.26,3.44,,,,21.322222,17.372222,23.766667,6.76275,18.972222,86.078585
US_LA_22095,2020-01-12,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,2.95,10.31,,7.55,7.18,3.5,2.58,5.71,4.42,,,10.5,4.24,7.18,3.32,4.05,8.29,4.05,,3.13,,4.42,4.42,,6.26,20.63,4.42,,5.53,2.76,3.13,3.87,6.26,32.6,3.13,5.16,6.45,3.68,4.24,2.76,4.61,12.55,9.155556,18.461111,7.0104,10.048611,85.782287
US_LA_22095,2020-01-13,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,4.8,8.0,,6.4,7.52,6.88,,3.36,2.72,,4.16,10.88,2.56,6.56,2.24,4.16,9.12,4.0,3.36,3.36,4.32,5.44,2.4,3.52,6.24,20.96,4.48,2.24,5.28,2.24,,,4.0,35.67,5.12,4.16,4.64,4.64,4.16,5.28,2.56,16.494444,14.188889,20.077778,1.016,15.465278,92.638274
US_LA_22095,2020-01-14,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,,7.14,,8.71,7.49,6.1,2.96,5.4,3.49,2.96,4.01,10.46,5.05,5.58,3.83,5.23,9.76,4.01,4.18,,3.49,4.18,3.49,3.66,7.49,22.66,5.05,4.18,8.02,3.66,3.49,3.31,3.83,34.86,5.23,6.1,5.05,4.88,3.49,,2.96,21.211111,18.294444,26.211111,2.342444,19.791667,91.207486
US_LA_22095,2020-01-15,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,3.79,7.4,2.58,12.4,6.54,5.85,2.58,7.75,5.17,,,9.3,,6.54,4.3,5.85,7.06,4.48,3.96,3.44,3.96,4.3,5.17,3.62,8.61,21.35,3.79,,7.75,,3.27,3.79,3.62,30.99,4.3,4.65,3.62,5.85,6.37,,4.13,21.794444,19.25,26.216667,0.1905,20.0,89.095205
US_LA_22095,2020-01-16,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,5.13,9.43,2.31,11.25,6.45,3.31,3.14,3.31,,3.31,2.31,13.4,4.63,6.78,4.46,3.64,8.6,2.98,4.63,2.65,3.31,4.46,4.8,,7.94,19.52,4.13,4.63,5.29,2.65,4.63,4.8,7.61,32.41,3.31,5.29,5.46,4.13,5.29,,,20.683333,17.766667,25.144444,0.0,19.1875,90.669853
US_LA_22095,2020-01-17,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,6.59,8.43,3.48,9.16,5.86,5.31,,2.75,2.75,2.93,4.21,10.07,4.4,7.33,4.21,3.11,7.69,3.85,3.3,4.03,4.21,5.68,3.48,,7.14,20.88,4.4,3.3,5.31,2.93,5.31,4.58,4.95,36.81,4.58,5.31,5.49,2.56,4.58,2.93,3.85,17.805556,15.122222,21.533333,0.282222,11.784722,68.123534
US_LA_22095,2020-01-18,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,4.57,9.13,5.14,9.52,6.28,3.42,,4.95,3.42,,4.38,14.65,2.66,5.71,,3.81,6.47,3.81,5.71,,5.14,7.99,,4.95,4.19,19.98,4.76,3.04,8.18,5.14,,4.0,3.23,34.06,4.0,3.81,5.52,2.66,4.76,2.66,,21.3,18.2,25.666667,0.5715,18.097222,81.999491
US_LA_22095,2020-01-19,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,5.19,6.49,2.59,10.38,6.49,3.34,3.15,4.08,,2.59,5.75,12.05,3.71,7.6,,3.71,7.78,,4.82,,,2.59,2.96,,5.56,16.31,3.89,3.71,7.6,,3.52,3.71,6.49,31.88,,3.34,5.93,3.71,3.71,2.59,4.63,14.755556,8.933333,22.605556,1.143,5.1875,53.145455
US_LA_22095,2020-01-20,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,3.46,5.71,,10.38,6.92,3.46,,4.33,5.02,,2.42,12.12,2.94,6.75,5.54,3.46,6.4,2.6,3.81,5.71,3.12,4.85,2.42,3.46,11.77,19.73,5.37,3.46,6.92,3.46,4.15,3.63,2.6,38.08,3.29,4.67,4.5,3.46,4.5,2.77,,7.566667,3.977778,12.416667,0.0254,-3.173611,47.542355
US_LA_22095,2020-01-21,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,4.84,9.34,,8.67,5.34,3.17,5.0,6.67,4.67,2.5,4.67,14.01,5.0,8.34,,5.0,8.51,3.0,5.67,2.83,2.83,5.34,5.34,4.0,6.84,24.18,6.17,,6.0,3.5,3.34,4.17,5.67,31.02,5.67,7.0,5.17,4.5,5.34,2.33,,5.466667,0.988889,10.516667,0.0,-3.319444,53.854733
US_LA_22095,2020-01-22,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,4.95,7.17,,10.59,7.69,4.27,2.39,7.69,3.42,,,12.13,3.25,8.71,3.59,4.44,11.1,3.25,2.73,4.44,,5.29,5.64,,7.0,21.01,3.25,3.25,6.49,2.9,4.1,4.61,5.29,36.38,2.9,5.98,3.93,5.29,2.56,3.42,5.64,6.055556,1.877778,11.338889,0.0,-0.777778,62.28937
US_LA_22095,2020-01-23,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,3.64,7.98,,5.9,6.24,4.86,3.12,3.64,4.68,2.95,,11.1,3.64,6.59,2.77,4.34,8.85,2.77,2.95,3.64,4.16,5.03,3.29,3.12,6.94,22.72,5.72,3.12,5.72,3.99,2.6,3.29,5.9,36.25,3.64,5.72,5.55,2.77,4.16,3.29,3.29,11.794444,8.216667,17.75,2.69875,9.076389,83.678616
US_LA_22095,2020-01-24,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,4.35,5.26,4.9,10.7,7.25,3.81,3.44,3.44,4.17,2.72,5.44,16.32,,4.9,,5.62,7.07,3.81,4.17,2.72,,4.35,3.44,,9.07,23.57,3.26,3.26,6.17,2.9,4.17,2.9,3.08,31.73,4.71,3.08,5.26,6.71,3.81,,3.81,13.75,8.883333,18.005556,4.854222,8.159722,68.892919
US_LA_22095,2020-01-25,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,6.46,9.98,,7.63,4.7,3.52,,3.92,3.52,2.94,3.33,15.66,,7.05,5.09,4.31,7.24,2.94,5.09,2.94,3.52,5.09,4.31,,4.11,25.64,5.29,3.52,8.22,3.52,,4.31,6.26,31.91,4.5,6.07,5.29,4.5,4.11,,3.72,10.461111,3.911111,17.905556,0.0,3.041667,61.693919
US_LA_22095,2020-01-26,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,4.16,9.49,3.0,7.83,7.0,5.16,,4.33,,3.33,4.66,15.32,,5.66,2.33,3.0,6.0,4.0,5.33,2.67,3.5,3.5,3.5,2.83,4.5,21.65,3.33,2.83,6.33,2.67,4.0,3.5,4.0,31.15,5.33,6.33,6.33,4.33,4.66,4.33,,11.388889,9.238889,14.066667,0.889,8.701389,83.974824
US_LA_22095,2020-01-27,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,3.56,5.01,2.26,9.05,4.2,2.42,3.4,5.17,7.44,,3.88,16.49,2.59,6.79,,5.17,9.54,3.88,4.04,2.75,5.33,3.4,3.23,3.56,7.92,26.19,4.69,2.91,6.47,,2.42,5.01,3.88,33.79,3.56,4.53,4.04,6.63,4.53,,3.23,12.65,11.8,14.566667,9.172222,11.069444,89.406366
US_LA_22095,2020-01-28,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,4.92,7.39,4.57,6.86,8.09,3.17,3.17,3.52,4.04,2.99,3.69,15.3,3.34,7.74,,2.81,8.09,3.52,2.46,2.81,4.22,5.28,4.75,3.52,8.62,31.31,6.33,3.52,8.79,,3.17,3.69,4.57,35.7,4.22,12.31,5.1,4.4,5.28,3.17,3.69,11.594444,5.927778,18.25,0.141111,8.354167,81.423111
US_LA_22095,2020-01-29,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,2.6,8.13,,9.34,7.61,6.92,,4.67,3.81,2.6,2.6,17.48,3.12,8.82,2.77,3.98,11.07,2.6,3.98,2.77,4.15,4.33,4.67,2.42,9.34,33.22,3.46,4.5,6.4,3.46,4.5,4.33,6.92,31.32,3.81,12.98,5.02,6.4,3.12,2.77,2.77,14.027778,11.605556,16.577778,3.556,11.715278,86.115783
US_LA_22095,2020-01-30,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,5.08,6.31,,9.99,6.66,3.51,4.56,4.21,3.51,2.98,3.16,21.04,3.16,8.94,4.03,5.61,9.12,3.68,5.44,3.68,3.51,3.86,3.68,3.16,9.47,31.74,4.73,3.16,6.49,,3.16,4.21,4.73,31.74,4.03,7.19,5.79,4.73,3.33,,4.38,12.077778,9.327778,15.572222,0.733778,8.229167,76.861572
US_LA_22095,2020-01-31,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,3.29,5.71,3.11,8.65,4.5,3.11,,4.5,2.94,2.77,3.46,23.01,3.11,5.19,2.42,,6.92,5.54,,2.77,2.42,5.19,2.42,,7.27,30.8,2.6,4.15,2.94,,,2.94,3.29,29.07,3.46,4.84,5.36,3.81,3.46,3.63,2.6,12.544444,10.938889,15.066667,1.23825,9.611111,82.562409
US_LA_22095,2020-02-01,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,3.77,6.79,2.64,6.04,4.91,5.28,,4.15,4.34,4.53,3.21,18.86,5.66,8.11,,4.15,8.11,,3.21,3.02,3.96,5.85,,3.96,6.04,26.22,5.28,4.15,3.58,,3.21,,5.28,36.41,4.53,4.72,3.02,3.4,4.72,2.83,3.58,11.222222,7.944444,15.583333,0.5334,5.923611,69.920283
US_LA_22095,2020-02-02,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,4.04,8.44,,5.87,6.97,4.59,,5.14,2.57,,,16.51,3.3,6.61,,3.12,6.79,,5.69,5.14,2.94,6.42,4.59,,8.44,20.37,5.14,2.75,3.85,,3.3,3.85,5.69,35.78,3.3,4.4,2.94,2.57,4.04,,3.85,12.072222,4.872222,22.027778,0.0,5.1875,64.228209
US_LA_22095,2020-02-03,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,2.71,6.09,,5.42,5.42,,3.55,3.22,2.88,,5.58,15.74,2.88,5.08,2.54,4.4,8.8,2.37,4.57,2.37,2.54,3.22,3.05,2.37,4.23,21.83,4.91,4.23,5.92,,3.38,2.54,5.08,31.82,4.23,4.4,3.89,4.74,3.89,2.37,2.88,15.538889,8.694444,22.272222,0.0,10.9375,74.650874
US_LA_22095,2020-02-04,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,3.49,8.31,3.82,7.81,5.98,6.31,3.82,5.48,3.82,2.66,2.49,11.96,5.48,6.81,,3.82,7.31,3.82,5.98,3.49,3.82,5.15,3.99,2.66,7.64,23.59,5.32,3.82,6.81,2.33,3.49,2.99,5.32,33.22,5.65,5.98,5.15,2.66,4.65,2.82,3.32,19.077778,15.705556,23.2,0.399143,16.548611,84.835324
US_LA_22095,2020-02-05,ChIJwRWewMUsJ4YRUzcXlluoYiE,Q507629,geoId/22095,US,United States of America,LA,Louisiana,22095,St. John the Baptist Parish,US,USA,2,,,,,,,43328,21110,22218,5763,6072,5719,5567,5115,6306,5010,2615,1161,1836618,30.12,-90.5,901,74.990909,,,,,,,4.64,9.28,3.31,10.27,9.11,3.15,3.98,5.3,2.98,2.65,3.81,15.24,3.64,8.45,4.31,5.63,7.62,,4.8,3.31,2.65,4.97,3.15,,5.8,28.0,5.96,2.48,4.97,2.65,4.64,2.82,3.81,33.79,4.8,5.13,4.8,4.14,4.31,4.64,4.31,20.905556,19.111111,23.4,1.2065,19.638889,91.90949
