location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_SC_45033,2020-02-13,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,,,,,,,7.22,9.63,8.83,21.67,12.84,,25.68,6.02,34.51,,19.290123,15.660494,25.901235,3.1496,16.697531,85.059326
US_SC_45033,2020-02-14,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,,,,,,,,7.7,7.29,19.45,7.7,9.73,22.29,,29.18,,11.493827,7.092593,16.37037,1.61925,2.222222,53.773286
US_SC_45033,2020-02-15,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,1,-4,,28,-7,,11.97,11.49,7.66,20.59,7.66,7.18,26.33,7.66,44.04,8.62,5.117284,0.092593,11.691358,0.0,-3.814815,53.301636
US_SC_45033,2020-02-16,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,5,1,,34,-6,,8.38,12.1,11.17,21.88,9.31,8.85,28.4,10.71,42.83,9.31,6.067901,0.722222,12.41358,1.1684,1.907407,74.940826
US_SC_45033,2020-02-17,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,2,1,,31,-6,,10.47,16.52,,26.59,11.68,10.07,23.77,10.07,49.14,,10.333333,5.265432,16.246914,5.842,7.123457,80.976421
US_SC_45033,2020-02-18,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,0,-3,,20,2,0,,12.92,7.01,21.04,11.81,11.81,34.7,7.75,36.18,7.38,11.574074,7.691358,16.407407,0.1905,9.104938,85.0022
US_SC_45033,2020-02-19,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,-3,-2,,15,0,2,,9.66,12.26,15.98,13.75,10.03,27.87,7.43,37.54,,12.697531,8.549383,15.351852,7.4676,11.660494,93.485217
US_SC_45033,2020-02-20,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,-4,-4,,17,-2,3,5.42,15.54,7.23,13.01,,8.67,13.01,6.87,36.49,7.23,6.611111,3.061728,11.006173,2.032,1.981481,72.543624
US_SC_45033,2020-02-21,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,0,-6,-16,8,-7,,9.53,13.0,6.07,19.93,9.1,7.8,24.26,13.43,38.13,8.23,2.236111,0.472222,6.131944,18.1356,-3.118056,68.028183
US_SC_45033,2020-02-22,ChIJz5oX25XKqokRdZPkg_gyOOM,Q502404,geoId/45033,US,United States of America,SC,South Carolina,45033,Dillon County,US,USA,2,,,,,,,30496,14447,16049,4121,4289,3845,3566,3590,4058,3761,2139,1127,2532504,34.39,-79.38,1053,75.05,-4,-5,,17,-4,,,13.76,8.36,21.63,10.81,10.32,25.56,8.85,36.38,11.31,2.354167,-5.263889,12.229167,0.0,-5.354167,57.539492
