location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_VT_50003,2020-01-11,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,,3.6,10.12,5.62,8.99,7.64,6.29,,,7.87,3.6,4.5,,14.61,4.27,7.64,3.6,6.97,8.54,7.64,,6.29,5.4,5.17,4.05,7.87,8.09,6.52,20.91,5.84,4.05,7.42,3.82,5.84,4.27,6.07,42.49,4.95,6.29,,4.72,5.17,3.82,,4.72,,4.5,9.55,-0.033333,16.977778,0.423333,,5.733333,77.418813
US_VT_50003,2020-01-12,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,,6.07,8.55,5.62,12.6,4.95,4.72,3.15,,6.52,4.95,,,12.15,4.95,5.4,4.05,5.17,6.97,4.5,4.72,4.95,4.05,4.5,4.05,3.83,4.5,6.52,17.1,6.07,,7.65,,4.95,,5.4,42.74,4.95,4.95,,4.28,4.05,3.83,,4.95,3.15,,11.177778,0.072222,18.144444,3.1242,,6.138889,71.416911
US_VT_50003,2020-01-13,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,,5.98,7.38,3.99,9.17,11.57,6.38,3.59,3.79,7.38,6.38,4.79,,13.76,2.79,8.77,,7.78,8.57,5.98,,4.19,4.79,3.59,3.59,4.39,2.99,8.18,20.54,8.97,3.79,6.78,2.99,5.38,6.98,4.79,38.49,3.59,5.58,3.59,4.79,,,,4.39,3.59,,-0.172222,-3.155556,2.716667,1.6764,,-3.605556,77.7901
US_VT_50003,2020-01-14,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,,5.44,7.05,6.04,11.88,9.87,4.23,,5.84,4.63,5.44,6.04,,17.12,4.03,8.06,,7.25,13.29,6.65,,5.84,6.24,4.83,4.23,2.82,4.23,7.86,23.97,7.45,,7.25,,4.03,3.63,5.64,39.48,,7.45,,7.05,5.04,,3.02,5.04,3.63,3.02,2.1,-3.222222,5.227778,0.0,,-1.166667,79.379597
US_VT_50003,2020-01-15,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,,4.24,7.06,5.04,7.26,9.08,4.64,,3.23,4.64,4.64,5.25,,17.35,,7.26,,6.46,9.48,7.06,,4.84,7.87,3.23,2.83,3.43,3.83,9.08,29.26,7.06,4.64,5.65,,8.68,5.65,,38.34,5.25,6.05,5.25,5.65,3.03,4.04,,5.04,,,3.85,-0.455556,6.777778,0.2032,,-1.122222,70.164269
US_VT_50003,2020-01-16,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,,5.5,5.29,6.31,9.57,7.74,5.7,,5.29,3.66,5.9,6.92,,16.29,3.66,8.35,3.46,7.74,10.59,7.12,,5.5,5.5,3.66,4.28,5.09,4.48,4.89,27.28,8.96,3.46,3.87,,5.9,4.48,5.7,37.25,3.26,7.74,3.46,6.72,4.48,3.46,2.85,5.9,3.87,,0.488889,-2.538889,6.027778,3.6322,30.48,-2.805556,78.781546
US_VT_50003,2020-01-17,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,,4.5,5.29,3.72,10.57,9.4,4.89,,3.72,6.66,3.13,4.89,,14.68,4.7,8.03,3.33,5.87,6.26,7.05,,4.89,3.52,,3.33,4.89,,6.26,25.25,5.09,,6.66,4.11,7.44,6.26,3.72,36.02,2.94,8.22,,5.29,2.74,3.92,3.33,,,,-9.522222,-13.627778,2.516667,3.7084,30.48,-17.511111,52.789625
US_VT_50003,2020-01-18,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,2.75,5.31,5.11,4.32,9.43,5.31,3.14,,3.73,3.93,4.32,4.72,,20.05,2.75,9.24,,4.52,4.52,4.13,3.54,4.72,3.93,4.72,4.91,4.32,4.52,4.13,22.8,5.5,,6.09,3.14,3.73,4.52,3.34,40.29,3.54,5.7,2.75,7.86,3.34,3.93,,4.72,2.75,,-12.038889,-15.061111,-5.505556,0.0,50.8,-17.338889,65.112958
US_VT_50003,2020-01-19,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,2.87,4.96,6.68,4.58,10.5,7.45,6.3,,3.82,6.3,4.96,4.2,,17.76,5.73,9.36,2.87,6.3,7.26,5.16,,4.96,7.26,5.35,5.54,4.77,3.63,5.35,22.15,4.2,3.25,7.07,3.06,4.01,,4.2,34.37,,4.2,,6.11,,3.82,,6.11,5.35,2.87,-3.422222,-12.9,2.355556,6.999111,50.8,-7.144444,75.543198
US_VT_50003,2020-01-20,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,,6.56,6.76,6.76,12.92,8.0,5.33,,5.54,7.58,4.51,4.71,,18.25,3.48,11.48,3.08,3.9,8.4,8.2,3.28,5.95,5.95,4.51,3.69,6.15,4.71,8.4,27.27,7.79,,6.56,3.48,6.36,6.56,6.36,48.79,3.28,11.28,,4.71,5.74,3.9,,5.95,4.51,,-9.094444,-12.616667,-2.005556,0.564444,50.8,-15.972222,57.665916
US_VT_50003,2020-01-21,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,,5.24,4.82,3.15,10.06,8.6,4.82,,4.61,5.24,4.19,4.61,,24.11,4.19,10.9,,6.29,7.34,5.03,2.94,6.5,7.76,4.19,4.4,11.74,4.4,7.55,28.94,5.45,,6.71,4.19,4.4,9.02,4.19,45.29,4.4,5.66,,7.13,4.61,5.03,,4.4,,3.15,-12.361111,-19.127778,-5.233333,0.0,30.48,-18.122222,62.622096
US_VT_50003,2020-01-22,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,,3.16,5.06,5.06,11.16,8.01,3.58,,6.95,6.95,2.95,3.37,,23.8,4.0,10.95,2.95,5.48,9.27,3.79,4.63,5.48,9.48,5.9,5.06,10.11,4.42,10.11,34.34,7.58,2.95,7.79,4.0,5.69,9.27,6.53,42.97,5.06,8.01,3.37,4.21,4.21,4.42,3.16,4.0,,,-7.161111,-18.627778,0.838889,0.0254,30.48,-11.977778,68.648081
US_VT_50003,2020-01-23,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,,4.62,7.35,3.99,9.87,8.4,5.04,3.15,,6.51,3.78,4.2,,22.68,3.36,12.81,4.62,4.2,8.82,6.51,,7.56,7.14,3.15,,3.57,4.62,7.14,30.24,5.04,3.78,8.82,3.57,3.99,3.78,7.77,41.79,4.83,6.72,,5.67,4.41,4.62,,3.99,6.51,,-7.148148,-16.098765,2.95679,0.0,30.48,-11.82716,69.396005
US_VT_50003,2020-01-24,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,,5.14,7.28,4.71,8.56,9.2,4.71,,,7.06,4.49,5.78,5.99,25.04,5.99,10.06,4.49,7.06,8.13,3.42,,5.56,6.85,,3.0,4.07,3.85,5.35,34.45,4.92,,8.13,3.64,4.49,4.49,4.28,37.23,4.71,10.91,3.21,5.56,,4.07,4.07,4.07,3.21,,-1.833333,-13.972222,7.316667,0.0,30.48,-8.394444,61.252081
US_VT_50003,2020-01-25,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,,5.84,6.92,6.49,13.84,11.03,5.19,,3.68,6.49,4.33,3.46,,28.55,3.68,12.76,5.19,3.46,6.7,7.35,,6.05,6.49,3.24,3.46,3.89,,5.84,33.52,7.35,4.76,5.62,4.33,3.03,4.11,5.62,40.01,,5.41,,7.79,,8.43,3.24,3.89,,3.03,0.477778,-5.744444,5.977778,0.0,30.48,-2.938889,78.21479
US_VT_50003,2020-01-26,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,,4.6,7.95,4.6,11.09,13.8,5.44,3.35,,5.44,4.6,8.16,3.35,33.05,,13.8,3.14,5.86,7.95,6.69,,5.23,7.32,3.97,3.35,5.44,,7.95,35.98,4.81,4.39,8.37,3.14,5.44,4.18,5.02,39.74,3.56,5.65,,4.6,3.97,,,6.48,,,2.733333,-1.8,5.133333,12.728222,30.48,0.022222,82.428897
US_VT_50003,2020-01-27,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,,7.24,4.02,6.64,10.06,8.25,4.63,,6.44,6.24,4.02,5.03,3.42,32.39,3.82,13.48,,4.63,7.04,7.24,3.82,7.84,8.85,4.02,2.82,5.83,2.82,9.25,38.02,7.04,,8.05,4.22,5.63,5.43,5.63,39.63,,7.84,,6.84,4.02,,,5.03,,3.62,2.5,-0.148148,4.888889,0.508,,-1.987654,72.508326
US_VT_50003,2020-01-28,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,,4.73,5.14,3.7,13.16,12.13,6.38,4.11,5.14,8.23,,3.5,2.88,29.62,,9.87,,7.2,7.82,6.58,3.08,5.35,6.99,5.76,,2.88,5.76,7.61,38.25,5.55,4.32,8.02,4.11,6.38,4.94,7.4,40.52,5.14,6.79,3.5,6.79,4.53,3.5,3.5,6.38,4.32,,0.814815,-1.067901,4.438272,0.056444,,-4.080247,70.249562
US_VT_50003,2020-01-29,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,,3.64,5.35,3.64,10.48,10.27,5.56,5.13,5.78,6.63,4.07,6.63,,28.67,,14.55,,4.92,6.63,5.56,4.92,7.06,7.92,3.85,3.85,5.13,,10.7,40.01,5.78,,6.21,4.07,5.99,4.71,5.78,38.08,3.42,9.63,3.0,6.21,3.21,,,7.7,,,-1.932099,-4.364198,1.808642,0.028222,,-8.969136,59.048313
US_VT_50003,2020-01-30,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,3.2,6.39,5.97,4.05,11.08,9.8,5.12,,,5.75,3.84,3.2,,34.74,2.98,14.49,4.69,6.82,10.87,4.05,,5.97,10.87,3.2,3.62,5.54,,8.31,44.34,10.23,4.69,6.18,3.41,8.95,5.75,8.31,39.22,5.54,6.18,,4.48,5.12,3.41,,,5.75,,-6.376543,-12.222222,1.006173,0.0,,-13.580247,57.129703
US_VT_50003,2020-01-31,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,,5.74,5.54,5.74,11.69,11.09,5.94,,3.96,5.74,4.75,4.36,,32.48,4.16,15.25,3.37,6.93,8.12,3.37,,2.97,6.34,3.17,,5.15,,7.33,35.05,5.74,4.16,7.33,3.96,4.36,5.15,4.16,37.23,5.74,8.91,2.97,4.75,4.55,5.54,,4.75,4.16,,-4.623457,-12.407407,1.969136,0.0,,-9.574074,68.401343
US_VT_50003,2020-02-01,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,,4.51,4.94,5.8,8.59,6.66,6.66,,4.08,4.29,5.8,3.22,,30.71,4.29,15.46,,4.08,8.16,4.08,,4.29,3.44,,3.01,3.87,,5.15,33.07,7.95,,6.44,,3.44,3.87,7.3,40.16,,4.94,3.65,4.08,4.94,4.51,3.44,5.15,,,0.598765,-0.796296,2.592593,0.028222,,-2.54321,79.573905
US_VT_50003,2020-02-02,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,,4.49,5.78,7.28,9.63,8.13,6.42,,3.0,6.63,6.21,5.14,3.0,30.39,,11.34,,5.78,10.27,7.06,3.0,6.21,5.78,3.64,4.28,3.85,3.21,4.28,34.24,6.42,3.21,9.63,3.85,3.42,3.42,6.42,40.45,3.64,9.2,4.07,6.42,3.21,5.35,,4.92,,,-0.066667,-1.894444,2.577778,0.0,,-4.066667,74.68978
US_VT_50003,2020-02-03,ChIJO4v_ZCU_4IkRE2AzCGeYodw,Q511647,geoId/50003,US,United States of America,VT,Vermont,50003,Bennington County,US,USA,2,,,,,,,35675,17362,18313,3539,4294,4028,3500,3875,5581,5447,3320,2091,60803,43.029419,-73.107956,1755,82.133333,,,,,,,,3.71,6.05,5.27,10.16,11.91,4.3,,6.64,7.42,4.1,6.05,2.73,31.45,3.32,16.21,,8.4,6.45,,,3.71,6.45,4.49,4.1,5.27,8.2,8.79,36.33,7.62,,6.84,5.86,5.86,4.49,2.73,38.48,4.3,9.18,3.12,5.47,,4.1,,4.1,,,1.144444,-2.911111,5.772222,0.0508,,-2.611111,76.215736
