location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_AZ_04023,2020-01-11,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,4.75,8.24,,10.49,4.75,6.25,7.74,,11.24,3.5,10.49,,5.5,12.24,,5.0,7.74,,6.25,6.99,4.75,22.23,6.0,4.25,4.25,,,5.25,33.22,,7.74,5.5,5.5,5.25,5.246914,-2.660494,16.444444,0.451556,-5.047619,46.902783
US_AZ_04023,2020-01-12,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,7.57,11.49,4.96,13.05,7.83,4.44,4.7,5.74,18.8,,9.92,,,8.09,,4.18,6.79,4.44,6.79,,6.53,22.19,4.18,5.48,7.83,,,4.44,33.15,4.96,8.35,5.22,,,8.41358,-2.5,18.814815,0.0,-7.396825,32.387813
US_AZ_04023,2020-01-13,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,,6.48,,11.07,8.36,5.22,,,14.0,,8.98,3.97,2.92,7.1,3.76,,5.85,,3.97,4.39,5.43,27.37,7.73,3.97,6.89,,3.76,6.06,38.23,3.76,7.73,4.39,,4.6,11.228395,0.537037,20.716049,0.0,-7.722222,26.258399
US_AZ_04023,2020-01-14,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,3.98,9.95,5.08,9.06,9.06,5.08,7.3,3.98,10.39,4.64,7.3,,3.76,7.08,,3.98,7.08,,5.31,,7.52,22.55,7.74,3.32,5.31,3.1,3.1,5.08,34.71,4.86,3.1,5.75,4.2,5.31,11.117284,1.740741,21.666667,0.0,-7.0,27.840218
US_AZ_04023,2020-01-15,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,3.1,9.98,6.65,11.75,7.54,3.55,5.32,,13.74,,10.2,,,12.64,3.99,,7.32,3.1,4.21,3.33,8.65,22.17,5.76,4.43,7.09,4.21,3.1,4.66,35.69,3.55,4.88,4.43,6.65,5.32,12.518519,2.777778,21.777778,0.0,-6.309524,26.682205
US_AZ_04023,2020-01-16,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,3.74,8.35,3.08,6.59,5.93,,3.96,3.08,12.53,,9.45,,4.18,10.55,3.3,3.3,5.71,,3.52,,4.84,17.8,9.01,3.52,5.28,,4.18,5.05,32.97,4.4,5.71,,4.18,6.81,12.555556,6.574074,20.228395,0.649111,0.404762,43.893785
US_AZ_04023,2020-01-17,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,4.67,5.84,3.27,16.34,6.3,6.54,5.14,4.9,14.71,3.27,9.8,,,8.87,,,6.54,5.6,4.2,5.84,9.1,21.48,8.4,4.43,7.24,,,6.77,34.78,3.5,8.4,5.37,5.84,,10.537037,4.117284,17.765432,2.398889,4.698413,66.922712
US_AZ_04023,2020-01-18,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,4.67,8.83,4.41,9.61,8.57,4.41,5.19,,10.64,4.41,10.38,,5.19,8.83,,4.67,5.45,,4.93,,7.53,21.55,4.67,,4.41,,,6.49,40.24,5.45,6.75,5.71,4.93,3.63,9.030864,0.666667,19.62963,0.0,1.698413,58.81708
US_AZ_04023,2020-01-19,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,5.01,10.8,5.27,12.38,6.06,5.27,3.95,3.69,12.65,,8.7,5.01,3.95,7.11,,5.8,5.27,,7.91,3.95,5.01,27.67,5.53,,5.8,,5.27,,41.9,,5.27,6.06,4.22,,11.592593,1.308642,22.975309,0.0,0.246032,45.141246
US_AZ_04023,2020-01-20,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,6.72,8.57,3.24,7.41,9.73,3.47,6.25,,14.59,3.94,11.12,,4.17,10.65,,3.94,5.09,,5.56,6.02,8.8,22.46,4.17,3.71,4.17,4.63,3.24,6.72,38.45,4.63,4.86,3.71,5.56,5.09,14.240741,3.882716,23.209877,0.0,0.912698,40.476274
US_AZ_04023,2020-01-21,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,4.83,5.67,,8.39,6.29,,3.15,2.94,19.09,3.78,11.75,,5.46,8.6,3.36,,6.08,,6.29,9.23,9.02,34.83,5.46,3.57,4.62,3.99,8.6,6.29,42.17,,5.88,4.2,4.62,3.99,11.95679,6.154321,21.87037,1.411111,5.269841,63.470148
US_AZ_04023,2020-01-22,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,5.16,7.86,,6.74,7.18,5.16,,3.37,25.37,,11.68,,3.37,11.68,3.14,6.29,8.76,4.04,5.39,6.51,8.53,31.66,6.29,,6.29,3.82,6.51,5.61,44.46,,4.27,8.53,5.39,6.06,10.660494,7.703704,14.802469,5.446889,7.214286,78.128179
US_AZ_04023,2020-01-23,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,6.16,9.24,3.3,7.92,8.58,3.3,4.62,,23.11,,10.56,,5.28,4.62,,4.4,7.7,,5.5,3.96,9.24,32.36,7.04,4.18,8.8,3.52,3.3,3.52,35.0,,6.82,4.84,,,8.598765,1.993827,18.179012,0.169333,3.579365,69.4719
US_AZ_04023,2020-01-24,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,4.68,7.87,,6.59,5.74,4.25,4.68,2.98,20.85,3.83,7.45,,3.62,8.51,2.98,3.83,3.62,,7.02,,5.96,31.7,3.19,2.98,4.89,2.98,3.4,4.47,34.46,,3.83,4.68,,4.47,10.907407,2.283951,20.561728,0.0,2.373016,54.688962
US_AZ_04023,2020-01-25,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,5.71,10.65,,13.25,7.27,4.42,5.97,,27.02,,13.77,,5.71,8.31,,,5.71,4.42,4.42,6.24,6.24,31.69,7.79,,8.05,,,7.79,38.71,,,4.42,,,12.0,3.469136,20.777778,0.0,3.833333,56.937726
US_AZ_04023,2020-01-26,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,6.68,8.82,3.82,10.97,8.59,5.96,7.16,,42.93,4.29,10.49,,,6.2,,,8.11,5.25,,5.25,9.06,51.75,7.16,,7.39,4.77,,,36.01,4.77,5.96,7.16,,4.05,11.962963,4.339506,20.703704,0.0,3.833333,57.208928
US_AZ_04023,2020-01-27,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,4.06,6.69,6.08,8.31,7.5,6.49,5.88,3.85,35.69,3.45,8.11,3.85,4.26,6.89,,5.27,4.26,3.65,5.47,5.47,7.3,48.06,9.53,2.84,3.85,,5.47,3.24,39.95,,4.26,5.27,4.46,4.66,12.098765,5.851852,19.333333,0.0,2.825397,52.28401
US_AZ_04023,2020-01-28,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,7.94,6.51,3.26,8.14,6.51,4.88,4.88,,29.51,4.27,8.75,,5.29,9.97,,3.87,6.51,3.46,4.48,4.68,7.33,40.5,7.33,3.26,3.46,,4.68,3.87,33.38,,3.26,4.07,4.07,4.68,9.548611,1.472222,18.194444,0.0,-2.5,41.579475
US_AZ_04023,2020-01-29,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,5.81,11.17,,10.95,6.26,4.25,4.47,3.58,28.82,,10.05,,8.49,9.16,5.14,6.7,9.83,3.58,3.8,3.58,8.49,39.32,3.8,3.35,5.36,3.8,3.13,,35.52,4.02,6.93,5.36,6.93,4.25,8.791667,1.020833,17.819444,0.0,-4.259259,38.766744
US_AZ_04023,2020-01-30,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,4.08,8.58,4.51,7.51,6.44,3.65,4.29,,25.32,3.22,9.23,4.29,5.15,10.09,,5.58,,3.43,3.0,3.86,4.72,31.55,4.94,3.43,3.65,,3.65,7.3,34.55,,5.58,4.29,4.94,3.22,7.972222,0.298611,16.597222,0.0,-1.444444,50.297434
US_AZ_04023,2020-01-31,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,5.28,7.8,3.44,10.33,6.2,3.44,4.82,,32.82,,8.26,,5.51,11.7,4.82,,7.34,3.21,,4.36,7.57,33.73,4.59,3.9,6.43,,5.74,,29.14,4.82,6.2,4.13,5.74,3.67,9.013889,0.291667,17.527778,0.0,-3.777778,39.602298
US_AZ_04023,2020-02-01,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,,8.83,3.53,8.57,7.57,3.53,4.54,,21.18,4.04,10.34,3.53,3.78,8.32,4.04,3.53,8.83,,5.29,,7.82,29.5,,5.55,7.31,,,,31.02,,3.78,,7.31,4.29,11.020833,1.159722,22.152778,0.0,-6.666667,27.703075
US_AZ_04023,2020-02-02,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,,8.82,3.78,7.81,7.56,4.28,4.03,4.54,19.9,,7.31,,,5.29,,5.04,3.53,4.54,4.28,,5.54,28.21,6.3,,6.05,,3.53,5.79,30.73,,3.53,3.53,,4.79,13.5,2.673611,23.534722,0.0,-6.731481,23.510843
US_AZ_04023,2020-02-03,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,3.98,6.91,,11.09,9.42,3.77,4.6,4.18,18.2,3.14,11.09,4.6,3.77,10.67,4.39,4.81,5.44,5.44,3.77,2.93,6.7,27.2,7.74,2.93,4.6,3.98,3.56,3.77,34.94,,6.28,3.35,2.93,5.02,14.222222,6.708333,22.416667,0.0,0.0,37.636188
US_AZ_04023,2020-02-04,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,4.45,7.42,,9.75,5.94,,4.24,3.18,14.84,3.18,7.42,,3.18,9.12,,3.82,4.03,,4.03,3.82,8.06,28.84,5.72,,5.51,3.18,2.97,5.09,35.83,3.6,4.24,4.24,4.67,,6.5,1.493056,15.541667,0.0,-12.425926,25.0114
US_AZ_04023,2020-02-05,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,5.19,8.44,3.25,10.61,3.68,4.33,7.14,4.33,20.78,,6.71,,3.68,8.01,,,4.98,3.25,4.76,5.19,7.79,28.57,7.14,,4.98,3.03,4.98,6.49,34.63,3.9,3.03,5.63,4.54,3.68,0.854167,-5.833333,8.020833,0.0,-15.157407,28.433969
US_AZ_04023,2020-02-06,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,4.5,9.65,,8.15,4.5,5.15,4.5,4.93,15.02,,9.44,,4.08,9.01,4.93,3.0,6.01,4.08,3.43,3.43,7.72,25.1,5.79,3.43,3.43,5.15,3.22,3.86,31.75,,5.36,,4.5,3.22,4.049383,-4.117284,13.518519,0.0,-13.039683,26.722311
US_AZ_04023,2020-02-07,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,5.14,6.26,,10.06,6.93,4.25,,4.92,18.77,,9.83,,5.14,6.71,3.35,4.02,6.93,,3.58,4.92,8.49,25.48,7.6,4.02,5.81,3.13,,4.92,32.41,3.13,5.36,4.92,3.13,,7.901235,-3.191358,18.888889,0.0,-6.253968,35.193247
US_AZ_04023,2020-02-08,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,6.0,5.75,5.0,9.5,6.25,5.0,6.5,,18.5,,10.5,,4.0,6.25,,,7.0,,,,7.5,20.5,5.75,,5.0,,,3.5,29.26,,6.75,4.25,,,10.376543,-0.648148,22.654321,0.0,-4.825397,34.066077
US_AZ_04023,2020-02-09,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,6.28,7.98,4.83,10.15,8.94,5.56,4.83,3.62,16.43,5.56,7.25,,5.08,7.73,,5.32,6.77,,,4.83,7.73,26.34,5.08,,5.08,,,5.8,39.4,,7.98,,4.83,5.56,13.697531,4.518519,21.808642,0.0,-3.68254,29.674485
US_AZ_04023,2020-02-10,ChIJE5kN7zy91oYRStPdMS-VcFw,Q58689,geoId/04023,US,United States of America,AZ,Arizona,04023,Santa Cruz County,US,USA,2,,,,,,,46566,22408,24158,6757,7386,5780,4952,5200,5591,5404,3706,1790,1832210,31.533333,-110.833333,3207,81.5,,,,,,,6.45,10.4,,6.45,7.28,3.12,4.16,3.33,21.42,2.91,10.19,3.33,5.2,10.4,3.54,6.03,8.74,3.12,4.58,5.41,6.86,28.91,7.07,3.33,3.95,4.78,3.54,6.03,38.06,,,5.2,4.78,4.78,13.864198,6.518519,19.932099,0.282222,1.452381,42.675696
