location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_TN_47131,2020-01-21,ChIJF4IE32tpeYgRRrAMNAGk7vg,Q501974,geoId/47131,US,United States of America,TN,Tennessee,47131,Obion County,US,USA,2,,,,,,,30375,14740,15635,3572,3718,3497,3405,3829,4131,4014,2796,1413,1847638,36.36,-89.15,1438,75.1,,,,,10.08,12.52,10.43,7.3,5.56,16.69,11.82,9.73,6.61,,16.69,30.94,7.65,10.78,5.56,56.32,10.43,6.95,-2.993827,-6.240741,0.716049,0.0,-8.0,68.597916
US_TN_47131,2020-01-22,ChIJF4IE32tpeYgRRrAMNAGk7vg,Q501974,geoId/47131,US,United States of America,TN,Tennessee,47131,Obion County,US,USA,2,,,,,,,30375,14740,15635,3572,3718,3497,3405,3829,4131,4014,2796,1413,1847638,36.36,-89.15,1438,75.1,,,,,7.28,9.36,8.32,7.28,6.59,13.87,9.01,11.09,8.67,7.97,9.01,27.04,8.32,6.24,6.59,42.29,6.93,6.24,-1.703704,-4.975309,2.796296,0.0,-6.166667,72.132793
US_TN_47131,2020-01-23,ChIJF4IE32tpeYgRRrAMNAGk7vg,Q501974,geoId/47131,US,United States of America,TN,Tennessee,47131,Obion County,US,USA,2,,,,,,,30375,14740,15635,3572,3718,3497,3405,3829,4131,4014,2796,1413,1847638,36.36,-89.15,1438,75.1,,,,,12.48,13.83,8.44,8.1,7.76,21.26,9.79,10.8,7.42,,9.45,34.08,7.42,8.77,6.07,41.84,12.82,5.74,3.012346,1.049383,5.030864,0.254,-0.820988,76.386334
US_TN_47131,2020-01-24,ChIJF4IE32tpeYgRRrAMNAGk7vg,Q501974,geoId/47131,US,United States of America,TN,Tennessee,47131,Obion County,US,USA,2,,,,,,,30375,14740,15635,3572,3718,3497,3405,3829,4131,4014,2796,1413,1847638,36.36,-89.15,1438,75.1,,,,,8.19,14.09,6.88,6.23,5.57,29.16,7.86,5.24,,5.9,11.14,36.05,4.92,,,44.89,8.19,6.55,4.512346,3.506173,5.783951,4.0132,3.635802,94.226557
US_TN_47131,2020-01-25,ChIJF4IE32tpeYgRRrAMNAGk7vg,Q501974,geoId/47131,US,United States of America,TN,Tennessee,47131,Obion County,US,USA,2,,,,,,,30375,14740,15635,3572,3718,3497,3405,3829,4131,4014,2796,1413,1847638,36.36,-89.15,1438,75.1,,,,,10.27,11.05,5.53,7.11,9.08,19.74,9.08,11.84,5.92,,,39.48,,10.66,6.32,44.61,7.9,7.9,3.319444,1.569444,5.625,0.3175,0.298611,80.858652
US_TN_47131,2020-01-26,ChIJF4IE32tpeYgRRrAMNAGk7vg,Q501974,geoId/47131,US,United States of America,TN,Tennessee,47131,Obion County,US,USA,2,,,,,,,30375,14740,15635,3572,3718,3497,3405,3829,4131,4014,2796,1413,1847638,36.36,-89.15,1438,75.1,,,,,10.22,8.76,11.31,5.47,,18.24,7.3,8.39,5.11,7.66,10.58,31.38,,6.57,8.39,42.33,,7.3,5.055556,0.423611,11.604167,0.0,3.090278,87.352935
US_TN_47131,2020-01-27,ChIJF4IE32tpeYgRRrAMNAGk7vg,Q501974,geoId/47131,US,United States of America,TN,Tennessee,47131,Obion County,US,USA,2,,,,,,,30375,14740,15635,3572,3718,3497,3405,3829,4131,4014,2796,1413,1847638,36.36,-89.15,1438,75.1,,,,,9.25,10.91,7.6,,7.93,26.44,10.91,8.92,,5.95,13.22,39.66,,,,39.66,5.62,6.61,8.339506,2.240741,12.654321,0.0,5.203704,81.015363
US_TN_47131,2020-01-28,ChIJF4IE32tpeYgRRrAMNAGk7vg,Q501974,geoId/47131,US,United States of America,TN,Tennessee,47131,Obion County,US,USA,2,,,,,,,30375,14740,15635,3572,3718,3497,3405,3829,4131,4014,2796,1413,1847638,36.36,-89.15,1438,75.1,,,,,9.59,11.24,7.61,8.27,4.63,17.53,7.94,9.92,4.63,,10.91,41.33,9.59,10.58,5.95,44.64,15.87,5.62,2.41358,0.166667,7.055556,0.0,1.222222,91.965526
US_TN_47131,2020-01-29,ChIJF4IE32tpeYgRRrAMNAGk7vg,Q501974,geoId/47131,US,United States of America,TN,Tennessee,47131,Obion County,US,USA,2,,,,,,,30375,14740,15635,3572,3718,3497,3405,3829,4131,4014,2796,1413,1847638,36.36,-89.15,1438,75.1,,,,,7.55,12.48,10.84,7.55,4.6,29.89,11.49,12.81,10.18,,12.48,40.39,9.52,8.87,6.9,42.04,16.42,5.58,2.759259,1.75,3.888889,0.3556,2.074074,95.357872
US_TN_47131,2020-01-30,ChIJF4IE32tpeYgRRrAMNAGk7vg,Q501974,geoId/47131,US,United States of America,TN,Tennessee,47131,Obion County,US,USA,2,,,,,,,30375,14740,15635,3572,3718,3497,3405,3829,4131,4014,2796,1413,1847638,36.36,-89.15,1438,75.1,,,,,7.02,8.35,9.36,,6.35,35.41,8.35,8.69,6.01,8.02,11.36,54.79,8.02,8.35,10.69,47.11,6.01,5.68,3.395062,2.271605,5.302469,0.169333,2.37037,93.149988
