location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_diabetes,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_MI_26031,2020-01-22,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,5.85,14.42,9.36,6.24,6.24,13.64,,,14.42,15.59,,7.02,,41.32,7.8,,-0.961111,-4.455556,2.533333,0.0,-4.382716,76.321505
US_MI_26031,2020-01-23,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,8.06,,7.67,6.91,5.75,20.33,13.04,,,26.47,6.14,,5.75,39.51,8.06,,0.055556,-1.95,2.45,0.0,-2.91358,79.160929
US_MI_26031,2020-01-24,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,8.42,6.22,9.88,,,21.59,9.88,,8.42,24.52,,,,30.74,,6.22,0.45,-1.461111,2.027778,1.4732,-1.055556,89.017701
US_MI_26031,2020-01-25,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,,16.91,,,7.57,20.03,9.79,7.12,,29.38,,,8.9,33.83,8.01,,1.172222,-0.172222,2.522222,0.889,0.41358,94.079105
US_MI_26031,2020-01-26,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,8.07,8.47,,,12.1,29.85,,,6.45,33.48,,6.05,,37.92,,,0.122222,-1.194444,2.138889,0.211667,-0.635802,94.097133
US_MI_26031,2020-01-27,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,5.81,6.18,6.54,6.91,7.27,18.53,8.36,,,27.25,5.09,,5.45,38.16,5.09,5.45,-1.116667,-2.111111,0.622222,0.3175,-2.944444,86.615079
US_MI_26031,2020-01-28,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,,12.88,8.71,6.82,,19.7,9.09,7.2,9.09,28.42,6.06,7.2,,34.48,9.47,6.06,-2.7,-3.877778,-0.155556,0.0635,-5.135802,82.632696
US_MI_26031,2020-01-29,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,8.21,10.08,9.33,5.6,,18.67,10.45,,8.21,32.85,5.97,8.96,5.97,33.23,10.08,5.6,-4.622222,-5.766667,-2.494444,0.056444,-6.833333,84.058508
US_MI_26031,2020-01-30,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,,7.49,7.86,,,18.34,7.49,6.74,7.49,29.95,5.62,7.49,,35.19,6.36,5.99,-3.161111,-4.861111,-1.3,0.0,-5.746914,81.556489
US_MI_26031,2020-01-31,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,,7.93,7.18,9.07,,24.56,,,9.45,30.98,,,,39.67,,,-1.333333,-2.944444,-0.111111,0.0,-2.919753,88.014398
US_MI_26031,2020-02-01,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,6.46,,8.07,10.09,,23.41,8.48,,8.07,28.66,,6.05,,38.75,8.48,,0.005556,-1.677778,1.094444,0.169333,-1.037037,91.708617
US_MI_26031,2020-02-02,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,7.57,8.36,7.96,,,20.31,8.76,11.55,8.36,23.89,5.97,,6.77,34.65,7.17,,0.127778,-0.983333,1.333333,1.947333,-0.709877,93.331227
US_MI_26031,2020-02-03,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,4.97,10.29,,6.74,,19.52,13.84,,7.45,23.78,,4.97,,33.0,6.39,,0.666667,-2.111111,2.466667,0.508,-2.209877,80.747562
US_MI_26031,2020-02-04,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,,12.78,,6.39,,28.56,8.27,,8.27,28.18,7.52,8.27,,40.59,,6.76,-2.633333,-7.127778,1.772222,0.0,-7.098765,70.975255
US_MI_26031,2020-02-05,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,8.58,6.24,9.75,7.02,7.8,25.35,12.48,,7.8,27.3,6.24,,,36.27,,,-6.483333,-9.094444,-2.466667,0.0,-11.537037,66.094802
US_MI_26031,2020-02-06,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,6.81,9.07,8.7,,8.7,23.07,7.56,7.18,,27.98,,8.32,,38.19,6.43,9.83,-5.688889,-8.994444,-1.905556,0.0,-9.5,73.642188
US_MI_26031,2020-02-07,ChIJBSNW_8ENNU0Rx7XmT6kLfP4,Q491889,geoId/26031,US,United States of America,MI,Michigan,26031,Cheboygan County,US,USA,2,,,,,,,25454,12686,12768,2118,2649,2404,2357,2859,3856,4637,3016,1558,1907311,45.48,-84.5,2293,79.1625,,,,,,9.07,,9.07,,24.18,8.69,,9.07,30.98,8.31,,,41.94,7.56,,-5.661111,-9.383333,-2.144444,0.1016,-8.123457,82.481745
