location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_GA_13123,2020-01-11,ChIJATrjG5m9X4gRijSL3LQvjCM,Q493054,geoId/13123,US,United States of America,GA,Georgia,13123,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30443,15266,15177,3174,3334,3015,3033,3614,4387,5065,3361,1460,1073864,34.69,-84.46,1118,79.2,,,,,8.77,8.14,4.38,15.65,10.33,7.83,7.51,,15.96,6.57,5.95,8.77,6.26,,4.7,7.51,7.2,5.63,26.92,6.89,8.45,5.32,5.32,4.7,43.82,4.38,10.02,6.57,5.01,,17.994444,13.822222,21.35,0.435429,,14.927778,82.657268
US_GA_13123,2020-01-12,ChIJATrjG5m9X4gRijSL3LQvjCM,Q493054,geoId/13123,US,United States of America,GA,Georgia,13123,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30443,15266,15177,3174,3334,3015,3033,3614,4387,5065,3361,1460,1073864,34.69,-84.46,1118,79.2,,,,,5.91,9.52,4.6,14.12,11.17,7.55,9.52,,14.45,8.21,5.91,8.87,5.58,4.6,,,11.17,11.82,23.97,10.84,9.2,,5.91,8.21,57.14,8.87,8.87,8.21,5.91,,13.098765,5.722222,19.685185,19.920857,,9.574074,79.232849
US_GA_13123,2020-01-13,ChIJATrjG5m9X4gRijSL3LQvjCM,Q493054,geoId/13123,US,United States of America,GA,Georgia,13123,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30443,15266,15177,3174,3334,3015,3033,3614,4387,5065,3361,1460,1073864,34.69,-84.46,1118,79.2,,,,,7.94,4.66,3.83,11.51,9.04,9.59,4.11,4.11,14.79,9.31,5.48,10.13,5.48,6.3,,,5.21,10.68,24.38,6.3,6.57,,,6.57,43.28,4.11,5.75,,4.11,4.38,13.122222,8.183333,17.516667,0.41275,,11.338889,89.008939
US_GA_13123,2020-01-14,ChIJATrjG5m9X4gRijSL3LQvjCM,Q493054,geoId/13123,US,United States of America,GA,Georgia,13123,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30443,15266,15177,3174,3334,3015,3033,3614,4387,5065,3361,1460,1073864,34.69,-84.46,1118,79.2,,,,,,8.87,,12.04,4.75,10.14,7.92,4.44,16.79,7.92,,12.04,,6.34,7.61,6.34,,8.55,23.45,7.92,7.61,9.19,4.75,5.39,39.92,6.02,7.61,7.92,,4.75,15.722222,12.661111,17.333333,14.859,,14.988889,95.493109
US_GA_13123,2020-01-15,ChIJATrjG5m9X4gRijSL3LQvjCM,Q493054,geoId/13123,US,United States of America,GA,Georgia,13123,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30443,15266,15177,3174,3334,3015,3033,3614,4387,5065,3361,1460,1073864,34.69,-84.46,1118,79.2,,,,,11.12,7.08,,11.8,7.75,11.8,10.11,4.72,14.83,10.11,6.07,10.79,7.08,6.74,6.07,,5.39,17.53,34.72,10.45,7.75,6.41,8.09,6.07,53.6,5.73,6.41,,,7.08,15.138889,11.627778,19.572222,12.446,,14.005556,93.046718
US_GA_13123,2020-01-16,ChIJATrjG5m9X4gRijSL3LQvjCM,Q493054,geoId/13123,US,United States of America,GA,Georgia,13123,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30443,15266,15177,3174,3334,3015,3033,3614,4387,5065,3361,1460,1073864,34.69,-84.46,1118,79.2,,,,,6.38,5.71,6.05,7.39,9.74,8.74,10.42,4.7,18.48,10.75,6.05,11.42,5.71,6.72,6.72,7.06,,15.46,28.56,8.74,6.72,8.06,5.38,7.39,53.09,,,7.39,6.05,,15.133333,10.494444,18.955556,8.09625,,9.955556,71.270588
US_GA_13123,2020-01-17,ChIJATrjG5m9X4gRijSL3LQvjCM,Q493054,geoId/13123,US,United States of America,GA,Georgia,13123,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30443,15266,15177,3174,3334,3015,3033,3614,4387,5065,3361,1460,1073864,34.69,-84.46,1118,79.2,,,,,4.94,7.57,,8.56,8.23,5.27,5.6,5.6,12.84,10.21,,13.5,,,,4.61,4.94,7.57,25.68,5.6,5.93,7.57,4.61,7.57,38.19,,6.26,,,7.57,7.161111,3.261111,15.072222,2.6416,,-3.905556,45.679392
US_GA_13123,2020-01-18,ChIJATrjG5m9X4gRijSL3LQvjCM,Q493054,geoId/13123,US,United States of America,GA,Georgia,13123,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30443,15266,15177,3174,3334,3015,3033,3614,4387,5065,3361,1460,1073864,34.69,-84.46,1118,79.2,,,,,,12.54,6.73,12.85,8.57,7.65,,,13.15,8.57,,8.26,4.28,5.81,5.2,,,6.12,25.7,8.26,6.42,,5.51,4.89,45.28,,7.04,,,4.28,6.555556,3.822222,10.194444,4.971143,,-1.461111,57.067372
US_GA_13123,2020-01-19,ChIJATrjG5m9X4gRijSL3LQvjCM,Q493054,geoId/13123,US,United States of America,GA,Georgia,13123,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30443,15266,15177,3174,3334,3015,3033,3614,4387,5065,3361,1460,1073864,34.69,-84.46,1118,79.2,,,,,5.24,7.7,5.54,9.55,8.93,6.16,7.7,,15.4,6.47,5.24,10.16,5.24,5.24,5.24,6.16,,6.47,26.49,7.08,7.7,4.93,5.24,6.78,40.66,,8.62,,5.24,,6.505556,1.994444,10.311111,7.946571,,0.405556,65.207414
US_GA_13123,2020-01-20,ChIJATrjG5m9X4gRijSL3LQvjCM,Q493054,geoId/13123,US,United States of America,GA,Georgia,13123,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30443,15266,15177,3174,3334,3015,3033,3614,4387,5065,3361,1460,1073864,34.69,-84.46,1118,79.2,,,,,6.43,9.97,,8.36,6.11,7.72,5.79,,21.86,9.97,6.11,15.11,5.14,5.79,6.43,10.61,5.14,8.04,29.58,6.75,5.79,4.5,7.39,7.39,54.34,,6.43,4.82,7.07,,-1.455556,-5.066667,6.216667,0.0,,-8.855556,57.287647
US_GA_13123,2020-01-21,ChIJATrjG5m9X4gRijSL3LQvjCM,Q493054,geoId/13123,US,United States of America,GA,Georgia,13123,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30443,15266,15177,3174,3334,3015,3033,3614,4387,5065,3361,1460,1073864,34.69,-84.46,1118,79.2,,,,,4.82,8.5,,9.63,7.08,9.35,5.1,,14.73,6.8,5.95,10.2,,4.82,,5.1,11.9,8.21,29.74,5.95,5.67,5.38,13.6,7.37,49.86,,6.51,7.93,,3.97,-1.683333,-5.044444,3.572222,0.084667,,-9.533333,55.361259
US_GA_13123,2020-01-22,ChIJATrjG5m9X4gRijSL3LQvjCM,Q493054,geoId/13123,US,United States of America,GA,Georgia,13123,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30443,15266,15177,3174,3334,3015,3033,3614,4387,5065,3361,1460,1073864,34.69,-84.46,1118,79.2,,,,,,6.14,,12.58,8.19,6.73,7.9,6.14,18.73,9.07,,9.66,4.1,4.68,,4.1,11.7,9.66,32.19,7.32,5.85,5.85,8.49,,43.31,6.14,4.68,6.73,4.39,4.1,-0.372222,-7.305556,9.405556,0.254,,-9.85,49.1361
US_GA_13123,2020-01-23,ChIJATrjG5m9X4gRijSL3LQvjCM,Q493054,geoId/13123,US,United States of America,GA,Georgia,13123,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30443,15266,15177,3174,3334,3015,3033,3614,4387,5065,3361,1460,1073864,34.69,-84.46,1118,79.2,,,,,8.88,8.02,8.31,12.32,8.88,6.59,8.02,,19.19,8.31,4.58,13.75,6.01,4.01,5.16,,7.16,9.74,29.21,10.88,9.45,5.16,6.01,7.16,41.53,6.3,7.16,8.59,4.87,6.3,4.772222,-0.877778,9.088889,0.804333,,-4.733333,51.086781
US_GA_13123,2020-01-24,ChIJATrjG5m9X4gRijSL3LQvjCM,Q493054,geoId/13123,US,United States of America,GA,Georgia,13123,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30443,15266,15177,3174,3334,3015,3033,3614,4387,5065,3361,1460,1073864,34.69,-84.46,1118,79.2,,,,,4.84,9.97,7.98,13.68,7.98,7.12,5.41,9.12,22.51,6.55,,9.69,4.27,5.98,7.98,,5.13,9.69,32.48,5.7,4.84,,7.12,7.12,41.6,,6.84,5.41,3.99,,7.144444,3.438889,11.694444,18.95475,,5.255556,87.907404
US_GA_13123,2020-01-25,ChIJATrjG5m9X4gRijSL3LQvjCM,Q493054,geoId/13123,US,United States of America,GA,Georgia,13123,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30443,15266,15177,3174,3334,3015,3033,3614,4387,5065,3361,1460,1073864,34.69,-84.46,1118,79.2,,,,,6.77,7.74,6.12,12.25,9.67,7.09,7.74,4.83,28.69,8.38,7.09,8.7,,5.16,5.48,,,14.18,34.81,8.06,10.31,,,7.74,44.8,,11.28,5.16,5.48,6.12,5.4,2.961111,9.444444,2.7432,,0.983333,73.574789
US_GA_13123,2020-01-26,ChIJATrjG5m9X4gRijSL3LQvjCM,Q493054,geoId/13123,US,United States of America,GA,Georgia,13123,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30443,15266,15177,3174,3334,3015,3033,3614,4387,5065,3361,1460,1073864,34.69,-84.46,1118,79.2,,,,,6.57,5.32,7.51,9.39,10.32,6.26,5.01,4.69,34.1,10.64,9.07,9.39,,7.2,8.45,5.94,7.2,7.2,34.73,10.95,5.63,5.63,6.57,6.26,41.61,7.2,7.2,5.32,4.38,5.32,3.322222,-1.477778,8.961111,0.028222,,-1.038889,73.252684
US_GA_13123,2020-01-27,ChIJATrjG5m9X4gRijSL3LQvjCM,Q493054,geoId/13123,US,United States of America,GA,Georgia,13123,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30443,15266,15177,3174,3334,3015,3033,3614,4387,5065,3361,1460,1073864,34.69,-84.46,1118,79.2,,,,,6.72,5.32,17.08,12.32,10.36,7.56,4.2,,26.32,11.48,4.48,11.76,5.88,8.96,6.72,8.12,,10.36,45.08,7.84,8.68,8.12,4.76,5.04,41.44,5.6,8.68,5.88,5.04,5.88,7.005556,1.838889,11.194444,1.42875,,4.316667,83.168334
US_GA_13123,2020-01-28,ChIJATrjG5m9X4gRijSL3LQvjCM,Q493054,geoId/13123,US,United States of America,GA,Georgia,13123,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30443,15266,15177,3174,3334,3015,3033,3614,4387,5065,3361,1460,1073864,34.69,-84.46,1118,79.2,,,,,5.19,8.24,4.88,7.02,10.99,9.77,13.43,7.93,30.52,12.21,5.19,9.77,,5.49,8.24,4.88,4.58,9.16,41.2,7.93,7.63,6.41,4.27,9.46,50.97,4.88,10.68,,6.71,5.19,5.666667,-1.05,14.394444,0.3302,,0.866667,71.376317
US_GA_13123,2020-01-29,ChIJATrjG5m9X4gRijSL3LQvjCM,Q493054,geoId/13123,US,United States of America,GA,Georgia,13123,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30443,15266,15177,3174,3334,3015,3033,3614,4387,5065,3361,1460,1073864,34.69,-84.46,1118,79.2,,,,,8.22,7.91,,14.55,11.39,14.23,8.86,,33.21,13.92,,11.7,5.38,,7.28,,,7.91,39.22,6.96,5.38,6.01,4.43,8.22,49.98,5.38,7.91,5.38,4.75,7.91,5.238889,-0.794444,13.311111,0.03175,,0.988889,74.221057
US_GA_13123,2020-01-30,ChIJATrjG5m9X4gRijSL3LQvjCM,Q493054,geoId/13123,US,United States of America,GA,Georgia,13123,Gilmer County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30443,15266,15177,3174,3334,3015,3033,3614,4387,5065,3361,1460,1073864,34.69,-84.46,1118,79.2,,,,,,9.05,7.04,13.41,9.72,8.72,,6.37,38.56,13.75,8.72,13.75,6.04,,12.41,,5.37,15.43,43.59,10.06,8.05,,,6.37,43.26,,10.06,4.7,6.37,6.71,6.983333,0.694444,14.633333,0.0,,2.272222,72.007512
