location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_transit_stations,mobility_workplaces,search_trends_infection,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_IL_17035,2020-02-02,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,,,26.11,44.19,6.9,0.166667,17.072222,0.0254,0.494444,64.891578
US_IL_17035,2020-02-03,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,,,26.74,34.6,9.088889,1.694444,20.211111,0.0,3.433333,68.568459
US_IL_17035,2020-02-04,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,,,29.2,36.5,9.744444,2.944444,16.172222,1.68275,6.344444,80.044575
US_IL_17035,2020-02-05,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,,,26.87,28.45,1.372222,0.155556,3.211111,3.4925,-1.933333,79.322157
US_IL_17035,2020-02-06,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,,,17.78,37.88,-0.905556,-1.911111,0.483333,2.286,-2.755556,87.885145
US_IL_17035,2020-02-07,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,,,14.14,24.35,-0.866667,-2.783333,2.783333,0.0,-5.588889,71.625914
US_IL_17035,2020-02-08,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,,,35.52,33.49,-0.027778,-1.094444,1.111111,0.1016,-2.983333,81.583238
US_IL_17035,2020-02-09,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,,,25.76,31.48,-0.580247,-4.919753,4.802469,5.007429,-3.549383,81.41374
US_IL_17035,2020-02-10,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,,,22.58,40.33,3.148148,-0.259259,8.216049,17.272,1.012346,86.689071
US_IL_17035,2020-02-11,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,,,34.05,30.1,1.641975,-0.037037,5.432099,0.9525,-2.209877,76.548938
US_IL_17035,2020-02-12,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,,,27.52,18.87,0.5,-2.061728,3.030864,0.254,-1.91358,84.74334
US_IL_17035,2020-02-13,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,,,36.75,20.42,-2.41358,-10.160494,1.555556,5.624286,-4.481481,86.498588
US_IL_17035,2020-02-14,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,,,28.45,24.14,-11.872222,-15.35,-6.388889,0.362857,-17.038889,67.194295
US_IL_17035,2020-02-15,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,-6,,33.14,45.19,-3.888889,-11.822222,5.844444,0.0,-9.722222,65.580366
US_IL_17035,2020-02-16,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,-1,,,39.38,3.85,-0.638889,8.805556,0.0,-2.244444,66.350887
US_IL_17035,2020-02-17,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,-1,-24,54.52,38.95,2.977778,-0.994444,7.822222,0.6985,-0.266667,80.04436
US_IL_17035,2020-02-18,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,2,0,36.12,36.12,6.005556,1.827778,10.083333,4.66725,3.138889,82.958102
US_IL_17035,2020-02-19,ChIJ92XKZR-pc4gRTWw39fe_uYg,Q110539,geoId/17035,US,United States of America,IL,Illinois,17035,Cumberland County,US,USA,2,,,,,,,10880,5449,5431,1313,1336,1197,1269,1285,1589,1468,840,583,1801522,39.27,-88.24,899,78.266667,,0,-1,27.04,37.69,0.1,-3.7,5.238889,0.0762,-5.166667,69.649688
