location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WI_55123,2020-01-21,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,5.33,7.21,6.59,9.72,4.71,,15.68,9.72,5.33,9.41,,7.21,8.78,10.04,34.19,4.71,9.72,5.65,40.15,7.21,6.59,-13.388889,-20.166667,-5.277778,0.03175,129.54,-16.080247,80.57769
US_WI_55123,2020-01-22,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,6.26,,6.57,10.33,5.63,,15.97,8.14,7.51,10.64,4.7,10.02,8.14,6.26,28.49,6.26,,,37.57,5.95,4.38,-3.483333,-7.805556,0.377778,0.0,129.54,-6.54321,79.364039
US_WI_55123,2020-01-23,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,,7.05,6.41,8.02,5.13,8.02,15.07,6.09,7.05,7.38,,7.38,6.09,8.66,32.71,7.05,,5.45,29.5,6.73,4.49,-1.144444,-2.144444,0.105556,2.314222,139.7,-2.179012,92.56451
US_WI_55123,2020-01-24,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,5.95,6.65,11.2,8.75,5.25,8.05,23.11,7.35,4.9,11.2,,5.95,,,34.31,8.05,7.35,8.05,28.01,5.25,,0.027778,-0.966667,1.6,1.7018,180.34,-0.938272,93.202632
US_WI_55123,2020-01-25,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,6.02,9.24,9.64,6.02,,6.02,20.88,7.63,5.62,10.04,,5.62,6.42,6.42,31.72,5.62,,,38.55,,9.64,0.75,0.155556,1.472222,1.919111,165.1,-0.549383,91.262826
US_WI_55123,2020-01-26,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,7.11,5.33,9.59,9.95,6.75,,22.03,8.17,,10.66,,,,,36.24,7.82,11.01,5.33,35.88,7.11,,-1.383333,-3.205556,0.772222,0.282222,165.1,-3.141975,88.296047
US_WI_55123,2020-01-27,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,,7.83,10.43,6.2,4.89,6.2,23.48,7.83,,7.83,4.89,6.52,7.17,6.2,43.69,6.2,5.87,4.89,33.26,6.52,5.22,-2.427778,-3.783333,-0.177778,0.0,165.1,-4.160494,88.072927
US_WI_55123,2020-01-28,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,,6.72,6.08,5.76,4.48,7.36,22.39,10.23,4.48,7.68,6.72,,4.48,,34.22,6.72,8.0,,42.86,7.04,7.04,-3.755556,-5.711111,-1.2,0.0,149.86,-6.018519,84.714985
US_WI_55123,2020-01-29,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,,8.06,9.67,11.28,,4.51,20.31,10.64,,11.28,6.12,,,,32.55,6.12,7.74,6.77,33.84,11.6,,-5.588889,-6.683333,-3.611111,0.0,149.86,-7.87037,83.736854
US_WI_55123,2020-01-30,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,6.15,7.77,5.83,8.41,,,32.04,6.47,,10.03,5.18,5.18,,9.06,41.1,7.77,7.12,,31.39,7.12,4.86,-3.905556,-4.938889,-1.461111,0.0,149.86,-6.45679,82.247798
US_WI_55123,2020-01-31,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,5.48,5.48,7.09,10.95,,4.51,24.8,7.73,4.83,9.02,6.76,4.51,,7.73,38.01,,4.51,,33.5,7.73,6.76,-1.75,-3.15,0.561111,0.0,139.7,-3.450617,87.932999
US_WI_55123,2020-02-01,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,6.99,,9.71,13.6,6.99,5.83,22.53,9.71,5.83,6.99,,6.6,5.44,11.65,26.41,,8.93,6.99,38.84,6.21,,0.783333,-0.711111,3.616667,0.41275,139.7,-1.345679,85.527938
US_WI_55123,2020-02-02,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,5.21,7.44,11.16,7.82,,6.33,20.84,9.68,,,,,,,22.7,,7.07,,35.72,7.44,,4.622222,0.761111,9.172222,0.0,129.54,-0.58642,69.192416
US_WI_55123,2020-02-03,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,,4.72,11.64,12.59,6.92,4.72,20.45,9.12,5.98,5.66,5.98,,,5.66,33.35,10.07,7.55,7.87,34.3,6.29,5.66,0.122222,-5.483333,4.877778,0.0,88.9,-3.111111,79.548583
US_WI_55123,2020-02-04,ChIJj6q0LfQ5_IcR5873nD4PE6o,Q501587,geoId/55123,US,United States of America,WI,Wisconsin,55123,Vernon County,US,USA,2,,,,,,,30702,15444,15258,4325,4327,2859,3178,3319,4488,4296,2374,1536,1792817,43.59,-90.83,2114,,,,,4.38,,7.51,9.38,,6.57,14.7,8.44,5.63,5.94,4.38,6.25,,6.25,30.65,7.51,4.38,4.38,45.35,5.63,7.51,-2.588889,-5.95,1.866667,0.0,78.74,-11.234568,51.437429
