location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_obesity,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_asthma,search_trends_attention_deficit_hyperactivity_disorder,search_trends_back_pain,search_trends_bleeding,search_trends_bone_fracture,search_trends_candidiasis,search_trends_common_cold,search_trends_constipation,search_trends_cough,search_trends_cramp,search_trends_depression,search_trends_dermatitis,search_trends_diabetes,search_trends_diarrhea,search_trends_erectile_dysfunction,search_trends_fatigue,search_trends_fever,search_trends_flatulence,search_trends_gastroesophageal_reflux_disease,search_trends_hair_loss,search_trends_headache,search_trends_heartburn,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_insomnia,search_trends_itch,search_trends_low_back_pain,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_myocardial_infarction,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_sleep_disorder,search_trends_stroke,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,search_trends_vaginal_discharge,search_trends_vomiting,search_trends_weight_gain,search_trends_xeroderma,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_OH_39091,2020-01-21,ChIJX7NN0yUpP4gRLMF9qtuH1JA,Q490190,geoId/39091,US,United States of America,OH,Ohio,39091,Logan County,US,USA,2,,,,,,,45198,22409,22789,5533,6012,5108,5138,5533,6653,5977,3431,1813,184059,40.39,-83.77,1209,76.918182,,,,,,4.74,6.57,2.6,10.39,6.42,4.74,2.14,2.44,5.35,3.36,2.75,2.14,15.43,2.6,7.49,2.9,4.28,3.06,7.33,4.58,,5.65,4.12,,3.67,2.14,7.03,2.75,5.8,29.63,3.36,,5.8,,4.12,5.19,,5.19,37.42,3.36,6.57,2.9,3.06,5.35,3.67,3.82,2.9,3.67,2.75,3.36,-6.427778,-11.355556,-2.638889,0.0,,-10.722222,70.644665
US_OH_39091,2020-01-22,ChIJX7NN0yUpP4gRLMF9qtuH1JA,Q490190,geoId/39091,US,United States of America,OH,Ohio,39091,Logan County,US,USA,2,,,,,,,45198,22409,22789,5533,6012,5108,5138,5533,6653,5977,3431,1813,184059,40.39,-83.77,1209,76.918182,,,,,2.75,5.96,5.04,5.65,9.01,5.5,5.8,,,5.19,3.67,3.67,,12.83,2.9,9.01,,4.58,,6.42,6.72,2.14,4.12,5.19,2.14,4.28,4.43,6.57,3.06,6.42,24.9,5.8,3.36,3.67,3.36,3.67,6.26,2.29,5.5,32.99,4.28,6.57,,3.51,4.28,3.51,3.67,3.67,,4.58,3.36,-4.838889,-10.161111,1.877778,0.0,,-9.055556,72.931574
US_OH_39091,2020-01-23,ChIJX7NN0yUpP4gRLMF9qtuH1JA,Q490190,geoId/39091,US,United States of America,OH,Ohio,39091,Logan County,US,USA,2,,,,,,,45198,22409,22789,5533,6012,5108,5138,5533,6653,5977,3431,1813,184059,40.39,-83.77,1209,76.918182,,,,,,4.71,7.15,3.35,9.73,6.39,5.17,,2.43,3.5,4.11,3.95,,14.9,3.95,6.24,3.65,2.89,3.19,8.36,3.04,4.56,2.74,4.41,2.13,3.35,5.78,3.5,4.56,4.41,26.0,6.54,3.95,6.54,,2.58,4.87,2.58,5.17,32.54,3.65,7.15,3.19,4.71,4.56,4.41,3.04,3.35,,3.04,3.19,0.888889,-5.772222,6.055556,0.0,,-6.383333,58.534761
US_OH_39091,2020-01-24,ChIJX7NN0yUpP4gRLMF9qtuH1JA,Q490190,geoId/39091,US,United States of America,OH,Ohio,39091,Logan County,US,USA,2,,,,,,,45198,22409,22789,5533,6012,5108,5138,5533,6653,5977,3431,1813,184059,40.39,-83.77,1209,76.918182,,,,,,5.42,5.86,2.2,6.44,7.61,4.68,,2.93,4.39,3.81,,,18.3,4.25,8.49,,3.66,2.2,9.22,5.42,2.2,4.39,3.66,,3.95,3.37,3.37,3.95,4.25,25.03,5.86,2.63,7.32,,3.81,4.25,,2.78,31.33,4.54,4.39,,2.93,7.76,4.39,3.51,2.05,3.22,5.42,2.63,4.738889,0.205556,6.966667,0.889,,0.677778,75.635584
US_OH_39091,2020-01-25,ChIJX7NN0yUpP4gRLMF9qtuH1JA,Q490190,geoId/39091,US,United States of America,OH,Ohio,39091,Logan County,US,USA,2,,,,,,,45198,22409,22789,5533,6012,5108,5138,5533,6653,5977,3431,1813,184059,40.39,-83.77,1209,76.918182,,,,,,4.18,7.49,2.44,8.36,6.09,3.48,,3.48,4.53,4.53,,2.79,20.2,3.66,9.4,3.13,2.79,2.44,7.49,6.09,,4.35,3.31,6.27,2.96,4.35,3.83,2.79,6.62,25.95,3.83,2.96,6.62,,,,,3.31,32.04,4.88,4.7,,,3.83,3.48,3.66,2.96,3.13,2.96,4.53,2.422222,0.461111,6.133333,6.4135,,1.567901,93.311115
US_OH_39091,2020-01-26,ChIJX7NN0yUpP4gRLMF9qtuH1JA,Q490190,geoId/39091,US,United States of America,OH,Ohio,39091,Logan County,US,USA,2,,,,,,,45198,22409,22789,5533,6012,5108,5138,5533,6653,5977,3431,1813,184059,40.39,-83.77,1209,76.918182,,,,,,5.01,5.51,3.84,6.68,7.52,5.34,,,3.51,5.51,2.84,,23.22,3.01,8.02,3.17,3.51,3.01,8.35,3.84,,4.01,6.01,2.5,4.34,5.01,4.01,4.18,4.01,28.39,5.18,3.17,6.51,,3.67,3.17,,6.18,34.41,2.84,5.18,2.34,3.34,4.84,3.67,2.67,2.67,3.01,2.5,2.84,0.194444,-0.246914,2.58642,0.762,,-0.950617,91.542574
US_OH_39091,2020-01-27,ChIJX7NN0yUpP4gRLMF9qtuH1JA,Q490190,geoId/39091,US,United States of America,OH,Ohio,39091,Logan County,US,USA,2,,,,,,,45198,22409,22789,5533,6012,5108,5138,5533,6653,5977,3431,1813,184059,40.39,-83.77,1209,76.918182,,,,,,3.29,6.13,3.59,8.67,6.58,5.38,,3.44,5.98,3.29,4.33,,21.23,2.99,7.33,2.09,5.53,2.39,7.17,3.44,,4.63,5.08,2.39,4.19,3.14,3.14,3.14,5.38,28.85,6.58,2.24,6.73,,6.43,2.24,2.24,5.08,31.39,3.74,6.13,2.09,2.69,4.63,3.89,3.44,3.44,2.84,2.39,,0.172222,-1.505556,1.255556,0.056444,,-1.259259,89.660492
US_OH_39091,2020-01-28,ChIJX7NN0yUpP4gRLMF9qtuH1JA,Q490190,geoId/39091,US,United States of America,OH,Ohio,39091,Logan County,US,USA,2,,,,,,,45198,22409,22789,5533,6012,5108,5138,5533,6653,5977,3431,1813,184059,40.39,-83.77,1209,76.918182,,,,,,4.51,5.82,,8.59,4.51,3.93,,2.77,3.49,3.78,3.93,,29.39,2.91,10.04,2.47,5.38,,7.28,4.66,,5.24,6.98,2.47,4.8,2.62,3.93,,5.53,34.63,5.97,,5.38,2.33,3.64,2.33,,2.62,33.03,,8.29,,3.2,4.51,3.93,3.49,2.18,2.04,2.77,,0.272222,-1.530864,1.191358,0.0,,-1.524691,87.232715
US_OH_39091,2020-01-29,ChIJX7NN0yUpP4gRLMF9qtuH1JA,Q490190,geoId/39091,US,United States of America,OH,Ohio,39091,Logan County,US,USA,2,,,,,,,45198,22409,22789,5533,6012,5108,5138,5533,6653,5977,3431,1813,184059,40.39,-83.77,1209,76.918182,,,,,,3.38,4.85,4.11,6.9,5.43,5.58,2.64,2.2,5.29,2.2,2.64,2.64,27.61,2.94,9.1,,4.99,2.06,6.17,4.41,2.5,5.29,6.02,2.94,3.23,2.79,4.7,2.35,5.14,31.86,5.29,2.35,7.05,2.64,3.52,4.26,,3.82,33.04,3.82,10.13,2.5,5.14,5.29,2.94,4.7,,2.2,3.08,2.35,-0.177778,-0.826389,0.875,0.072571,,-3.419753,78.158625
US_OH_39091,2020-01-30,ChIJX7NN0yUpP4gRLMF9qtuH1JA,Q490190,geoId/39091,US,United States of America,OH,Ohio,39091,Logan County,US,USA,2,,,,,,,45198,22409,22789,5533,6012,5108,5138,5533,6653,5977,3431,1813,184059,40.39,-83.77,1209,76.918182,,,,,,2.98,5.52,2.54,8.5,6.86,4.03,2.54,4.77,4.33,,2.98,2.69,25.51,2.54,8.65,3.28,5.22,2.09,6.41,3.13,2.54,5.67,4.47,2.83,4.18,,2.54,2.83,6.26,30.73,4.92,3.13,5.52,,3.43,3.73,2.54,4.92,38.34,3.73,5.22,3.13,4.18,5.22,2.98,3.88,,3.13,2.54,,-0.505556,-1.377778,0.433333,0.4572,,-4.527778,74.582725
