location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_MN_27083,2020-01-11,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,6.02,9.56,,6.37,,7.43,16.99,8.14,,7.08,,6.72,,,20.18,6.37,7.08,,,34.33,,,4.96,6.02,-20.077778,-24.15,-15.983333,0.0,-23.616667,73.414008
US_MN_27083,2020-01-12,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,,6.2,7.24,8.96,8.27,6.2,16.54,8.62,,7.24,,,,,24.46,6.89,,,,37.22,,6.2,5.86,6.89,-14.194444,-21.338889,-6.605556,0.0,-16.833333,80.473174
US_MN_27083,2020-01-13,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,3.82,12.0,7.64,10.64,4.36,5.18,16.91,9.82,3.82,5.73,4.91,6.0,4.09,4.64,36.55,3.82,7.91,,4.91,33.55,5.46,8.18,5.73,,-6.555556,-10.061111,-3.277778,0.1905,-7.727778,91.405832
US_MN_27083,2020-01-14,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,5.89,9.64,5.36,7.5,4.55,5.09,15.27,7.5,10.98,8.57,4.02,4.02,,,31.35,4.02,6.7,,4.82,37.24,3.75,9.38,4.02,7.5,-5.033333,-11.544444,-0.894444,0.0,-6.922222,86.663154
US_MN_27083,2020-01-15,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,4.38,7.13,6.03,9.59,4.38,6.03,13.15,7.95,9.59,8.22,5.48,6.85,4.38,6.58,30.15,5.21,5.21,,5.75,35.9,,6.58,6.03,4.66,-13.405556,-19.088889,-10.844444,0.254,-16.094444,80.263364
US_MN_27083,2020-01-16,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,4.92,7.65,4.92,6.83,5.46,6.83,15.03,11.75,7.65,9.29,,4.92,,5.19,29.78,5.19,6.01,4.1,5.19,32.79,,,4.92,,-21.827778,-25.283333,-17.816667,0.0254,-26.322222,67.041505
US_MN_27083,2020-01-17,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,,8.79,4.1,5.27,,5.27,10.55,5.27,4.98,9.37,,5.57,,7.91,23.14,,5.57,,7.03,26.95,6.15,6.15,6.15,6.45,-12.855556,-20.183333,-5.55,0.592667,-15.944444,77.669749
US_MN_27083,2020-01-18,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,,11.19,8.63,8.31,6.08,,15.03,8.0,,7.04,,6.08,,6.4,20.79,5.76,6.4,,8.31,35.5,5.12,7.36,7.67,,-10.655556,-18.916667,-3.266667,0.508,-12.55,85.990122
US_MN_27083,2020-01-19,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,4.95,9.58,9.58,6.93,,5.95,16.18,8.26,,6.93,,,4.62,4.62,23.78,,7.6,,5.95,33.02,5.61,5.95,6.61,,-19.364198,-21.17284,-16.907407,1.735667,-22.833333,74.082504
US_MN_27083,2020-01-20,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,5.48,6.7,,7.62,5.18,9.14,9.75,5.79,4.87,7.01,,,,7.92,20.41,5.79,4.87,5.48,,32.59,4.57,6.09,5.48,,-18.530864,-22.191358,-13.407407,0.0,-21.388889,78.310487
US_MN_27083,2020-01-21,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,4.26,7.99,7.46,4.26,3.73,4.53,17.84,5.59,4.79,7.72,7.19,6.12,6.39,5.33,27.7,4.26,4.79,3.99,5.06,33.02,4.26,7.46,3.73,3.73,-14.246914,-19.635802,-6.598765,0.0,-17.160494,78.668769
US_MN_27083,2020-01-22,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,,8.94,6.5,6.23,4.33,3.79,19.24,7.32,8.94,7.32,5.15,5.42,6.5,4.88,31.43,6.77,4.61,5.96,7.04,37.66,,3.79,7.32,4.33,-1.54321,-7.376543,2.481481,0.0,-3.320988,87.809148
US_MN_27083,2020-01-23,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,6.81,8.72,7.36,,3.81,7.08,13.08,7.63,6.54,8.18,4.36,5.72,,7.36,21.53,6.0,4.91,,4.91,26.98,6.27,6.27,6.0,,-1.302469,-4.246914,1.160494,0.0,-1.82716,96.252703
US_MN_27083,2020-01-24,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,,6.08,8.11,6.08,8.11,8.4,24.04,7.82,4.34,4.34,4.05,,,6.66,36.78,4.05,5.79,5.21,5.5,33.01,6.66,8.69,,4.63,-1.911111,-2.944444,-1.016667,0.0,-3.061111,91.989684
US_MN_27083,2020-01-25,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,5.0,9.29,8.93,7.5,7.14,5.0,22.14,7.86,,6.07,,,6.43,6.79,30.36,9.29,5.0,,7.14,35.36,,8.21,5.71,,-2.85,-4.277778,-1.472222,0.0,-4.372222,89.29488
US_MN_27083,2020-01-26,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,5.21,6.84,9.13,5.54,,,23.8,10.11,4.56,6.84,5.87,8.47,6.52,,27.38,,6.84,5.54,4.89,44.33,,6.84,6.52,4.89,-3.788889,-8.272222,0.722222,0.0635,-5.366667,88.906985
US_MN_27083,2020-01-27,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,4.84,4.04,7.8,8.07,5.38,10.22,26.9,8.07,6.99,11.57,4.57,5.11,,8.61,37.12,8.61,5.92,,7.53,41.16,5.11,4.04,3.77,3.77,-4.133333,-7.866667,-0.272222,0.0,-5.144444,92.692696
US_MN_27083,2020-01-28,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,5.29,5.57,8.35,5.01,,,18.1,4.73,6.12,6.12,6.4,,7.52,7.79,35.36,6.4,8.07,6.96,3.9,34.24,,5.85,6.12,,-9.272222,-10.9,-7.3,0.0,-10.366667,91.757397
US_MN_27083,2020-01-29,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,6.43,5.59,8.38,6.15,,7.26,19.0,7.54,6.15,12.02,5.03,7.54,,8.66,28.78,,4.47,,8.66,39.12,,6.99,5.03,,-8.238889,-10.083333,-6.038889,0.028222,-9.361111,91.646928
US_MN_27083,2020-01-30,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,,6.0,8.46,8.18,,4.09,25.09,7.64,8.18,7.09,5.46,4.36,5.46,9.82,30.82,5.73,7.09,4.36,15.82,31.09,4.09,6.82,4.91,,-5.338889,-7.372222,-1.5,0.0,-6.094444,94.444906
US_MN_27083,2020-01-31,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,5.66,5.07,7.45,4.47,,8.64,24.14,8.04,5.36,7.75,8.34,,4.17,6.26,26.82,4.77,,,,36.05,,,,,-0.338889,-1.694444,0.922222,2.878667,-0.716667,97.326344
US_MN_27083,2020-02-01,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,6.78,,6.78,6.07,,,13.56,7.49,,,5.71,8.21,,,23.9,10.7,,,,35.67,5.0,5.0,,,-0.638889,-6.111111,3.888889,0.3048,-2.683333,86.217371
US_MN_27083,2020-02-02,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,7.02,6.69,6.35,7.69,,,17.05,8.36,4.68,5.35,4.68,5.35,,,27.75,5.68,,4.68,5.35,33.44,,,,5.01,4.466667,1.283333,6.572222,0.2794,-0.222222,71.846574
US_MN_27083,2020-02-03,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,,6.84,7.12,12.04,,5.47,17.51,6.02,3.83,11.77,6.57,5.47,,,32.02,5.2,5.2,,4.93,36.94,4.93,5.75,,6.02,-2.272222,-7.594444,1.061111,0.0,-5.7,77.44897
US_MN_27083,2020-02-04,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,5.47,5.75,8.48,7.66,9.85,3.83,16.42,10.12,7.66,11.77,7.66,7.39,,6.02,33.66,7.94,3.83,,4.65,35.85,4.38,7.66,7.39,5.47,-10.588889,-13.905556,-6.85,0.0,-14.25,74.549023
US_MN_27083,2020-02-05,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,,6.37,7.48,8.59,,8.03,14.95,7.75,4.71,10.25,6.09,4.99,6.37,4.15,29.08,4.71,5.26,4.15,4.71,35.45,5.26,6.65,4.43,,-7.966667,-12.416667,-1.1,0.0,-12.277778,71.352222
US_MN_27083,2020-02-06,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,9.31,6.21,8.47,10.72,,8.47,19.19,8.19,,7.9,6.49,5.64,5.64,7.9,27.09,8.19,4.23,5.93,8.75,33.59,3.95,5.64,5.08,4.52,-6.161111,-9.744444,-1.588889,0.0,-9.105556,79.769378
US_MN_27083,2020-02-07,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,5.57,6.74,12.9,7.04,6.74,,19.06,9.38,,9.68,5.57,5.57,,9.68,31.66,7.92,9.68,7.04,,37.53,4.98,,5.28,5.28,-9.45,-15.194444,-2.683333,0.0,-11.4,85.735026
US_MN_27083,2020-02-08,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,8.3,10.47,12.64,6.14,6.5,5.78,23.83,7.94,,,7.58,5.05,,,23.47,,,6.5,,39.36,5.78,6.5,,5.78,-13.916667,-20.244444,-3.194444,0.0508,-17.561111,74.002469
US_MN_27083,2020-02-09,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,6.42,9.31,7.39,5.14,,10.6,15.1,7.07,,6.75,6.42,,4.82,5.14,24.73,5.14,7.39,,,28.91,,8.35,,,-6.838889,-10.805556,-4.344444,2.413,-8.861111,85.584759
US_MN_27083,2020-02-10,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,,6.11,7.77,9.44,5.0,3.89,18.32,7.22,3.89,8.33,4.44,4.44,3.89,9.16,31.65,8.61,,,6.11,34.98,4.44,7.22,5.27,6.38,-9.138889,-15.316667,-1.877778,0.6604,-11.527778,82.910275
US_MN_27083,2020-02-11,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,4.53,4.0,6.66,11.2,3.73,6.93,17.33,7.73,,7.46,4.0,8.26,6.66,8.0,33.85,7.2,3.73,6.93,15.99,30.39,,5.6,7.2,4.26,-5.844444,-10.672222,-2.566667,0.254,-8.666667,80.676455
US_MN_27083,2020-02-12,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,3.92,7.85,7.85,7.01,5.61,7.85,20.18,7.85,5.88,7.85,4.48,,,7.01,26.34,,3.92,,4.48,33.63,4.48,,5.33,,-7.4,-22.977778,0.011111,0.0,-10.727778,77.145894
US_MN_27083,2020-02-13,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,7.86,7.3,5.33,4.21,7.3,7.3,20.5,8.14,3.93,7.3,3.93,,,5.05,27.23,4.21,5.33,3.93,4.21,39.87,,4.21,3.93,3.93,-24.183333,-27.716667,-18.411111,0.0,-28.388889,68.226817
US_MN_27083,2020-02-14,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,,,,,4.85,,7.58,7.28,6.67,5.16,16.38,6.67,6.98,5.76,6.07,,7.28,5.16,18.2,,4.55,,4.85,29.73,,4.25,4.55,,-16.955556,-25.555556,-4.483333,0.0,-21.011111,70.909319
US_MN_27083,2020-02-15,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,13,3,13,,,8.81,9.57,7.66,,9.19,21.06,9.19,6.51,11.1,5.36,6.51,8.04,,21.82,5.36,,,,32.16,,,6.51,7.27,-2.838889,-6.577778,1.155556,0.0,-6.494444,76.0695
US_MN_27083,2020-02-16,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,7,7,11,,5.91,6.26,10.43,4.87,5.91,7.65,17.39,13.21,7.3,6.96,,,6.26,5.91,29.56,5.91,6.61,,7.3,40.34,,6.96,,6.61,-5.122222,-8.294444,-2.127778,0.0,-8.127778,79.573361
US_MN_27083,2020-02-17,ChIJ0avT1ddFiocRCV6NOZyt20M,Q491152,geoId/27083,US,United States of America,MN,Minnesota,27083,Lyon County,US,USA,2,,,,,,,25929,12948,12981,3853,3692,3476,3351,2780,3195,2784,1538,1260,1795851,44.41,-95.84,1869,80.028571,5,2,-16,,4.18,6.57,10.16,11.95,4.48,5.68,21.81,12.25,4.48,8.66,4.48,6.27,4.78,7.47,32.27,5.97,11.35,6.27,,38.54,,6.57,5.68,,-4.561111,-6.811111,-2.35,0.0,-6.394444,87.190369
