location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,new_confirmed_male,new_confirmed_female,cumulative_confirmed_male,cumulative_confirmed_female,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_obesity,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_IN_18055,2020-01-24,ChIJreJqfgHKbYgRkz4jTH8WdY0,Q506181,geoId/18055,US,United States of America,IN,Indiana,18055,Greene County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32172,16116,16056,3599,4177,3509,3583,4046,4842,4208,2711,1497,1111456,39.04,-86.97,1414,76.533333,,,,,6.14,6.44,9.95,6.14,5.56,,19.02,10.83,11.41,5.27,4.39,7.9,27.21,6.44,4.1,,33.65,7.61,4.68,4.25,1.872222,6.111111,2.12725,3.339506,94.096307
US_IN_18055,2020-01-25,ChIJreJqfgHKbYgRkz4jTH8WdY0,Q506181,geoId/18055,US,United States of America,IN,Indiana,18055,Greene County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32172,16116,16056,3599,4177,3509,3583,4046,4842,4208,2711,1497,1111456,39.04,-86.97,1414,76.533333,,,,,5.62,7.72,8.43,7.72,,5.27,18.61,10.53,8.43,5.27,,9.48,28.79,4.92,7.37,,39.32,6.67,6.67,1.483333,0.455556,3.733333,1.632857,0.216049,91.256375
US_IN_18055,2020-01-26,ChIJreJqfgHKbYgRkz4jTH8WdY0,Q506181,geoId/18055,US,United States of America,IN,Indiana,18055,Greene County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32172,16116,16056,3599,4177,3509,3583,4046,4842,4208,2711,1497,1111456,39.04,-86.97,1414,76.533333,,,,,,6.3,8.95,7.29,6.63,,26.86,11.94,8.62,7.29,,,28.18,7.29,9.62,,34.15,5.64,4.97,1.122222,-2.377778,6.161111,0.1524,-2.061728,79.259775
US_IN_18055,2020-01-27,ChIJreJqfgHKbYgRkz4jTH8WdY0,Q506181,geoId/18055,US,United States of America,IN,Indiana,18055,Greene County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32172,16116,16056,3599,4177,3509,3583,4046,4842,4208,2711,1497,1111456,39.04,-86.97,1414,76.533333,,,,,6.0,6.6,7.2,6.89,,7.2,23.38,7.79,9.89,5.4,5.4,8.99,41.07,,5.4,4.5,35.38,,6.3,-0.088889,-2.472222,3.472222,0.0,-1.685185,89.402962
US_IN_18055,2020-01-28,ChIJreJqfgHKbYgRkz4jTH8WdY0,Q506181,geoId/18055,US,United States of America,IN,Indiana,18055,Greene County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32172,16116,16056,3599,4177,3509,3583,4046,4842,4208,2711,1497,1111456,39.04,-86.97,1414,76.533333,,,,,,6.33,6.33,9.04,8.44,5.43,25.62,9.35,11.46,5.73,4.52,7.24,32.26,6.33,5.73,6.33,45.22,6.33,,-0.238889,-1.316667,0.994444,0.0,-2.240741,86.279111
US_IN_18055,2020-01-29,ChIJreJqfgHKbYgRkz4jTH8WdY0,Q506181,geoId/18055,US,United States of America,IN,Indiana,18055,Greene County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32172,16116,16056,3599,4177,3509,3583,4046,4842,4208,2711,1497,1111456,39.04,-86.97,1414,76.533333,,,,,4.84,5.74,9.37,6.65,,5.44,28.11,8.16,15.41,8.16,6.35,6.35,38.69,,6.04,7.86,36.87,12.09,6.35,0.788889,-0.527778,2.872222,0.0,-1.604938,83.843305
US_IN_18055,2020-01-30,ChIJreJqfgHKbYgRkz4jTH8WdY0,Q506181,geoId/18055,US,United States of America,IN,Indiana,18055,Greene County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32172,16116,16056,3599,4177,3509,3583,4046,4842,4208,2711,1497,1111456,39.04,-86.97,1414,76.533333,,,,,5.21,5.83,9.51,10.73,8.28,,29.74,11.04,8.89,4.6,6.44,8.89,34.34,6.75,5.21,,42.93,7.67,5.83,1.405556,-1.011111,4.45,0.0,-1.771605,79.580278
US_IN_18055,2020-01-31,ChIJreJqfgHKbYgRkz4jTH8WdY0,Q506181,geoId/18055,US,United States of America,IN,Indiana,18055,Greene County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32172,16116,16056,3599,4177,3509,3583,4046,4842,4208,2711,1497,1111456,39.04,-86.97,1414,76.533333,,,,,6.44,5.85,7.61,7.32,4.98,,26.64,5.85,10.24,6.73,,8.49,31.9,7.32,4.1,4.98,33.95,6.15,,2.233333,-0.094444,4.905556,0.508,0.246914,86.356252
US_IN_18055,2020-02-01,ChIJreJqfgHKbYgRkz4jTH8WdY0,Q506181,geoId/18055,US,United States of America,IN,Indiana,18055,Greene County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32172,16116,16056,3599,4177,3509,3583,4046,4842,4208,2711,1497,1111456,39.04,-86.97,1414,76.533333,,,,,6.43,6.43,,8.21,5.36,8.57,22.13,8.93,10.35,7.14,9.28,,25.35,5.36,6.07,,48.55,,6.78,3.644444,1.75,5.927778,0.959556,1.777778,87.33356
US_IN_18055,2020-02-02,ChIJreJqfgHKbYgRkz4jTH8WdY0,Q506181,geoId/18055,US,United States of America,IN,Indiana,18055,Greene County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32172,16116,16056,3599,4177,3509,3583,4046,4842,4208,2711,1497,1111456,39.04,-86.97,1414,76.533333,,,,,7.56,8.59,7.22,4.81,,6.87,23.71,6.87,7.22,,,6.19,35.06,4.81,9.62,5.16,36.43,9.28,6.87,7.105556,-0.105556,17.372222,0.0,0.91358,64.808583
US_IN_18055,2020-02-03,ChIJreJqfgHKbYgRkz4jTH8WdY0,Q506181,geoId/18055,US,United States of America,IN,Indiana,18055,Greene County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32172,16116,16056,3599,4177,3509,3583,4046,4842,4208,2711,1497,1111456,39.04,-86.97,1414,76.533333,,,,,,4.53,5.13,7.85,6.64,5.74,19.32,6.94,8.76,7.85,,9.36,34.42,8.15,5.43,5.74,43.17,4.83,6.64,10.261111,2.45,20.866667,0.0,3.444444,64.007813
