location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_allergy,search_trends_common_cold,search_trends_infection,search_trends_itch,search_trends_pain,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_VA_51678,2020-01-30,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,7.4,32.34,36.62,,34.29,0.266667,-3.088889,4.422222,0.211667,,-3.549383,76.828599
US_VA_51678,2020-01-31,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,7.78,38.45,33.7,,33.7,1.427778,-1.461111,4.738889,0.508,,-1.209877,82.60359
US_VA_51678,2020-02-01,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,,21.99,27.77,8.68,40.51,2.783951,-2.117284,8.851852,0.508,,1.159722,89.488009
US_VA_51678,2020-02-02,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,9.48,29.85,20.85,,37.43,6.8,-0.35,15.777778,0.145143,,-0.796296,59.362848
US_VA_51678,2020-02-03,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,10.23,29.18,37.52,5.31,33.73,14.155556,5.233333,18.622222,0.0,,-0.055556,38.785427
US_VA_51678,2020-02-04,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,7.77,35.16,41.45,,37.75,15.033333,8.677778,19.427778,0.0,,4.783951,51.739221
US_VA_51678,2020-02-05,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,7.59,23.9,25.03,7.96,37.17,11.67284,5.104938,18.228395,0.6985,,9.083333,83.783928
US_VA_51678,2020-02-06,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,5.61,26.18,41.14,7.11,32.91,5.395062,3.296296,10.45679,13.335,,5.215278,96.814935
US_VA_51678,2020-02-07,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,9.7,24.46,26.15,,37.12,6.866667,0.338889,12.016667,40.019111,,3.179012,78.868298
US_VA_51678,2020-02-08,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,10.08,34.4,32.03,10.08,35.59,0.411111,-3.227778,7.35,2.144889,,-6.641975,60.633015
US_VA_51678,2020-02-09,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,10.9,15.85,21.79,,32.19,2.266667,-3.316667,9.461111,0.0,,-3.493827,66.536718
US_VA_51678,2020-02-10,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,7.39,22.18,23.29,6.28,37.7,5.383333,-0.938889,10.011111,3.71475,,-0.12963,67.66433
US_VA_51678,2020-02-11,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,7.66,14.33,27.65,5.0,29.65,10.753086,4.067901,15.654321,8.1915,,9.895833,94.512138
US_VA_51678,2020-02-12,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,7.22,15.81,28.53,,28.53,6.505556,3.166667,13.494444,3.894667,,1.679012,72.202164
US_VA_51678,2020-02-13,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,9.33,14.32,22.98,6.66,30.98,8.37037,4.271605,15.092593,4.92125,,6.756944,88.565047
US_VA_51678,2020-02-14,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,,,,,14.8,16.0,,33.21,2.333333,-2.238889,9.644444,3.8862,,-5.679012,57.403474
US_VA_51678,2020-02-15,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,18,6,,13.73,24.71,20.32,,26.36,-3.622222,-9.138889,3.977778,0.0,,-10.666667,58.872087
US_VA_51678,2020-02-16,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,10,7,,,21.34,25.23,10.19,30.08,2.572222,-5.7,11.311111,0.0,,-5.024691,57.810338
US_VA_51678,2020-02-17,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,0,-20,,9.23,13.34,29.42,,31.81,5.844444,-2.066667,12.294444,0.0,,-1.135802,61.620545
US_VA_51678,2020-02-18,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,28,-5,,7.58,13.34,28.5,,27.28,7.061111,0.072222,13.3,0.798286,,2.271605,72.211418
US_VA_51678,2020-02-19,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,0,-8,,4.85,12.44,26.7,4.25,33.37,7.522222,1.927778,11.761111,1.919111,,-0.222222,59.164198
US_VA_51678,2020-02-20,ChIJ5aWwV9DITIgRYACD4tSBGOg,Q501761,geoId/51678,US,United States of America,VA,Virginia,51678,Lexington,US,USA,2,,,,,,,7154,4084,3070,430,1656,2256,505,435,492,576,473,331,3864635,37.784021,-79.442816,324,6,78.6,20,-13,,9.17,15.89,24.14,6.11,32.39,0.966667,-1.927778,7.966667,0.197556,,-6.08642,60.701226
