location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_6,cumulative_confirmed_age_6,new_deceased_age_6,cumulative_deceased_age_6,new_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_6,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_alcoholism,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_bleeding,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_gastroesophageal_reflux_disease,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_major_depressive_disorder,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_type_2_diabetes,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WA_53065,2020-01-11,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,3.99,8.52,7.99,4.26,6.12,,,,7.19,6.12,,7.46,,,5.06,3.73,,4.53,19.7,4.26,6.39,,5.33,3.99,27.43,,5.86,4.26,4.26,5.06,-0.549383,-4.296296,1.203704,14.550571,64.77,-1.729167,93.163307
US_WA_53065,2020-01-12,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,5.4,7.46,4.89,6.43,6.95,6.69,4.12,4.37,11.58,8.23,5.4,4.63,5.66,3.6,,6.95,6.17,3.86,16.72,7.98,4.37,3.86,4.89,6.17,34.99,3.86,4.12,4.63,,4.12,0.055556,-1.259259,1.314815,3.773714,229.446667,-1.159722,91.877265
US_WA_53065,2020-01-13,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,3.56,6.64,,6.17,7.35,4.74,4.51,,6.64,5.93,4.51,5.22,,3.32,4.27,,3.32,5.69,17.55,3.79,3.79,5.69,4.03,4.03,26.09,,,3.79,3.56,,-4.17284,-9.049383,1.055556,6.858,279.4,-7.173611,80.448872
US_WA_53065,2020-01-14,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,4.51,6.88,4.98,8.07,7.35,4.03,5.93,,11.62,5.22,4.75,6.88,,4.27,4.98,4.98,4.51,6.64,19.22,3.56,5.46,4.75,5.22,4.98,29.65,3.32,8.07,,5.46,,-8.950617,-10.623457,-4.882716,1.052286,303.106667,-11.597222,82.338704
US_WA_53065,2020-01-15,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,,4.97,3.84,5.43,6.56,,3.62,3.17,6.11,3.84,3.62,4.3,4.97,,3.84,4.75,4.97,7.92,19.45,9.95,,3.17,4.07,4.07,30.07,3.62,6.78,5.43,,,-8.820988,-11.67284,-4.061728,1.651,303.106667,-11.618056,80.743088
US_WA_53065,2020-01-16,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,5.17,7.42,,6.75,4.5,3.82,5.17,4.27,9.22,6.07,4.27,8.77,3.37,3.15,5.4,3.82,6.07,7.65,26.09,4.05,4.95,3.82,4.05,4.95,35.54,,6.07,9.22,3.15,,-2.759259,-7.333333,-0.271605,1.778,313.266667,-5.354167,85.770278
US_WA_53065,2020-01-17,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,4.87,6.26,3.48,6.5,6.5,6.03,3.71,,8.35,4.87,5.57,5.34,,5.1,3.25,3.94,,6.73,20.65,6.26,3.94,,3.94,4.64,32.95,,6.5,3.48,,,-3.641975,-6.858025,0.395062,1.451429,343.746667,-5.416667,88.132397
US_WA_53065,2020-01-18,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,4.31,7.81,4.31,7.81,4.85,4.85,5.66,,9.96,4.58,3.77,8.08,4.31,,5.39,,,6.46,21.0,4.31,5.92,,,,27.47,,7.0,5.12,7.0,,-3.419753,-7.401235,-0.475309,1.27,320.04,-4.847222,90.093122
US_WA_53065,2020-01-19,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,4.44,5.22,3.92,8.88,5.49,4.18,,,8.62,,,5.75,4.96,5.49,,4.44,4.18,4.7,18.54,4.18,3.92,,3.66,4.44,34.21,6.79,6.53,6.79,3.66,4.18,-0.030864,-3.574074,2.141975,2.866571,323.426667,-1.194444,93.522054
US_WA_53065,2020-01-20,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,3.56,6.61,,12.45,7.88,5.08,4.32,4.83,11.94,6.86,4.57,7.11,3.56,4.57,3.81,4.57,,4.07,18.55,5.84,9.4,,4.32,6.61,39.89,4.32,7.37,5.34,5.84,6.1,0.41358,-1.759259,2.87037,1.923143,292.946667,-0.659722,92.902155
US_WA_53065,2020-01-21,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,4.65,7.97,4.21,6.2,7.53,6.42,4.87,3.54,16.6,8.41,4.43,5.53,,7.3,,,6.86,6.42,21.91,3.98,6.2,3.1,5.53,3.1,38.95,3.98,6.64,5.53,3.1,3.54,0.049383,-2.481481,2.654321,0.689429,276.013333,-0.6875,94.594214
US_WA_53065,2020-01-22,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,4.26,6.5,4.04,5.61,8.07,6.95,6.95,,10.54,3.14,7.4,6.28,4.48,5.83,4.48,4.26,4.93,6.95,21.97,8.29,4.04,5.38,3.36,4.93,35.2,3.14,4.04,6.5,4.71,,1.574074,-1.604938,3.697531,2.032,272.626667,-0.0625,88.779034
US_WA_53065,2020-01-23,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,,4.16,3.94,5.91,6.57,3.72,3.94,,14.01,8.32,5.03,10.29,3.28,5.69,4.6,4.38,3.28,8.1,29.54,4.82,5.25,5.25,3.5,4.82,27.79,4.38,6.13,5.03,4.38,,1.716049,-0.283951,3.771605,3.302,229.446667,0.951389,95.3394
US_WA_53065,2020-01-24,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,4.46,6.02,,7.14,5.58,7.58,3.12,,17.62,4.46,3.57,6.02,4.91,3.35,3.35,4.68,3.12,5.8,24.75,4.91,4.46,,3.12,5.58,32.56,,4.91,4.01,3.79,,3.41358,1.253086,6.333333,15.457714,216.746667,2.5,95.033076
US_WA_53065,2020-01-25,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,7.16,5.57,,7.42,7.95,4.51,4.24,,12.99,6.1,4.77,9.28,3.98,3.71,,,8.75,6.89,23.07,5.04,,,,7.69,32.35,4.24,7.95,,5.57,,2.623457,-0.216049,6.12963,1.886857,449.58,1.715278,93.782192
US_WA_53065,2020-01-26,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,6.51,3.75,8.01,8.01,5.5,6.76,5.75,,23.77,6.76,5.0,7.26,4.5,,3.5,,5.5,5.0,28.27,,4.0,,,4.25,29.77,3.5,5.5,7.01,,,2.283951,0.148148,4.123457,2.213429,429.26,1.652778,96.148665
US_WA_53065,2020-01-27,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,,8.57,4.4,4.86,7.18,4.86,6.71,4.4,20.61,5.56,6.48,7.18,6.02,5.33,3.47,3.71,3.47,8.1,28.71,6.71,4.86,5.09,,3.47,38.44,6.02,5.56,6.48,,5.79,2.611111,0.876543,5.179012,3.048,408.94,1.472222,92.436738
US_WA_53065,2020-01-28,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,3.46,4.97,5.18,7.34,4.1,,4.75,,19.44,6.48,3.02,9.07,6.91,,3.24,3.67,4.97,5.4,27.65,3.67,3.67,4.32,4.32,7.13,31.75,,3.24,4.32,3.67,,2.166667,0.154321,5.388889,7.329714,391.16,0.875,92.719332
US_WA_53065,2020-01-29,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,4.51,6.41,5.7,6.17,6.17,5.22,5.46,,21.84,8.79,3.8,9.5,3.56,,4.51,5.94,3.32,6.41,32.53,7.6,5.7,,3.56,4.51,33.24,,8.55,4.27,6.41,,2.351852,0.691358,4.907407,5.442857,370.84,1.368056,94.534375
US_WA_53065,2020-01-30,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,5.67,4.31,4.08,8.62,7.49,7.03,6.81,,23.14,6.35,3.4,12.25,,5.22,,,4.31,5.9,30.86,8.39,6.58,5.45,3.18,8.39,33.58,3.18,8.62,7.26,4.76,3.4,2.191358,-0.358025,5.12963,4.318,381.0,0.875,91.925818
US_WA_53065,2020-01-31,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,5.19,3.84,3.16,8.12,5.42,5.87,4.74,,23.02,3.16,4.51,9.93,,3.38,4.06,3.84,,7.0,25.05,6.09,3.84,,4.51,4.29,35.66,4.29,4.96,6.54,5.87,,3.858025,-0.567901,9.061728,2.431143,381.0,2.125,90.573509
US_WA_53065,2020-02-01,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,4.03,8.87,4.57,7.25,5.11,6.99,3.76,4.3,15.32,7.52,,8.87,,,4.84,4.3,,8.6,28.21,8.87,4.57,,,4.03,35.2,,5.37,,4.84,4.84,9.314815,3.296296,11.895062,1.850571,360.68,3.423611,67.944459
US_WA_53065,2020-02-02,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,4.17,6.78,4.43,8.08,4.95,5.21,9.39,,13.56,5.74,4.17,6.52,4.43,4.69,,,,8.87,27.12,5.21,4.95,,3.91,3.65,30.25,,5.21,4.95,4.43,,1.098765,-5.067901,10.481481,0.395111,320.04,-6.895833,55.47715
US_WA_53065,2020-02-03,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,4.89,6.9,4.45,7.12,3.56,4.89,5.12,,16.91,6.9,3.78,10.46,4.67,3.34,6.01,3.78,,5.79,32.04,6.68,6.45,,,4.67,33.82,,7.34,5.12,4.0,3.78,-4.141975,-8.925926,2.907407,0.0,320.04,-9.75,64.048074
US_WA_53065,2020-02-04,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,3.8,6.04,3.58,4.47,7.83,3.35,4.47,4.47,20.13,5.59,4.03,6.49,,6.26,4.92,3.13,4.25,5.59,23.48,7.61,6.49,4.7,5.59,4.47,32.66,3.58,8.72,6.04,4.47,4.7,-5.771605,-11.061728,1.191358,0.0,320.04,-11.493056,63.339291
US_WA_53065,2020-02-05,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,,4.79,5.03,8.14,5.99,,6.95,,16.05,7.18,4.31,9.34,3.35,4.55,4.55,4.07,4.55,6.23,24.67,4.55,4.55,,3.59,3.59,32.81,3.83,10.06,4.31,5.51,,-2.407407,-5.314815,-0.067901,1.850571,152.4,-3.680556,91.689809
US_WA_53065,2020-02-06,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,4.16,6.6,,7.58,8.8,4.4,5.13,,16.38,9.04,5.62,7.33,4.16,4.4,,3.67,3.67,9.04,25.66,4.89,4.4,4.89,4.89,4.16,33.0,,6.84,4.64,5.13,,-0.006173,-2.345679,1.876543,6.894286,160.866667,-1.041667,93.851524
US_WA_53065,2020-02-07,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,7.0,4.34,3.86,8.21,7.72,8.21,,3.62,12.31,3.86,6.52,6.52,4.34,3.62,,,3.62,4.34,21.0,4.34,,4.59,3.38,4.59,30.9,,6.28,,,,0.623457,-0.783951,2.407407,5.225143,150.706667,-0.215278,94.379288
US_WA_53065,2020-02-08,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,5.69,8.67,4.06,7.86,8.67,5.96,5.15,,17.61,6.5,5.69,8.13,6.5,,,4.61,,5.15,22.48,,7.86,7.58,,4.33,35.75,5.15,6.5,4.61,,,2.117284,0.376543,5.0,2.032,224.79,0.243056,88.470658
US_WA_53065,2020-02-09,ChIJ2V4F6l94YlMRTAOVT0onXOw,Q483954,geoId/53065,US,United States of America,WA,Washington,53065,Stevens County,US,USA,2,,,,,,,,,,,,,,,,,,,,44636,22207,22429,5066,5495,4118,4301,4887,6625,7729,4459,1956,1150602,48.4,-117.85,6580,77.625,,,,,,,6.15,,10.16,5.34,5.88,4.81,,14.97,5.61,,5.61,4.01,4.28,5.88,4.81,,5.34,24.05,7.22,,5.61,,,34.21,5.08,,,,4.01,-0.611111,-4.975309,5.024691,0.084667,234.95,-2.965278,83.551683
