location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_diarrhea,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,search_trends_urinary_tract_infection,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_NY_36095,2020-01-21,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,5.36,5.62,11.49,6.13,4.59,,15.32,10.47,,10.21,4.08,4.08,4.34,8.17,7.91,24.0,7.15,8.42,9.7,4.34,39.31,,5.62,3.57,,-11.177778,-16.988889,-4.794444,0.0,30.48,-16.962963,63.93655
US_NY_36095,2020-01-22,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,6.3,5.77,8.13,4.46,8.4,4.2,14.96,7.35,,5.77,,,,8.66,,21.26,7.35,3.67,7.87,,39.63,3.94,6.3,5.51,3.94,-6.261111,-15.2,0.705556,0.0,30.48,-10.845679,68.488663
US_NY_36095,2020-01-23,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,3.89,5.7,10.11,4.41,5.19,4.93,19.96,8.82,,9.33,5.19,6.22,6.22,5.45,7.0,26.19,6.22,4.15,4.67,,29.3,,4.41,5.45,,-6.006173,-13.91358,3.179012,0.0,30.48,-11.041667,68.287568
US_NY_36095,2020-01-24,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,4.42,4.7,8.29,11.6,3.87,6.91,24.03,11.88,,7.46,3.87,5.8,6.35,4.14,,29.83,3.87,4.7,3.87,,33.42,,8.01,,5.8,-0.938889,-10.872222,7.766667,0.0,30.48,-8.074074,59.441065
US_NY_36095,2020-01-25,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,,4.51,7.51,5.11,4.51,6.61,22.23,6.61,,8.71,,4.21,6.31,,5.11,32.75,4.51,4.81,,,36.05,4.51,4.21,5.41,,0.988889,-4.477778,5.994444,0.0,30.48,-2.987654,75.649536
US_NY_36095,2020-01-26,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,4.25,5.94,9.9,5.94,,5.09,28.3,10.47,5.09,10.19,,6.22,5.38,4.81,3.96,31.41,,5.94,,6.51,39.33,5.94,7.92,6.22,,2.472222,-0.422222,4.905556,13.433778,30.48,0.098765,85.118956
US_NY_36095,2020-01-27,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,4.84,7.65,7.14,8.41,5.86,6.63,31.36,10.45,5.35,5.35,,5.35,5.86,4.08,8.16,34.16,6.63,5.86,,7.14,33.66,,6.37,6.88,,2.265432,0.648148,4.111111,0.649111,,-1.611111,76.736874
US_NY_36095,2020-01-28,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,5.05,4.55,6.57,7.84,7.84,4.55,29.83,11.37,6.32,6.07,4.3,5.31,5.81,4.55,6.07,39.68,5.31,4.3,,,32.61,4.3,7.33,6.07,5.81,0.716049,-0.722222,3.709877,0.084667,,-3.875,72.324354
US_NY_36095,2020-01-29,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,,8.49,9.26,13.89,,3.6,30.11,10.04,7.21,6.18,5.15,6.18,4.12,5.15,6.18,35.25,5.15,7.46,6.95,5.15,33.45,6.95,10.81,6.18,3.86,-1.895062,-4.228395,1.820988,0.028222,,-8.319444,62.350084
US_NY_36095,2020-01-30,ChIJ_RKPRqol3IkRq7xhO-i-9e4,Q71202,geoId/36095,US,United States of America,NY,New York,36095,Schoharie County,US,USA,2,,,,,,,31255,15678,15577,2880,3922,3718,3205,3596,4850,4685,2849,1550,1838138,42.59,-74.44,1622,81.914286,,,,,,7.0,8.3,7.26,4.67,3.89,29.83,12.19,5.45,10.12,5.71,7.52,4.67,5.45,8.56,32.94,5.19,4.93,5.19,4.67,31.91,,5.97,3.89,,-6.024691,-11.740741,0.518519,0.028222,,-12.493056,61.439048
