location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_6,cumulative_confirmed_age_6,new_deceased_age_6,cumulative_deceased_age_6,new_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_6,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,mobility_residential,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_WA_53039,2020-01-11,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,8.85,8.38,,12.11,6.99,7.92,20.02,7.92,28.87,6.99,6.188889,1.155556,9.683333,4.261556,,1.277778,71.414823
US_WA_53039,2020-01-12,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,7.54,16.5,9.43,11.79,8.96,,15.09,,41.01,10.37,5.572222,3.2,9.333333,2.286,,0.461111,70.268327
US_WA_53039,2020-01-13,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,,8.7,,13.45,12.66,,31.64,,37.97,9.49,1.888889,-1.183333,8.488889,2.906889,,-2.655556,72.143856
US_WA_53039,2020-01-14,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,7.23,8.44,,12.05,11.25,10.04,20.89,,38.96,6.43,-2.905556,-5.016667,2.244444,2.54,,-6.222222,77.992484
US_WA_53039,2020-01-15,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,,7.2,6.4,12.01,6.4,6.4,21.21,,44.03,6.0,-4.172222,-8.211111,0.633333,0.762,50.8,-8.094444,74.549166
US_WA_53039,2020-01-16,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,,8.06,9.27,10.48,8.06,6.05,16.12,,34.26,6.05,-1.505556,-7.25,2.85,3.527778,50.8,-4.316667,81.426205
US_WA_53039,2020-01-17,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,,,,12.11,11.25,7.35,19.46,6.92,38.93,,-2.466667,-7.494444,2.905556,1.905,30.48,-4.755556,84.280399
US_WA_53039,2020-01-18,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,11.94,8.12,9.07,11.94,8.59,,21.96,,31.51,,0.894444,-5.961111,4.172222,2.427111,78.74,-1.683333,83.157488
US_WA_53039,2020-01-19,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,,,10.23,,7.8,7.31,22.42,,30.21,,2.911111,-1.016667,7.483333,3.048,50.8,0.083333,81.819425
US_WA_53039,2020-01-20,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,,9.12,6.95,8.25,9.98,6.95,24.31,7.38,39.5,7.81,2.983333,0.311111,7.044444,0.0508,,-0.288889,79.815198
US_WA_53039,2020-01-21,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,7.87,7.87,7.87,21.13,8.7,9.53,21.13,13.26,38.94,6.21,3.355556,-0.122222,8.727778,0.733778,,0.644444,82.940321
US_WA_53039,2020-01-22,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,16.45,6.58,6.17,16.86,9.05,8.23,25.5,9.05,33.32,,4.888889,0.333333,8.572222,2.032,,1.527778,79.27204
US_WA_53039,2020-01-23,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,8.8,11.31,6.7,7.54,,11.31,30.58,6.28,34.77,7.54,6.166667,2.405556,9.127778,3.7338,,3.827778,85.558264
US_WA_53039,2020-01-24,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,15.41,,8.8,24.65,7.48,,26.85,,32.58,,7.955556,4.516667,12.855556,9.525,,5.25,83.448109
US_WA_53039,2020-01-25,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,7.54,10.06,,23.64,8.55,9.05,28.67,,38.23,,7.883333,4.55,13.55,1.143,,4.322222,78.485696
US_WA_53039,2020-01-26,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,,12.11,7.75,20.83,7.27,,40.7,,45.54,8.24,7.955556,4.483333,13.455556,3.5814,,4.766667,80.418952
US_WA_53039,2020-01-27,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,,7.5,9.59,26.27,10.42,,32.94,6.67,37.94,,6.916667,2.605556,12.461111,2.6162,,2.755556,75.207237
US_WA_53039,2020-01-28,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,6.21,8.28,,19.46,11.18,6.21,39.33,6.62,35.19,,7.555556,2.444444,11.905556,11.2014,,4.75,82.575478
US_WA_53039,2020-01-29,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,12.58,8.39,7.55,22.23,10.48,8.39,32.71,,38.17,12.58,5.5,2.361111,11.483333,2.1844,,3.055556,84.437605
US_WA_53039,2020-01-30,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,7.99,8.82,,26.05,7.99,,26.48,,39.08,,4.738889,0.25,9.883333,4.0894,,2.444444,85.167801
US_WA_53039,2020-01-31,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,6.97,10.45,7.4,26.57,14.37,7.84,33.1,6.97,34.84,6.97,9.261111,0.994444,17.772222,1.4986,,5.316667,76.76288
US_WA_53039,2020-02-01,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,8.63,8.12,9.64,24.36,,,23.35,,32.48,,13.583333,6.905556,17.966667,0.0,,5.377778,58.823849
US_WA_53039,2020-02-02,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,12.95,,7.47,14.45,7.97,,25.91,,35.37,,4.422222,-1.566667,13.972222,2.794,,-2.138889,63.248413
US_WA_53039,2020-02-03,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,8.45,6.33,8.02,13.51,,,25.76,,32.09,9.29,0.638889,-4.883333,7.8,0.0508,,-4.377778,69.390304
US_WA_53039,2020-02-04,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,6.73,,6.73,18.08,,,31.11,6.73,28.17,7.99,0.261111,-5.255556,7.094444,0.141111,,-4.383333,71.193868
US_WA_53039,2020-02-05,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,,7.2,,11.02,,,20.34,,36.87,,4.138889,-2.855556,10.405556,2.032,,0.75,78.735342
US_WA_53039,2020-02-06,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,,8.68,,11.88,10.51,7.31,24.67,7.77,39.74,,9.927778,3.994444,13.477778,2.5908,50.8,5.527778,74.469798
US_WA_53039,2020-02-07,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,9.41,,7.17,14.79,10.76,,25.99,,32.26,,10.083333,7.555556,13.844444,1.7272,,5.694444,74.904876
US_WA_53039,2020-02-08,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,,9.43,,12.9,,,24.8,7.44,32.24,,8.011111,4.755556,13.65,1.1176,,1.777778,65.168847
US_WA_53039,2020-02-09,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,8.29,7.78,10.37,16.07,12.96,8.29,21.25,,31.62,,4.255556,-1.316667,9.972222,1.1938,,-0.494444,71.600086
US_WA_53039,2020-02-10,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,11.34,8.4,6.3,11.76,9.66,6.3,25.62,,35.7,,4.394444,-1.916667,11.305556,0.0,,-0.927778,68.774238
US_WA_53039,2020-02-11,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,9.62,10.06,7.43,12.25,12.25,7.43,24.93,7.0,41.99,8.31,4.755556,-1.777778,13.805556,0.0,,-0.9,67.344878
US_WA_53039,2020-02-12,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,6.33,9.28,8.02,16.03,,8.02,24.47,7.17,39.23,,6.122222,-1.738889,13.788889,0.0254,,0.738889,68.894779
US_WA_53039,2020-02-13,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,8.3,9.13,12.04,16.61,6.64,,25.33,,33.63,,3.194444,-3.183333,12.638889,0.0,,-0.833333,75.13428
US_WA_53039,2020-02-14,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,,,,,,9.18,6.56,11.8,9.18,,22.73,7.43,31.47,,6.422222,-0.655556,11.694444,0.9906,,0.166667,65.076867
US_WA_53039,2020-02-15,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,7,1,-7,,8.46,10.95,8.96,19.41,,12.44,23.39,10.45,40.3,,6.244444,2.322222,11.4,0.508,,1.05,69.698902
US_WA_53039,2020-02-16,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,22,11,2,,,,,12.78,12.29,,12.78,7.86,32.93,8.35,6.677778,1.544444,11.205556,6.914444,,1.211111,68.746921
US_WA_53039,2020-02-17,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,0,0,-35,,7.93,13.22,,11.02,9.26,,21.16,7.93,50.69,8.81,5.505556,0.266667,11.172222,0.2794,,-1.35,61.732266
US_WA_53039,2020-02-18,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,-5,15,-2,,7.04,13.26,,11.19,6.22,,21.14,7.87,36.47,9.53,2.183333,-4.883333,10.622222,0.0254,,-3.938889,64.124385
US_WA_53039,2020-02-19,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,-11,5,3,,,6.83,6.43,13.26,8.04,9.64,18.89,6.43,40.98,6.03,2.3,-5.411111,10.466667,0.0,,-5.516667,56.991945
US_WA_53039,2020-02-20,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,-11,-1,2,,,,11.34,12.55,8.91,12.15,27.53,6.88,36.44,,2.705556,-4.994444,10.777778,0.0,,-5.838889,54.265569
US_WA_53039,2020-02-21,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,15,8,2,,6.41,13.26,6.41,13.68,8.55,,25.66,,26.94,,2.277778,-5.305556,12.188889,0.0,,-4.666667,60.446611
US_WA_53039,2020-02-22,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,10,4,1,,,10.76,9.82,15.43,,7.48,21.05,8.89,27.12,,4.633333,-5.15,15.111111,0.0,,-2.011111,62.240009
US_WA_53039,2020-02-23,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,1,3,2,,6.78,9.95,11.76,13.56,8.59,,21.25,9.04,37.52,9.95,7.788889,-1.544444,14.938889,0.0254,,0.8,61.591748
US_WA_53039,2020-02-24,ChIJhcn3PE8tllQR9DCKg0VUuKE,Q820502,geoId/53039,US,United States of America,WA,Washington,53039,Klickitat County,US,USA,2,,,,,,,,,,,,,,,,,,,,21751,10997,10754,2200,2418,2071,2334,2610,3104,3789,2270,955,1152565,45.87,-120.79,4932,82.733333,-4,0,1,,8.79,10.39,6.39,17.18,9.99,,28.37,9.19,31.17,11.99,6.461111,2.266667,12.877778,1.2954,,-1.7,56.695739
