location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_confirmed_age_0,new_confirmed_age_1,new_confirmed_age_2,new_confirmed_age_3,new_confirmed_age_4,new_confirmed_age_5,new_confirmed_age_6,new_confirmed_age_7,new_confirmed_age_8,new_confirmed_age_9,cumulative_confirmed_age_0,cumulative_confirmed_age_1,cumulative_confirmed_age_2,cumulative_confirmed_age_3,cumulative_confirmed_age_4,cumulative_confirmed_age_5,cumulative_confirmed_age_6,cumulative_confirmed_age_7,cumulative_confirmed_age_8,cumulative_confirmed_age_9,new_deceased_age_0,new_deceased_age_1,new_deceased_age_2,new_deceased_age_3,new_deceased_age_4,new_deceased_age_5,new_deceased_age_6,new_deceased_age_7,new_deceased_age_8,new_deceased_age_9,cumulative_deceased_age_0,cumulative_deceased_age_1,cumulative_deceased_age_2,cumulative_deceased_age_3,cumulative_deceased_age_4,cumulative_deceased_age_5,cumulative_deceased_age_6,cumulative_deceased_age_7,cumulative_deceased_age_8,cumulative_deceased_age_9,new_hospitalized_patients_age_0,new_hospitalized_patients_age_1,new_hospitalized_patients_age_2,new_hospitalized_patients_age_3,new_hospitalized_patients_age_4,new_hospitalized_patients_age_5,new_hospitalized_patients_age_6,new_hospitalized_patients_age_7,new_hospitalized_patients_age_8,new_hospitalized_patients_age_9,cumulative_hospitalized_patients_age_0,cumulative_hospitalized_patients_age_1,cumulative_hospitalized_patients_age_2,cumulative_hospitalized_patients_age_3,cumulative_hospitalized_patients_age_4,cumulative_hospitalized_patients_age_5,cumulative_hospitalized_patients_age_6,cumulative_hospitalized_patients_age_7,cumulative_hospitalized_patients_age_8,cumulative_hospitalized_patients_age_9,age_bin_0,age_bin_1,age_bin_2,age_bin_3,age_bin_4,age_bin_5,age_bin_6,age_bin_7,age_bin_8,age_bin_9,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_workplaces,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_common_cold,search_trends_diabetes,search_trends_hypertension,search_trends_infection,search_trends_itch,search_trends_pain,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
US_GA_13053,2020-01-21,ChIJ8YiD4iAv84gRWxk-M6yGMoE,Q486394,geoId/13053,US,United States of America,GA,Georgia,13053,Chattahoochee County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10205,6677,3528,1488,1270,3927,1541,759,517,338,233,132,1059842,32.35,-84.79,651,73.4,,,,8.38,9.83,8.01,14.93,6.92,6.92,24.76,8.74,55.35,12.02,6.55,0.820988,-3.537037,7.018519,0.0,-7.358025,54.453516
US_GA_13053,2020-01-22,ChIJ8YiD4iAv84gRWxk-M6yGMoE,Q486394,geoId/13053,US,United States of America,GA,Georgia,13053,Chattahoochee County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10205,6677,3528,1488,1270,3927,1541,759,517,338,233,132,1059842,32.35,-84.79,651,73.4,,,,9.19,9.9,6.36,19.09,7.78,5.3,27.22,,50.55,10.61,,2.592593,-3.685185,11.87037,0.0,-8.388889,44.394243
US_GA_13053,2020-01-23,ChIJ8YiD4iAv84gRWxk-M6yGMoE,Q486394,geoId/13053,US,United States of America,GA,Georgia,13053,Chattahoochee County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10205,6677,3528,1488,1270,3927,1541,759,517,338,233,132,1059842,32.35,-84.79,651,73.4,,,,6.71,10.74,7.38,18.79,,,21.48,4.7,49.33,,4.7,6.938272,3.111111,11.092593,0.254,-1.901235,53.479654
US_GA_13053,2020-01-24,ChIJ8YiD4iAv84gRWxk-M6yGMoE,Q486394,geoId/13053,US,United States of America,GA,Georgia,13053,Chattahoochee County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10205,6677,3528,1488,1270,3927,1541,759,517,338,233,132,1059842,32.35,-84.79,651,73.4,,,,9.78,10.09,8.56,20.48,6.11,7.64,27.51,6.11,38.21,7.03,5.81,11.691358,6.790123,17.104938,15.8115,9.382716,85.757258
US_GA_13053,2020-01-25,ChIJ8YiD4iAv84gRWxk-M6yGMoE,Q486394,geoId/13053,US,United States of America,GA,Georgia,13053,Chattahoochee County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10205,6677,3528,1488,1270,3927,1541,759,517,338,233,132,1059842,32.35,-84.79,651,73.4,,,,7.34,,8.32,24.97,,,27.91,10.77,41.13,,,7.364198,1.839506,13.882716,0.818444,1.82716,68.135491
US_GA_13053,2020-01-26,ChIJ8YiD4iAv84gRWxk-M6yGMoE,Q486394,geoId/13053,US,United States of America,GA,Georgia,13053,Chattahoochee County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10205,6677,3528,1488,1270,3927,1541,759,517,338,233,132,1059842,32.35,-84.79,651,73.4,,,,13.17,12.23,18.34,32.45,,,39.97,10.82,38.09,9.4,8.46,6.759259,0.574074,13.018519,0.0,1.469136,69.134658
US_GA_13053,2020-01-27,ChIJ8YiD4iAv84gRWxk-M6yGMoE,Q486394,geoId/13053,US,United States of America,GA,Georgia,13053,Chattahoochee County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10205,6677,3528,1488,1270,3927,1541,759,517,338,233,132,1059842,32.35,-84.79,651,73.4,,,,4.97,9.28,5.96,20.21,6.3,,38.44,7.95,46.72,10.6,,9.666667,5.04321,13.395062,0.889,6.746914,82.086022
US_GA_13053,2020-01-28,ChIJ8YiD4iAv84gRWxk-M6yGMoE,Q486394,geoId/13053,US,United States of America,GA,Georgia,13053,Chattahoochee County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10205,6677,3528,1488,1270,3927,1541,759,517,338,233,132,1059842,32.35,-84.79,651,73.4,,,,5.72,8.58,4.45,17.79,,4.77,31.14,8.9,40.03,8.58,,8.222222,1.203704,17.12963,0.028222,2.54321,67.5015
US_GA_13053,2020-01-29,ChIJ8YiD4iAv84gRWxk-M6yGMoE,Q486394,geoId/13053,US,United States of America,GA,Georgia,13053,Chattahoochee County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10205,6677,3528,1488,1270,3927,1541,759,517,338,233,132,1059842,32.35,-84.79,651,73.4,,,,,11.58,9.39,22.52,4.69,12.83,33.48,5.01,43.17,11.58,5.63,7.493827,2.580247,13.753086,0.169333,2.91358,73.208184
US_GA_13053,2020-01-30,ChIJ8YiD4iAv84gRWxk-M6yGMoE,Q486394,geoId/13053,US,United States of America,GA,Georgia,13053,Chattahoochee County,US,USA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10205,6677,3528,1488,1270,3927,1541,759,517,338,233,132,1059842,32.35,-84.79,651,73.4,,,,6.4,7.36,8.63,30.06,5.76,,30.38,5.44,38.38,5.44,6.4,8.617284,2.388889,16.135802,1.778,4.246914,74.103766
