location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_transit_stations,mobility_workplaces,mobility_residential,search_trends_abdominal_pain,search_trends_acne,search_trends_allergy,search_trends_anxiety,search_trends_arthritis,search_trends_back_pain,search_trends_common_cold,search_trends_cough,search_trends_depression,search_trends_diabetes,search_trends_fatigue,search_trends_fever,search_trends_headache,search_trends_hypertension,search_trends_infection,search_trends_inflammation,search_trends_itch,search_trends_migraine,search_trends_obesity,search_trends_pain,search_trends_skin_condition,search_trends_skin_rash,search_trends_swelling,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
US_SC_45023,2020-01-21,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,4.05,5.49,13.01,10.41,8.1,6.65,14.75,8.38,,10.7,5.78,4.92,8.38,9.54,23.42,4.05,7.81,5.78,,37.3,,8.1,5.49,-0.322222,-3.788889,4.194444,0.0,,-10.513889,47.597283
US_SC_45023,2020-01-22,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,5.47,6.91,10.37,4.32,4.03,6.62,16.99,10.65,,10.65,6.62,5.47,8.35,4.03,25.63,4.9,11.23,7.78,4.61,38.88,6.62,7.2,5.76,1.1,-3.988889,8.6,0.0,,-10.569444,42.732575
US_SC_45023,2020-01-23,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,5.03,9.76,6.5,9.16,,,18.03,7.98,4.73,9.46,,4.43,7.09,9.46,42.87,5.32,9.46,5.03,,37.84,14.78,7.09,8.87,3.444444,-2.1,10.077778,0.0,,-6.5625,49.290181
US_SC_45023,2020-01-24,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,4.68,6.14,11.69,8.77,6.14,6.14,23.09,10.52,,10.52,5.26,4.09,11.11,5.55,40.92,,9.06,4.68,4.68,35.66,8.18,8.77,5.26,8.522222,2.133333,15.683333,3.471333,,4.652778,78.809331
US_SC_45023,2020-01-25,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,,8.06,9.81,5.61,,7.71,19.62,10.16,4.91,9.81,8.41,,,7.71,36.44,,12.61,,,32.93,8.76,9.46,7.71,8.438889,4.672222,13.988889,14.097,,5.430556,83.719797
US_SC_45023,2020-01-26,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,5.38,4.74,8.22,8.86,,5.38,18.66,10.44,,4.43,,6.01,5.06,8.86,25.93,5.38,8.86,,,34.16,6.64,5.38,,5.488889,-0.777778,13.016667,0.0,,-0.923611,66.1284
US_SC_45023,2020-01-27,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,9.34,6.71,5.84,8.76,9.92,7.3,18.39,10.22,5.84,9.34,4.38,6.71,6.13,9.34,33.27,4.09,6.13,4.67,5.25,46.12,,5.55,8.76,7.966667,1.638889,14.011111,0.0,,2.611111,71.128603
US_SC_45023,2020-01-28,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,5.14,4.84,8.78,10.59,8.78,5.45,19.67,11.5,6.66,12.41,4.54,4.54,5.75,9.38,33.29,7.26,7.87,8.17,6.96,44.19,,7.57,4.84,7.2,0.688889,14.216667,0.34925,,1.416667,69.186155
US_SC_45023,2020-01-29,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,4.11,7.34,9.68,11.15,5.28,,19.37,9.98,4.11,10.27,4.7,5.28,,6.16,37.56,7.63,9.39,,5.58,36.68,4.4,11.74,5.28,5.727778,0.45,12.477778,0.0,,0.256944,68.946709
US_SC_45023,2020-01-30,ChIJTQ-Iz69CVogR6M5mqv4v6TQ,Q497377,geoId/45023,US,United States of America,SC,South Carolina,45023,Chester County,US,USA,2,,,,,,,32299,15633,16666,3899,4060,3991,3549,3887,4705,4322,2583,1303,2532500,34.69,-81.16,1518,73.754545,,,,,,6.43,7.3,11.69,7.01,,,27.18,9.94,,8.18,4.97,,4.67,7.3,33.9,7.3,7.89,9.06,4.67,34.48,,7.3,6.14,7.522222,1.572222,12.05,0.072571,,1.659722,68.30321
